row_index,model_a,model_b,mean,min,max
158371,scibert,bert,0.884,0.84,0.92
158371,scibert,mpnet,0.8320000000000001,0.76,0.88
158371,scibert,minilm,0.748,0.68,0.84
158371,scibert,pubmedbert,0.8880000000000001,0.84,0.92
158371,scibert,biobert,0.8440000000000001,0.8,0.88
158371,scibert,simcse,0.8880000000000001,0.84,0.92
158371,bert,mpnet,0.8440000000000001,0.8,0.88
158371,bert,minilm,0.768,0.68,0.84
158371,bert,pubmedbert,0.8280000000000001,0.76,0.88
158371,bert,biobert,0.844,0.8,0.88
158371,bert,simcse,0.868,0.8,0.96
158371,mpnet,minilm,0.808,0.76,0.88
158371,mpnet,pubmedbert,0.8,0.72,0.88
158371,mpnet,biobert,0.784,0.72,0.88
158371,mpnet,simcse,0.8240000000000001,0.76,0.88
158371,minilm,pubmedbert,0.768,0.64,0.88
158371,minilm,biobert,0.74,0.6,0.84
158371,minilm,simcse,0.776,0.68,0.84
158371,pubmedbert,biobert,0.8480000000000001,0.8,0.92
158371,pubmedbert,simcse,0.8520000000000001,0.8,0.88
158371,biobert,simcse,0.8520000000000001,0.8,0.92
115771,specter,specter2,0.736,0.64,0.8
115771,specter,scincl,0.788,0.72,0.84
115771,specter,scibert,0.6719999999999999,0.52,0.84
115771,specter,bert,0.756,0.64,0.84
115771,specter,mpnet,0.76,0.72,0.8
115771,specter,minilm,0.748,0.68,0.8
115771,specter,pubmedbert,0.6399999999999999,0.44,0.8
115771,specter,biobert,0.6839999999999999,0.56,0.76
115771,specter,simcse,0.708,0.64,0.76
115771,specter2,scincl,0.8240000000000001,0.76,0.88
115771,specter2,scibert,0.792,0.64,0.88
115771,specter2,bert,0.784,0.68,0.84
115771,specter2,mpnet,0.812,0.72,0.92
115771,specter2,minilm,0.764,0.68,0.84
115771,specter2,pubmedbert,0.78,0.68,0.84
115771,specter2,biobert,0.748,0.64,0.84
115771,specter2,simcse,0.776,0.68,0.84
115771,scincl,scibert,0.78,0.68,0.84
115771,scincl,bert,0.82,0.76,0.92
115771,scincl,mpnet,0.8560000000000001,0.8,0.92
115771,scincl,minilm,0.804,0.76,0.88
115771,scincl,pubmedbert,0.72,0.56,0.84
115771,scincl,biobert,0.748,0.64,0.84
115771,scincl,simcse,0.8160000000000001,0.76,0.88
115771,scibert,bert,0.808,0.72,0.88
115771,scibert,mpnet,0.808,0.68,0.88
115771,scibert,minilm,0.764,0.68,0.84
115771,scibert,pubmedbert,0.8720000000000001,0.8,0.92
115771,scibert,biobert,0.8160000000000001,0.68,0.88
115771,scibert,simcse,0.788,0.72,0.88
115771,bert,mpnet,0.8240000000000001,0.68,0.92
115771,bert,minilm,0.8440000000000001,0.76,0.92
115771,bert,pubmedbert,0.776,0.68,0.88
115771,bert,biobert,0.8560000000000001,0.8,0.92
115771,bert,simcse,0.8560000000000001,0.8,0.92
115771,mpnet,minilm,0.8160000000000001,0.72,0.88
115771,mpnet,pubmedbert,0.768,0.64,0.88
115771,mpnet,biobert,0.776,0.64,0.88
115771,mpnet,simcse,0.776,0.64,0.88
115771,minilm,pubmedbert,0.744,0.68,0.8
115771,minilm,biobert,0.784,0.72,0.84
115771,minilm,simcse,0.768,0.68,0.8
115771,pubmedbert,biobert,0.8640000000000001,0.8,0.92
115771,pubmedbert,simcse,0.768,0.68,0.92
115771,biobert,simcse,0.8200000000000001,0.76,0.88
202613,specter,specter2,0.8,0.72,0.84
202613,specter,scincl,0.8320000000000001,0.76,0.92
202613,specter,scibert,0.6799999999999999,0.6,0.8
202613,specter,bert,0.704,0.56,0.8
202613,specter,mpnet,0.8200000000000001,0.76,0.88
202613,specter,minilm,0.8,0.72,0.88
202613,specter,pubmedbert,0.708,0.6,0.84
202613,specter,biobert,0.7,0.56,0.84
202613,specter,simcse,0.736,0.64,0.84
202613,specter2,scincl,0.788,0.76,0.84
202613,specter2,scibert,0.704,0.64,0.8
202613,specter2,bert,0.724,0.64,0.8
202613,specter2,mpnet,0.836,0.8,0.88
202613,specter2,minilm,0.804,0.72,0.84
202613,specter2,pubmedbert,0.732,0.64,0.84
202613,specter2,biobert,0.732,0.68,0.8
202613,specter2,simcse,0.724,0.6,0.84
202613,scincl,scibert,0.644,0.56,0.8
202613,scincl,bert,0.6639999999999999,0.6,0.8
202613,scincl,mpnet,0.808,0.72,0.88
202613,scincl,minilm,0.792,0.72,0.88
202613,scincl,pubmedbert,0.6719999999999999,0.56,0.84
202613,scincl,biobert,0.6639999999999999,0.52,0.84
202613,scincl,simcse,0.7,0.6,0.88
202613,scibert,bert,0.8200000000000001,0.76,0.88
202613,scibert,mpnet,0.712,0.64,0.84
202613,scibert,minilm,0.696,0.64,0.84
202613,scibert,pubmedbert,0.8600000000000001,0.76,0.96
202613,scibert,biobert,0.8720000000000001,0.8,0.92
202613,scibert,simcse,0.784,0.68,0.88
202613,bert,mpnet,0.732,0.64,0.84
202613,bert,minilm,0.712,0.64,0.8
202613,bert,pubmedbert,0.8800000000000001,0.84,0.96
202613,bert,biobert,0.884,0.84,0.96
202613,bert,simcse,0.8640000000000001,0.8,0.92
202613,mpnet,minilm,0.8840000000000001,0.8,0.92
202613,mpnet,pubmedbert,0.74,0.64,0.88
202613,mpnet,biobert,0.744,0.64,0.88
202613,mpnet,simcse,0.752,0.64,0.84
202613,minilm,pubmedbert,0.72,0.64,0.88
202613,minilm,biobert,0.72,0.64,0.84
202613,minilm,simcse,0.736,0.64,0.88
202613,pubmedbert,biobert,0.892,0.76,0.96
202613,pubmedbert,simcse,0.8,0.68,0.92
202613,biobert,simcse,0.8200000000000001,0.76,0.88
99305,specter,specter2,0.28,0.16,0.36
99305,specter,scincl,0.196,0.12,0.36
99305,specter,scibert,0.11200000000000002,0.04,0.2
99305,specter,bert,0.06,0.0,0.12
99305,specter,mpnet,0.144,0.04,0.2
99305,specter,minilm,0.172,0.08,0.32
99305,specter,pubmedbert,0.1,0.04,0.2
99305,specter,biobert,0.13199999999999998,0.04,0.24
99305,specter,simcse,0.088,0.0,0.16
99305,specter2,scincl,0.264,0.16,0.36
99305,specter2,scibert,0.14,0.04,0.32
99305,specter2,bert,0.096,0.04,0.16
99305,specter2,mpnet,0.24800000000000005,0.12,0.32
99305,specter2,minilm,0.21600000000000003,0.12,0.32
99305,specter2,pubmedbert,0.136,0.08,0.2
99305,specter2,biobert,0.11200000000000002,0.04,0.2
99305,specter2,simcse,0.10000000000000002,0.04,0.16
99305,scincl,scibert,0.08399999999999999,0.04,0.16
99305,scincl,bert,0.136,0.08,0.24
99305,scincl,mpnet,0.256,0.12,0.36
99305,scincl,minilm,0.16399999999999998,0.08,0.24
99305,scincl,pubmedbert,0.08399999999999999,0.0,0.16
99305,scincl,biobert,0.096,0.04,0.2
99305,scincl,simcse,0.08,0.0,0.16
99305,scibert,bert,0.264,0.2,0.32
99305,scibert,mpnet,0.11600000000000002,0.04,0.2
99305,scibert,minilm,0.07999999999999999,0.0,0.16
99305,scibert,pubmedbert,0.42400000000000004,0.24,0.6
99305,scibert,biobert,0.42400000000000004,0.24,0.52
99305,scibert,simcse,0.144,0.08,0.2
99305,bert,mpnet,0.192,0.12,0.28
99305,bert,minilm,0.168,0.12,0.24
99305,bert,pubmedbert,0.392,0.28,0.52
99305,bert,biobert,0.41200000000000003,0.28,0.56
99305,bert,simcse,0.33999999999999997,0.24,0.44
99305,mpnet,minilm,0.26400000000000007,0.2,0.32
99305,mpnet,pubmedbert,0.076,0.0,0.2
99305,mpnet,biobert,0.14400000000000002,0.04,0.28
99305,mpnet,simcse,0.12800000000000003,0.04,0.24
99305,minilm,pubmedbert,0.10800000000000001,0.0,0.16
99305,minilm,biobert,0.11200000000000002,0.04,0.2
99305,minilm,simcse,0.12000000000000002,0.08,0.16
99305,pubmedbert,biobert,0.5199999999999999,0.4,0.72
99305,pubmedbert,simcse,0.244,0.16,0.36
99305,biobert,simcse,0.23200000000000004,0.12,0.36
202595,specter,specter2,0.26000000000000006,0.12,0.36
202595,specter,scincl,0.33199999999999996,0.2,0.48
202595,specter,scibert,0.16,0.08,0.28
202595,specter,bert,0.148,0.08,0.28
202595,specter,mpnet,0.12,0.04,0.24
202595,specter,minilm,0.052000000000000005,0.0,0.16
202595,specter,pubmedbert,0.088,0.04,0.16
202595,specter,biobert,0.124,0.04,0.24
202595,specter,simcse,0.148,0.04,0.28
202595,specter2,scincl,0.352,0.24,0.48
202595,specter2,scibert,0.156,0.08,0.24
