field_id,cka_biased,cka_debiased,model,model_a,model_b,n,procrustes_angle_degrees,procrustes_similarity
29,0.9940018920859225,0.9938681245320901,mpnet/mean,native,common,2000,7.527480581502008,0.9913821435019968
29,0.9998892993445515,0.9998862130368827,minilm/mean,native,common,2000,1.1056455579365736,0.999813815675496
29,0.910491340635208,0.9095946766425275,pubmedbert/mean,native,common,2000,18.08012779030534,0.9506234280658826
29,0.9411631032124291,0.940158128034385,biobert/mean,native,common,2000,17.016254250529883,0.9562217744981591
29,0.9575671705520508,0.9568212658077697,simcse/cls,native,common,2000,15.806873522686878,0.9621853223415902
30,0.9903358352150763,0.9901712168884391,specter/cls,native,common,2000,8.774615540421495,0.9882960636682003
30,0.9865157113509195,0.9861338966095607,specter2/cls,native,common,2000,10.383818402936425,0.9836224141913368
30,0.9916082878905705,0.9914827852221417,scincl/cls,native,common,2000,8.377781593050491,0.9893289072929387
30,0.929812645789654,0.9286454526984863,scibert/mean,native,common,2000,17.78178317704316,0.952226538463404
30,0.9669151000839981,0.9665857765431574,bert/mean,native,common,2000,15.774023018352455,0.9623413420990357
30,0.9920366958066985,0.9918439268476665,mpnet/mean,native,common,2000,8.039407920752764,0.9901721115419169
30,0.9994550807847186,0.9994370245181023,minilm/mean,native,common,2000,2.183275597902554,0.9992740790836531
30,0.9397448979335982,0.9391647441148038,pubmedbert/mean,native,common,2000,16.9966247792094,0.9563219775453785
30,0.9615962445808875,0.9610766415034842,biobert/mean,native,common,2000,15.479227386641481,0.9637272772814864
30,0.9557133504726694,0.9549756391276188,simcse/cls,native,common,2000,16.029280211345622,0.9611207097863314
31,0.9956889850376206,0.9956192884129726,specter/cls,native,common,2000,5.568324778224273,0.9952811953229806
31,0.9932153202799779,0.9930735313633188,specter2/cls,native,common,2000,7.519950568378449,0.991399351645138
31,0.9943293035635585,0.9942278192853894,scincl/cls,native,common,2000,6.104775401787937,0.9943290839428089
31,0.9721280109743066,0.9716071972549376,scibert/mean,native,common,2000,11.179210659974899,0.9810255672385225
31,0.984695193988065,0.984521706507363,bert/mean,native,common,2000,10.214469120961649,0.9841508567044964
31,0.9947011715851001,0.9945473011617141,mpnet/mean,native,common,2000,6.105821311084764,0.9943271424603448
31,0.9999085070390774,0.999905161333897,minilm/mean,native,common,2000,0.8542596010760033,0.9998888533361876
31,0.9771480826985818,0.9768676860229456,pubmedbert/mean,native,common,2000,10.640008137577823,0.982806661131724
31,0.9827088196105206,0.9825078918424635,biobert/mean,native,common,2000,10.266589547894327,0.9839891342272733
31,0.9839482895616463,0.9836396425172208,simcse/cls,native,common,2000,9.51750564551177,0.986235128318357
32,0.9935193094857585,0.9933956990490843,specter/cls,native,common,2000,6.294448781076338,0.9939715826233925
32,0.9931131442697113,0.9929156756646842,specter2/cls,native,common,2000,7.11822909354315,0.9922925629002868
32,0.9942567815369328,0.9941472009508127,scincl/cls,native,common,2000,6.037538518816348,0.9944531979329189
32,0.9586652046110682,0.9579205325155257,scibert/mean,native,common,2000,13.321143203294199,0.9730939139061829
32,0.977400201835694,0.9770678803154347,bert/mean,native,common,2000,11.756138279210914,0.9790236500772017
32,0.9944676488901164,0.9942587016565901,mpnet/mean,native,common,2000,6.006551296802955,0.9945099369049629
32,0.9998455022697974,0.9998392259835092,minilm/mean,native,common,2000,1.0683791417346427,0.9998261546987445
32,0.9682709670594052,0.9678145026491359,pubmedbert/mean,native,common,2000,11.998832721217076,0.9781518362861777
32,0.9716274898352555,0.9710686284575977,biobert/mean,native,common,2000,11.769312661927227,0.9789767754373658
32,0.9776995735456687,0.9772204335592278,simcse/cls,native,common,2000,10.743680830388133,0.982470963545048
33,0.994251428966492,0.9941635273846563,specter/cls,native,common,2000,6.08177536504067,0.994371694295249
33,0.9925237906687943,0.9922872975758161,specter2/cls,native,common,2000,6.807699407741092,0.9929495880140045
33,0.9924543909135999,0.9923147641230241,scincl/cls,native,common,2000,6.615890023511803,0.9933408515077873
33,0.9692748454442787,0.9687472976925203,scibert/mean,native,common,2000,12.160356679251304,0.9775618773077269
33,0.9842297114519626,0.9839863169974962,bert/mean,native,common,2000,10.242847539193626,0.9840629033817209
33,0.9939141464467409,0.9936631328729036,mpnet/mean,native,common,2000,5.897657470216492,0.9947070189440381
33,0.9998806948329245,0.9998753216254581,minilm/mean,native,common,2000,0.9129324890861463,0.9998730616418028
