field_id,period_start,model_a,model_b,median_change_1024_to_2048,central95_width_at2048,median2048_minus_full,passes_operational_screen
11,2000,mpnet,biobert,0.0020719978706395525,0.005294924568618298,0.0006827937206806411,True
11,2000,mpnet,simcse,2.756576426360402e-05,0.00385794671847417,0.00037275137241499223,True
11,2000,minilm,pubmedbert,0.0026315157097703823,0.007904316695792613,1.989244111672006e-05,True
11,2000,minilm,biobert,0.0020716905505346883,0.006443747354809903,0.0004191779141048957,True
11,2000,minilm,simcse,0.0006465384465661472,0.004081772123609606,-5.672086934194187e-05,True
11,2000,pubmedbert,biobert,6.274657123295224e-05,0.0017509476200519014,0.00018846598566613082,True
11,2000,pubmedbert,simcse,0.0027812664637607565,0.006856858862477,-2.8031023978969394e-05,True
11,2000,biobert,simcse,0.0006873726559001314,0.0059635337387554666,2.1378787250170284e-05,True
11,2005,specter,specter2,0.0003909367485492865,0.005262209047486421,0.0003268436541384867,True
11,2005,specter,scincl,0.00015245797815943707,0.003463033006263716,0.0006028647910233387,True
11,2005,specter,scibert,0.002446925767836561,0.010807367515353161,0.0002518166057249305,True
11,2005,specter,bert,0.0014376966328588647,0.008978360058574886,-0.001090389672063985,True
11,2005,specter,mpnet,0.00016687620356992117,0.005536231611631415,0.0003981529363570324,True
11,2005,specter,minilm,0.0011983957342640572,0.007198588837701969,0.0006396480202265353,True
11,2005,specter,pubmedbert,0.0008786816005099674,0.0152059366889441,-0.0018367320199321746,True
11,2005,specter,biobert,0.0025640154087206435,0.018913176726005898,-0.0017242600543163622,True
11,2005,specter,simcse,0.0032471639076678827,0.00959877391001629,-0.0006096065211120827,True
11,2005,specter2,scincl,0.0006953927659779646,0.004144838795414718,0.00040630198757007907,True
11,2005,specter2,scibert,0.00231702979377002,0.0089094652072077,4.9693797392724726e-05,True
11,2005,specter2,bert,0.0004484235805466419,0.008617598447041908,-5.3981785170464924e-05,True
11,2005,specter2,mpnet,0.00045610757652725376,0.004428728207608423,8.106937836060979e-05,True
11,2005,specter2,minilm,0.0013793174274358,0.0065232008489143345,0.00022137282699374872,True
11,2005,specter2,pubmedbert,0.0007041887031461469,0.012254253647517088,-0.001571598659942386,True
11,2005,specter2,biobert,0.003366434651228656,0.017520532789676913,-0.0019613255167640897,True
11,2005,specter2,simcse,0.000430353995810151,0.009962124983354248,-4.6629234257578034e-05,True
11,2005,scincl,scibert,0.0021223114595514403,0.01013448484817725,0.00038155735626865805,True
11,2005,scincl,bert,0.0020020019583720794,0.008738462417448578,-0.000249168111366882,True
11,2005,scincl,mpnet,6.565089209953356e-05,0.004623384309356604,0.0004623761139228577,True
11,2005,scincl,minilm,0.00018679321017534,0.007212461128500158,0.0006291700611624762,True
11,2005,scincl,pubmedbert,0.0011874979701153032,0.01324133825363133,-0.0007865509652857927,True
11,2005,scincl,biobert,0.003682083185213847,0.01801302132773397,-0.0008916993183111233,True
11,2005,scincl,simcse,0.0037997569192143033,0.009523929161425915,-0.00012668259127657233,True
11,2005,scibert,bert,0.0003987350235116205,0.007225170469361442,0.0005088206060115397,True
11,2005,scibert,mpnet,0.003418986222932574,0.009722405887480412,0.0008582938663822537,True
11,2005,scibert,minilm,0.002927381228249093,0.009953484713827065,0.0008720364340392139,True
11,2005,scibert,pubmedbert,6.827293064159967e-05,0.010009370688607744,-0.0014565971894354712,True
11,2005,scibert,biobert,0.0017385841531373236,0.01113081774105562,-0.0007748409127140699,True
11,2005,scibert,simcse,0.001118397640718749,0.008286825493074468,0.0004298746127362474,True
11,2005,bert,mpnet,0.0010723553587260737,0.008022034236207398,-0.0004765992789906859,True
11,2005,bert,minilm,0.0006941351495101111,0.008597095281651201,-0.0005696762893078189,True
11,2005,bert,pubmedbert,0.0014655928665465723,0.007713576290363067,-0.0004902235743783345,True
11,2005,bert,biobert,0.0012181090993669264,0.008904612815003099,-0.0007480188516570951,True
11,2005,bert,simcse,0.0019888087600041793,0.007133686054554,8.194291129104414e-05,True
11,2005,mpnet,minilm,1.5986412759128044e-06,0.004327600299012024,0.00021308120055840707,True
11,2005,mpnet,pubmedbert,0.0006810235405984577,0.013369002449651335,-0.0011716344907430898,True
11,2005,mpnet,biobert,0.0023179986185188906,0.018756351945386274,-0.0015751953378869699,True
11,2005,mpnet,simcse,0.0014892059764812782,0.00889955431338707,-9.981387132662611e-05,True
11,2005,minilm,pubmedbert,0.00018871383737251168,0.013162499884836754,-0.0007978839249805358,True
11,2005,minilm,biobert,0.0022821065445498556,0.01795646578834864,-0.0009713003643824214,True
11,2005,minilm,simcse,0.0019221640206876778,0.008859343529300179,3.8130853902362816e-05,True
