field_id,period_start,delta_overlap,extended_overlap,k,native_overlap,other_model
13,2000,0.0001314348302300103,0.40398685651697697,25,0.40385542168674704,specter
13,2000,-0.0017743702081051483,0.4299671412924425,50,0.4317415115005476,specter
13,2000,-0.0030303030303030307,0.3145673603504929,10,0.31759766338079587,specter2
13,2000,-0.008528660094925155,0.33210660825118654,25,0.34063526834611174,specter2
13,2000,-0.007258123402701716,0.35253742241694047,50,0.35979554581964224,specter2
13,2000,-0.0051478641840087625,0.4121212121212121,10,0.4172690763052209,scincl
13,2000,-0.006498722161372764,0.4337933552391384,25,0.44029207740051113,scincl
13,2000,-0.005629791894852135,0.45138371668492155,50,0.45701350857977363,scincl
13,2000,0.02632347572106608,0.24045271997079226,10,0.21412924424972618,scibert
13,2000,0.02430083972252647,0.27826213946695877,25,0.25396129974443227,scibert
13,2000,0.025308506754289885,0.3106827309236948,50,0.2853742241694049,scibert
13,2000,0.027491785323110623,0.205403431909456,10,0.1779116465863454,bert
13,2000,0.02955823293172691,0.2468638189120117,25,0.2173055859802848,bert
13,2000,0.03126688572471706,0.28649142022636,50,0.25522453450164295,bert
13,2000,-0.008871851040525739,0.505403431909456,10,0.5142752829499817,mpnet
13,2000,-0.008017524644030669,0.5287331142752829,25,0.5367506389193136,mpnet
13,2000,-0.00778386272362176,0.5463964950711938,50,0.5541803577948157,mpnet
13,2000,-0.2651332603139832,0.7348667396860169,10,1.0,minilm
13,2000,-0.23957648776925888,0.7604235122307412,25,1.0,minilm
13,2000,-0.22702446148229283,0.7729755385177072,50,1.0,minilm
13,2000,0.025921869295363272,0.22566630156991604,10,0.1997444322745527,pubmedbert
13,2000,0.023263964950711938,0.2608543263964951,25,0.23759036144578313,pubmedbert
13,2000,0.024731653888280396,0.290281124497992,50,0.26554947060971157,pubmedbert
13,2000,0.02789339174881343,0.2508214676889376,10,0.22292807594012418,biobert
13,2000,0.026345381526104418,0.2913472070098576,25,0.26500182548375323,biobert
13,2000,0.027798466593647323,0.32295728368017523,50,0.29515881708652797,biobert
13,2000,0.018802482657904344,0.17232566630156992,10,0.15352318364366557,simcse
13,2000,0.019510770354143846,0.20702446148229284,25,0.18751369112814897,simcse
13,2000,0.020985761226725085,0.23964950711938668,50,0.21866374589266158,simcse
13,2005,0.0002947678703021363,0.36349791206091875,10,0.36320314419061656,specter
13,2005,-0.0011102923114713825,0.3973569147629576,25,0.39846720707442895,specter
13,2005,-0.002785556374355195,0.421557356914763,50,0.42434291328911816,specter
13,2005,-0.008253500368459838,0.30469172193564237,10,0.3129452223041022,specter2
13,2005,-0.00782117415868337,0.32894129206583156,25,0.3367624662245149,specter2
13,2005,-0.00875951854581184,0.3448047162859249,50,0.3535642348317367,specter2
13,2005,-0.007590272660280029,0.3969049373618276,10,0.4044952100221076,scincl
13,2005,-0.008951117661508228,0.42348317366740357,25,0.4324342913289118,scincl
13,2005,-0.0075706214689265534,0.43961188897076886,50,0.4471825104396954,scincl
13,2005,0.02375337754851388,0.22016703512650457,10,0.1964136575779907,scibert
13,2005,0.02364038319823139,0.2577450257921887,25,0.23410464259395727,scibert
13,2005,0.02230901498403341,0.2884008843036109,50,0.26609186931957757,scibert
13,2005,0.027536231884057974,0.19385900270203882,10,0.1663227708179809,bert
13,2005,0.028867600098255956,0.2307344632768362,25,0.2018668631785802,bert
13,2005,0.030031933185949402,0.2662245148612135,50,0.23619258167526408,bert
13,2005,-0.009260623925325473,0.5010808155244412,10,0.5103414394497666,mpnet
13,2005,-0.010385654630311963,0.5233996561041514,25,0.5337853107344632,mpnet
13,2005,-0.00964873495455662,0.537322525178089,50,0.5469712601326456,mpnet
13,2005,-0.2610660771309261,0.738933922869074,10,1.0,minilm
13,2005,-0.24019651191353478,0.7598034880864653,25,1.0,minilm
13,2005,-0.22770817980840088,0.7722918201915991,50,1.0,minilm
13,2005,0.023900761483664948,0.21289609432571852,10,0.18899533284205358,pubmedbert
13,2005,0.023620732006877917,0.24524686809137805,25,0.22162613608450016,pubmedbert
13,2005,0.02252517808892164,0.2715499877180054,50,0.24902480962908374,pubmedbert
13,2005,0.02675018422991894,0.23365266519282732,10,0.20690248096290836,biobert
13,2005,0.025369688037337263,0.27028248587570625,25,0.244912797838369,biobert
13,2005,0.02551707197248833,0.2994546794399411,50,0.2739376074674527,biobert
13,2005,0.016605256693687055,0.15964136575779908,10,0.14303610906411202,simcse
13,2005,0.017440432326209777,0.19145173176123806,25,0.17401129943502827,simcse
13,2005,0.018580201424711375,0.22091378039793666,50,0.20233357897322526,simcse
13,2010,-0.00093315558941154,0.3674538183203199,10,0.36838697390973146,specter
13,2010,-0.001112169110645592,0.401569224909541,25,0.4026813940201867,specter
