field_id,period_start,mean_overlap,mean_adjusted,shape_neighbor_spearman
25,2020,0.28983082475134236,0.2851102107175172,0.9641633728590249
26,2000,0.27252775212886016,0.26402924456027205,0.8745718050065875
26,2005,0.2769869703498512,0.26854055645206915,0.8682476943346508
26,2010,0.2936460449369037,0.28539424639644695,0.8582345191040843
26,2015,0.2909551656920078,0.28267193164635374,0.8698287220026351
26,2020,0.3098836565096953,0.3018215496932197,0.8555994729907772
27,2000,0.2587335079186931,0.25612414966721003,0.795520421607378
27,2005,0.2510472014129972,0.24933256588509647,0.773254281949934
27,2010,0.24303285214070836,0.2418309354245139,0.7889328063241106
27,2015,0.2322620525942229,0.2312303131605216,0.8064558629776021
27,2020,0.22396901868465144,0.22322765391974322,0.8432147562582345
28,2000,0.33839581409664515,0.3306667932332882,0.9144927536231883
28,2005,0.34947778803734486,0.34187822948637925,0.8712779973649539
28,2010,0.3530234944085359,0.3454653576609721,0.9092226613965744
28,2015,0.3480053349748641,0.34038857486943025,0.9189723320158102
28,2020,0.3414970760233918,0.3338042848554407,0.9214756258234519
29,2000,0.3489274648609829,0.3413214773009476,0.8379446640316206
29,2005,0.33911603570329335,0.3313954286437524,0.8509881422924902
29,2010,0.34403077870113885,0.3363675868635353,0.8718050065876153
29,2015,0.34092582333025545,0.33322635864953415,0.9353096179183135
29,2020,0.33284990253411306,0.32505609298427796,0.9316205533596837
30,2000,0.33355370883348723,0.32576812131985977,0.9006587615283267
30,2005,0.3413427721350159,0.3336481783515465,0.8926218708827404
30,2010,0.33574474197188875,0.3279847506397847,0.921212121212121
30,2015,0.32584918436441984,0.31797359072381726,0.952832674571805
30,2020,0.32306596901610757,0.31515786117751066,0.9855072463768115
31,2000,0.3106637939878937,0.3026108009270046,0.9474308300395257
31,2005,0.30997863247863244,0.3035370588460581,0.9459815546772068
31,2010,0.3180693815987934,0.31251258060139103,0.9383399209486165
31,2015,0.30931418076872624,0.30417820650317545,0.9463768115942027
31,2020,0.3172849183477426,0.31232908877709614,0.9325428194993411
32,2000,0.31317779829691184,0.30515417444524034,0.9330698287220026
32,2005,0.31671365548373864,0.3087313383749038,0.9274044795783924
32,2010,0.30726746691289625,0.29917479713384143,0.9322793148880104
32,2015,0.2975470184969603,0.2906629242054762,0.9541501976284584
32,2020,0.2744490344248531,0.2698499537607104,0.9470355731225295
33,2000,0.2659241114313161,0.2592506942625098,0.9330698287220026
33,2005,0.24792951381792586,0.2440664026294007,0.9321475625823452
33,2010,0.2345654008438819,0.23186412120259123,0.9541501976284584
33,2015,0.22498766542946058,0.22280206944928413,0.9606060606060606
33,2020,0.21675106275668282,0.2153375621841654,0.9722002635046112
34,2000,0.34133743716015186,0.3336427810522097,0.8661396574440051
34,2005,0.3378081460962348,0.33007225995249917,0.8794466403162055
34,2010,0.3469093148575828,0.339276183895189,0.9235836627140973
34,2015,0.34623802925327174,0.3385970525030762,0.9339920948616601
34,2020,0.3379079291762895,0.3301695926776486,0.9206851119894597
35,2000,0.3328291506286887,0.3250314548669857,0.8691699604743083
35,2005,0.3366585578650244,0.32890561908364313,0.8640316205533596
35,2010,0.3280841673081858,0.32023101358341,0.8656126482213438
35,2015,0.3222688221709007,0.3143477004103923,0.872463768115942
35,2020,0.3250878111367718,0.31719963688638353,0.8787878787878787
36,2000,0.2931855273287144,0.28492448861119113,0.8913043478260868
36,2005,0.30637967667436494,0.298272847275982,0.917786561264822
36,2010,0.2998039517577624,0.291620267229452,0.9534914361001317
36,2015,0.30566035411855275,0.29754511749067236,0.9603741893941486
36,2020,0.3040197670314155,0.29782115434020967,0.9682476943346509
