centroid_edge_spearman,model_a,model_b,period_start,stage
0.7758789086396449,scincl,minilm,2000,cls
0.7697607187177741,scincl,pubmedbert,2000,cls
0.8342684354954295,scincl,biobert,2000,cls
0.7992578609756525,scincl,simcse,2000,cls
0.9563759984618881,scibert,bert,2000,cls
0.8002765105832591,scibert,mpnet,2000,cls
0.8386405187632182,scibert,minilm,2000,cls
0.9700564557006275,scibert,pubmedbert,2000,cls
0.9652606924999565,scibert,biobert,2000,cls
0.9222806005628091,scibert,simcse,2000,cls
0.8206187404960413,bert,mpnet,2000,cls
0.8698690856973066,bert,minilm,2000,cls
0.9769692202821038,bert,pubmedbert,2000,cls
0.9684473808400189,bert,biobert,2000,cls
0.9530131263873597,bert,simcse,2000,cls
0.9595969447503192,mpnet,minilm,2000,cls
0.7880544631464877,mpnet,pubmedbert,2000,cls
0.8254253403946655,mpnet,biobert,2000,cls
0.8340604408089071,mpnet,simcse,2000,cls
0.8434362819638894,minilm,pubmedbert,2000,cls
0.8585010399734327,minilm,biobert,2000,cls
0.8915991120899097,minilm,simcse,2000,cls
0.9740391169839022,pubmedbert,biobert,2000,cls
0.9355880656494153,pubmedbert,simcse,2000,cls
0.9159365878384284,biobert,simcse,2000,cls
0.8914355129079056,specter,specter2,2005,cls
0.9203841784209884,specter,scincl,2005,cls
0.7196032370265499,specter,scibert,2005,cls
0.704234352332512,specter,bert,2005,cls
0.7108859874504047,specter,mpnet,2005,cls
0.6791991330641638,specter,minilm,2005,cls
0.6873514760631325,specter,pubmedbert,2005,cls
0.7455812490168319,specter,biobert,2005,cls
0.7467163057347107,specter,simcse,2005,cls
0.9544655934839984,specter2,scincl,2005,cls
0.8361117228601893,specter2,scibert,2005,cls
0.8350353940537991,specter2,bert,2005,cls
0.8422994773915021,specter2,mpnet,2005,cls
0.8281117927743696,specter2,minilm,2005,cls
0.8245713386817682,specter2,pubmedbert,2005,cls
0.8676112072431091,specter2,biobert,2005,cls
0.8541852376208205,specter2,simcse,2005,cls
0.8028892035027004,scincl,scibert,2005,cls
0.792860014332407,scincl,bert,2005,cls
0.7993802107912538,scincl,mpnet,2005,cls
0.7809050390645483,scincl,minilm,2005,cls
0.7837816580147869,scincl,pubmedbert,2005,cls
0.8387338541939771,scincl,biobert,2005,cls
0.8152905808120533,scincl,simcse,2005,cls
0.943769073462325,scibert,bert,2005,cls
0.7944033698634926,scibert,mpnet,2005,cls
0.8229975704822331,scibert,minilm,2005,cls
0.9678503137398844,scibert,pubmedbert,2005,cls
0.958049394368413,scibert,biobert,2005,cls
0.9180472969430026,scibert,simcse,2005,cls
0.8312995298271373,bert,mpnet,2005,cls
0.8718298288850437,bert,minilm,2005,cls
0.9667327355670914,bert,pubmedbert,2005,cls
0.9657763095799907,bert,biobert,2005,cls
0.9602135878209498,bert,simcse,2005,cls
0.9628867565063884,mpnet,minilm,2005,cls
0.7938688759547656,mpnet,pubmedbert,2005,cls
0.8354450911506126,mpnet,biobert,2005,cls
0.8378753080593572,mpnet,simcse,2005,cls
0.8386971492492966,minilm,pubmedbert,2005,cls
0.860345026479996,minilm,biobert,2005,cls
0.8861660811354065,minilm,simcse,2005,cls
0.9715365388985021,pubmedbert,biobert,2005,cls
0.9356859455018965,pubmedbert,simcse,2005,cls
0.9228542464125286,biobert,simcse,2005,cls
0.884893992624054,specter,specter2,2010,cls
0.9199433695139219,specter,scincl,2010,cls
0.6990855225211053,specter,scibert,2010,cls
0.6902696939506756,specter,bert,2010,cls
0.7098428678796779,specter,mpnet,2010,cls
0.677844545820006,specter,minilm,2010,cls
0.6810661912502404,specter,pubmedbert,2010,cls
0.7265663398178737,specter,biobert,2010,cls
0.7455113348364882,specter,simcse,2010,cls
0.9506982678761822,specter2,scincl,2010,cls
0.8064163739010366,specter2,scibert,2010,cls
0.8189271669026271,specter2,bert,2010,cls
0.8446506912764582,specter2,mpnet,2010,cls
0.8302819289322357,specter2,minilm,2010,cls
0.8079855976788493,specter2,pubmedbert,2010,cls
0.8456651460332443,specter2,biobert,2010,cls
0.8505486515302467,specter2,simcse,2010,cls
0.7811434464195202,scincl,scibert,2010,cls
0.7798923321622709,scincl,bert,2010,cls
0.797952563228637,scincl,mpnet,2010,cls
0.7808029643612466,scincl,minilm,2010,cls
0.7788247426284237,scincl,pubmedbert,2010,cls
0.8213898939052313,scincl,biobert,2010,cls
0.8149340184923007,scincl,simcse,2010,cls
0.9391778092391591,scibert,bert,2010,cls
0.7825843776764023,scibert,mpnet,2010,cls
0.8189152814919686,scibert,minilm,2010,cls
0.96270393092479,scibert,pubmedbert,2010,cls
0.9526936185831893,scibert,biobert,2010,cls
0.9106779927638825,scibert,simcse,2010,cls
0.8285847622043943,bert,mpnet,2010,cls
0.8725111425724924,bert,minilm,2010,cls
0.9610266897383463,bert,pubmedbert,2010,cls
0.965707793683254,bert,biobert,2010,cls
0.9561921241675844,bert,simcse,2010,cls
0.9605935713911176,mpnet,minilm,2010,cls
0.7807994686522295,mpnet,pubmedbert,2010,cls
0.830732875395452,mpnet,biobert,2010,cls
0.8295583171656793,mpnet,simcse,2010,cls
0.835578627235069,minilm,pubmedbert,2010,cls
0.8669022774544247,minilm,biobert,2010,cls
0.8767619247373849,minilm,simcse,2010,cls
0.969186373726251,pubmedbert,biobert,2010,cls
0.9325279219757747,pubmedbert,simcse,2010,cls
0.9214730917798404,biobert,simcse,2010,cls
0.8941293062765455,specter,specter2,2015,cls
0.9241385699054412,specter,scincl,2015,cls
0.6989184276300842,specter,scibert,2015,cls
0.7045150577665916,specter,bert,2015,cls
0.7200307622393514,specter,mpnet,2015,cls
0.7110642686102809,specter,minilm,2015,cls
