field_id,period_start,n,cka_native_extended,overlap_k10,overlap_k25,overlap_k50
19,2020,2166,0.9683779770811829,0.7278855032317636,0.7642105263157895,0.7870637119113574
20,2000,2166,0.9881146962264576,0.9053093259464451,0.9190766389658357,0.9273499538319482
20,2005,2166,0.9879582629267755,0.9058633425669438,0.922179132040628,0.9284118190212374
20,2010,2166,0.9836378776785125,0.8759926131117267,0.8955493998153277,0.9043028624192058
20,2015,2166,0.9792951009811437,0.8397045244690675,0.858134810710988,0.8724653739612187
20,2020,2845,0.9731089493546307,0.80091388400703,0.8246889279437609,0.8378980667838312
21,2000,2166,0.9898776954513715,0.8740997229916898,0.8935549399815328,0.9089289012003694
21,2005,2166,0.9928083500741786,0.8918282548476455,0.909584487534626,0.9233610341643582
21,2010,2166,0.9918052496949982,0.8626962142197598,0.8817913204062788,0.8997229916897507
21,2015,2166,0.9903799185582425,0.8187442289935365,0.8477562326869806,0.8693351800554017
21,2020,2166,0.9878450049553316,0.7740997229916898,0.8062603878116343,0.8340812557710066
22,2000,6990,0.9917365678945603,0.9198855507868384,0.9296652360515022,0.935865522174535
22,2005,11310,0.9911899136546536,0.9137577365163573,0.9233810786914236,0.9298921308576481
22,2010,15203,0.9899533929780339,0.8984739853976189,0.9107149904624088,0.91836084983227
22,2015,14738,0.9859979201535586,0.8579997285927536,0.874954539286199,0.8855027819242773
22,2020,18907,0.9820942857910567,0.816242661448141,0.8363590204686095,0.8499423493944043
23,2000,2166,0.976688412208742,0.7921975992613112,0.8159741458910434,0.8361957525392428
23,2005,2876,0.9783982010037561,0.7984353268428374,0.8181363004172462,0.8363977746870653
23,2010,4005,0.9771165145307191,0.7834207240948815,0.8067315855181024,0.8221323345817727
23,2015,4018,0.9720590051859949,0.7486560477849677,0.7739970134395222,0.7913489298158287
23,2020,5919,0.9701119056154672,0.7380469673931407,0.7623990538942388,0.7798276735935125
24,2000,2166,0.9648667766957332,0.7259926131117267,0.7470544783010157,0.7601846722068328
24,2005,2166,0.9645195605380522,0.718236380424746,0.7466297322253,0.7618467220683287
24,2010,2166,0.9655751767278777,0.7191597414589105,0.7455586334256694,0.7643213296398892
24,2015,2166,0.9628065009603448,0.7089566020313942,0.742123730378578,0.7598060941828255
24,2020,2166,0.9605438947828069,0.6984764542936288,0.7292890120036933,0.749741458910434
25,2000,2166,0.9847732576060797,0.8647737765466297,0.8784118190212372,0.8888365650969531
25,2005,2166,0.9845204636863304,0.8593721144967683,0.8781902123730377,0.8876823638042475
25,2010,2962,0.9846804420591674,0.8521269412559082,0.8699527346387577,0.8799594868332207
25,2015,3152,0.9793407498219688,0.8144670050761421,0.8350253807106599,0.8502157360406092
25,2020,3787,0.9756706253059714,0.7759440190124108,0.8019434908898865,0.8206601531555321
26,2000,2166,0.9921737773096319,0.9092797783933518,0.9221975992613112,0.9338873499538319
26,2005,2166,0.9935669518962799,0.9248845798707296,0.9364912280701755,0.9436842105263159
26,2010,2166,0.9936319962110025,0.925207756232687,0.9377839335180056,0.9445152354570637
26,2015,2166,0.9908209584579877,0.8919205909510619,0.9084025854108956,0.9202585410895661
26,2020,2166,0.9901897795380521,0.8613573407202217,0.882954755309326,0.9001385041551245
27,2000,7128,0.9616154518000112,0.7388888888888889,0.7616610549943884,0.7718125701459034
27,2005,10946,0.9615453825443762,0.7366892015348072,0.7562799196053351,0.7687082039101042
27,2010,15771,0.9595711943948249,0.7192568638640543,0.7406835330670217,0.7528818717899943
27,2015,18629,0.9554366078231938,0.6935637983788716,0.7169230769230769,0.7297761554565463
27,2020,26195,0.9537299395271642,0.6714029394922696,0.6962748616148119,0.7116739835846535
28,2000,2166,0.9701259238294634,0.7626038781163436,0.7857248384118191,0.8017728531855955
28,2005,2166,0.9710114490831366,0.7729916897506927,0.7969529085872575,0.8146075715604801
28,2010,2166,0.9704930238918961,0.7627885503231765,0.7923176361957525,0.8060018467220684
28,2015,2166,0.9698921326472997,0.7653277931671284,0.7883287165281624,0.8064727608494923
28,2020,2166,0.9682479642837312,0.7571560480147738,0.785152354570637,0.803702677746999
29,2000,2166,0.9754415905118844,0.7848568790397045,0.8169713758079409,0.8336842105263157
29,2005,2166,0.9765041751796576,0.7787626962142199,0.8120590951061866,0.8299815327793169
29,2010,2166,0.976272189313994,0.7751154201292706,0.8041920590951063,0.8244506001846722
29,2015,2166,0.972041132218453,0.7442289935364728,0.7769159741458909,0.7980147737765466
29,2020,2166,0.9716434793650416,0.7385041551246537,0.7719852262234533,0.7926962142197599
30,2000,2166,0.9674101302568536,0.7506001846722068,0.7789658356417358,0.8007940904893813
30,2005,2166,0.9716711835502463,0.7684672206832872,0.7941643582640812,0.8167497691597414
30,2010,2166,0.9702960064123399,0.7563250230840258,0.7792059095106186,0.7956048014773778
30,2015,2166,0.9647927238071367,0.7085872576177286,0.7388365650969528,0.7655401662049861
30,2020,2166,0.9613849538132356,0.701246537396122,0.7345152354570637,0.7566389658356418
31,2000,2166,0.9863651136309411,0.8715604801477379,0.8898799630655586,0.902511542012927
31,2005,2704,0.9835947246863999,0.8494452662721894,0.8699704142011835,0.885465976331361
31,2010,3094,0.98288829947542,0.8502585649644473,0.8691402714932126,0.8825856496444733
31,2015,3388,0.9815535687834639,0.8327626918536011,0.854167650531287,0.8678335301062574
31,2020,3470,0.9803231869798787,0.817521613832853,0.8408299711815563,0.858778097982709
32,2000,2166,0.9854824390551451,0.8777931671283473,0.8947553093259464,0.9028624192059095
32,2005,2166,0.9841147380419025,0.8815789473684211,0.8919852262234533,0.9008587257617728
32,2010,2166,0.9799792818838096,0.8487534626038782,0.8652262234533702,0.8734349030470915
32,2015,2577,0.9757457658332549,0.8159875824602252,0.8344586728754364,0.8471090415211486
32,2020,3970,0.9715928836874679,0.7769773299748112,0.7971083123425694,0.8115717884130984
33,2000,2776,0.9840025869108987,0.8772334293948126,0.8902593659942362,0.9010014409221901
33,2005,4893,0.9817708539767906,0.868301655426119,0.8793051297772329,0.8876599223380338
33,2010,7110,0.9801695385710749,0.8433895921237693,0.8595443037974685,0.8708663853727145
33,2015,8891,0.9752865530569839,0.7986278258913508,0.818585086042065,0.8311416038690811
33,2020,13879,0.973948513243204,0.7623748108653361,0.7839729087110022,0.7991670869659196
34,2000,2166,0.9693224063564329,0.7541551246537396,0.7815327793167128,0.802668513388735
34,2005,2166,0.9685486393701463,0.752770083102493,0.7823268698060942,0.8034533702677746
34,2010,2165,0.9692008875014657,0.7472979214780601,0.7767205542725173,0.7974226327944574
34,2015,2165,0.9662094951933513,0.7342263279445727,0.766133949191686,0.7880831408775981
34,2020,2165,0.963918782742876,0.7187066974595843,0.7566558891454964,0.7797136258660508
35,2000,2165,0.9742621694086163,0.7652655889145497,0.7917413394919168,0.8131270207852195
35,2005,2165,0.9755370314945953,0.7621247113163973,0.7953441108545035,0.8149191685912242
35,2010,2165,0.9743769649387658,0.7675288683602771,0.7928683602771363,0.8095334872979214
35,2015,2165,0.9696750803587615,0.7423556581986143,0.7691454965357967,0.7905034642032333
35,2020,2165,0.9675752191753516,0.7278060046189376,0.7584849884526559,0.7783556581986143
36,2000,2165,0.9718260188158826,0.8327482678983834,0.8492933025404156,0.8585496535796767
36,2005,2165,0.9730583101646267,0.8335334872979214,0.8462263279445728,0.8568775981524249
36,2010,2165,0.9678684884859803,0.8019861431870671,0.8240000000000001,0.8321847575057737
36,2015,2165,0.9627237313659399,0.7727944572748268,0.794715935334873,0.8058475750577366
36,2020,2833,0.9596412514612279,0.7467702082597955,0.7726791387222026,0.7876385457112602
