stage,field_id,period_start,cka_biased,cka_debiased,model_a,model_b,n,procrustes_angle_degrees,procrustes_similarity,rsa_spearman
quality,13,2020,0.5999967434712203,0.5978525217359063,scibert/mean,simcse/cls,6582,50.94261297753538,0.6300984588151096,
quality,13,2020,0.5387952681120624,0.5368910040074504,bert/mean,mpnet/mean,6582,54.72337596895966,0.5775246022630265,
quality,13,2020,0.5747559893302238,0.5731143173826984,bert/mean,minilm/mean,6582,55.411046480929706,0.5676850358969221,
quality,13,2020,0.6947850951592871,0.6937306223461053,bert/mean,pubmedbert/mean,6582,43.650399033917765,0.7235649719467224,
quality,13,2020,0.7494949856422025,0.7488398929416753,bert/mean,biobert/mean,6582,42.96976456024929,0.7317134957435086,
quality,13,2020,0.7647160226967665,0.7639236335405943,bert/mean,simcse/cls,6582,38.88003179918529,0.778461953197895,
quality,13,2020,0.8195440679870226,0.8175875702095668,mpnet/mean,minilm/mean,6582,43.80914309115659,0.7216497687470272,
quality,13,2020,0.5131384860679746,0.5099222031839985,mpnet/mean,pubmedbert/mean,6582,53.743390916247535,0.5914026680339578,
quality,13,2020,0.5873336686330027,0.5838425953011862,mpnet/mean,biobert/mean,6582,52.647736116415125,0.6067137605465274,
quality,13,2020,0.47528449707852166,0.4716919415311998,mpnet/mean,simcse/cls,6582,57.31961155564987,0.5399522512934797,
quality,13,2020,0.5040482842113809,0.5006888577342077,minilm/mean,pubmedbert/mean,6582,56.36782078148558,0.5538592582566082,
quality,13,2020,0.5766212351961318,0.5729062594732753,minilm/mean,biobert/mean,6582,55.24191087667471,0.5701127585381768,
quality,13,2020,0.5112600817937213,0.5078842278583856,minilm/mean,simcse/cls,6582,57.74238590773916,0.5337269008020799,
quality,13,2020,0.862067238636602,0.8613988488454369,pubmedbert/mean,biobert/mean,6582,35.17566871840226,0.8173896129565353,
quality,13,2020,0.593867459308644,0.5918851254156973,pubmedbert/mean,simcse/cls,6582,50.944742245583505,0.6300696009471779,
quality,13,2020,0.6341148060984866,0.6320585703540289,biobert/mean,simcse/cls,6582,50.80060077436769,0.632021176956817,
quality,14,2000,0.7234621937632731,0.7167935813462769,specter/cls,specter2/cls,1667,42.681199043754525,0.7351370859372186,
quality,14,2000,0.7724276063406508,0.7675862897786437,specter/cls,scincl/cls,1667,38.85355923242281,0.7787518847022586,
quality,14,2000,0.4866211391538707,0.4756938429213809,specter/cls,scibert/mean,1667,50.05184911498529,0.6420941240371674,
quality,14,2000,0.4987442270909016,0.4885218976252004,specter/cls,bert/mean,1667,50.69913632058563,0.6333925374611865,
quality,14,2000,0.7370411380804838,0.7306738772371767,specter/cls,mpnet/mean,1667,43.245410269461495,0.7284258547521139,
quality,14,2000,0.7080521276667799,0.7008578801328911,specter/cls,minilm/mean,1667,46.30885431060071,0.6907706777456052,
quality,14,2000,0.42187887879854585,0.41037156111527057,specter/cls,pubmedbert/mean,1667,52.379176354528084,0.6104330742775655,
quality,14,2000,0.475574708923411,0.4642503453889247,specter/cls,biobert/mean,1667,52.15892960859251,0.6134732899655507,
quality,14,2000,0.5436804281913296,0.5330811134036816,specter/cls,simcse/cls,1667,50.30017698402151,0.638765440872795,
quality,14,2000,0.7925879546745208,0.78719829819121,specter2/cls,scincl/cls,1667,36.292582145168105,0.8060049210664766,
quality,14,2000,0.5940508086328379,0.5834665204946241,specter2/cls,scibert/mean,1667,45.023420054946534,0.7068176872261445,
quality,14,2000,0.5515437926589227,0.5405404764302004,specter2/cls,bert/mean,1667,50.057441066111295,0.6420192998647972,
quality,14,2000,0.7636531836144919,0.754467817100048,specter2/cls,mpnet/mean,1667,43.27557874121353,0.7280650088383699,
quality,14,2000,0.7165339443083343,0.7049321250263766,specter2/cls,minilm/mean,1667,46.546561223069574,0.6877648754159054,
quality,14,2000,0.5009398477238821,0.4889129391413019,specter2/cls,pubmedbert/mean,1667,50.80336197634384,0.6319838297277433,
quality,14,2000,0.5505502288633808,0.5384383278637818,specter2/cls,biobert/mean,1667,50.67207596443287,0.6337579410774983,
quality,14,2000,0.5544944626323215,0.5409812674829821,specter2/cls,simcse/cls,1667,50.45597132350027,0.6366709837533349,
quality,14,2000,0.49129690560589706,0.4799579969704494,scincl/cls,scibert/mean,1667,48.64162754032444,0.6607667069076834,
quality,14,2000,0.49815301099052256,0.48765556793555864,scincl/cls,bert/mean,1667,51.08634614192485,0.6281484988783596,
quality,14,2000,0.7677419840735746,0.7614999301022616,scincl/cls,mpnet/mean,1667,42.14534338226173,0.7414450388779726,
quality,14,2000,0.734292977501733,0.7269733494463947,scincl/cls,minilm/mean,1667,45.447987480617975,0.7015564568298274,
quality,14,2000,0.4317931489820928,0.4200446514535252,scincl/cls,pubmedbert/mean,1667,52.74333126807368,0.6053866316737433,
quality,14,2000,0.4758675544625503,0.46401817140949764,scincl/cls,biobert/mean,1667,52.67351772733974,0.6063560056345335,
quality,14,2000,0.5433622681445014,0.5321960530713858,scincl/cls,simcse/cls,1667,50.715508273127234,0.6331713937682992,
quality,14,2000,0.7829898443883893,0.7785462400478144,scibert/mean,bert/mean,1667,37.505968908771884,0.7932899169794163,
quality,14,2000,0.5205805503785472,0.5066573114655444,scibert/mean,mpnet/mean,1667,50.599120667676736,0.6347423724584161,
quality,14,2000,0.48972195198428287,0.47406244858527335,scibert/mean,minilm/mean,1667,52.335388739371794,0.6110382243396142,
quality,14,2000,0.8323739321576735,0.8290053147385279,scibert/mean,pubmedbert/mean,1667,33.65663601219046,0.8323738146910228,
