model,field_id,period_start,cka_biased,cka_debiased,model_a,model_b,n,procrustes_angle_degrees,procrustes_similarity
scibert,12,2010,0.6559583831085244,0.6509049534233867,scibert/mean,scibert/sep,2186,41.745941880115076,0.7461045359596243
scibert,12,2010,0.8281884616394486,0.8259768530963898,scibert/cls,scibert/sep,2186,26.067518933609506,0.8982768336430391
scibert,12,2015,0.68759547010465,0.684331409929415,scibert/mean,scibert/cls,2732,41.88505740036394,0.7444856900194637
scibert,12,2015,0.6288811938912862,0.624452954203737,scibert/mean,scibert/sep,2732,43.19806812318315,0.728991708300197
scibert,12,2015,0.8165896534888644,0.8146933056876585,scibert/cls,scibert/sep,2732,26.89040144291759,0.8918733118598485
scibert,12,2020,0.6956943731922491,0.6937444911983223,scibert/mean,scibert/cls,3380,41.796961359276665,0.74551134770773
scibert,12,2020,0.650074872315595,0.6474488297079014,scibert/mean,scibert/sep,3380,43.06584232986796,0.7305694899379138
scibert,12,2020,0.823828853655302,0.8227030650120204,scibert/cls,scibert/sep,3380,27.671805187223516,0.8856222637423662
scibert,13,2000,0.6964321596335457,0.6928122418371477,scibert/mean,scibert/cls,2739,42.578075790615195,0.7363560395693663
scibert,13,2000,0.6484765677571945,0.6435717505479884,scibert/mean,scibert/sep,2739,42.52837807075244,0.7369426327978383
scibert,13,2000,0.8390074735074423,0.8372105214360775,scibert/cls,scibert/sep,2739,26.303125444889023,0.8964622598246091
scibert,13,2005,0.7188117960642461,0.7168558899934798,scibert/mean,scibert/cls,4071,42.86477727146956,0.7329612352528898
scibert,13,2005,0.6841655754271291,0.6814873353205407,scibert/mean,scibert/sep,4071,42.67991275732487,0.7351523049766254
scibert,13,2005,0.8527252217202667,0.8517150335393399,scibert/cls,scibert/sep,4071,26.235418810965136,0.8969852704300005
scibert,13,2010,0.7183223925963684,0.7168237339254185,scibert/mean,scibert/cls,5251,43.361367028952955,0.7270377900139365
scibert,13,2010,0.6824303308785604,0.6803568200374739,scibert/mean,scibert/sep,5251,43.32361718021297,0.7274900031903562
scibert,13,2010,0.8354097014127945,0.8345641634819596,scibert/cls,scibert/sep,5251,27.13602486042634,0.8899262037002263
scibert,13,2015,0.6952023324058539,0.6935817915955715,scibert/mean,scibert/cls,5596,43.85781118675535,0.7210614914302147
scibert,13,2015,0.6473163329374451,0.6451034555661542,scibert/mean,scibert/sep,5596,44.17697842428702,0.7171906723105518
scibert,13,2015,0.8024376574946589,0.8014372803471472,scibert/cls,scibert/sep,5596,28.190960116304794,0.8813779981394648
scibert,13,2020,0.7041802213626712,0.7029722641678428,scibert/mean,scibert/cls,6840,43.90852526266174,0.7204479297399378
scibert,13,2020,0.6736220351445423,0.672004244005137,scibert/mean,scibert/sep,6840,43.74671249061277,0.7224036384120192
scibert,13,2020,0.8118412198489042,0.8111196010874732,scibert/cls,scibert/sep,6840,28.054780059415638,0.8824983311767688
scibert,14,2000,0.7844978844757327,0.7822999344409177,scibert/mean,scibert/cls,2166,41.067030841182344,0.753941534634228
scibert,14,2000,0.7354524492404461,0.7322807561751934,scibert/mean,scibert/sep,2166,41.711554149483334,0.7465040181148355
scibert,14,2000,0.9102536198787116,0.9093522794977243,scibert/cls,scibert/sep,2166,23.79808336927753,0.9149731665401013
scibert,14,2005,0.8181918856894257,0.8167370121286289,scibert/mean,scibert/cls,2166,40.67827273050813,0.7583815654753931
scibert,14,2005,0.7831226061252705,0.7810103121089763,scibert/mean,scibert/sep,2166,41.21041940038074,0.7522951119042353
scibert,14,2005,0.9066235555331953,0.9057949561394978,scibert/cls,scibert/sep,2166,23.880239649672934,0.9143936273753912
scibert,14,2010,0.7676680033089806,0.7655592464643239,scibert/mean,scibert/cls,2186,41.42082481891882,0.7498706585833969
scibert,14,2010,0.7496185497752058,0.7465103360554655,scibert/mean,scibert/sep,2186,41.651557451449584,0.7472003556259992
scibert,14,2010,0.8751704668938983,0.873975677986304,scibert/cls,scibert/sep,2186,24.712728524152507,0.9084153239930486
scibert,14,2015,0.7045711082719901,0.7017281214640548,scibert/mean,scibert/cls,2660,42.57256166279421,0.7364211513775162
scibert,14,2015,0.6727181133028471,0.668981003735719,scibert/mean,scibert/sep,2660,43.459502770498794,0.7258607256730307
scibert,14,2015,0.8256506398650061,0.8239117572311084,scibert/cls,scibert/sep,2660,26.073345231414585,0.8982321442052589
scibert,14,2020,0.6994034754880826,0.6975207940502918,scibert/mean,scibert/cls,4040,43.680071426728084,0.7232074043536054
scibert,14,2020,0.6693255887160586,0.6668736270930996,scibert/mean,scibert/sep,4040,44.45139009221566,0.7138448458689179
scibert,14,2020,0.8188467821986719,0.8177367935727022,scibert/cls,scibert/sep,4040,27.210739305484278,0.8893306809513628
scibert,15,2000,0.7025447633131866,0.6981690226061054,scibert/mean,scibert/cls,2166,41.74577895105852,0.7461064293397307
scibert,15,2000,0.6849483188344196,0.6801339923079962,scibert/mean,scibert/sep,2166,41.66975922108169,0.7469891876252566
scibert,15,2000,0.8700417059083551,0.8682123134933203,scibert/cls,scibert/sep,2166,24.041019008817003,0.9132540339750622
scibert,15,2005,0.7114334693949121,0.7074767819164147,scibert/mean,scibert/cls,2166,41.30907839934156,0.7511595481559848
scibert,15,2005,0.7072876814552075,0.7031060218596544,scibert/mean,scibert/sep,2166,41.216389830052464,0.7522264557134695
scibert,15,2005,0.8685903583172206,0.8668620530695224,scibert/cls,scibert/sep,2166,24.215948104160937,0.9120059800227754
scibert,15,2010,0.7287716726988304,0.7253003455786735,scibert/mean,scibert/cls,2166,40.915243742589574,0.7556792463342437
scibert,15,2010,0.7327714058908718,0.7291430049251779,scibert/mean,scibert/sep,2166,40.76195186780891,0.7574288025806979
scibert,15,2010,0.8634191394503163,0.8616808645362082,scibert/cls,scibert/sep,2166,24.67056064491276,0.908722763409399
scibert,15,2015,0.7204861136376929,0.7168237668123704,scibert/mean,scibert/cls,2166,41.462167627904456,0.7493930851445729
