cosine_distance,field_a,field_b,model,period_start,stage
0.1237745703141866,13,25,specter,2000,mean
0.12072214192025243,13,26,specter,2000,mean
0.05170779187093377,13,27,specter,2000,mean
0.06932792614058791,13,28,specter,2000,mean
0.06573048516010949,13,29,specter,2000,mean
0.05997760840685151,13,30,specter,2000,mean
0.12067846857047726,13,31,specter,2000,mean
0.1326813383945331,13,32,specter,2000,mean
0.16371391410187264,13,33,specter,2000,mean
0.10309975420167239,13,34,specter,2000,mean
0.19371004323084284,13,35,specter,2000,mean
0.1369421511997544,13,36,specter,2000,mean
0.182891833500211,14,15,specter,2000,mean
0.20164746673145895,14,16,specter,2000,mean
0.1098904255911679,14,17,specter,2000,mean
0.0331240158921412,14,18,specter,2000,mean
0.21756388715628439,14,19,specter,2000,mean
0.04211680150314401,14,20,specter,2000,mean
0.14954651926338436,14,21,specter,2000,mean
0.14633658895013546,14,22,specter,2000,mean
0.16389235623824372,14,23,specter,2000,mean
0.23800785820884018,14,24,specter,2000,mean
0.20813443368669915,14,25,specter,2000,mean
0.15873046482963615,14,26,specter,2000,mean
0.1763684652559735,14,27,specter,2000,mean
0.18731903860920562,14,28,specter,2000,mean
0.16521558784668489,14,29,specter,2000,mean
0.17697295278861136,14,30,specter,2000,mean
0.20298362387182967,14,31,specter,2000,mean
0.10480336955509939,14,32,specter,2000,mean
0.07596228752261225,14,33,specter,2000,mean
0.20504881362512495,14,34,specter,2000,mean
0.28280895667874373,14,35,specter,2000,mean
0.08898393054977471,14,36,specter,2000,mean
0.05720882370809388,15,16,specter,2000,mean
0.1269357292001635,15,17,specter,2000,mean
0.13252680472702216,15,18,specter,2000,mean
0.14214231602526395,15,19,specter,2000,mean
0.19691514142554645,15,20,specter,2000,mean
0.04905955856062638,15,21,specter,2000,mean
0.05136307579473687,15,22,specter,2000,mean
0.11650126591660726,15,23,specter,2000,mean
0.2060638512755143,15,24,specter,2000,mean
0.044488518536820454,15,25,specter,2000,mean
0.13737689251065244,15,26,specter,2000,mean
0.14321703163242527,15,27,specter,2000,mean
0.1510793222398341,15,28,specter,2000,mean
0.13304428031633386,15,29,specter,2000,mean
0.10880441462806623,15,30,specter,2000,mean
0.09718626856667989,15,31,specter,2000,mean
0.1907786582233698,15,32,specter,2000,mean
0.21759131712043778,15,33,specter,2000,mean
0.16696722466354064,15,34,specter,2000,mean
0.23182487882767988,15,35,specter,2000,mean
0.18787988197276484,15,36,specter,2000,mean
0.1434215418211907,16,17,specter,2000,mean
0.16024366763234021,16,18,specter,2000,mean
0.18161234009838112,16,19,specter,2000,mean
0.21148217685677095,16,20,specter,2000,mean
0.10074456448437008,16,21,specter,2000,mean
0.120290615185213,16,22,specter,2000,mean
0.15220598674036134,16,23,specter,2000,mean
0.18661868469066845,16,24,specter,2000,mean
0.06280555409744237,16,25,specter,2000,mean
0.15068874764335471,16,26,specter,2000,mean
0.14492122260118012,16,27,specter,2000,mean
0.15499018317775426,16,28,specter,2000,mean
0.1327133144570879,16,29,specter,2000,mean
0.07548259500133825,16,30,specter,2000,mean
0.12125192736454149,16,31,specter,2000,mean
0.190592263095136,16,32,specter,2000,mean
0.2084539627210037,16,33,specter,2000,mean
0.1951132177828344,16,34,specter,2000,mean
0.2343986585815485,16,35,specter,2000,mean
0.19656310585051184,16,36,specter,2000,mean
0.04783909390270058,17,18,specter,2000,mean
0.15528404208243396,17,19,specter,2000,mean
0.13737631871770284,17,20,specter,2000,mean
0.11684303193696333,17,21,specter,2000,mean
0.06340586480015553,17,22,specter,2000,mean
0.1399021574461401,17,23,specter,2000,mean
0.19726803463788556,17,24,specter,2000,mean
0.13635843324001862,17,25,specter,2000,mean
0.06860454572446095,17,26,specter,2000,mean
0.13878935005805781,17,27,specter,2000,mean
0.1126828400856138,17,28,specter,2000,mean
0.15545727623275396,17,29,specter,2000,mean
0.1555052525944799,17,30,specter,2000,mean
0.10109352477771305,17,31,specter,2000,mean
0.11202531096461121,17,32,specter,2000,mean
0.13451981089370613,17,33,specter,2000,mean
0.19155426600886538,17,34,specter,2000,mean
0.23742305014254195,17,35,specter,2000,mean
0.12912505773391303,17,36,specter,2000,mean
0.16066577659696435,18,19,specter,2000,mean
0.06274241553379456,18,20,specter,2000,mean
0.11355913941890017,18,21,specter,2000,mean
0.08598961158835883,18,22,specter,2000,mean
0.12389944340899617,18,23,specter,2000,mean
0.19760481095293247,18,24,specter,2000,mean
0.15961887249025308,18,25,specter,2000,mean
0.08470449963105631,18,26,specter,2000,mean
0.13250176856288043,18,27,specter,2000,mean
0.13361120576475838,18,28,specter,2000,mean
0.13490816667330785,18,29,specter,2000,mean
0.14553296776089064,18,30,specter,2000,mean
0.13616941290347007,18,31,specter,2000,mean
0.07960413707473757,18,32,specter,2000,mean
0.08554138977242054,18,33,specter,2000,mean
0.16714493684967646,18,34,specter,2000,mean
0.2445070199492727,18,35,specter,2000,mean
0.07503558729636739,18,36,specter,2000,mean
0.18636736855342984,19,20,specter,2000,mean
0.12339047326858532,19,21,specter,2000,mean
0.11777531593813939,19,22,specter,2000,mean
0.04469273812676933,19,23,specter,2000,mean
0.24166944284649117,19,24,specter,2000,mean
0.16072923195408018,19,25,specter,2000,mean
0.15808511115907464,19,26,specter,2000,mean
0.18752578397786346,19,27,specter,2000,mean
0.16781973957348295,19,28,specter,2000,mean
0.18340035706078062,19,29,specter,2000,mean
0.20313806366740317,19,30,specter,2000,mean
0.1319934754497768,19,31,specter,2000,mean
0.20655684209909397,19,32,specter,2000,mean
0.18512759889974462,19,33,specter,2000,mean
0.19923319221392832,19,34,specter,2000,mean
0.26713109872347607,19,35,specter,2000,mean
0.21372126602493768,19,36,specter,2000,mean
0.15076560381230975,20,21,specter,2000,mean
0.16992107131043077,20,22,specter,2000,mean
0.14777038122155395,20,23,specter,2000,mean
0.23459863636134137,20,24,specter,2000,mean
0.23009756227520484,20,25,specter,2000,mean
0.14759857311498292,20,26,specter,2000,mean
0.18223308987353026,20,27,specter,2000,mean
0.1897426909856441,20,28,specter,2000,mean
0.1764516910523778,20,29,specter,2000,mean
0.18540778383753165,20,30,specter,2000,mean
0.19959111093279247,20,31,specter,2000,mean
0.12967504506891714,20,32,specter,2000,mean
0.06724922017737722,20,33,specter,2000,mean
0.21183599118962382,20,34,specter,2000,mean
0.307548509053052,20,35,specter,2000,mean
0.11507950991578264,20,36,specter,2000,mean
0.05833088472573733,21,22,specter,2000,mean
0.08199819888374116,21,23,specter,2000,mean
0.21561282962526296,21,24,specter,2000,mean
0.0832390216706882,21,25,specter,2000,mean
0.14965668002350896,21,26,specter,2000,mean
0.1607023917397108,21,27,specter,2000,mean
0.15758923336253117,21,28,specter,2000,mean
0.12854292908540144,21,29,specter,2000,mean
0.13182560292310108,21,30,specter,2000,mean
0.11804510147232583,21,31,specter,2000,mean
0.18483828110742984,21,32,specter,2000,mean
0.17701873320020778,21,33,specter,2000,mean
0.17747332734845656,21,34,specter,2000,mean
0.25586187981089326,21,35,specter,2000,mean
0.1775769489863105,21,36,specter,2000,mean
0.11053189395135277,22,23,specter,2000,mean
0.20397985586318723,22,24,specter,2000,mean
0.061479114848894234,22,25,specter,2000,mean
0.09764989965150939,22,26,specter,2000,mean
