model_a,model_b,cells,cka_debiased_mean,cka_debiased_median,cka_debiased_min,cka_debiased_max,cka_debiased_q05,cka_debiased_q95,procrustes_similarity_mean,procrustes_similarity_median,procrustes_similarity_min,procrustes_similarity_max,procrustes_similarity_q05,procrustes_similarity_q95,rsa_spearman_mean,rsa_spearman_median,rsa_spearman_min,rsa_spearman_max,rsa_spearman_q05,rsa_spearman_q95
specter2,scibert,130,0.5836856772439027,0.5811982185376681,0.4416866019027386,0.789889822546462,0.47877683850712877,0.6989581059079494,0.6897270089596801,0.6935638986022028,0.6312841152764485,0.7323550384871983,0.6519862746556772,0.7164664526617657,0.3892804430784506,0.3876667654291671,0.21547963414670004,0.661310441113775,0.26815279181839047,0.5125578841074221
specter2,bert,130,0.5316922109257339,0.5254253926088218,0.40784377645953485,0.7644986537401025,0.4458543623498303,0.6249191662830492,0.5890377653472454,0.5936160396642618,0.5127298697797669,0.6533079579971945,0.5405486766473415,0.6203739149678369,0.3237131576112575,0.3163232155413086,0.1524732717286827,0.6205063201097653,0.17971705956015294,0.4918820545683781
specter2,mpnet,130,0.7583846650982788,0.7586786813563708,0.6063848746943188,0.8899372979151698,0.6949602869693897,0.8312694736402005,0.6918492247191093,0.6916699042401732,0.6301589245110477,0.7446121714874178,0.6440955399127855,0.7298811579679465,0.6655493758887149,0.6643782825656999,0.539861012416151,0.8435656230329094,0.576404336124783,0.7416641504116622
specter2,minilm,130,0.7098317009580409,0.7088811742564387,0.5798222179581795,0.8590492462713276,0.6386794234262021,0.7849491764545665,0.645964809377415,0.6461920337574866,0.5934127568137764,0.6952665820685818,0.5997388982844034,0.6820501177803245,0.60597902091982,0.6044885688727227,0.4444468658591165,0.8053076170742707,0.49970410527635956,0.6920711459801293
specter2,pubmedbert,130,0.509092040931116,0.5112213070683242,0.3677759021161114,0.7496626955938344,0.3971714652347936,0.6201045128272076,0.6140726189158331,0.6185595822434005,0.5567269697655931,0.671555154796935,0.5736169697334473,0.6508064747569727,0.32358409330877225,0.318619439934049,0.1457188847562973,0.6210325952415813,0.19596361805778748,0.4655370105976424
specter2,biobert,130,0.5383637470256756,0.5354147344864197,0.370708716727853,0.7739255949766554,0.42548672724330955,0.6368127824316016,0.6078453190782795,0.6127966757079177,0.5497400191027152,0.6635848426478879,0.5650998049618063,0.6524157453737865,0.3214905983337701,0.3183591693083971,0.1328004038135007,0.6123218032748042,0.1839842715763361,0.45777006749594995
specter2,simcse,130,0.5057961182082769,0.5061847771602532,0.37766535675584956,0.7070442840926379,0.39700944558718715,0.6330786955549594,0.5726759202174537,0.5745769153042273,0.49031148856442575,0.6258576067867536,0.5104754513918504,0.6150271530004989,0.2823562929824604,0.2799972170604923,0.0789519964546894,0.5226687854821709,0.13263902775497205,0.4471564533956406
scincl,scibert,130,0.5602180956643431,0.5579930953223942,0.4062767727646806,0.7697875458115389,0.4306992926806563,0.680954534145887,0.6766716672969126,0.6832409931764885,0.6242531450106091,0.7241277555631158,0.6342052495570899,0.7099773744213944,0.40571750624067776,0.4126288781665714,0.23510262020975578,0.6379631501404116,0.2824807406375283,0.5066700256410751
scincl,bert,130,0.5462974888671848,0.540355059583548,0.41068367426330565,0.7547314238299211,0.44447647210834595,0.6517353179509717,0.6103756876031633,0.6087423019808611,0.5391979440340945,0.6798175758987218,0.5718050171458098,0.6618620245183219,0.3908442634558689,0.41059981592599865,0.16442238286505642,0.6264928909352321,0.22149988842692447,0.5249510314867784
scincl,mpnet,130,0.7863542221845135,0.7876868863704065,0.6268776177113681,0.8936070444245835,0.7031423687308658,0.860485975934374,0.7228088051068504,0.72364718192907,0.6435998835846876,0.7690291421324895,0.668745804271574,0.7629082275353127,0.7284489966255137,0.734435390663338,0.6026638862466575,0.8576758803651855,0.6251895872854999,0.8078662836239919
scincl,minilm,130,0.7416343520446511,0.7408438380495366,0.6179756161465655,0.8645153154152094,0.6769059138941214,0.8194927597792766,0.6736688855991717,0.6763671967092898,0.6144359500098064,0.719373139801133,0.6310038081958754,0.7085894848066338,0.6819446351990996,0.6903515887051246,0.5565823886094515,0.8159144105322838,0.5813055736910916,0.7643968250367432
scincl,pubmedbert,130,0.501856091003702,0.5036426560900136,0.3465819501472123,0.7346908985608847,0.36987453731208836,0.6175584764072568,0.6206331353543677,0.6299320769928844,0.5661136706345086,0.6817346070801301,0.5753792810304058,0.6582164286963555,0.36205127019479905,0.38003244146158,0.16110169801425417,0.6037851286189688,0.2238783566363709,0.4729562990630401
scincl,biobert,130,0.5311143469365684,0.5376943863325461,0.38517317624839587,0.7586549470750591,0.40674853599164773,0.6467756507551533,0.6139386811269676,0.6233952932655296,0.5530724042124847,0.6721330791347648,0.561127967919884,0.659632327130073,0.35361681447503324,0.3762802048809498,0.1515593569628984,0.5981863771274638,0.20823707559451715,0.4545701575073489
scincl,simcse,130,0.5266915121577813,0.5228150983798519,0.40637322128044306,0.7043093462067318,0.4437583269754337,0.6363316500144618,0.5913210575375817,0.5919034839563102,0.5085361513304058,0.6496896090747853,0.5463956388352457,0.6279080941001686,0.35258798113825673,0.3560991872797489,0.1845277866638189,0.539436259939592,0.21838308488185695,0.4848818345759055
scibert,bert,130,0.7433250855159813,0.7433915653946632,0.6573969422538182,0.8351266514312113,0.6745861404723215,0.8138302829935875,0.7591788226453045,0.762200824745392,0.7088395426302191,0.7907200637918644,0.7185129921871939,0.7873862005622037,0.7359708875956121,0.7397015432712577,0.6503417495923578,0.8089397224308512,0.6744973254048953,0.7888263716961904
scibert,mpnet,130,0.5504238783561752,0.5454535927454058,0.39499189381285393,0.7734663547771624,0.43301005553745464,0.6680458958583808,0.611786817799097,0.6167476346100025,0.5439251257718287,0.6685228875971709,0.5605369538827637,0.6421276962084645,0.45528838542319044,0.45651177539003046,0.29132957131732307,0.6870318934110803,0.3643093141308587,0.5417513755832511
scibert,minilm,130,0.5380323685299649,0.5300297136370531,0.396132140411149,0.7487331791836478,0.4386399884229845,0.641604860597375,0.5858894268874105,0.5905254962219304,0.5181857880657467,0.6373317048832018,0.5426874364401119,0.6170617079153565,0.4574994414060879,0.4607580762523954,0.33289532762073903,0.670422762069556,0.3836703055440469,0.5319784836505991
scibert,pubmedbert,130,0.8423717818255374,0.845573299297868,0.7778952552105984,0.9119154950734932,0.7908950055790748,0.9008441338049837,0.8297739515094664,0.8320359853975186,0.7903193439422067,0.8529783458836818,0.7963547894763287,0.8488740443510562,0.8480253203726686,0.8516695033716737,0.7710136292205371,0.8950355197330895,0.8051548252788338,0.8771374271355011
