field_a,field_b,median_rank_change,models_closer_in_rank,models_farther_in_rank,minimum_change,maximum_change
31,33,1.5,4,6,-23.0,12.0
31,34,3.0,1,8,-16.0,56.0
31,35,11.0,0,9,0.0,52.0
31,36,-1.0,6,4,-31.0,28.0
32,33,-2.5,8,0,-22.0,0.0
32,34,-8.0,5,5,-32.0,13.0
32,35,-20.0,10,0,-50.0,-9.0
32,36,-5.5,10,0,-17.0,-2.0
33,34,-23.5,10,0,-54.0,-2.0
33,35,-27.5,10,0,-50.0,-4.0
33,36,-10.5,8,2,-15.0,10.0
34,35,4.0,2,7,-6.0,17.0
34,36,-29.0,8,2,-55.0,4.0
35,36,-46.0,10,0,-77.0,-14.0
