stage,cka_biased,cka_debiased,model_a,model_b,n,procrustes_angle_degrees,procrustes_similarity,rsa_spearman
global_base_raw,0.5467206951829225,0.5466653090721898,specter2/cls,simcse/cls,400000,57.850738725505494,0.5321267142504402,
global_base_raw,0.516897002313551,0.5168447457553229,scincl/cls,scibert/mean,400000,48.81505119276037,0.6584917833618187,
global_base_raw,0.601301910455573,0.6012761469386116,scincl/cls,bert/mean,400000,54.75702023686004,0.5770451256799474,
global_base_raw,0.7084626790372229,0.7084194967716785,scincl/cls,mpnet/mean,400000,49.889676107478735,0.6442614473676541,
global_base_raw,0.6349866895910867,0.6349309822680395,scincl/cls,minilm/mean,400000,53.15326807625751,0.5996764964674507,
global_base_raw,0.5251070474729278,0.5250681994107557,scincl/cls,pubmedbert/mean,400000,53.480550895723574,0.5950956224160846,
global_base_raw,0.5495184359672449,0.5494876844289709,scincl/cls,biobert/mean,400000,54.63171114633776,0.5788299398227801,
global_base_raw,0.5628139840771442,0.5627660373887661,scincl/cls,simcse/cls,400000,56.29444724058028,0.554925052789491,
global_base_raw,0.6985487084255808,0.6985248573270312,scibert/mean,bert/mean,400000,44.18869192243866,0.7170481884124874,
global_base_raw,0.48126940848532496,0.48118938576911374,scibert/mean,mpnet/mean,400000,57.61620432662377,0.5355879816975705,
global_base_raw,0.44342016401863815,0.44333381248893317,scibert/mean,minilm/mean,400000,59.134039760874394,0.5130313800315562,
global_base_raw,0.7965046860791841,0.7964866303632988,scibert/mean,pubmedbert/mean,400000,36.79003538933741,0.8008355381862622,
global_base_raw,0.7979497731684283,0.797937203244782,scibert/mean,biobert/mean,400000,39.29124121649573,0.7739370253715196,
global_base_raw,0.6022834606237978,0.6022447715358125,scibert/mean,simcse/cls,400000,51.346346814778585,0.6246111581674532,
global_base_raw,0.5671412615291834,0.5671101687606217,bert/mean,mpnet/mean,400000,57.40512468908443,0.5386954316368393,
global_base_raw,0.525456557395488,0.5254217502739212,bert/mean,minilm/mean,400000,58.256357949247004,0.5261195592510082,
global_base_raw,0.7522205652355537,0.7522042764435112,bert/mean,pubmedbert/mean,400000,42.41319767881787,0.7383000002363533,
global_base_raw,0.7742857254186004,0.7742796567713968,bert/mean,biobert/mean,400000,42.43654226983974,0.7380251319164006,
global_base_raw,0.8007407150716327,0.8007308133929966,bert/mean,simcse/cls,400000,38.272775997170314,0.7850707690020217,
global_base_raw,0.7376961039487637,0.7376191644188371,mpnet/mean,minilm/mean,400000,47.59345132676804,0.6743867856039543,
global_base_raw,0.4869299117498379,0.4868744617135428,mpnet/mean,pubmedbert/mean,400000,58.19199166155076,0.527074581442958,
global_base_raw,0.516169741830661,0.5161119307349717,mpnet/mean,biobert/mean,400000,58.264879323427444,0.5259930752332067,
global_base_raw,0.5419063539138192,0.5418390707577742,mpnet/mean,simcse/cls,400000,58.21617228698232,0.5267158840897782,
global_base_raw,0.4421855966096841,0.44212574911779823,minilm/mean,pubmedbert/mean,400000,59.849780433517516,0.5022688468582535,
global_base_raw,0.46960450821452954,0.46954142226512735,minilm/mean,biobert/mean,400000,59.7807466099288,0.5033103448497245,
global_base_raw,0.5221535436806416,0.5220870948770839,minilm/mean,simcse/cls,400000,58.684333777716745,0.5197527247077718,
global_base_raw,0.8483006496587785,0.8482969982836437,pubmedbert/mean,biobert/mean,400000,36.446698066438096,0.8044098729008671,
global_base_raw,0.6453260901396319,0.6453003545586005,pubmedbert/mean,simcse/cls,400000,50.42380044827708,0.6371038665006452,
global_base_raw,0.6526904471137149,0.6526744063207881,biobert/mean,simcse/cls,400000,50.73757822695631,0.6328732026664043,
