stage,field_id,period_start,n_before,n_after,model_a,model_b,cka_before,cka_after,delta_cka,delta_procrustes
sep,30,2015,2166,2166,mpnet,simcse,0.5525498120574719,0.5525498120574719,0.0,0.0
sep,30,2015,2166,2166,minilm,pubmedbert,0.544750100950031,0.6958676696790241,0.15111756872899318,0.04607707726054089
sep,30,2015,2166,2166,minilm,biobert,0.5769906070228624,0.6661540545694153,0.08916344754655292,0.029661274234102364
sep,30,2015,2166,2166,minilm,simcse,0.5776227789116306,0.5776227789116306,0.0,0.0
sep,30,2015,2166,2166,pubmedbert,biobert,0.8630524362596439,0.863088112884862,3.567662521808401e-05,-0.046813139838791096
sep,30,2015,2166,2166,pubmedbert,simcse,0.6411124711343865,0.6755321782229176,0.03441970708853104,-0.003720066436756153
sep,30,2015,2166,2166,biobert,simcse,0.6356169535292628,0.672116119474964,0.03649916594570113,0.012275078546913565
sep,30,2020,2166,2166,specter,specter2,0.7916841977936718,0.7916841977936718,0.0,0.0
sep,30,2020,2166,2166,specter,scincl,0.8448668721755986,0.8448668721755986,0.0,0.0
sep,30,2020,2166,2166,specter,scibert,0.6454525223384902,0.5039517846674642,-0.141500737671026,-0.09669557353525415
sep,30,2020,2166,2166,specter,bert,0.5944750908668904,0.26609783030426193,-0.3283772605626285,-0.1262824007686716
sep,30,2020,2166,2166,specter,mpnet,0.8219168936311929,0.8219168936311929,0.0,0.0
sep,30,2020,2166,2166,specter,minilm,0.7633195291202988,0.7633195291202988,0.0,0.0
sep,30,2020,2166,2166,specter,pubmedbert,0.6157177971874376,0.7785445435228138,0.1628267463353762,0.05182864450618274
sep,30,2020,2166,2166,specter,biobert,0.6607439610814871,0.7415912421593549,0.08084728107786776,0.04244629941833833
sep,30,2020,2166,2166,specter,simcse,0.5469073115703984,0.5469073115703984,0.0,0.0
sep,30,2020,2166,2166,specter2,scincl,0.8381802022188692,0.8381802022188692,0.0,0.0
sep,30,2020,2166,2166,specter2,scibert,0.6031847299959244,0.4533146231314351,-0.14987010686448932,-0.13241229742466265
sep,30,2020,2166,2166,specter2,bert,0.4996667191221229,0.22012117118356922,-0.2795455479385537,-0.11578903889614273
sep,30,2020,2166,2166,specter2,mpnet,0.8016956115958823,0.8016956115958823,0.0,0.0
sep,30,2020,2166,2166,specter2,minilm,0.735890239828838,0.735890239828838,0.0,0.0
sep,30,2020,2166,2166,specter2,pubmedbert,0.5588943533380265,0.7144731673199037,0.15557881398187723,0.049589973134655296
sep,30,2020,2166,2166,specter2,biobert,0.5945563214390568,0.6630770361747075,0.06852071473565069,0.023916402407174187
sep,30,2020,2166,2166,specter2,simcse,0.46793568944087266,0.46793568944087266,0.0,0.0
sep,30,2020,2166,2166,scincl,scibert,0.6126307977468165,0.46219094165645397,-0.15043985609036253,-0.11560859710362459
sep,30,2020,2166,2166,scincl,bert,0.522171172893674,0.23719379070161553,-0.2849773821920585,-0.11943979312767405
sep,30,2020,2166,2166,scincl,mpnet,0.8339598782420298,0.8339598782420298,0.0,0.0
sep,30,2020,2166,2166,scincl,minilm,0.7587926622882988,0.7587926622882988,0.0,0.0
sep,30,2020,2166,2166,scincl,pubmedbert,0.5680772916547046,0.7413718163238512,0.17329452466914663,0.05555835470319559
sep,30,2020,2166,2166,scincl,biobert,0.612142873870112,0.6978815027621034,0.08573862889199135,0.03801859948101716
sep,30,2020,2166,2166,scincl,simcse,0.4909293126271068,0.4909293126271068,0.0,0.0
sep,30,2020,2166,2166,scibert,bert,0.7311094083937866,0.30108819328265246,-0.4300212151111341,-0.20863687807808284
sep,30,2020,2166,2166,scibert,mpnet,0.5978939606345243,0.45537971662516724,-0.14251424400935703,-0.09152188188892019
sep,30,2020,2166,2166,scibert,minilm,0.575042318789778,0.43203689190855654,-0.14300542688122142,-0.09359174102340445
sep,30,2020,2166,2166,scibert,pubmedbert,0.8790280032127279,0.6507283388191762,-0.22829966439355165,-0.16382748364135669
sep,30,2020,2166,2166,scibert,biobert,0.8601432542512828,0.6633846364337936,-0.19675861781748916,-0.13845777169945706
sep,30,2020,2166,2166,scibert,simcse,0.6418835660612228,0.5290760923193651,-0.11280747374185762,-0.07871595649506624
sep,30,2020,2166,2166,bert,mpnet,0.5619176137507124,0.23237973813130525,-0.3295378756194071,-0.12622010627588137
sep,30,2020,2166,2166,bert,minilm,0.5684548370179906,0.23086817081480313,-0.33758666620318745,-0.12872337706665576
sep,30,2020,2166,2166,bert,pubmedbert,0.7385725659191659,0.34093834638691595,-0.3976342195322499,-0.18750017135062536
sep,30,2020,2166,2166,bert,biobert,0.758068244657097,0.3574537462302176,-0.4006144984268794,-0.15440839689658292
sep,30,2020,2166,2166,bert,simcse,0.7571267268574093,0.30713184765051554,-0.4499948792068938,-0.17842791091177657
sep,30,2020,2166,2166,mpnet,minilm,0.8437378792963478,0.8437378792963478,0.0,0.0
sep,30,2020,2166,2166,mpnet,pubmedbert,0.5721205033134581,0.7392340340538217,0.16711353074036361,0.050172256845906205
sep,30,2020,2166,2166,mpnet,biobert,0.612603485084031,0.6974666219774085,0.08486313689337754,0.03423465708656237
sep,30,2020,2166,2166,mpnet,simcse,0.5270373858653349,0.5270373858653349,0.0,0.0
sep,30,2020,2166,2166,minilm,pubmedbert,0.5498644350439967,0.6963977208018038,0.1465332857578071,0.042883141381210965
sep,30,2020,2166,2166,minilm,biobert,0.5883146513445274,0.6642709467806448,0.07595629543611737,0.024542450595046006
sep,30,2020,2166,2166,minilm,simcse,0.5482685808501166,0.5482685808501166,0.0,0.0
sep,30,2020,2166,2166,pubmedbert,biobert,0.8709032832781867,0.8701366400164918,-0.0007666432616948438,-0.04886183453591186
sep,30,2020,2166,2166,pubmedbert,simcse,0.6367200263160819,0.6655556362587225,0.02883560994264056,-0.007609779421253182
sep,30,2020,2166,2166,biobert,simcse,0.6334450163775885,0.6599944622472556,0.02654944586966701,0.010392839723875835
sep,31,2000,2166,2166,specter,specter2,0.7205501936355234,0.7205501936355234,0.0,0.0
sep,31,2000,2166,2166,specter,scincl,0.7989382140331388,0.7989382140331388,0.0,0.0
sep,31,2000,2166,2166,specter,scibert,0.7004640283964598,0.5782128911226319,-0.12225113727382797,-0.08340234893126197
sep,31,2000,2166,2166,specter,bert,0.6147483766963165,0.10293501150837649,-0.5118133651879401,-0.23135234784147757
sep,31,2000,2166,2166,specter,mpnet,0.7795134949210452,0.7795134949210452,0.0,0.0
sep,31,2000,2166,2166,specter,minilm,0.7193782597274588,0.7193782597274588,0.0,0.0
sep,31,2000,2166,2166,specter,pubmedbert,0.6115206963109462,0.6794699508058707,0.0679492544949245,0.029450966631131226
sep,31,2000,2166,2166,specter,biobert,0.6028096409900114,0.6587351110706176,0.05592547008060611,0.0317924452167021
sep,31,2000,2166,2166,specter,simcse,0.5282271261110579,0.5282271261110579,0.0,0.0
sep,31,2000,2166,2166,specter2,scincl,0.7480603630324297,0.7480603630324297,0.0,0.0
sep,31,2000,2166,2166,specter2,scibert,0.6732567068156354,0.5746968161640283,-0.09855989065160708,-0.09938582092444448
sep,31,2000,2166,2166,specter2,bert,0.5928260973741195,0.11069337970815978,-0.4821327176659597,-0.21063463545311673
sep,31,2000,2166,2166,specter2,mpnet,0.7209385075847671,0.7209385075847671,0.0,0.0
sep,31,2000,2166,2166,specter2,minilm,0.6586670505811536,0.6586670505811536,0.0,0.0
sep,31,2000,2166,2166,specter2,pubmedbert,0.5660759140755255,0.6180736431695256,0.051997729094000134,0.022192324771588945
sep,31,2000,2166,2166,specter2,biobert,0.5677116822300761,0.6191361058707051,0.05142442364062905,0.018555064847973757
sep,31,2000,2166,2166,specter2,simcse,0.49405059905158305,0.49405059905158305,0.0,0.0
sep,31,2000,2166,2166,scincl,scibert,0.6817818402773592,0.5504298766025971,-0.1313519636747621,-0.10977461261924137
sep,31,2000,2166,2166,scincl,bert,0.5905770435870475,0.096288187525188,-0.49428885606185957,-0.23159996037370834
sep,31,2000,2166,2166,scincl,mpnet,0.7888637414972388,0.7888637414972388,0.0,0.0
sep,31,2000,2166,2166,scincl,minilm,0.7357694558031805,0.7357694558031805,0.0,0.0
