field_id,period_start,model_a,model_b,k,queries,mean_overlap
11,2005,bert,simcse,25,100,0.1948
11,2005,bert,simcse,50,100,0.2236
11,2005,mpnet,minilm,10,100,0.42300000000000004
11,2005,mpnet,minilm,25,100,0.43439999999999995
11,2005,mpnet,minilm,50,100,0.4368
11,2005,mpnet,pubmedbert,10,100,0.097
11,2005,mpnet,pubmedbert,25,100,0.11359999999999999
11,2005,mpnet,pubmedbert,50,100,0.1264
11,2005,mpnet,biobert,10,100,0.097
11,2005,mpnet,biobert,25,100,0.12240000000000001
11,2005,mpnet,biobert,50,100,0.1346
11,2005,mpnet,simcse,10,100,0.08499999999999999
11,2005,mpnet,simcse,25,100,0.0992
11,2005,mpnet,simcse,50,100,0.11359999999999999
11,2005,minilm,pubmedbert,10,100,0.088
11,2005,minilm,pubmedbert,25,100,0.10279999999999999
11,2005,minilm,pubmedbert,50,100,0.1164
11,2005,minilm,biobert,10,100,0.091
11,2005,minilm,biobert,25,100,0.10800000000000001
11,2005,minilm,biobert,50,100,0.1258
11,2005,minilm,simcse,10,100,0.089
11,2005,minilm,simcse,25,100,0.1048
11,2005,minilm,simcse,50,100,0.11960000000000001
11,2005,pubmedbert,biobert,10,100,0.38
11,2005,pubmedbert,biobert,25,100,0.3992
11,2005,pubmedbert,biobert,50,100,0.4236
11,2005,pubmedbert,simcse,10,100,0.087
11,2005,pubmedbert,simcse,25,100,0.1244
11,2005,pubmedbert,simcse,50,100,0.1434
11,2005,biobert,simcse,10,100,0.10400000000000001
11,2005,biobert,simcse,25,100,0.1292
11,2005,biobert,simcse,50,100,0.1522
11,2010,specter,specter2,10,100,0.21400000000000002
11,2010,specter,specter2,25,100,0.23399999999999999
11,2010,specter,specter2,50,100,0.2492
11,2010,specter,scincl,10,100,0.31
11,2010,specter,scincl,25,100,0.34759999999999996
11,2010,specter,scincl,50,100,0.3724
11,2010,specter,scibert,10,100,0.093
11,2010,specter,scibert,25,100,0.12560000000000002
11,2010,specter,scibert,50,100,0.1458
11,2010,specter,bert,10,100,0.08299999999999999
11,2010,specter,bert,25,100,0.1072
11,2010,specter,bert,50,100,0.1292
11,2010,specter,mpnet,10,100,0.251
11,2010,specter,mpnet,25,100,0.282
11,2010,specter,mpnet,50,100,0.308
11,2010,specter,minilm,10,100,0.217
11,2010,specter,minilm,25,100,0.24359999999999998
11,2010,specter,minilm,50,100,0.273
11,2010,specter,pubmedbert,10,100,0.095
11,2010,specter,pubmedbert,25,100,0.1216
11,2010,specter,pubmedbert,50,100,0.14
11,2010,specter,biobert,10,100,0.076
11,2010,specter,biobert,25,100,0.114
11,2010,specter,biobert,50,100,0.136
11,2010,specter,simcse,10,100,0.091
11,2010,specter,simcse,25,100,0.1072
11,2010,specter,simcse,50,100,0.1286
11,2010,specter2,scincl,10,100,0.259
11,2010,specter2,scincl,25,100,0.278
11,2010,specter2,scincl,50,100,0.302
11,2010,specter2,scibert,10,100,0.078
11,2010,specter2,scibert,25,100,0.1036
11,2010,specter2,scibert,50,100,0.12240000000000001
11,2010,specter2,bert,10,100,0.061
11,2010,specter2,bert,25,100,0.0812
11,2010,specter2,bert,50,100,0.0986
11,2010,specter2,mpnet,10,100,0.273
11,2010,specter2,mpnet,25,100,0.278
11,2010,specter2,mpnet,50,100,0.2998
11,2010,specter2,minilm,10,100,0.26
11,2010,specter2,minilm,25,100,0.254
11,2010,specter2,minilm,50,100,0.2562
11,2010,specter2,pubmedbert,10,100,0.076
11,2010,specter2,pubmedbert,25,100,0.09359999999999999
11,2010,specter2,pubmedbert,50,100,0.1042
11,2010,specter2,biobert,10,100,0.05600000000000001
11,2010,specter2,biobert,25,100,0.0864
11,2010,specter2,biobert,50,100,0.10220000000000001
11,2010,specter2,simcse,10,100,0.072
11,2010,specter2,simcse,25,100,0.0808
11,2010,specter2,simcse,50,100,0.095
11,2010,scincl,scibert,10,100,0.101
11,2010,scincl,scibert,25,100,0.1076
11,2010,scincl,scibert,50,100,0.129
11,2010,scincl,bert,10,100,0.06899999999999999
11,2010,scincl,bert,25,100,0.08800000000000001
11,2010,scincl,bert,50,100,0.1042
11,2010,scincl,mpnet,10,100,0.309
11,2010,scincl,mpnet,25,100,0.3464
11,2010,scincl,mpnet,50,100,0.3712
11,2010,scincl,minilm,10,100,0.274
