field_id,period_start,comparison,spearman_across_45_pairs
25,2000,rsa_spearman,0.8603425559947298
25,2005,procrustes_similarity,0.9472990777338602
25,2005,rsa_spearman,0.8503293807641633
25,2010,procrustes_similarity,0.9559947299077733
25,2010,rsa_spearman,0.8586297760210803
25,2015,procrustes_similarity,0.9472990777338602
25,2015,rsa_spearman,0.840052700922266
25,2020,procrustes_similarity,0.930171277997365
25,2020,rsa_spearman,0.8499341238471673
26,2000,procrustes_similarity,0.9494071146245058
26,2000,rsa_spearman,0.9117259552042161
26,2005,procrustes_similarity,0.9492753623188405
26,2005,rsa_spearman,0.9168642951251645
26,2010,procrustes_similarity,0.9491436100131752
26,2010,rsa_spearman,0.9083003952569169
26,2015,procrustes_similarity,0.9403162055335967
26,2015,rsa_spearman,0.9415019762845848
26,2020,procrustes_similarity,0.9309617918313569
26,2020,rsa_spearman,0.9131752305665348
27,2000,procrustes_similarity,0.8084321475625823
27,2000,rsa_spearman,0.8963109354413702
27,2005,procrustes_similarity,0.7930171277997365
27,2005,rsa_spearman,0.8797101449275362
27,2010,procrustes_similarity,0.810935441370224
27,2010,rsa_spearman,0.8964426877470356
27,2015,procrustes_similarity,0.8126482213438735
27,2015,rsa_spearman,0.897760210803689
27,2020,procrustes_similarity,0.8134387351778656
27,2020,rsa_spearman,0.921080368906456
28,2000,procrustes_similarity,0.866403162055336
28,2000,rsa_spearman,0.8831357048748352
28,2005,procrustes_similarity,0.872859025032938
28,2005,rsa_spearman,0.8768115942028983
28,2010,procrustes_similarity,0.8673254281949934
28,2010,rsa_spearman,0.8866930171277996
28,2015,procrustes_similarity,0.8805006587615284
28,2015,rsa_spearman,0.8877470355731225
28,2020,procrustes_similarity,0.8760210803689065
28,2020,rsa_spearman,0.9179183135704875
29,2000,procrustes_similarity,0.820026350461133
29,2000,rsa_spearman,0.8944664031620553
29,2005,procrustes_similarity,0.8363636363636363
29,2005,rsa_spearman,0.8936758893280631
29,2010,procrustes_similarity,0.8152832674571805
29,2010,rsa_spearman,0.9076416337285901
29,2015,procrustes_similarity,0.8262187088274044
29,2015,rsa_spearman,0.8952569169960474
29,2020,procrustes_similarity,0.8471673254281951
29,2020,rsa_spearman,0.9495388669301712
30,2000,procrustes_similarity,0.884584980237154
30,2000,rsa_spearman,0.8675889328063239
30,2005,procrustes_similarity,0.8739130434782607
30,2005,rsa_spearman,0.8731225296442687
30,2010,procrustes_similarity,0.8790513833992095
30,2010,rsa_spearman,0.8691699604743083
30,2015,procrustes_similarity,0.9036890645586297
30,2015,rsa_spearman,0.8598155467720684
30,2020,procrustes_similarity,0.9173913043478259
30,2020,rsa_spearman,0.8876152832674571
31,2000,procrustes_similarity,0.9271409749670619
31,2000,rsa_spearman,0.8808959156785243
31,2005,procrustes_similarity,0.9167325428194993
31,2005,rsa_spearman,0.8629776021080369
31,2010,procrustes_similarity,0.925296442687747
31,2010,rsa_spearman,0.8658761528326745
31,2015,procrustes_similarity,0.9312252964426877
31,2015,rsa_spearman,0.8595520421607378
31,2020,procrustes_similarity,0.9267457180500658
31,2020,rsa_spearman,0.8434782608695651
32,2000,procrustes_similarity,0.8832674571805006
32,2000,rsa_spearman,0.8584980237154148
32,2005,procrustes_similarity,0.8906455862977601
32,2005,rsa_spearman,0.8462450592885373
32,2010,procrustes_similarity,0.9167325428194993
32,2010,rsa_spearman,0.8573122529644268
32,2015,procrustes_similarity,0.8719367588932805
32,2015,rsa_spearman,0.8936758893280631
32,2020,procrustes_similarity,0.8407114624505928
32,2020,rsa_spearman,0.9310935441370223
33,2000,procrustes_similarity,0.9218708827404478
33,2000,rsa_spearman,0.8368906455862978
33,2005,procrustes_similarity,0.8895915678524374
33,2005,rsa_spearman,0.8412384716732542
33,2010,procrustes_similarity,0.9179183135704875
33,2010,rsa_spearman,0.844532279314888
33,2015,procrustes_similarity,0.9281949934123847
33,2015,rsa_spearman,0.875889328063241
33,2020,procrustes_similarity,0.8964426877470356
33,2020,rsa_spearman,0.9127799736495388
34,2000,procrustes_similarity,0.8353096179183135
34,2000,rsa_spearman,0.8932806324110671
34,2005,procrustes_similarity,0.8636363636363635
