field_id,period_start,cka_biased,cka_debiased,model_a,model_b,n,procrustes_angle_degrees,procrustes_similarity
11,2000,0.020349919482620847,0.00021842539709272547,mpnet/mean,pubmedbert/mean,2166,76.33805794167377,0.23619275558644873
11,2000,0.02285693824489802,-0.0004180444156940238,mpnet/mean,biobert/mean,2166,75.98960309295808,0.2420979617303956
11,2000,0.023244361308429808,-0.00011374352765442838,mpnet/mean,simcse/cls,2166,76.0976760224296,0.2402674155694295
11,2000,0.02141350272341583,-0.0008976890524262015,minilm/mean,pubmedbert/mean,2166,77.05065698159662,0.22408949564064518
11,2000,0.025075128700614235,-0.0006150340227571974,minilm/mean,biobert/mean,2166,76.62569506693447,0.23131162571021383
11,2000,0.025279074556694873,-0.0005972579607085707,minilm/mean,simcse/cls,2166,76.74834405029289,0.2292285232146472
11,2000,0.016711207616267553,-0.00045420930637973036,pubmedbert/mean,biobert/mean,2166,77.06065813888272,0.22391937823950608
11,2000,0.018451806196780232,0.0011396938929799732,pubmedbert/mean,simcse/cls,2166,77.03143889833161,0.22441637167731543
11,2000,0.020833837788519088,0.0009018369843619548,biobert/mean,simcse/cls,2166,76.67941850346205,0.2303993026699043
11,2005,0.017337963376586583,0.0007145962746499124,specter/cls,specter2/cls,2528,78.50170524069627,0.19933876974645423
11,2005,0.012234066972747959,0.0004950635335311857,specter/cls,scincl/cls,2528,79.61537263835326,0.18025524342846116
11,2005,0.012888024919413476,-0.00037786941849451646,specter/cls,scibert/mean,2528,78.72825969812502,0.19546245698098422
11,2005,0.011368830610765277,3.053954113174383e-06,specter/cls,bert/mean,2528,79.24237305756799,0.18665481349325241
11,2005,0.016551280321308835,0.00044084575114864766,specter/cls,mpnet/mean,2528,78.0554206045124,0.2069654588948785
11,2005,0.017548420084891082,-8.517073898182463e-06,specter/cls,minilm/mean,2528,78.58728055197487,0.19787495202871272
11,2005,0.01157764565557052,-0.00038010269035758127,specter/cls,pubmedbert/mean,2528,79.07364138390639,0.18954716780340825
11,2005,0.013794071835357325,0.0003277523784505881,specter/cls,biobert/mean,2528,78.7519950990617,0.19505616992699543
11,2005,0.013486158660695627,-4.554347689023159e-05,specter/cls,simcse/cls,2528,78.88623295324314,0.19275774625603115
11,2005,0.018168269983553944,0.0007730224652326507,specter2/cls,scincl/cls,2528,78.50703135645892,0.199247676241836
11,2005,0.01944273383443764,-0.00022640586295056344,specter2/cls,scibert/mean,2528,77.47673291795316,0.21683605738223496
11,2005,0.01706438654422795,0.00019489136825904776,specter2/cls,bert/mean,2528,78.10513350855388,0.20611651346507837
11,2005,0.02411638794462788,0.00020011988634097445,specter2/cls,mpnet/mean,2528,76.80686818266354,0.22823416322954898
11,2005,0.025583729138748824,-0.00046174375934695264,specter2/cls,minilm/mean,2528,77.4261425137449,0.21769793429514717
11,2005,0.01804402713649456,0.00029664359245251155,specter2/cls,pubmedbert/mean,2528,77.88543407800051,0.2098671314060437
11,2005,0.020937669838504647,0.0009001273502805239,specter2/cls,biobert/mean,2528,77.55236631693907,0.21554722362670922
11,2005,0.020791546153258345,0.0007105054902321581,specter2/cls,simcse/cls,2528,77.56566095753486,0.21532063693068762
11,2005,0.013843182162982904,-9.168259445563426e-05,scincl/cls,scibert/mean,2528,78.78527301892588,0.19448648393113535
11,2005,0.011518248780336816,-0.00044362407690359384,scincl/cls,bert/mean,2528,79.3936911743829,0.18405958029139294
11,2005,0.016711326522952912,-0.0001608924695094239,scincl/cls,mpnet/mean,2528,78.18538591528782,0.20474571891632348
11,2005,0.018555783545223598,0.00017664812122051895,scincl/cls,minilm/mean,2528,78.57357152358497,0.19810948307007362
11,2005,0.01341580689949362,0.0009343844087680666,scincl/cls,pubmedbert/mean,2528,79.00823237104349,0.19066795127015582
11,2005,0.014144975522023916,2.658023345553493e-05,scincl/cls,biobert/mean,2528,78.84855521380867,0.1934029727451667
11,2005,0.014928038820931825,0.0007100533091771216,scincl/cls,simcse/cls,2528,78.87247507188458,0.19299335789834277
11,2005,0.014029880670536794,0.0004920801999991213,scibert/mean,bert/mean,2528,78.1826270573996,0.20479284976000567
11,2005,0.01944792380072771,0.00035676661447628345,scibert/mean,mpnet/mean,2528,76.93175667528828,0.2261114381497665
11,2005,0.020244264800162406,-0.0005576550059411403,scibert/mean,minilm/mean,2528,77.63626404259722,0.21411712199739058
11,2005,0.014709968934749197,0.0005363923398927407,scibert/mean,pubmedbert/mean,2528,77.99961705463268,0.20791822841667795
11,2005,0.01612482205243248,0.00010027663373425865,scibert/mean,biobert/mean,2528,77.7244096125073,0.2126141180781573
11,2005,0.015564255192185232,-0.0004432791154432761,scibert/mean,simcse/cls,2528,77.89086382474557,0.2097744739737394
11,2005,0.016727803585377756,0.00035573646412275157,bert/mean,mpnet/mean,2528,77.59536485497901,0.21481433782755588
11,2005,0.018495480392949206,0.0006528710209357202,bert/mean,minilm/mean,2528,78.13223060798067,0.20565371191636153
11,2005,0.01190678187656342,-0.0003563586314600924,bert/mean,pubmedbert/mean,2528,78.6709292139588,0.19644366417936962
11,2005,0.013812258584125539,0.0001354843065207325,bert/mean,biobert/mean,2528,78.31396981849352,0.20254853588298902
11,2005,0.014030439638184542,0.00027984636199031293,bert/mean,simcse/cls,2528,78.39621375275193,0.20114265346947222
11,2005,0.025079043467672806,-0.00015732028055204548,mpnet/mean,minilm/mean,2528,76.92268589509199,0.22626565016584585
11,2005,0.01672635639150605,-0.0004342213803145107,mpnet/mean,pubmedbert/mean,2528,77.43161014940118,0.21760479379212713
11,2005,0.019337335971282434,-0.00010857554833632505,mpnet/mean,biobert/mean,2528,77.0981405826719,0.22328174977410914
11,2005,0.01930587196146638,-0.0001693154522002127,mpnet/mean,simcse/cls,2528,77.2048906489601,0.22146526008515569
11,2005,0.019610197549180964,0.0009504554712397352,minilm/mean,pubmedbert/mean,2528,77.90586988439402,0.20951838907549963
11,2005,0.02133641200372072,0.00019414652362815147,minilm/mean,biobert/mean,2528,77.73836011202161,0.21237619654618317
11,2005,0.02167787444032221,0.0004694645152387589,minilm/mean,simcse/cls,2528,77.75018808535718,0.21217446419019162
11,2005,0.014770666304635367,0.00032866175435096977,pubmedbert/mean,biobert/mean,2528,78.03558286045346,0.20730418386197993
11,2005,0.013950041346349324,-0.0005059450546383955,pubmedbert/mean,simcse/cls,2528,78.25915020753952,0.20348539375935978
11,2005,0.01622546326387234,-6.524510921194557e-05,biobert/mean,simcse/cls,2528,77.854530952644,0.2103944505192477
11,2010,0.010247911425630302,-0.00014948348865879827,specter/cls,specter2/cls,3940,80.95645479038204,0.15718507011934169
11,2010,0.0075441846065597545,-1.779038076537933e-05,specter/cls,scincl/cls,3940,81.72981555497184,0.14384125244190354
11,2010,0.00855330154989503,0.00019008433470001098,specter/cls,scibert/mean,3940,81.01327121268625,0.15620568619357234
11,2010,0.0069425143760171336,-0.0002900418324345644,specter/cls,bert/mean,3940,81.50491512144339,0.14772456780825802
11,2010,0.010587966479437745,0.00030852301838850307,specter/cls,mpnet/mean,3940,80.49447397605911,0.16514272968832758
11,2010,0.011526501113700146,0.0003406730140055941,specter/cls,minilm/mean,3940,80.85723917960456,0.15889494695532988
11,2010,0.00850380317964443,0.0010104043453882973,specter/cls,pubmedbert/mean,3940,81.14943624783243,0.1538578920546697
11,2010,0.008665197001328631,0.0002721937408882133,specter/cls,biobert/mean,3940,81.08401045685278,0.15498609040291067
11,2010,0.00820749075103494,-0.0004122327539500858,specter/cls,simcse/cls,3940,81.18063391737796,0.15331985061419495
11,2010,0.01193548492326921,0.0009359170261428641,specter2/cls,scincl/cls,3940,80.8041345284456,0.15980995440293938
11,2010,0.012454313148120504,0.0002770912114943243,specter2/cls,scibert/mean,3940,80.11578575878286,0.17165768287294558
11,2010,0.010748236106842283,0.00021694333667082806,specter2/cls,bert/mean,3940,80.55600530648317,0.1640834556782091
11,2010,0.014775087843732658,-0.00019483928895086428,specter2/cls,mpnet/mean,3940,79.57970387085186,0.18086754864818155
11,2010,0.015813803679105724,-0.00047941200995004423,specter2/cls,minilm/mean,3940,80.0540441495901,0.17271918226591834
