field_id,period_start,k,mean_chance_adjusted_overlap,mean_overlap,median_overlap,model_a,model_b,q05_overlap,q95_overlap,queries
27,2010,50,0.16601344416903313,0.16865766279880798,0.16,specter2,scibert,0.04,0.34,15771
27,2010,10,0.09132031113458584,0.09189651892714476,0.1,specter2,bert,0.0,0.3,15771
27,2010,25,0.10264439079337305,0.10406695834125929,0.08,specter2,bert,0.0,0.28,15771
27,2010,50,0.11275855142374085,0.11557161879398899,0.1,specter2,bert,0.02,0.28,15771
27,2010,10,0.37117566152228904,0.3715744087248748,0.4,specter2,mpnet,0.1,0.7,15771
27,2010,25,0.3867800728991165,0.3877522034113246,0.4,specter2,mpnet,0.16,0.64,15771
27,2010,50,0.39828624719929945,0.4001940270116036,0.4,specter2,mpnet,0.2,0.6,15771
27,2010,10,0.3266289939093376,0.3270559888402765,0.3,specter2,minilm,0.1,0.6,15771
27,2010,25,0.3404267086489287,0.34147232261746246,0.32,specter2,minilm,0.12,0.56,15771
27,2010,50,0.35015189489259685,0.35221228837740154,0.36,specter2,minilm,0.14,0.56,15771
27,2010,10,0.12407204140350134,0.12462748081922517,0.1,specter2,pubmedbert,0.0,0.4,15771
27,2010,25,0.13769583595828183,0.13906283685245072,0.12,specter2,pubmedbert,0.0,0.32,15771
27,2010,50,0.14710751834098823,0.1498116796652083,0.14,specter2,pubmedbert,0.02,0.32,15771
27,2010,10,0.13795440983209237,0.13850104622408219,0.1,specter2,biobert,0.0,0.4,15771
27,2010,25,0.15492942082556269,0.15626910151543977,0.12,specter2,biobert,0.0,0.36,15771
27,2010,50,0.16709225616702672,0.1697330543402448,0.16,specter2,biobert,0.04,0.36,15771
27,2010,10,0.0840618881536406,0.08464269862405682,0.1,specter2,simcse,0.0,0.3,15771
27,2010,25,0.09445691378463983,0.09589246084585633,0.08,specter2,simcse,0.0,0.28,15771
27,2010,50,0.10418784808590767,0.10702808953141843,0.08,specter2,simcse,0.02,0.26,15771
27,2010,10,0.13876654107471564,0.13931266248177035,0.1,scincl,scibert,0.0,0.4,15771
27,2010,25,0.1562580123476128,0.15759558683659886,0.12,scincl,scibert,0.0,0.36,15771
27,2010,50,0.1713477115128857,0.17397501743706806,0.16,scincl,scibert,0.04,0.38,15771
27,2010,10,0.09927665940216043,0.09984782195168349,0.1,scincl,bert,0.0,0.3,15771
27,2010,25,0.11283872688895061,0.11424513347282989,0.08,scincl,bert,0.0,0.32,15771
27,2010,50,0.12553255056507717,0.12830511698687466,0.1,scincl,bert,0.02,0.3,15771
27,2010,10,0.48090220613108875,0.4812313740409613,0.5,scincl,mpnet,0.2,0.8,15771
27,2010,25,0.5048138711410589,0.5055988840276457,0.52,scincl,mpnet,0.24,0.76,15771
27,2010,50,0.5202034526282094,0.5217246845475872,0.52,scincl,mpnet,0.28,0.74,15771
27,2010,10,0.4232345431295055,0.4236002789930886,0.4,scincl,minilm,0.1,0.7,15771
27,2010,25,0.44555310053611674,0.44643205884217874,0.44,scincl,minilm,0.16,0.72,15771
27,2010,50,0.45940196463280186,0.4611159723543212,0.46,scincl,minilm,0.22,0.7,15771
27,2010,10,0.1283928334052703,0.12894553294020672,0.1,scincl,pubmedbert,0.0,0.4,15771
27,2010,25,0.1435182676380884,0.14487603829814216,0.12,scincl,pubmedbert,0.0,0.36,15771
27,2010,50,0.15609168146578822,0.1587673578086361,0.14,scincl,pubmedbert,0.02,0.36,15771
27,2010,10,0.14706550721027192,0.14760636611502126,0.1,scincl,biobert,0.0,0.4,15771
27,2010,25,0.16585791170101116,0.16718026757973498,0.16,scincl,biobert,0.0,0.4,15771
27,2010,50,0.18111172340510323,0.1837080717773128,0.16,scincl,biobert,0.04,0.4,15771
27,2010,10,0.09228471698520095,0.09286031323314946,0.1,scincl,simcse,0.0,0.3,15771
27,2010,25,0.1052304446546484,0.10664891256102975,0.08,scincl,simcse,0.0,0.28,15771
27,2010,50,0.11780403300869652,0.1206011032908503,0.1,scincl,simcse,0.02,0.3,15771
27,2010,10,0.2646786075579833,0.2651448861835014,0.2,scibert,bert,0.0,0.6,15771
27,2010,25,0.2930622938714447,0.29418299410310067,0.28,scibert,bert,0.08,0.56,15771
27,2010,50,0.31583600475830687,0.31800519941665084,0.3,scibert,bert,0.14,0.54,15771
27,2010,10,0.12950316908854426,0.13005516454251476,0.1,scibert,mpnet,0.0,0.4,15771
27,2010,25,0.14878944815100226,0.15013886246908884,0.12,scibert,mpnet,0.0,0.36,15771
27,2010,50,0.16412043443670485,0.166770654999683,0.14,scibert,mpnet,0.02,0.38,15771
27,2010,10,0.1296935123485341,0.13024538710291042,0.1,scibert,minilm,0.0,0.4,15771
27,2010,25,0.1484058586293396,0.14975588104749224,0.12,scibert,minilm,0.0,0.36,15771
27,2010,50,0.16317011301866102,0.16582334664891257,0.14,scibert,minilm,0.04,0.36,15771
27,2010,10,0.45846708055362173,0.45881047492232574,0.5,scibert,pubmedbert,0.2,0.7,15771
27,2010,25,0.48927214469382657,0.49008179570097016,0.48,scibert,pubmedbert,0.28,0.72,15771
27,2010,50,0.5122586637986462,0.5138050852831146,0.52,scibert,pubmedbert,0.32,0.7,15771
27,2010,10,0.4459424940462913,0.4462938304482912,0.4,scibert,biobert,0.2,0.7,15771
27,2010,25,0.47997454436743386,0.48079893475366187,0.48,scibert,biobert,0.24,0.72,15771
27,2010,50,0.5027147397314908,0.5042914209625262,0.5,scibert,biobert,0.3,0.7,15771
27,2010,10,0.15164009022536065,0.15217804831653034,0.1,scibert,simcse,0.0,0.4,15771
27,2010,25,0.17674321700117304,0.1780483165303405,0.16,scibert,simcse,0.04,0.4,15771
27,2010,50,0.19603952999054697,0.1985885486018642,0.18,scibert,simcse,0.06,0.4,15771
27,2010,10,0.10448571995054859,0.10505357935451146,0.1,bert,mpnet,0.0,0.3,15771
27,2010,25,0.12025140387048444,0.12164605922262381,0.08,bert,mpnet,0.0,0.32,15771
27,2010,50,0.13462357714250864,0.13736731976412403,0.12,bert,mpnet,0.02,0.32,15771
27,2010,10,0.10882554627831655,0.10939065373153256,0.1,bert,minilm,0.0,0.3,15771
