field_id,period_start,n,cka_debiased_median,procrustes_similarity_median,rsa_spearman_median
25,2000,2166,0.576182062743626,0.6447789061048147,0.5141969303309923
25,2005,2166,0.5983398710026926,0.6555920362925849,0.5385392510663461
25,2010,2962,0.5964084674011184,0.6486147168012707,0.5346167277585424
25,2015,3152,0.5902410450847749,0.6471221698555525,0.5217739615899354
25,2020,3787,0.5935701299381809,0.6506101017867961,0.48544740509561707
26,2000,2166,0.6206619723192033,0.6316558095189628,0.535761826411405
26,2005,2166,0.6319732180457285,0.6353069524582267,0.5305325292468323
26,2010,2166,0.6457601416288932,0.643260247181213,0.5207192546037979
26,2015,2166,0.6471241182390167,0.6421105716415172,0.5138366245505855
26,2020,2166,0.7070442840926379,0.6610584915584601,0.5412381666195959
27,2000,7128,0.48276670900582935,0.6123650673630925,0.40616055575840393
27,2005,10946,0.4677128757218501,0.6004576235784453,0.38719456877598885
27,2010,15771,0.4682984597834372,0.6005725086419835,0.3900532348051365
27,2015,18629,0.47129325837403463,0.603667846948628,0.40392816633631784
27,2020,26195,0.47419379434297587,0.6072655550119802,0.4286206831730521
28,2000,2166,0.6266250914667619,0.6687696444103399,0.5568039187650133
28,2005,2166,0.5957794406772643,0.6620575025692051,0.522772003543928
28,2010,2166,0.6288822767668047,0.6702031585791952,0.5097808989744498
28,2015,2166,0.6221991403135205,0.6716125056055703,0.5276367590120923
28,2020,2166,0.6172590451388773,0.6702631224258685,0.5320846443882133
29,2000,2166,0.6218746653186342,0.6684832619429294,0.582717351817163
29,2005,2166,0.611182006095048,0.6659517263197184,0.5713560306258894
29,2010,2166,0.6093889434774391,0.6782774198106903,0.5482074358630177
29,2015,2166,0.6012272248366569,0.6806922052791003,0.527774133813936
29,2020,2166,0.6308959998307397,0.6790522306637606,0.5093504812033753
30,2000,2166,0.6133124946917166,0.6606956202046426,0.5330473764666174
30,2005,2166,0.5796445037944064,0.6576256904070406,0.5262262454580725
30,2010,2166,0.5863399528486422,0.6614261723898626,0.5374581343421454
30,2015,2166,0.6069115588457886,0.6625390613540844,0.5583074076412718
30,2020,2166,0.6157177971874376,0.6710998325048917,0.5505898528644705
31,2000,2166,0.6364650718316406,0.6481018937458606,0.48681437144153683
31,2005,2704,0.6325351137062487,0.6459881083138315,0.4837774331074429
31,2010,3094,0.6301753607840113,0.640967699222606,0.470780090777453
31,2015,3388,0.6458101423147942,0.6455102468224875,0.5015799284624507
