field_id,model_a,model_b,delta_common_native_n2000,median_delta_n1000,absolute_median_error,central95_width_delta_n1000,min_delta_n1000,max_delta_n1000
15,mpnet,simcse,0.0006058830339180643,0.0005948812379563684,1.1001795961695926e-05,0.0028370188553594766,-0.0011351632427406555,0.001902912593663486
15,minilm,pubmedbert,0.02254867164751173,0.02192929549590239,0.000619376151609341,0.006821918581496826,0.019010359693483414,0.027423860466325056
15,minilm,biobert,0.007961946440527057,0.00838679462047437,0.0004248481799473125,0.006395514709840288,0.003433456665002166,0.010986358745165958
15,minilm,simcse,0.005535770966553777,0.00546082348351995,7.494748303382703e-05,0.0027323537584510995,0.003966430390814013,0.007048074781659919
15,pubmedbert,biobert,0.0020183221452585443,0.001470301590552947,0.0005480205547055972,0.0074995449658766915,-0.0025799633860230653,0.005475625363234871
15,pubmedbert,simcse,0.009953808013784315,0.009760629009030908,0.00019317900475340766,0.008850697814396,0.0047155788650294905,0.014275069508131843
15,biobert,simcse,0.0002444542719852727,0.00014548838281763787,9.896588916763482e-05,0.004758201550144306,-0.002643078327836279,0.0035956172643597517
16,specter,specter2,-0.003976756254880143,-0.004304193866985384,0.00032743761210524136,0.002470064655385598,-0.005299937625508178,-0.002594666279504221
16,specter,scincl,-0.004760969914828994,-0.004560587385462445,0.00020038252936654954,0.0019913467040557848,-0.006006705672026769,-0.00381302845411835
16,specter,scibert,0.02014797187769246,0.019911052795138773,0.0002369190825536882,0.007458428855875953,0.016057985641125372,0.02398699970422058
16,specter,bert,-0.007820732652085272,-0.006959471237272086,0.0008612614148131859,0.007965418400685287,-0.011539179718147219,-0.0021258987361055803
16,specter,mpnet,-0.005104141467954237,-0.005185566771629402,8.142530367516443e-05,0.002364414659946792,-0.0066965743365637875,-0.0040833975879764894
16,specter,minilm,-5.076334283304895e-05,3.537948801107804e-05,8.6142830844127e-05,0.0021751474982143635,-0.0014631123621136055,0.0009378976415755913
16,specter,pubmedbert,-0.00044437604932123786,0.0004872627697008469,0.0009316388190220848,0.01790067010961414,-0.010948011958936132,0.008000990688643683
16,specter,biobert,0.006185868200928257,0.006113162747045764,7.270545388249339e-05,0.010498879768666482,0.0011587387295881602,0.01269113488058371
16,specter,simcse,-0.002833965099861002,-0.0029026444962093056,6.867939634830345e-05,0.008569881184830786,-0.008479257064318624,0.001979524523621712
16,specter2,scincl,-0.0022858949498735237,-0.002579306878665366,0.0002934119287918424,0.0023022620564395156,-0.0037992735832707014,-0.0010656425681038195
16,specter2,scibert,0.023249895416214916,0.02224925847846282,0.0010006369377520974,0.007376394559199171,0.018050900091428623,0.02625203530788711
16,specter2,bert,-0.004608535346068532,-0.0038536182709157374,0.0007549170751527945,0.00696875493321779,-0.009432329299318365,-0.0018454296730401332
16,specter2,mpnet,-0.0043380052547845604,-0.00461826141019267,0.00028025615540810955,0.0023119443229272863,-0.006108396504965419,-0.0034989835960441695
