field_id,period_start,other_model,native_cka,extended_cka,delta_cka
18,2000,scibert,0.5041978932250054,0.517701830947464,0.013503937722458614
18,2000,bert,0.5457545224599993,0.5520526470739331,0.006298124613933753
18,2000,mpnet,0.8266515474426651,0.8255849739122487,-0.0010665735304163926
18,2000,pubmedbert,0.48031483795337565,0.48928625356891525,0.008971415615539602
18,2000,biobert,0.5146659738590053,0.5245459543357558,0.009879980476750538
18,2000,simcse,0.587532458565214,0.5909855048436703,0.0034530462784563287
18,2005,specter,0.7049389157548467,0.7043972332008492,-0.0005416825539974468
18,2005,specter2,0.700432150836717,0.6996731149761108,-0.0007590358606061054
18,2005,scincl,0.7383220871201076,0.7379349819063097,-0.0003871052137979225
18,2005,scibert,0.47745494577201575,0.4897147442735304,0.012259798501514652
18,2005,bert,0.5233482289568423,0.5296570542841149,0.006308825327272616
18,2005,mpnet,0.8253948042176912,0.8235262122278435,-0.0018685919898476788
18,2005,pubmedbert,0.45739111449209585,0.4656993422030777,0.00830822771098183
18,2005,biobert,0.4889070635250629,0.4972908747182619,0.008383811193198976
18,2005,simcse,0.5756720551640542,0.5806537649712578,0.004981709807203583
18,2010,specter,0.7066950531026817,0.7034464994202998,-0.0032485536823818606
18,2010,specter2,0.7132081698941569,0.7099658920179316,-0.00324227787622533
18,2010,scincl,0.7451492138435113,0.7414743185142358,-0.0036748953292754516
18,2010,scibert,0.48603951579174653,0.4999583568866882,0.01391884109494168
18,2010,bert,0.5111118006990379,0.5207564840652864,0.009644683366248463
18,2010,mpnet,0.8292302278744834,0.824954509262269,-0.00427571861221443
18,2010,pubmedbert,0.4720420003294768,0.4824305320860033,0.010388531756526487
18,2010,biobert,0.4864481140992337,0.4982480359452571,0.011799921846023353
18,2010,simcse,0.5647718735343555,0.5688382974005105,0.004066423866154967
18,2015,specter,0.7254946631084233,0.7236281191673894,-0.0018665439410338047
18,2015,specter2,0.7357796598223348,0.7322932764510008,-0.003486383371334001
18,2015,scincl,0.7622401353399421,0.75893251271928,-0.0033076226206620873
18,2015,scibert,0.5555081088817233,0.5710430659100763,0.015534957028352947
18,2015,bert,0.5379383567020369,0.548473288195964,0.010534931493927036
18,2015,mpnet,0.840926741548844,0.8379368512924141,-0.002989890256429817
18,2015,pubmedbert,0.5055396722334309,0.5184264136607662,0.012886741427335369
18,2015,biobert,0.5366817062601507,0.5498143895259681,0.013132683265817402
18,2015,simcse,0.57625684401026,0.5815180094525784,0.005261165442318361
18,2020,specter,0.7452908480064568,0.7447248122252605,-0.0005660357811962946
18,2020,specter2,0.7546927403549698,0.7520193673945414,-0.002673372960428355
18,2020,scincl,0.7800321848042154,0.7777316755686958,-0.00230050923551961
18,2020,scibert,0.5658481991641324,0.5841042916173252,0.018256092453192818
18,2020,bert,0.5430914432944324,0.5543687788397487,0.011277335545316292
18,2020,mpnet,0.8558048199886641,0.8531033311693474,-0.002701488819316644
18,2020,pubmedbert,0.5105415324487698,0.5251019225234053,0.014560390074635499
18,2020,biobert,0.5406827612799214,0.5550837196580736,0.01440095837815214
18,2020,simcse,0.5741899060592567,0.5806782489427725,0.006488342883515852
19,2000,specter,0.7406517895757786,0.749186325183326,0.008534535607547356
19,2000,specter2,0.7020211456189861,0.703157286744719,0.0011361411257329035
19,2000,scincl,0.7668507020251404,0.7721970603201102,0.005346358294969766
19,2000,scibert,0.5582704229494769,0.6036517687773331,0.045381345827856134
19,2000,bert,0.6284321139603573,0.6598014631030433,0.031369349142686076
19,2000,mpnet,0.8361363985548412,0.8368318573601723,0.0006954588053310617
19,2000,pubmedbert,0.5513208274729495,0.5802822820071549,0.0289614545342054
19,2000,biobert,0.5085987562748722,0.5390326625991884,0.030433906324316196
19,2000,simcse,0.596490732032635,0.6170670977467761,0.02057636571414112
19,2005,specter,0.7471176506128135,0.7527232490518027,0.005605598438989112
19,2005,specter2,0.7159290466067958,0.7170416310805448,0.0011125844737489565
19,2005,scincl,0.7673714344129395,0.7714816860076317,0.004110251594692138
19,2005,scibert,0.5800054470512308,0.6206069164614212,0.04060146941019038
19,2005,bert,0.6401831858694464,0.6715521500330465,0.03136896416360002
19,2005,mpnet,0.8401250569223324,0.838273917492262,-0.0018511394300704254
19,2005,pubmedbert,0.5785264058842519,0.6049413729258837,0.02641496704163182
19,2005,biobert,0.5676881631476522,0.5964255044521611,0.02873734130450889
