centroid_edge_spearman,condition,groups,model_a,model_b,repeat
0.6523276178490903,native_paired,random,scibert,mpnet,3
0.5189051439358189,native_paired,random,scibert,minilm,3
0.8527834583049307,native_paired,random,scibert,pubmedbert,3
0.8630332267142083,native_paired,random,scibert,biobert,3
0.5096125006554455,native_paired,random,scibert,simcse,3
0.6789547830038628,native_paired,random,bert,mpnet,3
0.579934280670477,native_paired,random,bert,minilm,3
0.7226570884239597,native_paired,random,bert,pubmedbert,3
0.741269991085942,native_paired,random,bert,biobert,3
0.7749291244996768,native_paired,random,bert,simcse,3
0.6926209078356318,native_paired,random,mpnet,minilm,3
0.5721776519322532,native_paired,random,mpnet,pubmedbert,3
0.6115547165853915,native_paired,random,mpnet,biobert,3
0.5571181374862357,native_paired,random,mpnet,simcse,3
0.4699438938702743,native_paired,random,minilm,pubmedbert,3
0.5287280862740986,native_paired,random,minilm,biobert,3
0.5266876409207698,native_paired,random,minilm,simcse,3
0.8734382046038489,native_paired,random,pubmedbert,biobert,3
0.5759261007113768,native_paired,random,pubmedbert,simcse,3
0.5896114519427403,native_paired,random,biobert,simcse,3
0.6897474350235087,native_paired,random,specter,specter2,4
0.7619055109852656,native_paired,random,specter,scincl,4
0.46825791341128775,native_paired,random,specter,scibert,4
0.6329764214426792,native_paired,random,specter,bert,4
0.6924989075909321,native_paired,random,specter,mpnet,4
0.6122692395085034,native_paired,random,specter,minilm,4
0.48416653557757855,native_paired,random,specter,pubmedbert,4
0.5404617831611698,native_paired,random,specter,biobert,4
0.5811207243109084,native_paired,random,specter,simcse,4
0.7920126544666424,native_paired,random,specter2,scincl,4
0.5402681208816179,native_paired,random,specter2,scibert,4
0.6423679932882388,native_paired,random,specter2,bert,4
0.6968217013615788,native_paired,random,specter2,mpnet,4
0.666181462255082,native_paired,random,specter2,minilm,4
0.5791613794067783,native_paired,random,specter2,pubmedbert,4
0.6166364287836681,native_paired,random,specter2,biobert,4
0.5366161536713684,native_paired,random,specter2,simcse,4
0.5872445073672068,native_paired,random,scincl,scibert,4
0.687670983867303,native_paired,random,scincl,bert,4
0.6956660199604986,native_paired,random,scincl,mpnet,4
0.578410151538986,native_paired,random,scincl,minilm,4
0.5775292328666561,native_paired,random,scincl,pubmedbert,4
0.6467250450072537,native_paired,random,scincl,biobert,4
0.6401496163459355,native_paired,random,scincl,simcse,4
0.6812766329330747,native_paired,random,scibert,bert,4
0.5211007987695104,native_paired,random,scibert,mpnet,4
0.5138943946305911,native_paired,random,scibert,minilm,4
0.8307940503032528,native_paired,random,scibert,pubmedbert,4
0.7943575760753675,native_paired,random,scibert,biobert,4
0.5691038749934456,native_paired,random,scibert,simcse,4
0.622595913516159,native_paired,random,bert,mpnet,4
0.6200027965672139,native_paired,random,bert,minilm,4
0.7640791428521491,native_paired,random,bert,pubmedbert,4
0.759614423295405,native_paired,random,bert,biobert,4
0.7807547235768095,native_paired,random,bert,simcse,4
0.7803128659570379,native_paired,random,mpnet,minilm,4
0.5402586824672715,native_paired,random,mpnet,pubmedbert,4
0.5085658853757014,native_paired,random,mpnet,biobert,4
0.5605365913341374,native_paired,random,mpnet,simcse,4
0.49501511894149935,native_paired,random,minilm,pubmedbert,4
0.508241483578907,native_paired,random,minilm,biobert,4
0.5945250205372906,native_paired,random,minilm,simcse,4
0.8200891405799383,native_paired,random,pubmedbert,biobert,4
0.6063335255973293,native_paired,random,pubmedbert,simcse,4
0.6759163127261287,native_paired,random,biobert,simcse,4
0.731129987939804,native_paired,random,specter,specter2,5
0.7893132679635748,native_paired,random,specter,scincl,5
0.5500921119326028,native_paired,random,specter,scibert,5
0.6953905580899447,native_paired,random,specter,bert,5
0.784780032510094,native_paired,random,specter,mpnet,5
0.6150888784017619,native_paired,random,specter,minilm,5
0.6455899882893749,native_paired,random,specter,pubmedbert,5
0.6378218237113944,native_paired,random,specter,biobert,5
0.6476391729152465,native_paired,random,specter,simcse,5
0.7597500568052716,native_paired,random,specter2,scincl,5
0.5566451680562111,native_paired,random,specter2,scibert,5
0.5774310034432735,native_paired,random,specter2,bert,5
0.7144271406848095,native_paired,random,specter2,mpnet,5
0.572397532029434,native_paired,random,specter2,minilm,5
0.6298991487948544,native_paired,random,specter2,pubmedbert,5
0.6235813538881024,native_paired,random,specter2,biobert,5
0.5220844912869453,native_paired,random,specter2,simcse,5
0.594147483963435,native_paired,random,scincl,scibert,5
0.6569304179120131,native_paired,random,scincl,bert,5
0.7547858004299722,native_paired,random,scincl,mpnet,5
0.5613101917396397,native_paired,random,scincl,minilm,5
0.6153999965042911,native_paired,random,scincl,pubmedbert,5
0.6193162393162394,native_paired,random,scincl,biobert,5
0.6261961442329541,native_paired,random,scincl,simcse,5
0.7039564434656461,native_paired,random,scibert,bert,5
0.5790530124272457,native_paired,random,scibert,mpnet,5
0.49218114764127036,native_paired,random,scibert,minilm,5
0.7834985055843953,native_paired,random,scibert,pubmedbert,5
0.7831685106531733,native_paired,random,scibert,biobert,5
0.6135420271616592,native_paired,random,scibert,simcse,5
0.6735567091395314,native_paired,random,bert,mpnet,5
0.4705486515302467,native_paired,random,bert,minilm,5
0.7474007655602748,native_paired,random,bert,pubmedbert,5
0.7343331061122472,native_paired,random,bert,biobert,5
0.813611591771101,native_paired,random,bert,simcse,5
0.6799744813241746,native_paired,random,mpnet,minilm,5
0.6324234002761611,native_paired,random,mpnet,pubmedbert,5
0.61242724555608,native_paired,random,mpnet,biobert,5
0.6406924999563037,native_paired,random,mpnet,simcse,5
0.5173799660916226,native_paired,random,minilm,pubmedbert,5
0.4884110254662403,native_paired,random,minilm,biobert,5
0.4897701571321204,native_paired,random,minilm,simcse,5
0.8360522958068971,native_paired,random,pubmedbert,biobert,5
0.6235380070962894,native_paired,random,pubmedbert,simcse,5
0.6167346582070509,native_paired,random,biobert,simcse,5
0.6684047331900094,native_paired,random,specter,specter2,6
0.7417359690979325,native_paired,random,specter,scincl,6
0.4429993183367417,native_paired,random,specter,scibert,6
0.5561582157901177,native_paired,random,specter,bert,6
0.6272466047926172,native_paired,random,specter,mpnet,6
0.5892007061332216,native_paired,random,specter,minilm,6
0.4513565098841173,native_paired,random,specter,pubmedbert,6
0.5036257493926206,native_paired,random,specter,biobert,6
0.5371887508083827,native_paired,random,specter,simcse,6
0.7237820075856888,native_paired,random,specter2,scincl,6
0.495639452571968,native_paired,random,specter2,scibert,6
0.5723954346040235,native_paired,random,specter2,bert,6
0.528619719294566,native_paired,random,specter2,mpnet,6
0.4560543932323074,native_paired,random,specter2,minilm,6
0.53059409574747,native_paired,random,specter2,pubmedbert,6
0.5651893800360059,native_paired,random,specter2,biobert,6
0.5973600405502246,native_paired,random,specter2,simcse,6
0.5463342247391328,native_paired,random,scincl,scibert,6
0.6092562879065947,native_paired,random,scincl,bert,6
0.6945924877213222,native_paired,random,scincl,mpnet,6
0.531809553772744,native_paired,random,scincl,minilm,6
0.5993917466310105,native_paired,random,scincl,pubmedbert,6
0.6076066628213869,native_paired,random,scincl,biobert,6
0.5746424763602678,native_paired,random,scincl,simcse,6
0.6470274238372399,native_paired,random,scibert,bert,6
0.4231482355408736,native_paired,random,scibert,mpnet,6
0.40151259329173444,native_paired,random,scibert,minilm,6
0.8105032073130233,native_paired,random,scibert,pubmedbert,6
0.7546071696991943,native_paired,random,scibert,biobert,6
0.5696876583993149,native_paired,random,scibert,simcse,6
0.4514082463775716,native_paired,random,bert,mpnet,6
0.3942562005138692,native_paired,random,bert,minilm,6
0.7406841102546624,native_paired,random,bert,pubmedbert,6
0.784058168598046,native_paired,random,bert,biobert,6
0.7823966581021797,native_paired,random,bert,simcse,6
0.731648401587052,native_paired,random,mpnet,minilm,6
0.409491549123451,native_paired,random,mpnet,pubmedbert,6
0.40483771170887745,native_paired,random,mpnet,biobert,6
0.43194938213343126,native_paired,random,mpnet,simcse,6
0.35684197647387833,native_paired,random,minilm,pubmedbert,6
0.3360564906577177,native_paired,random,minilm,biobert,6
0.31866743572265044,native_paired,random,minilm,simcse,6
0.8720636918182931,native_paired,random,pubmedbert,biobert,6
0.6089088144302869,native_paired,random,pubmedbert,simcse,6
0.6872693269012288,native_paired,random,biobert,simcse,6
0.5809536294198872,native_paired,random,specter,specter2,7
0.6288301609774003,native_paired,random,specter,scincl,7
0.5223753342771749,native_paired,random,specter,scibert,7
0.4388373271808855,native_paired,random,specter,bert,7
0.6513851746980581,native_paired,random,specter,mpnet,7
0.690641287819202,native_paired,random,specter,minilm,7
0.41172076276370756,native_paired,random,specter,pubmedbert,7
0.41476762274308293,native_paired,random,specter,biobert,7
0.4899529827137189,native_paired,random,specter,simcse,7
0.7476112072431091,native_paired,random,specter2,scincl,7
0.530207120759268,native_paired,random,specter2,scibert,7
0.3999730830405677,native_paired,random,specter2,bert,7
0.5965291105168407,native_paired,random,specter2,mpnet,7
0.518181881740164,native_paired,random,specter2,minilm,7
0.4526174121266146,native_paired,random,specter2,pubmedbert,7
0.5237002079946865,native_paired,random,specter2,biobert,7
0.46629577193994376,native_paired,random,specter2,simcse,7
0.5882474262842361,native_paired,random,scincl,scibert,7
0.5287522066663171,native_paired,random,scincl,bert,7
0.6041196930767484,native_paired,random,scincl,mpnet,7
0.6251900791778092,native_paired,random,scincl,minilm,7
0.5103455508363485,native_paired,random,scincl,pubmedbert,7
0.5778361561183648,native_paired,random,scincl,biobert,7
0.5286896334749096,native_paired,random,scincl,simcse,7
0.5918738748186602,native_paired,random,scibert,bert,7
0.49070421058151126,native_paired,random,scibert,mpnet,7
0.5163067834233479,native_paired,random,scibert,minilm,7
0.7913152605177146,native_paired,random,scibert,pubmedbert,7
0.7931938545435478,native_paired,random,scibert,biobert,7
0.5775757257965848,native_paired,random,scibert,simcse,7
0.43142502578085407,native_paired,random,bert,mpnet,7
0.47290126369880975,native_paired,random,bert,minilm,7
0.7252530019401187,native_paired,random,bert,pubmedbert,7
0.7058511177529583,native_paired,random,bert,biobert,7
0.8104409836925176,native_paired,random,bert,simcse,7
0.7433820984741231,native_paired,random,mpnet,minilm,7
0.4152797441141,native_paired,random,mpnet,pubmedbert,7
0.4559918200408998,native_paired,random,mpnet,biobert,7
0.4386156992291962,native_paired,random,mpnet,simcse,7
0.4091633020467376,native_paired,random,minilm,pubmedbert,7
0.4481296208903571,native_paired,random,minilm,biobert,7
0.42310034432733823,native_paired,random,minilm,simcse,7
0.8577816230576968,native_paired,random,pubmedbert,biobert,7
0.6777232447171098,native_paired,random,pubmedbert,simcse,7
0.6278971562407145,native_paired,random,biobert,simcse,7
0.621067939104749,native_paired,random,specter,specter2,8
0.7290311642458883,native_paired,random,specter,scincl,8
0.5005453306066804,native_paired,random,specter,scibert,8
0.5362774194676037,native_paired,random,specter,bert,8
0.5744009228671806,native_paired,random,specter,mpnet,8
0.5617419118032616,native_paired,random,specter,minilm,8
0.5061171412091657,native_paired,random,specter,pubmedbert,8
0.5883054550539214,native_paired,random,specter,biobert,8
0.4716365161763935,native_paired,random,specter,simcse,8
0.7066369531400207,native_paired,random,specter2,scincl,8
0.4693870274238372,native_paired,random,specter2,scibert,8
0.4621386747767116,native_paired,random,specter2,bert,8
0.5358782094978415,native_paired,random,specter2,mpnet,8
0.47823816265534064,native_paired,random,specter2,minilm,8
0.4544683900512122,native_paired,random,specter2,pubmedbert,8
0.522722458182581,native_paired,random,specter2,biobert,8
0.41589254190481184,native_paired,random,specter2,simcse,8
0.4212350339957702,native_paired,random,scincl,scibert,8
0.49582612343348537,native_paired,random,scincl,bert,8
0.5771384125985354,native_paired,random,scincl,mpnet,8
0.5156876933564051,native_paired,random,scincl,minilm,8
0.4421299355041687,native_paired,random,scincl,pubmedbert,8
0.5388478143079372,native_paired,random,scincl,biobert,8
0.48685648366629963,native_paired,random,scincl,simcse,8
0.7123262195654835,native_paired,random,scibert,bert,8
0.39800185272577915,native_paired,random,scibert,mpnet,8
0.4237547410553546,native_paired,random,scibert,minilm,8
0.8139027843322323,native_paired,random,scibert,pubmedbert,8
0.7579829758970865,native_paired,random,scibert,biobert,8
0.6584978938353173,native_paired,random,scibert,simcse,8
0.4535514655760055,native_paired,random,bert,mpnet,8
0.4926383863807178,native_paired,random,bert,minilm,8
0.7329550976176744,native_paired,random,bert,pubmedbert,8
0.7316477024452485,native_paired,random,bert,biobert,8
0.7960470522433715,native_paired,random,bert,simcse,8
0.6800185272577912,native_paired,random,mpnet,minilm,8
0.3837463513537133,native_paired,random,mpnet,pubmedbert,8
0.47643123066435955,native_paired,random,mpnet,biobert,8
0.3827224581825809,native_paired,random,mpnet,simcse,8
0.40527607361963197,native_paired,random,minilm,pubmedbert,8
0.48113330886337025,native_paired,random,minilm,biobert,8
0.4590904165137295,native_paired,random,minilm,simcse,8
0.7848688235191305,native_paired,random,pubmedbert,biobert,8
0.6406816632583504,native_paired,random,pubmedbert,simcse,8
0.7076660898746789,native_paired,random,biobert,simcse,8
0.719112089909636,native_paired,random,specter,specter2,9
0.7563843881635293,native_paired,random,specter,scincl,9
0.5043497107300788,native_paired,random,specter,scibert,9
0.5489930610176009,native_paired,random,specter,bert,9
0.6926862775942532,native_paired,random,specter,mpnet,9
0.6551241850628354,native_paired,random,specter,minilm,9
0.4807935259469002,native_paired,random,specter,pubmedbert,9
0.42704734937863775,native_paired,random,specter,biobert,9
0.5250222851449846,native_paired,random,specter,simcse,9
0.8259902469718422,native_paired,random,specter2,scincl,9
0.6033055424466469,native_paired,random,specter2,scibert,9
0.6432538059531925,native_paired,random,specter2,bert,9
0.7080583084264067,native_paired,random,specter2,mpnet,9
0.6024169332144793,native_paired,random,specter2,minilm,9
0.5978088895880307,native_paired,random,specter2,pubmedbert,9
0.5285438624088931,native_paired,random,specter2,biobert,9
0.551653295579676,native_paired,random,specter2,simcse,9
0.52457168825267,native_paired,random,scincl,scibert,9
0.6114491461730727,native_paired,random,scincl,bert,9
0.7076814709943545,native_paired,random,scincl,mpnet,9
0.5996207155716359,native_paired,random,scincl,minilm,9
0.5236089699893381,native_paired,random,scincl,pubmedbert,9
0.47946340866586273,native_paired,random,scincl,biobert,9
0.4867135091674969,native_paired,random,scincl,simcse,9
0.7446594305490012,native_paired,random,scibert,bert,9
0.6053802457483439,native_paired,random,scibert,mpnet,9
0.6148350899271146,native_paired,random,scibert,minilm,9
0.8372911750825863,native_paired,random,scibert,pubmedbert,9
0.8535154597731285,native_paired,random,scibert,biobert,9
0.689149319210669,native_paired,random,scibert,simcse,9
0.638200408997955,native_paired,random,bert,mpnet,9
0.5107237865520075,native_paired,random,bert,minilm,9
0.7915106706517752,native_paired,random,bert,pubmedbert,9
0.7778567808015661,native_paired,random,bert,biobert,9
0.816837432052156,native_paired,random,bert,simcse,9
0.7244783528219112,native_paired,random,mpnet,minilm,9
0.6343586247880727,native_paired,random,mpnet,pubmedbert,9
0.583232132557286,native_paired,random,mpnet,biobert,9
0.5897642144267912,native_paired,random,mpnet,simcse,9
0.517548109695349,native_paired,random,minilm,pubmedbert,9
0.5181671997622918,native_paired,random,minilm,biobert,9
0.5273455333578033,native_paired,random,minilm,simcse,9
0.8776949294740707,native_paired,random,pubmedbert,biobert,9
0.6881537412825758,native_paired,random,pubmedbert,simcse,9
0.6618820897348505,native_paired,random,biobert,simcse,9
0.6866635205285513,native_paired,random,specter,specter2,10
0.8058605561673047,native_paired,random,specter,scincl,10
0.543297851886809,native_paired,random,specter,scibert,10
0.6020456889168546,native_paired,random,specter,bert,10
0.736518623389789,native_paired,random,specter,mpnet,10
0.6330816422840964,native_paired,random,specter,minilm,10
0.4486130774474333,native_paired,random,specter,pubmedbert,10
0.4926369880971109,native_paired,random,specter,biobert,10
0.5808022652194432,native_paired,random,specter,simcse,10
0.7867893660531698,native_paired,random,specter2,scincl,10
