field_id,period_start,k,mean_chance_adjusted_overlap,mean_overlap,model_a,model_b,recipe
11,2000,10,0.11795666881443298,0.12226562500000002,specter,bert,cls
11,2000,25,0.1490408340288081,0.15943359375000002,specter,bert,cls
11,2000,50,0.17384375391211818,0.19402343750000003,specter,bert,cls
11,2000,10,0.4013233932023196,0.404248046875,specter,mpnet,cls
11,2000,25,0.4399570737512365,0.4467968750000001,specter,mpnet,cls
11,2000,50,0.4758794783972834,0.48868164062499997,specter,mpnet,cls
11,2000,10,0.3540220040577442,0.357177734375,specter,minilm,cls
11,2000,25,0.39493455775531655,0.4023242187500001,specter,minilm,cls
11,2000,50,0.42760060989922377,0.44158203125000006,specter,minilm,cls
11,2000,10,0.12536591130492145,0.129638671875,specter,pubmedbert,cls
11,2000,25,0.15805720086857072,0.16833984375,specter,pubmedbert,cls
11,2000,50,0.18178178889427893,0.20176757812500004,specter,pubmedbert,cls
11,2000,10,0.1656015327764482,0.16967773437500003,specter,biobert,cls
11,2000,25,0.20357403522193374,0.21330078125000004,specter,biobert,cls
11,2000,50,0.23259322088601653,0.251337890625,specter,biobert,cls
11,2000,10,0.19337392515801421,0.197314453125,specter,simcse,cls
11,2000,25,0.22730131637920375,0.23673828125000004,specter,simcse,cls
11,2000,50,0.25318406320418124,0.27142578125000005,specter,simcse,cls
11,2000,10,0.3768385455019636,0.3798828125,specter2,scincl,cls
11,2000,25,0.410792290662092,0.41798828125000004,specter2,scincl,cls
11,2000,50,0.43913228240798696,0.45283203125000004,specter2,scincl,cls
11,2000,10,0.09896741819311487,0.10336914062500001,specter2,scibert,cls
11,2000,25,0.12442377982814044,0.1351171875,specter2,scibert,cls
11,2000,50,0.14873834188783175,0.16953125000000002,specter2,scibert,cls
11,2000,10,0.09288300714132301,0.097314453125,specter2,bert,cls
11,2000,25,0.11813605032146389,0.12890625,specter2,bert,cls
11,2000,50,0.13749696321826488,0.15856445312500003,specter2,bert,cls
11,2000,10,0.3563772599487604,0.35952148437500003,specter2,mpnet,cls
11,2000,25,0.3836245537370178,0.3911523437500001,specter2,mpnet,cls
11,2000,50,0.4115944082138833,0.425966796875,specter2,mpnet,cls
11,2000,10,0.317564605578056,0.3208984375,specter2,minilm,cls
11,2000,25,0.34075726577955,0.34880859375000006,specter2,minilm,cls
11,2000,50,0.36458682652885577,0.380107421875,specter2,minilm,cls
11,2000,10,0.10529716840022091,0.10966796875000001,specter2,pubmedbert,cls
11,2000,25,0.1288924177794263,0.13953125,specter2,pubmedbert,cls
11,2000,50,0.15079041902697798,0.17153320312500003,specter2,pubmedbert,cls
11,2000,10,0.13517947751748896,0.13940429687500003,specter2,biobert,cls
11,2000,25,0.1619722022595203,0.17220703125000003,specter2,biobert,cls
11,2000,50,0.18927937805145217,0.20908203125000002,specter2,biobert,cls
11,2000,10,0.1542177959698699,0.15834960937500003,specter2,simcse,cls
11,2000,25,0.17784970790059346,0.18789062500000003,specter2,simcse,cls
11,2000,50,0.19579597423478967,0.21543945312500004,specter2,simcse,cls
11,2000,10,0.10465928659640403,0.109033203125,scincl,scibert,cls
11,2000,25,0.13116628222366467,0.14177734375,scincl,scibert,cls
11,2000,50,0.1587384641415248,0.17928710937500003,scincl,scibert,cls
11,2000,10,0.10814310260186549,0.11250000000000002,scincl,bert,cls
11,2000,25,0.13745401173034127,0.14798828125000002,scincl,bert,cls
11,2000,50,0.16099074392839258,0.18148437500000003,scincl,bert,cls
11,2000,10,0.44798690054307805,0.45068359375,scincl,mpnet,cls
11,2000,25,0.48658118122527205,0.49285156250000006,scincl,mpnet,cls
11,2000,50,0.5150090858944667,0.52685546875,scincl,mpnet,cls
11,2000,10,0.3936688115565169,0.396630859375,scincl,minilm,cls
11,2000,25,0.429418206370549,0.43638671875,scincl,minilm,cls
11,2000,50,0.4571305004381572,0.470390625,scincl,minilm,cls
11,2000,10,0.1133933605255891,0.11772460937500001,scincl,pubmedbert,cls
11,2000,25,0.13814605743076164,0.148671875,scincl,pubmedbert,cls
11,2000,50,0.15974948751251877,0.18027343750000002,scincl,pubmedbert,cls
11,2000,10,0.14980169117421455,0.15395507812500003,scincl,biobert,cls
11,2000,25,0.18111220905971812,0.19111328125000004,scincl,biobert,cls
11,2000,50,0.2112816490360541,0.230546875,scincl,biobert,cls
11,2000,10,0.1813032387165562,0.185302734375,scincl,simcse,cls
11,2000,25,0.21215540190714638,0.22177734375000002,scincl,simcse,cls
11,2000,50,0.23694762847396092,0.2555859375,scincl,simcse,cls
11,2000,10,0.17575857380645557,0.17978515625000002,scibert,bert,cls
11,2000,25,0.20495812662277452,0.21466796875000005,scibert,bert,cls
11,2000,50,0.2305311336144842,0.249326171875,scibert,bert,cls
11,2000,10,0.09671029796422434,0.10112304687500001,scibert,mpnet,cls
11,2000,25,0.12377127959631554,0.13447265625,scibert,mpnet,cls
11,2000,50,0.15219183756102903,0.172900390625,scibert,mpnet,cls
11,2000,10,0.08866317366991901,0.093115234375,scibert,minilm,cls
11,2000,25,0.11633673150037092,0.12712890625,scibert,minilm,cls
11,2000,50,0.14351305278229845,0.16443359375000005,scibert,minilm,cls
11,2000,10,0.3066224792510432,0.31000976562499993,scibert,pubmedbert,cls
11,2000,25,0.3461947677114243,0.35417968750000006,scibert,pubmedbert,cls
11,2000,50,0.38248494323516524,0.397568359375,scibert,pubmedbert,cls
11,2000,10,0.2972995913491041,0.300732421875,scibert,biobert,cls
11,2000,25,0.3387997650840752,0.34687500000000004,scibert,biobert,cls
11,2000,50,0.37127359496275664,0.386630859375,scibert,biobert,cls
11,2000,10,0.1302726944112052,0.134521484375,scibert,simcse,cls
11,2000,25,0.1597972014867705,0.17005859375000001,scibert,simcse,cls
11,2000,50,0.1879780608412619,0.2078125,scibert,simcse,cls
11,2000,10,0.11658276954467353,0.12089843750000001,bert,mpnet,cls
11,2000,25,0.14548174185521762,0.15591796875000002,bert,mpnet,cls
11,2000,50,0.17251240630476966,0.19272460937500002,bert,mpnet,cls
11,2000,10,0.11079276547925873,0.11513671875,bert,minilm,cls
11,2000,25,0.1426344681163452,0.15310546875000003,bert,minilm,cls
11,2000,50,0.16864849520374314,0.188955078125,bert,minilm,cls
11,2000,10,0.17443374236775896,0.178466796875,bert,pubmedbert,cls
11,2000,25,0.20802290043892185,0.21769531250000002,bert,pubmedbert,cls
11,2000,50,0.23663731436999247,0.255283203125,bert,pubmedbert,cls
11,2000,10,0.19219629721250614,0.19614257812500002,bert,biobert,cls
11,2000,25,0.2344195007263848,0.24376953125000006,bert,biobert,cls
11,2000,50,0.26315415506071604,0.28115234375,bert,biobert,cls
