field_id,period_start,common_adjusted,common_overlap,delta_overlap,k,model_a,model_b,native_adjusted,native_overlap
31,2015,0.5253157593123209,0.5848,0.0015000000000000007,50,specter/cls,minilm/mean,0.5236008595988538,0.5832999999999999
31,2015,0.30969922879177375,0.327,0.003000000000000001,10,specter/cls,pubmedbert/mean,0.3066221079691516,0.32400000000000007
31,2015,0.37472219251336897,0.4139,-0.002499999999999999,25,specter/cls,pubmedbert/mean,0.3773893048128343,0.4164000000000001
31,2015,0.4208783667621776,0.49345,0.006999999999999999,50,specter/cls,pubmedbert/mean,0.41287550143266477,0.48644999999999994
31,2015,0.29790359897172236,0.3155,-0.01175,10,specter/cls,biobert/mean,0.3099556555269923,0.32725000000000004
31,2015,0.37440213903743313,0.41359999999999997,-0.005099999999999999,25,specter/cls,biobert/mean,0.37984304812834224,0.41870000000000007
31,2015,0.420249570200573,0.4929,-0.004399999999999999,50,specter/cls,biobert/mean,0.42527994269340974,0.4973
31,2015,0.2309762210796915,0.25025,-0.0095,10,specter/cls,simcse/cls,0.24072043701799484,0.25975000000000004
31,2015,0.28244010695187166,0.32739999999999997,-0.0055000000000000005,25,specter/cls,simcse/cls,0.28830775401069514,0.3329000000000001
31,2015,0.31684111747851,0.40245,-0.00030000000000000073,50,specter/cls,simcse/cls,0.31718409742120346,0.40275
31,2015,0.4176548843187661,0.43224999999999997,0.00024999999999999914,10,specter2/cls,scincl/cls,0.41739845758354754,0.43199999999999994
31,2015,0.47543235294117653,0.5083000000000001,-0.0018000000000000004,25,specter2/cls,scincl/cls,0.4773526737967914,0.5101
31,2015,0.5080524355300859,0.5697,-0.005250000000000001,50,specter2/cls,scincl/cls,0.5140545845272206,0.5749500000000001
31,2015,0.35483033419023136,0.371,0.009750000000000002,10,specter2/cls,scibert/mean,0.3448296915167095,0.36125
31,2015,0.4140887700534759,0.4508,0.0019000000000000015,25,specter2/cls,scibert/mean,0.41206176470588235,0.4489
31,2015,0.45711991404011454,0.52515,0.003199999999999997,50,specter2/cls,scibert/mean,0.45346146131805154,0.52195
31,2015,0.23302763496143958,0.25225000000000003,-0.0002500000000000002,10,specter2/cls,bert/mean,0.23328406169665808,0.2525
31,2015,0.28926791443850264,0.3338000000000001,-0.0045000000000000005,25,specter2/cls,bert/mean,0.2940687165775401,0.3383
31,2015,0.3293027220630373,0.41334999999999994,-0.004149999999999997,50,specter2/cls,bert/mean,0.33404727793696276,0.4175
31,2015,0.41534704370179953,0.43,-0.0019999999999999983,10,specter2/cls,mpnet/mean,0.4173984575835475,0.43200000000000005
31,2015,0.46497727272727274,0.4985,-0.004600000000000002,25,specter2/cls,mpnet/mean,0.4698847593582887,0.5031
31,2015,0.4957051575931232,0.5589,-0.006449999999999999,50,specter2/cls,mpnet/mean,0.5030792263610315,0.56535
31,2015,0.37534447300771207,0.391,0.001999999999999999,10,specter2/cls,minilm/mean,0.37329305912596406,0.38900000000000007
31,2015,0.41664919786096255,0.4532,-0.0004999999999999999,25,specter2/cls,minilm/mean,0.4171826203208556,0.45370000000000005
31,2015,0.43968510028653296,0.5098999999999999,-0.0005499999999999985,50,specter2/cls,minilm/mean,0.44031389684813754,0.5104500000000001
31,2015,0.25969601542416454,0.27825,0.0035000000000000005,10,specter2/cls,pubmedbert/mean,0.2561060411311054,0.27475
31,2015,0.31679251336898395,0.35960000000000003,-0.0037000000000000015,25,specter2/cls,pubmedbert/mean,0.3207398395721925,0.36330000000000007
31,2015,0.3620573065902579,0.442,-0.0022500000000000016,50,specter2/cls,pubmedbert/mean,0.3646296561604585,0.44425000000000003
31,2015,0.2586703084832904,0.27725,-0.0055,10,specter2/cls,biobert/mean,0.2643116966580977,0.28275
31,2015,0.31145828877005344,0.3546000000000001,-0.005699999999999999,25,specter2/cls,biobert/mean,0.3175393048128342,0.3603
31,2015,0.3477093123209169,0.42945000000000005,-0.006949999999999999,50,specter2/cls,biobert/mean,0.3556550143266476,0.4364
31,2015,0.18379370179948587,0.20424999999999996,-0.005250000000000001,10,specter2/cls,simcse/cls,0.18917866323907453,0.20950000000000002
31,2015,0.23069812834224598,0.2789,-0.005500000000000001,25,specter2/cls,simcse/cls,0.23656577540106952,0.2844
31,2015,0.26030659025787967,0.353,-0.0015500000000000008,50,specter2/cls,simcse/cls,0.2620786532951289,0.35455
31,2015,0.3820115681233933,0.3975,0.015,10,scincl/cls,scibert/mean,0.36662596401028275,0.3825
31,2015,0.44588074866310157,0.4806,0.0089,25,scincl/cls,scibert/mean,0.4363858288770054,0.4717
31,2015,0.4835293696275072,0.54825,0.009750000000000002,50,scincl/cls,scibert/mean,0.47238252148997134,0.5385
31,2015,0.26738881748071974,0.28575,0.0014999999999999992,10,scincl/cls,bert/mean,0.26585025706940874,0.28425
31,2015,0.3253272727272727,0.3676,0.003000000000000001,25,scincl/cls,bert/mean,0.3221267379679144,0.3646000000000001
31,2015,0.3654871060171919,0.445,0.0037000000000000006,50,scincl/cls,bert/mean,0.3612570200573066,0.44129999999999997
31,2015,0.532021208226221,0.54375,-0.0002500000000000004,10,scincl/cls,mpnet/mean,0.5322776349614395,0.544
31,2015,0.5655807486631016,0.5928,-0.005900000000000001,25,scincl/cls,mpnet/mean,0.5718751336898396,0.5987
31,2015,0.5782489971346705,0.6311,-0.004350000000000001,50,scincl/cls,mpnet/mean,0.5832222063037249,0.6354500000000001
31,2015,0.4863772493573264,0.49924999999999997,0.0055000000000000005,10,scincl/cls,minilm/mean,0.48073586118251926,0.49375
31,2015,0.5239737967914438,0.5538,0.0013000000000000023,25,scincl/cls,minilm/mean,0.5225868983957219,0.5525
31,2015,0.52657335243553,0.5859000000000001,0.00025000000000000017,50,scincl/cls,minilm/mean,0.5262875358166189,0.58565
31,2015,0.3061092544987147,0.3235,0.01075,10,scincl/cls,pubmedbert/mean,0.29508290488431876,0.31275000000000003
31,2015,0.3582927807486631,0.39849999999999997,0.0042,25,scincl/cls,pubmedbert/mean,0.3538120320855615,0.3943000000000001
31,2015,0.3917250716332379,0.46795000000000003,0.006250000000000002,50,scincl/cls,pubmedbert/mean,0.38457965616045847,0.4617
31,2015,0.287646529562982,0.3055,-0.0012499999999999994,10,scincl/cls,biobert/mean,0.2889286632390745,0.30675
31,2015,0.35498556149732624,0.3954,-0.0008000000000000001,25,scincl/cls,biobert/mean,0.3558390374331551,0.39620000000000005
31,2015,0.3836650429799427,0.46090000000000003,0.0017499999999999983,50,scincl/cls,biobert/mean,0.3816643266475645,0.45915
31,2015,0.21841131105398456,0.23800000000000002,-0.011000000000000001,10,scincl/cls,simcse/cls,0.22969408740359895,0.24900000000000003
31,2015,0.268677807486631,0.3145,-0.0013999999999999978,25,scincl/cls,simcse/cls,0.2701713903743315,0.3159
31,2015,0.2988918338108883,0.38675,-0.00040000000000000034,50,scincl/cls,simcse/cls,0.2993491404011462,0.38714999999999994
31,2015,0.42996336760925447,0.44425,-0.004750000000000001,10,scibert/mean,bert/mean,0.4348354755784062,0.449
31,2015,0.49559572192513374,0.5272,0.0081,25,scibert/mean,bert/mean,0.48695427807486624,0.5191
31,2015,0.5305176217765043,0.58935,0.005749999999999997,50,scibert/mean,bert/mean,0.5239438395415472,0.5836
31,2015,0.36842095115681234,0.38425,0.011000000000000001,10,scibert/mean,mpnet/mean,0.35713817480719795,0.37325
31,2015,0.4419334224598931,0.4769,0.0136,25,scibert/mean,mpnet/mean,0.4274243315508021,0.46330000000000005
31,2015,0.47604097421203434,0.5417000000000001,0.010849999999999997,50,scibert/mean,mpnet/mean,0.4636365329512894,0.53085
31,2015,0.3514967866323907,0.3677500000000001,0.014499999999999999,10,scibert/mean,minilm/mean,0.33662403598971724,0.35324999999999995
31,2015,0.4161157754010695,0.4527000000000001,0.017400000000000002,25,scibert/mean,minilm/mean,0.3975526737967914,0.4353
31,2015,0.43819885386819485,0.5085999999999999,0.011200000000000002,50,scibert/mean,minilm/mean,0.4253942693409742,0.49739999999999995
31,2015,0.53048264781491,0.5422499999999999,-0.004750000000000003,10,scibert/mean,pubmedbert/mean,0.5353547557840617,0.547
31,2015,0.5774227272727273,0.6038999999999999,-0.0012000000000000025,25,scibert/mean,pubmedbert/mean,0.5787029411764706,0.6050999999999999
