work_id,text_sha256,abstract_sha256,reason
W2007592675,3cbe80174c6deed8c221ae822e18c603ef44b8b82602bc550705ba40f79d153b,8b32d8a47e3d680b55d1b4e34667e7bd730c7e1378bb263a98505d1ef00341d1,acs_webpage_instead_of_abstract
W2007788951,8d468c35975c39af4f229b75be9ae15ec09ecba3846fc79e339212aef447c4e5,f98b0d59531670fb136e0967b27055fba0c88b742766e27a47fc63a5085b1c9c,acs_webpage_instead_of_abstract
W2007988111,03ef9474b5c86b669e0a76c1c77d910fe36b2839c9021103b47b8bf05b315558,6e22322dfd1d8448e085f9c08e8e4f67110bd318eb74fc4e603123beab2bdb8c,acs_webpage_instead_of_abstract
W2008043578,5890f796994889643cac01ce0dfb71092b33bd7fd83fb047cdb227463751a681,c5a0c20323db09ad2037c1e767f0110e29662d039f4762add269b4f79cf9ea12,acs_webpage_instead_of_abstract
W2008283460,780c72f0a12d8e6fde04a9980cc203c1efc07248cf1b4c6bc563194ed861a597,012d2679e4517ce8d4d98b8e47d1e8f8372b20fd1937a12c7bb21ad7b91e6dcf,acs_webpage_instead_of_abstract
W2008288518,5e11d44db8c6a67e3ebb0fdce9482fbfc1e648638e4431309eb4e702bf30c96b,ef0be411fda16ae23c55e3c0fb15ddec237001a3452f45f2e2d0e92effcc8166,acs_webpage_instead_of_abstract
W2009794593,6bf9f6e58fdde2be022bc3359b06e2cd48dbd10a9186cca085349138ccce7c8c,1f51de77b7918c1789851426c7c086f1f2aed5666db43e83b0b26dc01e8f7285,acs_webpage_instead_of_abstract
W2010257091,339e763d3e13aabdf73ad67deea32439ae59ac6d3a95965ea29157bb5c79fd9e,10c78c35a74e6819678ab0824126146b075ddfa4add60633449c3aa0cc636058,acs_webpage_instead_of_abstract
W2011887848,9df4e63199a8eb6bdba1305676effbfc5d19525434986409ee81b543b4c2455e,e360f01d0f0f342c1f701fb8c0e5cea37c5a291d7e4c2c6c4495cb684b1aeac8,acs_webpage_instead_of_abstract
W2014192026,88778bbe443e2b9afdee2144585babd0d2ef498f6ae7b0baa3f1855b6ce7c775,0ed19b72e50bf10bb3eda427dfe07ee350d29bdded498adedfe57d52afb6f016,acs_webpage_instead_of_abstract
W2015871532,cde7011cff647a408b7df7cd0153d7575094b7df8c2a2c2dc61a090339fe67cd,ef3e1eb9ce0ba3776aaa32c39b43d2cea3c17e6afca2ba13c80a8a3612fbdf53,acs_webpage_instead_of_abstract
W2016747646,1c2e56b148cf294db6f1d110a53dabf68310fb2362b1a71d172d8fda6f35a5e1,87f6ef94a384738019e83515d75645c3902f803ab688a1df1f81572516322d43,acs_webpage_instead_of_abstract
W2017504313,73c074d6d8a55187e52c555cd2b68931ce9f2e589d0ee025f3b2cf9bda9c49ab,04e7e1cfce75308368e6503840e8c67ccfa6054563e7ca0ed3f227533c85b4c7,acs_webpage_instead_of_abstract
W2018656953,4981ab6c722a6b4f20905c1488317cbfd50a7f0cf8c74097167264edb4ab9a1b,8e0e02792da1f77f2435b66c35b6d7afd6a39e0e3669f7732984174284bf995b,acs_webpage_instead_of_abstract
W2018897184,3f029279fb88578fb3322f01cbfe2a0836836b9375aa350f1b5a4327c5060964,fd5519df4b4fdbbc539dc3071e5aebc0b7ea0bb64d85c0898d7ac85891a08b50,acs_webpage_instead_of_abstract
W2019620358,d517cd1c41ff545493e6128091e9383805053f23d65bc58993c69493cf949c2c,c5fc98595e7b1f4f23f65ec97180b27322c7a4e0be81c790b73c4488d4932a2f,acs_webpage_instead_of_abstract
W2023177373,cbc54689e24f1edd7665fb10302d18fdc82a1bf0958c63808238550497ebfb02,817c1101d417ef3967a52dfcea5d901a82511a883d8c4717d1126b1851d56059,acs_webpage_instead_of_abstract
W2023652669,928291fe7bfa6c864079480edc366b2380a787a2ad8e85ba81de3d06ead26ccb,dff1ee2b36ba1e7f72d20639a953e53f4d1059c1f851c92be7ead83f6d0445a3,acs_webpage_instead_of_abstract
W2023871523,c2e27be573466fe80fd1214d7f8ac1c10c29a7199c3b26bd94f49f75da66e504,9420c16aaaaa5a4eb82a4ea781cc0b3b511613e517523b1826630f352f2d13ae,acs_webpage_instead_of_abstract
W2025054955,b818226f014a4b068438514b1061c73ba368aedbc63cecbdfa78c6ecd343955c,5af78b729cdad0bb05593a880725ff4dad71520bbd0af8d5a524bee4a68df02f,acs_webpage_instead_of_abstract
W2025754254,b11c8d7cd4f6998dd9e54628a244f15dfb17b40b69eb9d7ad8151dcd5d360478,b726291517d8e1d5c15d1355bec8368ff46ae83654fea0f370763a8308043983,acs_webpage_instead_of_abstract
W2026285305,f0391e96cfdf135764fb1ad0b21a7c4b06a7b7e6735b7b9d1983b9384bddd7ba,c7d5d1c6eefcbd69a88b9894db8f05ec30d8ee912ae1adfc2f862be11e27c06d,acs_webpage_instead_of_abstract
W2026943859,bfe2d6280a08f378d4bb03e354ea82ae1427835a0f90706544dc0c1021ca8602,0fea1e5acc31c56be7d289ce62111d7d6e343ec8ddc7a6e1e52da2f13fe7a60f,acs_webpage_instead_of_abstract
W2027609351,296174bfbe7a4423c144f9b16abb31fdd3c87d9b4148888bef4aa4dc79172717,c05957b444e5a2e89d9a38914abd34f148f4136ed038d395c021adcebbaea124,acs_webpage_instead_of_abstract
W2027930552,09ecfca7d101f9ce06e50444f6de4519e2a40eb4fce858c65e45d51f082293e5,c22683b0b39ed9c1e0d6dafafa171c218bbc57ad4f3e71fc2e1ccbd27f9b40f0,acs_webpage_instead_of_abstract
W2028952992,0ac8e6d41dce8ba5fb3b52dc70936c82c8c9c28fd458b029c0caa310c3187a90,b98bdd8ac4eeef9ac9d6e50b6003c1fab4873509db6adba8477ee3e5522699c5,acs_webpage_instead_of_abstract
W2029590380,b4f366256aff94217626846e8298d78b2dbbbff09cc3ddf7c5fec77947b39c5c,f7ada919168d0ed59e1d139840e768a484889d34bc4625ebdea2ecfa02e894bb,acs_webpage_instead_of_abstract
W2029824630,cbcfc317f4eb60bd9ffa34ab78647f42b4f881556b6db736f947243bb85f227d,0ff821cac73048cfb12831202aac6a2180c5b950435f2a49b4124e2e2307ecd0,acs_webpage_instead_of_abstract
W2030573433,48df934bb38a8cb24a8d60ab7ebb2f3831c8e9a2e09eeeca0d0b359c1255125a,685ce39d7026baa6abda44ad3f83d6b701bc69cf44fe3975552c5fc9772ccc8f,acs_webpage_instead_of_abstract
W2030682147,369f59fb7f57b534e48c6f501dd707944777af9363401ba8faefa43544b0041b,5bf425d61677eb31f73bb4878ecdccb3cb56d530b94488549bea77e1cdfd20cf,acs_webpage_instead_of_abstract
W2030938880,a9dd6532b65be28a0f6c5a467b81c7c678b2a2a31a0ac418b1144edd5abdda87,42fba02cdcc67d57d2dc8c3c5537bbf0a27e3118c5a02d86283d795050d7cded,acs_webpage_instead_of_abstract
W2030962408,5cc36315053707013cb5cb93fbc331ae18dd6e38aec52cc3bdd7d60cd8f42bc7,049810225c3cbc41325ad71f49a3e9556f86c06bf01cab1188a028160a371fe6,acs_webpage_instead_of_abstract
