work_id,original_cohort,field_id,period_start,reason,text_sha256
W2950504300,base,22,2015,non_abstract:reviewed_non_abstract_template,da5f985620ab7c6fa9ba122883cea5484e96fabbc45585e5558ec3961ebff3f5
W4323044823,base,11,2020,clear_non_english_abstract,e84d9f2a8934e2b8dba58bde1c8116454c33632651966de89b0ae39527c0dd56
W4246399897,base,33,2005,non_abstract:publisher_navigation_instead_of_abstract,54af0446da9b5e3676f4fedda36591b53ca940ed0a921d6f70c618093016d7e2
W4248830194,base,16,2005,clear_non_english_abstract,6711b64748bbee363a3f2f9e6fc3dd062e3ea05253a8c4cddf0e367ad8ab95b4
W2914525122,base,16,2015,clear_non_english_abstract,46359d197f9dc0ccb61d5c8de3296d1746e6d3170cacf49eccc7a7b240ad612a
W2531885068,base,33,2015,clear_non_english_abstract,fa1d868e30eaef475668cad36e606501fc0d66f9c9bcfb003c108e0ae457625c
W2895907750,base,17,2015,non_abstract:reviewed_non_abstract_template,dcc341cf565d20f33f4aa90037cf9ea4d456a5e143e23be8f6ea37425ecd0321
W4311707748,base,33,2020,non_abstract:reviewed_non_abstract_template,c5367b520b110ee3369f70b3ce22d2685501225b42798c7e5ddd7d040de8d32c
W4280599700,base,17,2020,clear_non_english_abstract,594ab0e7d9f42d31246f36587f6f2eb14c03865aa643065f2af4eb7397c02a40
W1546385663,base,33,2000,clear_non_english_abstract,b1ddf6ead076819e890370e137231dec86f15ee143031e422bb937f2fd54d815
W4407673085,base,33,2020,clear_non_english_abstract,ee8811093371067ff5f37c7117bc8ee8606eb6413caf4b523b962e95c80d8625
W4254487084,base,33,2020,reviewed:reviewed_title_abstract_mismatch_or_non_article_resource,777ff07ac7037d87be7e96e6a963605b7d0f9dc3fc521313ad34f5fd3acd3fd2
W4312311156,base,27,2020,clear_non_english_abstract,d8c0235ba8013dc49d1c5cbf2b6544d6f99f9195d5f53de53417e25c835b183d
W7208257574,base,27,2000,clear_non_english_abstract,d00e9308bfbacbac5f5cadf08bfb8c47c1968b74cdf88e4a8b36a54a24dc4231
W2331518044,base,14,2000,clear_non_english_abstract,9190fb7b80f5052c05cc9d7d25840fba5bf48a5e11ff9deeb7c332e8baac15f2
W4385550908,base,12,2020,clear_non_english_abstract,6949ba327590f83378846930383c8451f90800341ed85f575705a798b77ccdb8
W4381953382,base,36,2020,clear_non_english_abstract,1d3f3a8afcc8a8c459539a2846602fde1054bd37277b5f599e9be5c69d069d5b
W1581125772,base,12,2010,clear_non_english_abstract,0c5cf4344e90c4ac7a48dc968ca8db12389bea16ef47f88f41f6e3cd821b8d5d
W4398224863,base,12,2020,clear_non_english_abstract,8eeb2e81f9bdab1478afafdef7dbbf98f81bbf26841d19e2b37b3a3e99e351ea
W2972244043,base,22,2015,clear_non_english_abstract,d1c1d35f39d980b622ab03174666e35d33c4963988af35ad3107422f7cde3719
W2554277187,base,33,2015,clear_non_english_abstract,3f0d9fc5ab7334afdf0a155dfa0ad881406c1101e6d5faa7829e1e347dcb436f
W3128792192,base,33,2015,clear_non_english_abstract,24e1b94b027979d113912201c679b0c4eab9725082dbf3ad6d9167a55d6dcc5f
W2318248888,base,20,2010,reviewed:reviewed_title_abstract_mismatch_or_non_article_resource,7d3f9b8230750db96cb0c962a6c7c4b93459c0542a4b43adecdc0f89a7e27e2b
W2805761769,base,33,2015,clear_non_english_abstract,7cf979f5a8af432ab166b909fbbfe836773f1dfd71d116756c7211e596596a12
W4386386065,base,11,2020,clear_non_english_abstract,fcd46262e2ef9f533c72d474fcd91153aa1930a8ef652021c46dd78d75cbad81
W4242362292,base,13,2010,clear_non_english_abstract,b4a3337bf49ff191f1da0fb58a81381e1c9bcf8657b4093a0d6e6b39e1d69ab9
W4383227869,base,33,2020,clear_non_english_abstract,90e537174e6a613b5648226bdecdd0c973d72f5250b40b213b3f88714fd6d47c
W4413304358,base,27,2020,clear_non_english_abstract,152ad7228ea89eb17ce9d7c760555cefdb828cc912a33052ed0ebbb6d6b717a2
W3143602205,base,28,2005,clear_non_english_abstract,9471c619c8ea20936c47c03a202624c5d713805d820a746cc234e39fe97753b3
W3144536082,base,33,2020,clear_non_english_abstract,6f567650a5af4415c8809667b7b77704ebc048b4e875be04df37b6f363fc8f1b
W2917632211,base,17,2015,clear_non_english_abstract,86cba5cc868afa045ae2020b68c1a72118a4a76a2e1389ae56f2c017c33f8ca8
W2060709648,base,16,2005,non_abstract:acs_webpage_instead_of_abstract,6cf27376f27eb80b08e6addc491e3e23f824b56880cfe83d46dc40143f77fbb3
W4408786449,base,12,2020,clear_non_english_abstract,c5263ab849093896dfef9cc999c762a1156e6d168238b1dd0e68a8c37733eaa8
W2323815375,base,13,2000,clear_non_english_abstract,b2603f6185cb57d5d232fbee7415097e9c0275f5027cb12fe43289e55bd301f4
W4367153806,base,16,2020,clear_non_english_abstract,291bd3ed99747a7fbd5d8e4318597671a48054b3a1e2e466dcf67c0488d43a36
W3144105777,base,11,2005,clear_non_english_abstract,f64db7afe600c40573800b4b3dbcbff832760c5f7553ea956f480f88159baf4d
W4386846240,base,11,2020,clear_non_english_abstract,7aa12758db5e9f23f6f4517b981193dc40147c1b7c491957aabf0bdc914c31f6
W4253412905,base,17,2015,non_abstract:reviewed_non_abstract_template,a6ffc7ce6ec040dd1485abf36ca63757c79b4b1ba3b9e0d67269fd46dbc1b5a9
