work_id,row_index,cohort,field_id,period_start,flags
W2412244359,72143,base,13,2000,abstract_50_79
W2379547863,72149,base,13,2010,abstract_50_79
W2078667017,72164,base,12,2010,abstract_50_79
W2090717183,72165,base,33,2005,abstract_50_79
W4403239123,72166,base,33,2020,language_ambiguous;possible_mixed_language
W2150447837,72171,base,17,2000,abstract_50_79
W3173816903,72208,base,26,2020,abstract_50_79
W2352610706,72210,base,22,2005,abstract_50_79
W4319790950,72213,base,21,2020,language_ambiguous
W3036187276,72231,base,33,2020,abstract_50_79
W2383807779,72271,base,17,2005,abstract_50_79
W2625560701,72272,base,20,2010,language_ambiguous
W4306409576,72276,base,13,2020,abstract_50_79
W3081373040,72289,base,14,2015,abstract_50_79
W3174008005,72292,base,20,2020,language_ambiguous;possible_mixed_language
W1977369252,72293,base,22,2010,abstract_50_79
W2366520775,72297,base,33,2005,abstract_50_79
W2188731752,72318,base,11,2005,abstract_50_79
W2951264370,72328,base,22,2015,language_ambiguous
W4386003680,72340,base,27,2020,abstract_50_79
W2348600260,72358,base,17,2010,abstract_50_79
W2265683153,72380,base,11,2005,language_ambiguous;abstract_50_79
W1964470709,72388,base,27,2010,abstract_50_79
W2189190316,72390,base,33,2015,abstract_50_79
W2203668297,72397,base,23,2010,abstract_50_79
W2904884380,72417,base,31,2015,abstract_50_79
W4289258999,72434,base,17,2005,abstract_50_79
W2297510829,72447,base,28,2015,abstract_over_2000
W2370916242,72448,base,33,2010,abstract_50_79
W2352452786,72450,base,17,2005,abstract_50_79
W4390940218,72465,base,31,2020,language_ambiguous
W2357780632,72478,base,12,2005,abstract_50_79
W2663199125,72489,base,18,2005,abstract_50_79
W1818951715,72493,base,27,2000,language_ambiguous
W2050459894,72495,base,31,2000,abstract_50_79
W2599512344,72506,base,31,2000,abstract_50_79
W4255647448,72511,base,12,2005,abstract_50_79
W2297922919,72514,base,27,2015,abstract_50_79
W4404227898,72534,base,23,2020,abstract_50_79
W2389210146,72547,base,22,2005,abstract_50_79
W1860958544,72554,base,22,2000,abstract_50_79
W154953953,72559,base,17,2000,abstract_50_79
W2380901166,72567,base,22,2005,abstract_50_79
W2354663225,72575,base,23,2005,abstract_50_79
W2573857413,72582,base,29,2010,language_ambiguous;possible_mixed_language
W1968339340,72635,base,11,2000,abstract_50_79
W2011804795,72641,base,36,2010,abstract_50_79
W2155499359,72647,base,23,2005,abstract_50_79
W4287612377,72670,base,12,2020,language_ambiguous
W2064675326,72674,base,17,2005,abstract_50_79
W2101174267,72696,base,22,2015,abstract_50_79
W2359619445,72706,base,22,2000,abstract_50_79
W2472589081,72711,base,27,2010,language_ambiguous
W1977666206,72718,base,22,2010,abstract_50_79
W2103054742,72735,base,18,2000,abstract_50_79
W795611543,72739,base,25,2005,abstract_50_79
W391622226,72750,base,22,2010,language_ambiguous
W2357491297,72755,base,22,2005,language_ambiguous;abstract_50_79
W2591624724,72764,base,25,2015,abstract_50_79
W4221133261,72769,base,31,2020,abstract_50_79
W4315641923,72777,base,33,2020,language_ambiguous;possible_mixed_language
W2137002138,72797,base,14,2005,abstract_50_79
W2348398719,72871,base,32,2005,abstract_50_79
W2151545814,72872,base,23,2010,abstract_50_79
W2255024258,72882,base,12,2010,language_ambiguous;abstract_50_79
W2067261535,72896,base,13,2010,abstract_50_79
W3194189475,72897,base,27,2020,abstract_50_79
W2775207758,72908,base,32,2005,abstract_50_79
W2061601613,72917,base,27,2005,language_ambiguous;possible_mixed_language
W2352109221,72927,base,17,2005,abstract_50_79
W2386284366,72937,base,22,2005,abstract_50_79
W2753909216,72938,base,22,2015,abstract_50_79
W2383014800,72950,base,22,2010,abstract_50_79
W1496988857,72955,base,15,2000,abstract_50_79
W4317768898,72988,base,12,2020,abstract_50_79
W2637005857,73011,base,27,2015,language_ambiguous;possible_mixed_language;abstract_50_79
W2143984426,73013,base,12,2010,abstract_50_79
W4239432605,73026,base,23,2010,abstract_50_79
W2387458525,73041,base,22,2000,abstract_50_79
W2362123875,73043,base,17,2005,abstract_50_79
W3011383970,73046,base,36,2020,abstract_50_79
W2562382749,73051,base,22,2015,language_ambiguous;abstract_50_79
W2031851682,73078,base,27,2010,language_ambiguous;possible_mixed_language
W2392307804,73080,base,22,2000,abstract_50_79
W1980849097,73081,base,33,2005,language_ambiguous;possible_mixed_language
W2757040968,73088,base,22,2015,language_ambiguous;possible_mixed_language
W3021113631,73094,base,11,2020,language_ambiguous
W2064898027,73121,base,26,2005,abstract_50_79
W2370967257,73126,base,23,2005,abstract_50_79
W2025126209,73130,base,11,2005,abstract_50_79
W1972593666,73134,base,32,2000,abstract_50_79
W2410019814,73145,base,27,2015,abstract_50_79
W2022750659,73201,base,27,2005,abstract_50_79
W2950663588,73208,base,12,2015,language_ambiguous;abstract_50_79
W2371729456,73216,base,26,2000,abstract_50_79
W7112078349,73229,base,33,2005,abstract_50_79
W3005058171,73230,base,11,2015,abstract_50_79
W1997652227,73236,base,17,2010,abstract_50_79
W7210904205,73237,base,27,2020,language_ambiguous
W2382308659,73241,base,22,2010,abstract_50_79
W4386646964,73246,base,33,2020,abstract_50_79
W2364816330,73248,base,23,2005,abstract_50_79
W3141945757,73275,base,20,2005,abstract_50_79
W2078789759,73282,base,31,2000,abstract_50_79
W2188928642,73300,base,27,2010,abstract_50_79
W2385965953,73328,base,12,2015,abstract_50_79
W2977492646,73341,base,36,2015,abstract_50_79
W2380098680,73342,base,33,2005,abstract_50_79
W1884014714,73369,base,17,2000,abstract_50_79
W2347211044,73372,base,17,2000,abstract_50_79
W2044136862,73389,base,22,2005,abstract_50_79
W2324422974,73423,base,16,2010,abstract_50_79
W3160487690,73425,base,33,2020,abstract_50_79
W4233021665,73461,base,27,2005,language_ambiguous
W4390420443,73463,base,36,2020,abstract_50_79
W2329595464,73469,base,25,2015,abstract_50_79
W4285145810,73473,base,13,2020,abstract_50_79
W2045455517,73484,base,13,2005,abstract_50_79
W3118890013,73496,base,22,2000,abstract_50_79
W2188973186,73521,base,13,2000,abstract_50_79
W2387209280,73532,base,12,2005,abstract_50_79
W4312543845,73544,base,22,2020,abstract_50_79
W2341891103,73551,base,27,2010,abstract_50_79
W1973152927,73553,base,22,2005,abstract_50_79
W2377516539,73570,base,33,2000,abstract_50_79
W2007255175,73580,base,25,2000,abstract_50_79
W4364374529,73603,base,33,2020,language_ambiguous;possible_mixed_language
W2352445956,73604,base,30,2010,abstract_50_79
W2594751716,73607,base,17,2015,language_ambiguous;possible_mixed_language
W4403238990,73608,base,12,2020,language_ambiguous;possible_mixed_language
W2076636375,73618,base,31,2000,abstract_50_79
W4403212067,73632,base,22,2020,abstract_50_79
W3174864847,73635,base,23,2010,language_ambiguous;possible_mixed_language
W3042566871,73638,base,22,2005,abstract_50_79
W2188695575,73647,base,25,2005,abstract_50_79
W2381236289,73683,base,17,2005,abstract_50_79
W4389007165,73688,base,33,2010,abstract_50_79
W2371263749,73691,base,11,2005,abstract_50_79
W3149690487,73696,base,33,2010,abstract_50_79
W4408588064,73698,base,22,2020,language_ambiguous;possible_mixed_language
W2972851005,73699,base,17,2015,abstract_50_79
W3141240685,73729,base,27,2000,abstract_50_79
W4230532850,73735,base,27,2010,language_ambiguous
W2069125997,73738,base,22,2010,abstract_50_79
W2248765896,73740,base,25,2010,abstract_50_79
W2416749577,73748,base,27,2010,abstract_50_79
W2054528603,73752,base,22,2000,abstract_50_79
W226924170,73761,base,11,2005,abstract_50_79
W2604851463,73762,base,14,2015,abstract_50_79
W2373215453,73770,base,17,2005,abstract_50_79
W2012633556,73772,base,27,2015,abstract_50_79
W2767469526,73802,base,31,2015,language_ambiguous
W2379933031,73804,base,18,2010,abstract_50_79
W4254032347,73807,base,26,2010,abstract_50_79
W4383645894,73818,base,31,2020,language_ambiguous
W1692520747,73833,base,22,2015,language_ambiguous;possible_mixed_language
W2357328275,73850,base,27,2010,language_ambiguous
W3168100734,73862,base,22,2015,abstract_50_79
W7132263320,73873,base,23,2010,abstract_50_79
W3031616960,73875,base,13,2000,language_ambiguous;abstract_50_79
W4405582411,73887,base,33,2020,language_ambiguous;possible_mixed_language
W4239942986,73892,base,27,2005,abstract_50_79
W2134555400,73894,base,22,2005,abstract_50_79
W2027702948,73905,base,33,2005,language_ambiguous;possible_mixed_language
W2773143264,73910,base,20,2010,language_ambiguous
W2567536175,73919,base,31,2010,abstract_50_79
W1968007701,73929,base,11,2005,language_ambiguous
W582948497,73935,base,22,2010,abstract_50_79
W2136647451,73936,base,13,2005,abstract_50_79
W2739003060,73970,base,11,2015,abstract_50_79
W2141669526,73976,base,27,2000,abstract_50_79
W2092955451,73987,base,35,2010,language_ambiguous;possible_mixed_language
W2463188376,73990,base,30,2005,abstract_50_79
W1842301236,73994,base,31,2000,abstract_50_79
W4399094081,74001,base,25,2020,abstract_50_79
W4376102135,74008,base,27,2020,abstract_50_79
W2972230742,74012,base,27,2020,abstract_50_79
W4378676901,74019,base,23,2020,abstract_50_79
W2001351155,74027,base,22,2005,abstract_50_79
W4298593703,74035,base,14,2015,abstract_50_79
W2361127918,74065,base,17,2005,abstract_50_79
W4402858175,74067,base,25,2020,abstract_50_79
W4236160343,74068,base,13,2015,abstract_50_79
W1458552690,74069,base,33,2005,abstract_50_79
W2393778290,74076,base,20,2000,abstract_50_79
W2353965302,74083,base,17,2000,abstract_50_79
W2979751779,74084,base,26,2015,abstract_50_79
W1982114432,74092,base,19,2010,abstract_50_79
W2125622362,74126,base,22,2000,abstract_50_79
W2189608841,74127,base,27,2010,language_ambiguous
W2328181532,74146,base,36,2010,abstract_50_79
W2768199368,74155,base,26,2015,language_ambiguous;possible_mixed_language
W2363110073,74165,base,33,2005,abstract_50_79
W2385462278,74174,base,14,2005,abstract_50_79
W1897929453,74189,base,17,2000,abstract_50_79
W1969804148,74191,base,17,2000,abstract_50_79
W1902172417,74196,base,11,2010,abstract_50_79
W2950201127,74216,base,27,2015,abstract_50_79
W2076125427,74221,base,17,2005,abstract_50_79
W2774088629,74222,base,33,2015,abstract_50_79
W2389148332,74227,base,27,2005,abstract_50_79
W7209588423,74231,base,33,2000,abstract_50_79
W2067574503,74232,base,26,2005,abstract_50_79
W4382359605,74263,base,23,2020,abstract_50_79
W3143632196,74282,base,13,2005,language_ambiguous
W4296716917,74284,base,11,2020,language_ambiguous
W2167068478,74286,base,31,2005,abstract_50_79
W7137769939,74290,base,12,2000,abstract_50_79
W2938388316,74308,base,23,2015,abstract_50_79
W2331226979,74309,base,22,2000,abstract_50_79
W3024678861,74318,base,27,2020,language_ambiguous;possible_mixed_language
W2116855697,74322,base,20,2005,abstract_50_79
W2600871738,74328,base,27,2015,abstract_50_79
W2262351807,74336,base,27,2000,abstract_50_79
W2362343028,74340,base,12,2010,abstract_50_79
W2351022955,74342,base,27,2005,abstract_50_79
W2171293010,74345,base,22,2000,abstract_50_79
W2066045315,74350,base,22,2010,language_ambiguous
W4205489134,74369,base,20,2020,abstract_50_79
W2380038862,74379,base,26,2000,abstract_50_79
W3204483939,74382,base,22,2020,abstract_50_79
W1976019725,74384,base,18,2005,abstract_50_79
W1444538488,74387,base,29,2005,abstract_50_79
W4231907139,74405,base,31,2015,language_ambiguous
W2064762567,74409,base,33,2005,abstract_50_79
W2019839507,74410,base,19,2005,abstract_50_79
W2076752607,74435,base,22,2000,abstract_50_79
W2079447574,74437,base,31,2000,abstract_50_79
W2358529241,74439,base,23,2000,abstract_50_79
W1973424950,74441,base,36,2010,abstract_50_79
W4322418875,74470,base,27,2010,abstract_50_79
W2021181915,74479,base,17,2000,abstract_50_79
W1985351009,74481,base,16,2005,language_ambiguous
W2383517957,74482,base,22,2010,abstract_50_79
W4401361458,74493,base,27,2020,abstract_50_79
W2796435683,74502,base,17,2010,abstract_50_79
W2800343131,74507,base,23,2015,language_ambiguous;abstract_50_79
W3085351859,74515,base,22,2020,language_ambiguous
W2083471713,74520,base,27,2000,abstract_50_79
W2258782238,74522,base,12,2000,abstract_50_79
W2298882902,74525,base,33,2005,abstract_50_79
W3128974030,74544,base,27,2020,abstract_50_79
W2922506436,74548,base,34,2015,abstract_50_79
W2965978258,74569,base,25,2015,language_ambiguous;abstract_50_79
W2354313660,74580,base,22,2005,abstract_50_79
W1506494945,74582,base,33,2005,abstract_50_79
W2107549955,74585,base,22,2000,abstract_50_79
W2386331254,74586,base,22,2005,abstract_50_79
W2799690093,74594,base,26,2015,abstract_50_79
W2461902724,74603,base,33,2010,language_ambiguous
W1974772394,74604,base,16,2000,language_ambiguous
W2587419363,74608,base,18,2015,abstract_50_79
W4308017471,74620,base,31,2020,abstract_50_79
W4385803939,74621,base,22,2020,abstract_50_79
W2052858943,74625,base,13,2015,abstract_50_79
W2097306429,74642,base,27,2005,abstract_50_79
W2081627102,74648,base,17,2010,abstract_50_79
W2132387004,74657,base,33,2015,language_ambiguous;possible_mixed_language
W3138866284,74664,base,31,2020,abstract_50_79
W2026963745,74675,base,27,2010,abstract_50_79
W2625938054,74713,base,22,2010,abstract_50_79
W2096279248,74719,base,33,2010,abstract_50_79
W2809811627,74727,base,20,2015,abstract_50_79
W1596739018,74729,base,22,2000,abstract_50_79
W1948401684,74737,base,22,2015,abstract_50_79
W2331101809,74748,base,23,2000,abstract_50_79
W2364728924,74762,base,22,2010,abstract_50_79
W2347945354,74772,base,22,2010,abstract_50_79
W2365403376,74774,base,22,2000,abstract_50_79
W2090995778,74783,base,22,2010,abstract_50_79
W2381852817,74806,base,30,2005,language_ambiguous
W4309983398,74812,base,27,2020,language_ambiguous
W2981424953,74814,base,27,2015,abstract_50_79
W2148642131,74820,base,27,2000,abstract_50_79
W2358178548,74825,base,27,2010,abstract_50_79
W2950411444,74853,base,33,2015,abstract_50_79
W2125590874,74859,base,22,2010,abstract_50_79
W2394300894,74863,base,11,2010,abstract_50_79
W2804923729,74882,base,16,2015,abstract_50_79
W3085091185,74888,base,17,2010,abstract_50_79
W2356843205,74900,base,17,2000,abstract_50_79
