field_id,publication_year,cohort,n
19,2000,extra,203
19,2001,base,150
19,2001,extra,256
19,2002,base,178
19,2002,extra,255
19,2003,base,183
19,2003,extra,272
19,2004,base,219
19,2004,extra,329
19,2005,base,213
19,2005,extra,175
19,2006,base,210
19,2006,extra,163
19,2007,base,251
19,2007,extra,215
19,2008,base,262
19,2008,extra,205
19,2009,base,267
19,2009,extra,205
19,2010,base,291
19,2010,extra,98
19,2011,base,326
19,2011,extra,103
19,2012,base,344
19,2012,extra,117
19,2013,base,325
19,2013,extra,133
19,2014,base,318
19,2014,extra,111
19,2015,base,373
19,2015,extra,92
19,2016,base,335
19,2016,extra,85
19,2017,base,319
19,2017,extra,87
19,2018,base,340
19,2018,extra,89
19,2019,base,349
19,2019,extra,97
19,2020,base,372
19,2020,extra,53
19,2021,base,400
19,2021,extra,68
19,2022,base,328
19,2022,extra,50
19,2023,base,413
19,2023,extra,57
19,2024,base,369
19,2024,extra,56
20,2000,base,112
20,2000,extra,189
20,2001,base,143
20,2001,extra,245
20,2002,base,163
20,2002,extra,291
20,2003,base,169
20,2003,extra,313
20,2004,base,186
20,2004,extra,355
20,2005,base,221
20,2005,extra,165
20,2006,base,212
20,2006,extra,167
20,2007,base,267
20,2007,extra,181
20,2008,base,231
20,2008,extra,201
20,2009,base,305
20,2009,extra,216
20,2010,base,314
20,2010,extra,60
20,2011,base,346
20,2011,extra,49
20,2012,base,366
20,2012,extra,69
20,2013,base,419
20,2013,extra,69
20,2014,base,404
20,2014,extra,70
20,2015,base,397
20,2015,extra,51
20,2016,base,369
20,2016,extra,52
20,2017,base,389
20,2017,extra,42
20,2018,base,374
20,2018,extra,59
20,2019,base,388
20,2019,extra,45
20,2020,base,572
20,2021,base,547
20,2022,base,538
20,2023,base,557
20,2024,base,631
21,2000,base,12
21,2000,extra,289
21,2001,base,17
21,2001,extra,317
21,2002,base,39
21,2002,extra,453
21,2003,base,24
21,2003,extra,466
21,2004,base,24
21,2004,extra,525
21,2005,base,37
21,2005,extra,269
21,2006,base,49
21,2006,extra,322
21,2007,base,43
21,2007,extra,371
21,2008,base,60
21,2008,extra,441
21,2009,base,51
21,2009,extra,523
21,2010,base,102
21,2010,extra,199
21,2011,base,125
21,2011,extra,298
21,2012,base,111
21,2012,extra,324
21,2013,base,118
21,2013,extra,375
21,2014,base,135
21,2014,extra,379
21,2015,base,113
21,2015,extra,293
21,2016,base,107
21,2016,extra,260
21,2017,base,141
21,2017,extra,304
21,2018,base,147
21,2018,extra,290
21,2019,base,172
21,2019,extra,339
21,2020,base,165
21,2020,extra,209
21,2021,base,191
21,2021,extra,206
21,2022,base,161
21,2022,extra,213
21,2023,base,235
21,2023,extra,248
21,2024,base,238
21,2024,extra,300
22,2000,base,869
22,2001,base,892
22,2002,base,1951
22,2003,base,1656
22,2004,base,1622
22,2005,base,1898
22,2006,base,2201
22,2007,base,2294
22,2008,base,2356
22,2009,base,2561
22,2010,base,2923
22,2011,base,3095
22,2012,base,3034
22,2013,base,3073
22,2014,base,3078
22,2015,base,2883
22,2016,base,2720
22,2017,base,2782
22,2018,base,2974
22,2019,base,3379
22,2020,base,3372
22,2021,base,3542
22,2022,base,3629
22,2023,base,4039
22,2024,base,4325
23,2000,base,281
23,2000,extra,56
23,2001,base,298
23,2001,extra,68
23,2002,base,372
23,2002,extra,95
23,2003,base,398
23,2003,extra,96
23,2004,base,402
23,2004,extra,100
23,2005,base,475
23,2006,base,518
23,2007,base,598
23,2008,base,636
23,2009,base,649
23,2010,base,734
23,2011,base,796
23,2012,base,784
23,2013,base,862
23,2014,base,829
23,2015,base,760
23,2016,base,765
23,2017,base,753
23,2018,base,851
23,2019,base,889
23,2020,base,1066
23,2021,base,1169
23,2022,base,1143
23,2023,base,1253
23,2024,base,1288
24,2000,base,100
24,2000,extra,311
24,2001,base,86
24,2001,extra,320
24,2002,base,115
24,2002,extra,284
24,2003,base,108
24,2003,extra,331
24,2004,base,125
24,2004,extra,386
24,2005,base,136
24,2005,extra,228
24,2006,base,133
24,2006,extra,267
24,2007,base,161
24,2007,extra,267
24,2008,base,154
24,2008,extra,297
24,2009,base,180
24,2009,extra,343
24,2010,base,163
24,2010,extra,226
24,2011,base,161
24,2011,extra,255
24,2012,base,195
24,2012,extra,253
24,2013,base,188
24,2013,extra,257
24,2014,base,217
24,2014,extra,251
24,2015,base,198
24,2015,extra,232
24,2016,base,220
24,2016,extra,217
24,2017,base,179
24,2017,extra,216
24,2018,base,202
24,2018,extra,235
24,2019,base,229
24,2019,extra,238
24,2020,base,240
24,2020,extra,168
24,2021,base,241
24,2021,extra,193
24,2022,base,253
24,2022,extra,198
24,2023,base,230
24,2023,extra,196
24,2024,base,242
24,2024,extra,205
25,2000,base,196
25,2000,extra,150
25,2001,base,244
25,2001,extra,124
25,2002,base,275
25,2002,extra,214
25,2003,base,279
25,2003,extra,178
25,2004,base,298
25,2004,extra,208
25,2005,base,354
25,2005,extra,4
25,2006,base,395
25,2006,extra,4
25,2007,base,412
25,2007,extra,9
25,2008,base,465
25,2008,extra,3
25,2009,base,516
25,2009,extra,4
25,2010,base,515
25,2011,base,596
25,2012,base,614
25,2013,base,604
25,2014,base,633
25,2015,base,590
25,2016,base,573
25,2017,base,608
25,2018,base,637
25,2019,base,744
25,2020,base,889
25,2021,base,719
25,2022,base,670
25,2023,base,708
25,2024,base,801
26,2000,base,72
26,2000,extra,283
26,2001,base,73
26,2001,extra,307
26,2002,base,71
26,2002,extra,382
26,2003,base,85
26,2003,extra,398
26,2004,base,85
26,2004,extra,410
26,2005,base,102
26,2005,extra,236
26,2006,base,117
26,2006,extra,290
26,2007,base,124
26,2007,extra,313
26,2008,base,133
26,2008,extra,341
26,2009,base,163
26,2009,extra,347
26,2010,base,162
26,2010,extra,209
26,2011,base,171
