group,n,abstract_sha256,work_ids,action
153,2,46d97810c29b1be7404a46e69268c4b487784dc846b93f46afdd3e00838c88cd,"W7131638588,W7131644415",retain_duplicate_group
154,2,4b35419ff3927dab742358d4c20b12c2e67eb259f4de21367d41ae409dd902ce,"W7134259439,W7134248917",retain_duplicate_group
155,2,4f359175327eb16d93ce1e2bf6fbebad303e0016241745c34b23cdde01b0a4bd,"W3007843606,W3007516787",exclude_template
156,2,52099ce46307219da3dcc4fdead6b615522cd2bd1dfb6f4abc0416334dbacfb2,"W4399499374,W7145504317",retain_duplicate_group
157,2,554ec68721e3eea283af7d3059becf8d0894da08cc5326630a45b48b7e0485c9,"W4253412905,W4238821136",exclude_template
158,2,55bd829d2194a9ce6faf27a08d990e295125faf7a644e55b8183f70372baaaf8,"W3113645423,W2806585979",keep_flagged
159,2,593ee1cd64bfd2d15b47df06b5b37267f50ef733b7eb57d435efb7cd22ff1174,"W4200258686,W3206608020",exclude_template
160,2,5a194267d99641b06b06d9e77311c25a82eb355ce54ea510b07809988ddcf917,"W4249143863,W4250967350",record_specific_decisions
161,2,5b386212bbc9d650905ac373ed56c660916a2b0f156fd8562a601ebb0693fe0f,"W4405599575,W4405600286",exclude_template
162,2,5e3223b53bd871d91e3bbd415a3d5067630b295f5665bdb8c26a559dad2b8afe,"W4252151463,W2580347784",retain_duplicate_group
163,2,5e4d05be7c382689981016b7c854aee0836901cdd9a7fe29caada4ba6ef37e43,"W4414991119,W2994962342",retain_duplicate_group
164,2,5f7d3621a79fbd3ec2a9cf27d9a3beeb7f30957faf473376d3e416b4e6a08fd1,"W4247186501,W2781690531",retain_duplicate_group
165,2,5f8f21cf2f6e0f536eb8a0274c3e0ea012dc922dba1a1d17fa713e5e5bf61651,"W2772872674,W2774150157",exclude_template
166,2,5f9edf7e466abde89cbfa9a7cd115fb80f691601ed90b18ca19709979bd750ae,"W3124108760,W1543364368",retain_duplicate_group
167,2,600b1eeb9dcdde01515fdba1181254fe3197cefe168d8e3879f7a2a14493889e,"W1975734761,W4232377462",retain_duplicate_group
168,2,601765c2c199f5983070131ff23cae80a833cfd988370acc1a157da4ae53fcb1,"W2164626755,W2616573552",exclude_template
169,2,61b08139e1867d3612d79a7403efeaf91fcc96e87bf0b9f30a08becb50086c11,"W1500748386,W4308518909",exclude_template
170,2,62c81c3926df8e8be6b0071b6d8545192c831a91ec84f333f3aea57e10d0214c,"W2156331162,W7207326712",retain_duplicate_group
171,2,635b888384eedac6eb5e19859db6a73fa0c254f9c19a1268a55ff198a0d91c7e,"W4311707748,W4384932719",exclude_template
172,2,6384e7d33d9c125afaf1947da97accd4071724ea96fcf7651dc1c7607a4e43c3,"W2086669682,W2006707673",record_specific_decisions
173,2,6a06e5c3fec0b0148e836cb393087dd0b98a51cdf819b090d6ae88972ab59349,"W3048431375,W4239456047",record_specific_decisions
174,2,6b07c93b89cadc09d177cf53ddc10af9f39377b9aedfd407567ffc5c50a32a6c,"W2625320851,W2756734282",exclude_template
175,2,6bf64f5eba01ab4b307fd04fe953257360d099490e428bd6b864f8d8a74ea6c6,"W2042300981,W4249325535",retain_duplicate_group
176,2,6d93bb0eeaaaf07d423dc0cbd57513b6e429550e8871e60af27740f75749dad2,"W2332118276,W2313318470",exclude_template
177,2,70881e302104257c2ce06e112d3cb64814796ff09b27dd8a388b362c818aeb1f,"W4395006129,W4383740651",exclude_template
178,2,70d2fa61bfcc1f53991cee0f3d8f7ed2749df7810fa247afbccd976dfab1228b,"W2968707968,W4400010388",exclude_template
179,2,75cda28d2e4d324ee8915f4dea67d108e55b9a0b763068139bc1c185fa8247b3,"W4401235679,W3196345854",retain_duplicate_group
180,2,78599ad2716f5bef003d10e3aa816466a2c9b7e2c1a900dd4a3d38c12b7e95b7,"W2186021148,W4242507715",exclude_template
181,2,7a963a76254d57a1023235bde0c9ac61dfb2edafba713520614642b32d2ff40e,"W2010924108,W1987562507",exclude_template
182,2,7b19a841f4527721895fc41edaf8edaea86290ba5e82db4b191a98e2258297c7,"W2801333039,W2804796719",retain_duplicate_group
183,2,7b81738668d8de43d9811d2a1cfa368e073ac84d256ae1280bf28027724f4b6d,"W4238977843,W4231484049",exclude_template
184,2,7d0dfe3025178e69b20614283614874eadbce97337052329b8e097a6776c059a,"W4379617814,W4379624818",retain_duplicate_group
185,2,82c3fe3121531d595d4a0bab30dabd63b8c52f81654e3eb69bbc9da2e076ffc4,"W7131064555,W7131102395",retain_duplicate_group
186,2,82e9e7b53ceff73e6122f7cc393131d1af0931ed6b06de3a8d8a63cefe9baead,"W2077446057,W3088888448",retain_duplicate_group
187,2,83f4e1d8f9b555d98277ae399c2c70ee5a88e14f696b1f7a61acba8991173759,"W3001800167,W3001162421",record_specific_decisions
188,2,8504aeecd48c9e142b05ff20034b158e6bd21ac879ee15340486c35d18cf893e,"W4407343042,W2322434637",retain_duplicate_group
189,2,8516b54d2618944f09c6a93c482f9f1477a201a8745157dfd5ad32288a754eb4,"W1593180977,W4297755773",retain_duplicate_group
190,2,85d1be35dab4fced539d611b2e5d54310b0b2ca465e7028d623c3ba1a9e63b6d,"W7131130868,W7131076924",retain_duplicate_group
191,2,8d0bae2e79a7e1c8072adfed508011da1c3e1e8592954e7329554caebc134b8b,"W7210784818,W7210859832",exclude_template
192,2,8d7654fc969fd610cffc27a05e5e8504ce1ca96cca668bd31aa8594c866d0b17,"W2121991575,W2151910398",exclude_template
193,2,8de0e8ba169624e2fec60efe6bd7a4d7b557a9e81f22c1e9aedf626ac0389773,"W7210065276,W7211447091",exclude_template
194,2,8e006fff1ddd6f021f34673bb6b97d10ddf90b4c44d990e6d9e2ea4c8757afa3,"W4230599939,W4244724912",retain_duplicate_group
195,2,8eae7fa2b70f3f0b09f82bd179493443303dec535c89abef2b62425ed4d15b6b,"W4205397969,W4402281898",exclude_template
196,2,8f03ffcbb2a421b799db2411abe28ee5b9844521087cb3db7b4678a8bc0989e0,"W7211603274,W7211682930",exclude_template
197,2,91cc32543efdc4865f671b8c359923ea2ead07cc1296ec49e549295d49947d86,"W2106645606,W3141274748",retain_duplicate_group
198,2,937bf66b68af6fcc46093b0f37c35879cb89c18ce76a0d6ef9e3f3a569b5904b,"W4245848106,W2586851166",retain_duplicate_group
199,2,95228cfc04eb9f102909637eebeb083136506059c442ff22e950d30a83fd11fd,"W1984501113,W2094901307",record_specific_decisions
200,2,9553bda84008ecc64db3c37159ba9ba68dfffc7c687aa10407bd346b2ad5f203,"W2278953720,W1551829907",record_specific_decisions
201,2,965408db721b5d2f02389a7551f40aa48f0fe9b8909a8d54490d79825851e74c,"W4253034411,W2016162681",retain_duplicate_group
202,2,97986df80f0fbe9eff41560464a901c142e1d1a14d2a33f277d5848101f476eb,"W3202406270,W2620824982",retain_duplicate_group
203,2,9908920b790d853bfc1e6f98110d05679a8fe1d629a451b63a9f26a5472ef8c1,"W4245081647,W2616303189",keep_flagged
204,2,9cf00e89dae2ad9d5a14a8ecde1dabe93a4dfe2db17cde8030e33dd8524fa882,"W1968518918,W3015546205",retain_duplicate_group
205,2,9d7e62618e37d41d9586d8cf516da1e276510bb08903ce968cf0089230727fac,"W4405580532,W4405580873",record_specific_decisions
206,2,9d8c8fbb0255b5695359e133254d9ce621ae632656ae707b72fcd281f6935aed,"W4239310027,W4230852969",retain_duplicate_group
207,2,9ed953490bee399dfb318f0674b875599e1ca0cbd7a0868eac0b983820077532,"W7210668998,W7210581072",exclude_template
208,2,a0368c41cd68babd8b32325d22ed80e04162acd76faee31a77ab38f0c55395d8,"W2950504300,W2981283650",exclude_template
209,2,a094fad2fbbc486da2c548f109a995a9fb083cd835e1e46ed3d923af57ee1ff8,"W2025786374,W4253262059",exclude_template
210,2,a137936793fd1a14aa8da09ec26b5ce380364e6b91939be7d3cbadbe0053af39,"W2070664985,W4240957673",retain_duplicate_group
211,2,a2ed320fbdbc29a5724369498eb12c55699ca5597ad206b036ad5cd66981774d,"W2771485629,W2059069138",retain_duplicate_group
212,2,a3cf6459ae6a1ca8ce0ac9ea29a838a9059ff3a92b7ef9a594bc95d3234861fd,"W2021646812,W2953136325",retain_duplicate_group
213,2,a4012c426f7171ae8931a80b4dd7b9920d2f2b7c33abe0ac6cd667e0da838d8a,"W7131832911,W4210991042",retain_duplicate_group
214,2,a73b005bdfed1b22c5fb77aa3e5fab73ece14f3b717be174828b74bf15d10705,"W3009953608,W3009885463",exclude_template
215,2,a796baeeee65bf98cc39f263c89791f2f3d95ff68b68cdca5a828ab441228895,"W1974637757,W2083339662",keep_flagged
216,2,ac4766e89404b93438f25e2d2dab7bfdfba2cee8cd7ac24bc41dc5d3a980a033,"W7210421235,W7208975451",keep_flagged
217,2,acd5d32f3a46afe4c808577dc61ce8cbf23570f5c9748410a449a41494ee13b0,"W7131382996,W7131400534",retain_duplicate_group
218,2,ada68e0e5b8ef26618320a1712f02225ffcc5ae86b857c5d8c4ec766d5cdee2b,"W2044318662,W1987812648",record_specific_decisions
219,2,b012f8d86e4c2639db1d5bdb33ca15010fbcaae60051b759c2d96b4723e0f2c0,"W4249154896,W2531436773",retain_duplicate_group
220,2,b186c2381063a3f5d5899ec47059a04e2941a718a36f9935362404f7a73c4b15,"W2325918950,W4241791930",retain_duplicate_group
221,2,b1bb28364421a280996771eaa1fea2c7d0f0eb68f589eef8e93987e3add461fe,"W4213007798,W4254331560",exclude_template
222,2,b35197505cbbeb27a9f9fccdca0c23219130222d4066c598df0b8de9e21c26ab,"W3006858110,W3007749584",exclude_template
223,2,b35f01d3263c119fa9780a6c22adc8ea6e779b01ce4afdee438f6972a599f7d8,"W4252395761,W1996642355",retain_duplicate_group
224,2,b3b29cbbe91f9b7771c1f6b7dc33a92955c84f7743e4a021ed7d0184deff5eb5,"W7122735207,W7117158725",exclude_template
225,2,b47a02817331cbe327a90236b62661c3b5e378fb546e203b7bea690d63a67ef4,"W4214930313,W4234512358",exclude_template
226,2,b4cd463791f14a07742bf5eca5500aa71e100dd9e7284c92c45efaa2774c64ee,"W7211641134,W7211066036",exclude_template
227,2,ba92991eea61732c694d49409fa16b92015671f4dd3911ff527c826f355fec4b,"W4375826842,W4413846930",retain_duplicate_group
228,2,bcf83174d432264eb6a1cf03a41d0b2818d9ece6e8a33e837a0fe84be1bf224d,"W4207053600,W4205664524",retain_duplicate_group
229,2,bda1562f2de615b8be18dde3447b6aa6ad1f4a17c34e09ec080f9261617cf3ac,"W2786092781,W3035424089",exclude_template
230,2,bdf7c739805ea8069a1bd8db1041bad3f6955dde870677b25234b42b65c17c62,"W4210479448,W1578950354",exclude_template
231,2,be9af1b323dbae32412859e1be9492f3dd572fe82c5e553e2a8172d597a86b7a,"W4231008694,W2768288123",record_specific_decisions
232,2,bfb6eeb095bfc6dd95f126236ad1a8c0cd4cd706f2cf5c8bb84b0f121300e004,"W4391409945,W4391409984",exclude_template
233,2,c110077ad2bce7ef0543367388ad2c9f2c72b287ef6576d4294b346f2dc152da,"W2187497312,W1945022603",retain_duplicate_group
234,2,c3352f9a3685d60ff7adad3bbed1b722f1fde132a1230ac4f8c08a0fda3828ae,"W2808566217,W2816436165",exclude_template
235,2,c51487ee4994546665873052b368776a227caefcde53a3b493bd29654c47d93a,"W4299577242,W4285736184",retain_duplicate_group
236,2,c6ab730f51b9ae5e80393da6bd4802a305ca437c1996f959abe5de9406de8980,"W2057816024,W4235919492",retain_duplicate_group
237,2,c7ffa1579452e1bfe92d71a3b6a77b981b93c6d9b69b5fcd08da1aed23cad624,"W2602922237,W3023243514",retain_duplicate_group
238,2,c84133e6cab4d838e2d2d46eb280268d0cae57e2a8f38203255e578cb57c6e8d,"W2002141539,W2230636920",retain_duplicate_group
239,2,c909b4a6768893e11b36ea5042bf44d38f2c2bbb21f10d52f2f75d86b5526176,"W2605582957,W2022786417",record_specific_decisions
240,2,cb2006d7369585883bd3c679a97fe7679decc2e0dc586cfd73e0ae0e61d5d24f,"W4237487036,W4234369516",exclude_template
241,2,cbbc631daa016e54dbdfd17c1f730d28d6b6f991db39c6697ffbf5f304d1afc7,"W1563743605,W2052684663",exclude_template
242,2,cce8bc3d061f4551b5d86e62c5c39bcc7cf5cb08e4068558b39d6dd513074b0c,"W4249138015,W4240070603",exclude_template
243,2,ceffb869138fb198e3c0ceead5ed4004a6922ac216f82fbd7aeda8e18b7eea61,"W4247331688,W2081898987",retain_duplicate_group
244,2,cf9adf32c440937bc4df33de64bb997085770e2e70620170c20c576f197b14c6,"W4234183258,W3153836090",exclude_template
245,2,cffcdb4ea1299354929b6d2d36f4de20f328e3b8a2061b0c80edc8c4493c8c50,"W2461104990,W2501803968",keep_flagged
