work_id,selection_order,cohort,text_sha256
W2026777610,5716,base,209dffd45b83e9a9dde6f59b43b149c58443379f9e365c2f7a203a4203d1cfb4
W2098698887,5723,base,950c23233fdec88842011336a4e653392a0267a1df2eec1c8765c523d3d55d67
W2975025874,5766,base,f2c28854c432c7b143ded501d2cec7996407e4c267eadd799822c70658f25147
W308617980,5802,base,122d9ce83ade3b8742b7f57a6349b2d838224dcb45ba7678e139848effd32d01
W2257444961,5808,base,6299051fea1b30e5ec6205f5203a845ccf199307b5321d08ab234bac91ffdecb
W2048067818,5813,base,c304b9a0f1a5520d4591775ffdd9767f8376588d0933cf1415d82725b6a4006b
W3167854340,5865,base,ae37d4f722f371fc61e3f4571231106e94442a98d39ef5246a57b813288722ae
W3119263167,5942,base,4b9c9b89fe45e7382948472fb16e5dab03668cefcbcf2542f9da99d69f412c45
W2042899269,5951,base,81ebe49bd05e53425834122f484cc4da7966890ceac9aabcc0a0e66158b2b3c9
W2141580960,5978,base,bfac861c49d201587eb502c8f141c286ea87f0df2a1f90ec3a287891b5e5d8f1
W2122059472,6004,base,6716a50038525f9bb6d441838daac0e5922dc4d846b6db07c4cd00e02d53c298
W2170480676,6090,base,899339390ae69d46e85d2197bd23a261f499a4863f87c27f34c08297f87c0f3c
W4211213064,6161,base,7ff1569f9deab7659485e44ce603a8f105698fa1490cbe7b73b2115b7968580b
W4308885166,6180,base,fb829d4b8970d93c8a262681727981e80d3599e3e8f9fa4d1f149c7e0c6a0390
W1939347469,6225,base,77482a1af14e3b2a8f914ab9353011178c0127d796d0cb3b4d4d1ea28f9d2836
W2584541419,6252,base,debaea60ff4e3b9f75d85385f47c4aa29d1bef7c9e379dd2dd30e705394ce370
W3121998109,6301,base,7bc049b252076369e4ac89bedc7a4a3a636d786c7af08e20fbc3e903cf347903
W2131173378,6324,base,09a92374e5cc4e76900ea8d3fb3761ff5ea764ded97954aa70abb745c28081bb
W2371495055,6328,base,0699cb19c57d46ecd734a48d577279780fd0519743cf821b38c8f95cd520eb26
W3202588525,6340,base,03a5a7fed67511d7fc0faab38c03309d82232bddb08dad626dd3df6c833603c0
W2912691693,6382,base,ec3f5a3f590f3ce2634e9994e3ee84d8b9ddae156261539ce88be8893aeeec5c
W2787218793,6392,base,fe9cb0d4d035a2176fd0bf21ffe5717344c12c551a4a40b4c55ab05c695321e7
W1530720696,6440,base,a7362720ec6918c0ad6b418deb1beb3bfd7e05df7fdad648cb060c8f32adce54
W1984420792,6536,base,0d08b947884ba35b995f925f133924025472a790af1184265ba81ec525f9a616
W2063750728,6685,base,700f0a6a3b6ce741633b145baf65a77cd433c708311c38186650c1cebc657f8a
W2002422786,6703,base,423b22edd81cce9e63377daef0f1dfcc0431ea4d79e5d8b1440b1e046a994663
W4386283428,6768,base,48859d37da0a1fe4240673be2d02f297ce656757da986bda03fa24f94d02225e
W2154386548,6804,base,242538bbdf071eabd2d10c6e51af214cae1aa6e1faa628882257bc14bed5a864
W1963487167,6853,base,bd960b3306c39f17055288ee04782421368667caf2817545274e9622a8380e99
W2963492612,6878,base,76f0b18f06aaf7851917de0c9a5038332214060534afe4630550188e143b7932
W2503122099,6896,base,f1755d3002ed829e9104aca75ee037e5f47efc28dd997d93ecfa724f70236b7d
W2184883233,6897,base,50e8f9a39ec78bf5de80354a498aaee97be19c1e43e827458b1f011052d09f47
W2050288769,6927,base,c84358aa2b23621322b1cc55df2cef8320c0d84eac5a215cdd9dee910ee0c1b7
W1888964631,6952,base,964fa2f77949bf18408796f98fe157caf97f5f957a468c6fd821c447fa69d60b
W3047348240,6981,base,40ede0dab9029a11056583e4201f823ac46f635095f7438154c4260de7274732
W2772288880,6988,base,2c99f474a6a80cc7fb6d5e89664b454f19c9e658b21caf206eaa121557ad6015
W2029431577,7067,base,0fc7ebce1351e5eb3c1b4065fb1276cc3a679e9366e7ecf71dde9ba06f51b2e2
W2054728358,7080,base,a2fa3506d16b556ddd82aaf0c57e98f44aa06d39a30d3ce61215740322e63f7b
W1995609696,7106,base,3e69746a6597f5947399c49007a377de00f5d769e8f50fb4c156fba04b1a8f1c
W349888654,7119,base,aee0e6ef9060e8ef6b762bc9f9cf934fc6ccfacd4656ed02f521be1c10a82927
W4405406107,7134,base,c4b69bc72862837a38d7217b42816d7f932e6aef23ddae70cdb0460836a54ea3
W2006942674,7138,base,f7bc447870d80a29ec39a2ec6f5d307b5000b96556f1a414f87bf45b05d97157
W2104438354,7176,base,ae7bd78b3dfa6bc27026d4279bb23f3228902f8ef8f71ddf06e19ebf5667b4f2
W3046664281,7255,base,3ca061aa92065b13ab6cf592dd78806a6d361df75c7a23736fbc9a98ca583a50
W4310272035,7268,base,94b16ff81658da57f866e5124e13ae58615f12bb2a8d20694165475c716e183c
W2170883266,7296,base,57b87a05ff0ef82436bc751729ece3a4fba2679785f0578211aec00987a2a132
W4323320680,7300,base,440f05753990f80fcccdbbd6226162107275a2314ae5aa498d41fc5d5b42a1fc
W4379617394,7302,base,6ff330aff1a009506def418f77dfbaafa44afca373005242fad43ba9d4f50130
W2322277191,7334,base,4e7bb05d3471e071fc047b58beb929c14ae967b7e062495a8c392b132ae0b398
W2092246535,7337,base,55248ccabfb9843edc0fe8be12ed8dd266c3bc2610afc4156f28196e808623ca
W2764324616,7413,base,51de94a9c5587b2c2dae50f6f9eeaed857fa62f1811660ef877f12d548db0902
W99312933,7453,base,380a9b827c04fb818ae3f636c87529f54e91a817d7c226f843a96f1faa2c18d5
W1985734385,7462,base,d0a58043714bd47a609fd585917b8978b3de014c7f13596431004907943aeb73
W2954734300,7480,base,a8ffea7089f41ba8478f45bae50c0c525c344b2313639765d9870cdd99abc81c
W2912671951,7566,base,cd7973b86a89934e607a294151af1c9a983bc1db0facdec580905fefd82a1a49
W2045525055,7604,base,dcef0df3b8668e98ba1608031bc3c6c7d5df6bf6114e068b478a41fbfbe9225b
W2370232139,7618,base,19682b36bbbe089ee58f6a24f93555ed3782864619f365fbae06ca6f178631e9
W4389096420,7620,base,cb5d2b1649a4995747de2ebf782ebaff2975a6ef57297bc1f87507e17856ce6d
W166608032,7623,base,0d08b42a6aac67323ff4996bcb0dc9c671705497c37eb0c50176bcba5d7de846
W2736008342,7646,base,524126767d3ccb8c48b88f90c177c91e160c98d56860829d3af4234a73ea169e
W2088936071,7683,base,84bbb3b47025938c9bf588d1182f48b5009bdaa8ff8baaebc066369ee1f889c3
W2350821633,7686,base,e55e0b8209d2c93f9877d037aea7640635e8f4c091441c5810909ca05a7e0e2e
W4399098686,7740,base,f832a230ff664ecae316c920c814ae14e7bf011ef0fe71c21c8d620c75ed17ad
W1984073367,7752,base,fa876b389afc4faf700d6fd4ffb587fa84dd67f572e305abdc691f3c10dd497e
W800693872,7762,base,b56fd9186350beb5302ee4754da3ed9d33fd20e6a9a42a9d8944e4cac4e0cd73
W4389546200,7775,base,79031016c2caef5a53902eebf562b361647d887b366c8e316356406fd55661cb
W2954747751,7812,base,ab6ab1bdfad40f0360fae3b6f94512aaf5644e1f1ecefb0e8921a5e2cb828d70
W2033523123,7834,base,6e4b8a510dd2fbb3234d3e1385e64cc9b2d536711e8b05fc20334b14e140428f
W2165803013,7899,base,03d25ace885942747fbb83e6302d37e5c06c8083ec81db5201788a8949ef8bbd
W3098165045,7906,base,de6d2ffcd87db6b00f2d0ac84c6caecca5e06d9ff04210c1c4a50341e1d5199c
W3093219070,7910,base,6a501b5e3ed0352f735da38d2606fb07ae5270174dbc5d0932706ce78f3bfff6
W3144105777,7971,base,f64db7afe600c40573800b4b3dbcbff832760c5f7553ea956f480f88159baf4d
W2614728462,7987,base,212df685d3ddd613fbcdd83464ce434466508265c26d9b8da3b76f74ceb007c9
W2018829214,8011,base,325ebc952019005f8a6606ca47166fbd9a3a468da6d35db58db8f887893568a6
W2595091439,8035,base,fb5c101eb96e9aaa01e0277b79668d2a144142443aca702972cba50d3f74e301
W3089313990,8076,base,08a6d20f8501fe59a09ec256de0e31685c20eef4c6dd845c8453f4c8f9168340
W178928829,8093,base,3f879f6c0bacc8eaf26dba185557a0646eed64a6eb0f2a1f92dacefdd0d301f1
W4393230837,8099,base,576f0df1a7ba295d6372b08a871808a8b7048f2160fae42f5ee6c5237d2e0005
W2053392542,8175,base,d8fbb5c42c16d89959cc65bca2c7061550fd2bb72c0d864c8ffd92970308700a
W1999669300,8200,base,7253fe4e1d32cccf5f81716c838bfcda1ca5860e4c19db491fe2287e7a3bf1c3
W2383601441,8252,base,ed143fa3690984b4022872a12e8014a8fbf890ca7537649dc2faea4e87837e59
W2376064044,8265,base,72a8e334e7c6c1b540a5ca9e78e04d72901b90e84ef034000177dc5e76d9a68c
W2782235990,8290,base,d470559e6146bd97994243983aac9f2426ef5fc0702091ccbf0ba20dd0a41fde
W2041334269,8324,base,9699c9956bdf44ef06f6f75046497e87aa6d03e13225ce06fd51a1fb3a0b3d9e
W1501534451,8372,base,e63329ddd4bd1216ae140f7f8159ccb3bfcf2ca1b215338c6eea3b420477cd54
W3199744434,8409,base,d077c14fe44280c3ff416e91b81fc05e623d4437178b77a56e7d289c141f330d
W2062353209,8484,base,6543c2a4f1072079cddaf50d98b2bb02a9ed0cc2b4c4c0380d1fcf96f2213956
W2371162732,8514,base,01a5d031f2610c0908aa3209b3a5c43d525736b7e82be4b1bb0020ad44d1b5cb
W2235345049,8553,base,a5d691c6236c6e20b53bcddc81f54b53d02e01eabe24e3c855bdfc771baa11de
W2214826895,8597,base,9ac4749af1faa0f14411563843ac5958cf0a06ec090ad5994aeba86bd24e7551
W2545289504,8618,base,7c3229d1e8bbe18ed26122093d7d71b1bec3720c3f64b5cd0f238b158a2e658a
W2519721689,8667,base,e7cda4e94df4326706e2a1d330a6d4bca2674a4911dc4cdec13296389d1cd1b2
W2054079887,8675,base,ba9a2aa0aff9023f33b24265a472d93adbcf836fd1190347c704044af7e17ccb
W4403923800,8695,base,06642eace0b70f3145ad35f8b7ad48c834db1e2ad10a2d9529c2d9cbd9bb0784
W2266790151,8745,base,c6a0f77842273a6e155b80e99d76d8d64b1f1b4ccbace76d42bb388b9b2893d9
W2212697698,8786,base,e4f0ddaa121189e37bae471bcc7f6e962c2d1222710716bb9f2e67344e84050c
W2248138005,8823,base,fddd24db1d5f088c68abc6d2a3fc672748d9de58ba2577098e10025acc78226e
W2355309985,8861,base,dd93c6af5adb084123db5d516fd7f5ed18bc62ed4800f3f1b4cd79bc9115a9a3
W2511652770,8884,base,ac13dbfc25d3fc7efe3b2671b9ed6c2db991b5f9ac747fafbc65b09b486fbba5
W1996733591,8885,base,06bc76f6d2300047bca1892d91aa021558aff551f667ab93f0dc4045e0eb9fcc
W2618646144,8894,base,69af73a64f7e528d20e45d4fae19cf85a4aa97c37bd460a895cadfb59c530faa
W4385997819,8899,base,b5b0ce23d54552933ba474054c1b384c63ec2800bcdbc59e3ac201aacc6d8177
