field_id,year,cohort,n
33,2017,base,1728
33,2018,base,1919
33,2019,base,2166
33,2020,base,2509
33,2021,base,2710
33,2022,base,2818
33,2023,base,2930
33,2024,base,3198
34,2000,base,12
34,2000,extra,353
34,2001,base,13
34,2001,extra,448
34,2002,base,6
34,2002,extra,454
34,2003,base,14
34,2003,extra,403
34,2004,base,14
34,2004,extra,447
34,2005,base,11
34,2005,extra,327
34,2006,base,23
34,2006,extra,387
34,2007,base,20
34,2007,extra,404
34,2008,base,18
34,2008,extra,437
34,2009,base,28
34,2009,extra,509
34,2010,base,20
34,2010,extra,362
34,2011,base,26
34,2011,extra,368
34,2012,base,23
34,2012,extra,397
34,2013,base,19
34,2013,extra,424
34,2014,base,22
34,2014,extra,503
34,2015,base,25
34,2015,extra,364
34,2016,base,35
34,2016,extra,360
34,2017,base,35
34,2017,extra,375
34,2018,base,34
34,2018,extra,427
34,2019,base,39
34,2019,extra,470
34,2020,base,23
34,2020,extra,362
34,2021,base,49
34,2021,extra,405
34,2022,base,42
34,2022,extra,380
34,2023,base,52
34,2023,extra,409
34,2024,base,44
34,2024,extra,398
35,2000,base,23
35,2000,extra,311
35,2001,base,27
35,2001,extra,329
35,2002,base,44
35,2002,extra,416
35,2003,base,29
35,2003,extra,424
35,2004,base,35
35,2004,extra,526
35,2005,base,35
35,2005,extra,304
35,2006,base,53
35,2006,extra,308
35,2007,base,48
35,2007,extra,394
35,2008,base,54
35,2008,extra,424
35,2009,base,64
35,2009,extra,480
35,2010,base,71
35,2010,extra,268
35,2011,base,79
35,2011,extra,320
35,2012,base,96
35,2012,extra,372
35,2013,base,91
35,2013,extra,370
35,2014,base,101
35,2014,extra,396
35,2015,base,99
35,2015,extra,293
35,2016,base,119
35,2016,extra,313
35,2017,base,104
35,2017,extra,314
35,2018,base,97
35,2018,extra,316
35,2019,base,121
35,2019,extra,387
35,2020,base,125
35,2020,extra,209
35,2021,base,160
35,2021,extra,278
35,2022,base,167
35,2022,extra,265
35,2023,base,185
35,2023,extra,274
35,2024,base,196
35,2024,extra,304
36,2000,base,98
36,2000,extra,290
36,2001,base,94
36,2001,extra,284
36,2002,base,127
36,2002,extra,316
36,2003,base,122
36,2003,extra,325
36,2004,base,147
36,2004,extra,360
36,2005,base,155
36,2005,extra,212
36,2006,base,174
36,2006,extra,227
36,2007,base,176
36,2007,extra,221
36,2008,base,212
36,2008,extra,262
36,2009,base,217
36,2009,extra,307
36,2010,base,249
36,2010,extra,119
36,2011,base,282
36,2011,extra,129
36,2012,base,329
36,2012,extra,128
36,2013,base,314
36,2013,extra,129
36,2014,base,338
36,2014,extra,146
36,2015,base,349
36,2015,extra,46
36,2016,base,306
36,2016,extra,60
36,2017,base,389
36,2017,extra,53
36,2018,base,375
36,2018,extra,61
36,2019,base,461
36,2019,extra,63
36,2020,base,518
36,2021,base,570
36,2022,base,604
36,2023,base,570
36,2024,base,602
