field_id,period_start,cohort,n,non_en_top_label,non_en_score_ge_09
21,2010,base,593,12,8
21,2010,extra,1571,19,13
21,2015,base,680,8,4
21,2015,extra,1484,19,12
21,2020,base,983,4,3
21,2020,extra,1181,5,4
22,2000,base,6944,39,18
22,2005,base,11241,76,35
22,2010,base,15097,181,103
22,2015,base,14675,195,118
22,2020,base,18837,144,112
23,2000,base,1737,22,7
23,2000,extra,427,7,3
23,2005,base,2860,37,16
23,2010,base,3995,78,37
23,2015,base,4051,96,63
23,2020,base,5947,127,92
24,2000,base,531,4,1
24,2000,extra,1633,7,0
24,2005,base,763,13,5
24,2005,extra,1401,14,6
24,2010,base,914,5,3
24,2010,extra,1250,14,7
24,2015,base,1021,12,6
24,2015,extra,1143,8,4
24,2020,base,1192,8,4
24,2020,extra,972,3,3
25,2000,base,1287,9,3
25,2000,extra,877,5,3
25,2005,base,2135,18,14
25,2005,extra,29,0,0
25,2010,base,2952,25,19
25,2015,base,3146,32,23
25,2020,base,3768,23,20
26,2000,base,380,3,1
26,2000,extra,1784,10,2
26,2005,base,637,9,3
26,2005,extra,1527,11,3
26,2010,base,889,7,2
26,2010,extra,1275,6,1
26,2015,base,1095,15,4
26,2015,extra,1069,7,4
26,2020,base,1546,15,6
26,2020,extra,618,5,1
27,2000,base,7085,71,32
27,2005,base,10878,148,58
27,2010,base,15716,203,112
27,2015,base,18614,260,158
27,2020,base,26080,264,167
28,2000,base,708,3,1
28,2000,extra,1456,10,8
28,2005,base,1002,12,4
28,2005,extra,1162,4,1
28,2010,base,1396,11,5
28,2010,extra,768,7,4
28,2015,base,1630,9,5
28,2015,extra,534,6,4
28,2020,base,2033,13,10
28,2020,extra,131,0,0
29,2000,base,177,3,2
29,2000,extra,1987,29,18
29,2005,base,286,5,2
29,2005,extra,1878,32,19
29,2010,base,451,12,6
29,2010,extra,1713,36,20
29,2015,base,505,23,16
29,2015,extra,1659,70,46
29,2020,base,677,30,27
29,2020,extra,1487,67,62
30,2000,base,153,0,0
30,2000,extra,2011,15,8
30,2005,base,272,3,2
30,2005,extra,1892,16,11
30,2010,base,435,5,3
30,2010,extra,1729,10,6
30,2015,base,374,4,2
30,2015,extra,1790,26,14
30,2020,base,467,4,2
30,2020,extra,1697,14,11
31,2000,base,2085,5,3
31,2000,extra,79,0,0
31,2005,base,2679,11,4
31,2010,base,3080,13,8
31,2015,base,3362,20,15
31,2020,base,3435,6,3
32,2000,base,832,8,4
32,2000,extra,1332,13,5
32,2005,base,1344,26,11
32,2005,extra,820,19,8
32,2010,base,2096,45,27
32,2010,extra,68,0,0
32,2015,base,2602,84,56
32,2020,base,3990,79,67
33,2000,base,2789,67,42
33,2005,base,4899,104,57
33,2010,base,7175,242,140
33,2015,base,9088,497,303
33,2020,base,14165,756,454
34,2000,base,59,2,2
34,2000,extra,2105,39,27
34,2005,base,100,3,2
34,2005,extra,2064,48,25
34,2010,base,110,3,2
34,2010,extra,2054,49,33
34,2015,base,168,5,4
34,2015,extra,1996,31,23
34,2020,base,210,2,2
34,2020,extra,1954,14,8
35,2000,base,158,2,1
35,2000,extra,2006,16,11
35,2005,base,254,3,2
35,2005,extra,1910,14,4
35,2010,base,438,11,4
35,2010,extra,1726,23,9
35,2015,base,540,13,7
35,2015,extra,1623,27,14
35,2020,base,833,7,6
35,2020,extra,1330,10,6
36,2000,base,588,7,5
36,2000,extra,1575,22,9
36,2005,base,934,11,8
36,2005,extra,1229,21,10
36,2010,base,1512,48,25
36,2010,extra,651,21,12
36,2015,base,1880,51,28
36,2015,extra,283,11,8
36,2020,base,2864,81,52
