field_id,period_start,cohort,n,abstract_50_79,legacy_id,legacy_text
19,2005,extra,965,95,74,57
19,2010,base,1605,119,90,69
19,2010,extra,559,35,29,26
19,2015,base,1699,76,110,81
19,2015,extra,465,29,29,23
19,2020,base,1871,60,84,63
19,2020,extra,293,7,15,12
20,2000,base,766,154,22,19
20,2000,extra,1398,274,47,44
20,2005,base,1239,213,22,19
20,2005,extra,925,141,24,24
20,2010,base,1850,195,25,21
20,2010,extra,314,36,4,4
20,2015,base,1952,137,32,27
20,2015,extra,212,21,4,2
20,2020,base,2890,131,36,28
21,2000,base,115,23,24,21
21,2000,extra,2049,429,448,371
21,2005,base,241,40,31,26
21,2005,extra,1923,345,258,212
21,2010,base,593,75,42,32
21,2010,extra,1571,195,119,100
21,2015,base,680,37,55,39
21,2015,extra,1484,95,124,91
21,2020,base,983,34,55,46
21,2020,extra,1181,32,84,64
22,2000,base,6944,1478,207,182
22,2005,base,11241,2114,217,195
22,2010,base,15097,1996,191,168
22,2015,base,14675,1023,221,184
22,2020,base,18837,684,206,162
23,2000,base,1737,189,144,116
23,2000,extra,427,44,32,29
23,2005,base,2860,287,129,100
23,2010,base,3995,294,133,108
23,2015,base,4051,166,139,104
23,2020,base,5947,155,121,91
24,2000,base,531,26,48,35
24,2000,extra,1633,82,174,141
24,2005,base,763,53,59,46
24,2005,extra,1401,76,111,91
24,2010,base,914,30,50,40
24,2010,extra,1250,52,85,74
24,2015,base,1021,50,70,58
24,2015,extra,1143,31,71,54
24,2020,base,1192,44,53,38
24,2020,extra,972,29,43,31
25,2000,base,1287,190,83,62
25,2000,extra,877,136,67,45
25,2005,base,2135,268,107,79
25,2005,extra,29,3,2,2
25,2010,base,2952,286,94,71
25,2015,base,3146,205,100,69
25,2020,base,3768,168,96,71
26,2000,base,380,124,66,47
26,2000,extra,1784,561,361,257
26,2005,base,637,224,75,57
26,2005,extra,1527,466,215,158
26,2010,base,889,263,90,72
26,2010,extra,1275,388,132,105
26,2015,base,1095,296,77,57
26,2015,extra,1069,269,74,56
26,2020,base,1546,253,100,73
26,2020,extra,618,103,31,23
27,2000,base,7085,492,501,459
27,2005,base,10878,771,504,449
27,2010,base,15716,999,479,414
27,2015,base,18614,877,502,400
27,2020,base,26080,895,460,357
28,2000,base,708,34,90,82
28,2000,extra,1456,81,185,169
28,2005,base,1002,49,106,95
28,2005,extra,1162,57,102,93
28,2010,base,1396,50,104,89
28,2010,extra,768,24,41,36
28,2015,base,1630,53,103,85
28,2015,extra,534,10,35,27
28,2020,base,2033,48,79,51
28,2020,extra,131,3,5,2
29,2000,base,177,16,30,29
29,2000,extra,1987,139,283,251
29,2005,base,286,28,36,33
29,2005,extra,1878,145,247,219
29,2010,base,451,25,58,50
29,2010,extra,1713,94,205,180
29,2015,base,505,14,49,40
29,2015,extra,1659,60,184,158
29,2020,base,677,8,39,32
29,2020,extra,1487,28,99,79
30,2000,base,153,19,35,30
30,2000,extra,2011,258,481,405
30,2005,base,272,36,33,30
30,2005,extra,1892,194,239,197
30,2010,base,435,31,40,37
30,2010,extra,1729,127,153,133
30,2015,base,374,35,37,29
30,2015,extra,1790,121,186,136
30,2020,base,467,15,37,20
30,2020,extra,1697,91,128,84
31,2000,base,2085,359,74,51
31,2000,extra,79,9,4,1
31,2005,base,2679,419,95,71
31,2010,base,3080,368,87,60
31,2015,base,3362,296,107,78
31,2020,base,3435,202,64,52
32,2000,base,832,112,72,66
32,2000,extra,1332,160,124,111
32,2005,base,1344,172,65,54
32,2005,extra,820,79,44,42
32,2010,base,2096,163,77,66
32,2010,extra,68,5,6,5
32,2015,base,2602,120,69,53
32,2020,base,3990,122,58,47
33,2000,base,2789,521,230,196
33,2005,base,4899,873,230,198
33,2010,base,7175,850,248,210
33,2015,base,9088,602,240,197
33,2020,base,14165,486,273,240
34,2000,base,59,4,22,18
34,2000,extra,2105,128,762,626
34,2005,base,100,9,27,26
34,2005,extra,2064,143,527,437
34,2010,base,110,5,31,24
34,2010,extra,2054,113,345,279
34,2015,base,168,8,33,25
34,2015,extra,1996,73,311,239
34,2020,base,210,1,36,27
34,2020,extra,1954,36,260,204
35,2000,base,158,7,56,51
35,2000,extra,2006,150,589,537
35,2005,base,254,12,40,39
35,2005,extra,1910,102,336,303
35,2010,base,438,18,59,54
35,2010,extra,1726,79,210,182
35,2015,base,540,16,54,40
35,2015,extra,1623,56,170,127
35,2020,base,833,28,49,42
35,2020,extra,1330,36,71,49
36,2000,base,588,70,112,105
36,2000,extra,1575,242,257,231
36,2005,base,934,140,108,101
36,2005,extra,1229,132,159,146
36,2010,base,1512,129,117,102
36,2010,extra,651,58,54,47
36,2015,base,1880,116,118,91
36,2015,extra,283,18,18,16
36,2020,base,2864,99,120,96
