work_id,selection_order,cohort,field_id,period_start,title_language,title_score,abstract_language,abstract_score,text_sha256
W4295116892,295636,base,33,2020,en,0.5373120307922363,en,0.33122777938842773,73dca3074831c7743958da065e91ae12426856df15c76fb50839f96cbdecf0a9
W4229369540,295672,base,13,2020,en,0.6614636778831482,en,0.7907084822654724,3d25592db61226d949684055ce3028b03d8372011a38254cd8167f4f9f1606d9
W2978392625,295708,base,22,2005,en,0.6363644003868103,en,0.7406204342842102,ccdbfe7f9c28cf89242be77d4d8545c899cf9132c010afad46d52a7b0bc98302
W2231371449,295733,base,33,2005,en,0.5877319574356079,pt,0.9961866736412048,1fa599e28f5f61eb19399623f7bdddc0be555351253e463c81648d4d5eddb037
W1733663717,295746,base,33,2005,en,0.4356484115123749,es,0.7389540672302246,18c42e546295b015f0ff29028eba47184121964d0956b67254a57be11708319d
W4221112429,295886,base,36,2020,en,0.896933913230896,ko,1.0000698566436768,090b4606836c189c5f89075c6636f2be8cc89048349e17defa25bfb570348403
W1488770376,295896,base,35,2010,en,0.8329319953918457,hr,0.3857409358024597,ce1b020a62a90fafdd3ba4c444760ce6ef439548b7aa4decbedf49bcc7db04bd
W4311535720,295941,base,33,2020,id,0.4334694743156433,id,0.5115097761154175,dcb09093a20412c76587df089970c911c69cf0299c046274f7869140eb235d51
W2386844990,295971,base,17,2010,en,0.7776055932044983,en,0.7988423705101013,caac430db009d2bc537d8df4bd516a4afb5db802f8a7b1c73059edc62729043a
W2775122760,295974,base,20,2010,en,0.658027172088623,hr,0.3594553470611572,09d447aded4316d39e6c6787c79a8ce5caa2f86cef17902580a3ed0747792124
W4402684901,295979,base,22,2020,en,0.8742679357528687,en,0.5181276202201843,76639729f50bb0c17fd57a2a095d0be653de1e9cbba5d43feeb12bc865ca0e42
W2188398761,296044,base,22,2005,en,0.6247143745422363,en,0.7255682945251465,5867dd0b3fae86ae16ac3bb4d6f65ff00f4233d0a04b17932b8c0e71775facbb
W1551337592,296072,base,33,2010,en,0.8670980930328369,es,0.9852520227432251,ff65a0a17395b1b73f92833037141cdc2eba8ea95d680a8c849cbf4a8b2929e9
W2792216691,296089,base,13,2005,en,0.7446504235267639,en,0.7726741433143616,0d136af35d7bf48dd9160ea46b7c018cc0c3e95037d649be18b1ea3fca979560
W2069340181,296168,base,23,2010,en,0.8224691152572632,ko,0.8498384356498718,63e717ffd180618ea94cf0f83f4fb1513727d2481deb3197fca9255d3a4fc6e9
W2369230162,296172,base,19,2000,zh,0.9134961366653442,zh,0.8526667952537537,3260d7ee00d477e599e59b00fe47e17b2fd0fa37a4a3d0ac6807ce7411ecda40
W4285614798,296203,base,14,2020,en,0.9343671798706055,pl,0.744011402130127,c7d56e2c05adfc6b2ba0253d967da6cbbbd19f95a99f400579b2d1aeed331d4a
W2205418688,296204,base,33,2005,en,0.770902156829834,hr,0.4987832307815552,2aa0c3de96c98e7e85a88d7ef133f3ef02f643be3eb5afb3abaf1997a86ceb79
W4283787700,296221,base,33,2020,id,0.7385525703430176,id,0.45094019174575806,fdd22c45a099d5fd894120bb04c8e5f1dfda49e900246040bfef040dbef5e647
W1605897039,296358,base,11,2010,es,0.25721508264541626,id,0.4515988826751709,fa24ab3e92cc117c7480ea64270be231c8ec7bb641ee4361f38b488313167aaa
W3113972454,296403,base,20,2020,sl,0.28453636169433594,uk,0.9990574717521667,87180630ed371b05ff3a46fbbefefe8173938b068a15803145b7fbc6956d77a6
W2287558869,296425,base,27,2005,en,0.7230108976364136,hr,0.3463204801082611,114597c14c005dd78e477d219fca5b7cc40d4ee34b02b9efb3d616a08a742551
W3216106299,296465,base,22,2020,en,0.7015556693077087,en,0.7712597250938416,94c2b16d1c8062d00d160f14a6ae2b6c442946789c98da9af93916fcd2444fb6
W1621581153,296470,base,33,2010,en,0.8833293914794922,ko,0.8600029349327087,0a0537d6ca8f025eeb60d93d33b9613fc748bf92435f5723dda21689a15f6c32
W4299945274,296493,base,33,2010,tr,0.26127663254737854,tr,0.9978330135345459,8c3b15877ac6b69a9a45c7902880ad72f63c6b14faf87d43d7d168ed87e0ea93
W4300604075,296532,base,33,2010,fr,0.8470543026924133,fr,0.541666567325592,c3c115c2311639bab8989b07794c4c25d0e87312702b77eb228312a663f711a2
W2531427392,296547,base,27,2015,en,0.7871883511543274,en,0.6165012121200562,3255bee9e90fd1d5005107ce8f4b72486e03ac6160c6f707677b9583156faf11
W2960782582,296567,base,27,2015,en,0.8650669455528259,id,0.3840729594230652,fb67fd636886b1f8f3ea516c9649c245b5fd81d0bbfe1e217dc2082628b3425f
W4235938277,296568,base,15,2005,en,0.7642655372619629,en,0.7819696068763733,e110dad51c6c6e4e233a08bb2583bd265195b33888e0f03938a96d4c232713e2
W2049408035,296606,base,22,2000,en,0.6629925966262817,en,0.7771248817443848,7f963967690b5a0d28075a547c5bb5c197501f83ce01dc92888b1d7a35dfa1e1
W4253336280,296614,base,16,2010,en,0.6591551303863525,de,0.9963929653167725,4029cfbb829f7324133e60b29c1fd6272915391a9b7c9867f0d3a318e91c2831
W2885725236,296657,base,33,2015,pt,0.9661877751350403,pt,0.6618364453315735,0158190953a81346ae99d5cb43dee973461161b089381c83fbc64d9eb899d136
W2328927911,296735,base,27,2015,en,0.8253260254859924,ja,0.9194691181182861,db290b3bf5eec09889adf3461e4be6c42306319f162dd2bfb27620ce8b500109
