outcome,field_id,model_a,model_b,mean,residual
cka_primary,18,scincl,bert,0.5281728618819128,-0.010174880362422645
cka_primary,18,scincl,mpnet,0.8001603566797156,0.02175588111805138
cka_primary,18,scincl,minilm,0.7532871871641285,0.019602581742326985
cka_primary,18,scincl,pubmedbert,0.4923944101717703,-0.001511934209082244
cka_primary,18,scincl,biobert,0.5131364292457596,-0.010028171067959168
cka_primary,18,scincl,simcse,0.5382143577796684,0.01947259224473652
cka_primary,18,scibert,bert,0.714669080581781,-0.020706258311350756
cka_primary,18,scibert,mpnet,0.5459500158720983,0.0034758841387725337
cka_primary,18,scibert,minilm,0.5178097325669248,-0.012272889340190773
cka_primary,18,scibert,pubmedbert,0.8169353021947909,-0.01748673300789716
cka_primary,18,scibert,biobert,0.8042991308760147,-0.024795565071813352
cka_primary,18,scibert,simcse,0.5992388178309291,-0.02409877509233449
cka_primary,18,bert,mpnet,0.5410356122855513,-0.012877029618111657
cka_primary,18,bert,minilm,0.5322488704224697,-0.030751333640925416
cka_primary,18,bert,pubmedbert,0.7625944205112225,0.023958760750802943
cka_primary,18,bert,biobert,0.7941882372265788,0.027347833220925266
cka_primary,18,bert,simcse,0.7871089975512575,0.01146501593903726
cka_primary,18,mpnet,minilm,0.8356016282144697,0.010583536522566162
cka_primary,18,mpnet,pubmedbert,0.5048442451693291,0.012248506611309606
cka_primary,18,mpnet,biobert,0.5302386121643592,0.0019161775344538334
cka_primary,18,mpnet,simcse,0.561519922200856,0.02370877910269653
cka_primary,18,minilm,pubmedbert,0.4851658314914298,-3.77216152337434e-05
cka_primary,18,minilm,biobert,0.5134771238046747,-0.006201516435551779
cka_primary,18,minilm,simcse,0.5756846274666281,0.016617032630392492
cka_primary,18,pubmedbert,biobert,0.8511093934388946,-0.0010800261597850858
cka_primary,18,pubmedbert,simcse,0.6237870675506365,0.00998528070330551
cka_primary,18,biobert,simcse,0.6516607177261029,0.02048761934352683
cka_primary,19,specter,specter2,0.7415411104543942,-0.04697896176350114
cka_primary,19,specter,scincl,0.8384643962523448,-0.009304028954137955
cka_primary,19,specter,scibert,0.6372481647192665,0.027784445361354493
cka_primary,19,specter,bert,0.6700223093389693,0.06407491557247513
cka_primary,19,specter,mpnet,0.7780323591122011,-0.03200257845280008
cka_primary,19,specter,minilm,0.7532669141241561,-0.01537989323394795
cka_primary,19,specter,pubmedbert,0.618918005873434,0.05988291343968244
cka_primary,19,specter,biobert,0.5876230909721974,-0.001894571191666694
cka_primary,19,specter,simcse,0.5992190646543195,0.013752617483596574
cka_primary,19,specter2,scincl,0.781612822557592,-0.06637706418535239
cka_primary,19,specter2,scibert,0.6291745197286615,0.004938033494181093
cka_primary,19,specter2,bert,0.6043419226811148,0.032098902764803317
cka_primary,19,specter2,mpnet,0.7627409741954871,-0.036194499893369425
cka_primary,19,specter2,minilm,0.7238710375578147,-0.026511472390804203
cka_primary,19,specter2,pubmedbert,0.5845204593470716,0.0348776094253781
cka_primary,19,specter2,biobert,0.5582990305632668,-0.020615525452986394
cka_primary,19,specter2,simcse,0.5457105327030501,-0.0006363944958043266
cka_primary,19,scincl,scibert,0.613348266762771,0.012579362107850267
cka_primary,19,scincl,bert,0.6426817490254735,0.05583345116771099
cka_primary,19,scincl,mpnet,0.8031414511210933,-0.023763580053998035
cka_primary,19,scincl,minilm,0.770968379190162,-0.01121678184506647
cka_primary,19,scincl,pubmedbert,0.5863886022218806,0.043981702227601005
cka_primary,19,scincl,biobert,0.5591520814014833,-0.012513074525662526
cka_primary,19,scincl,simcse,0.5887054614271163,0.021463140278757398
cka_primary,19,scibert,bert,0.7997705055511404,0.015894611044581564
cka_primary,19,scibert,mpnet,0.5947351020614071,0.00376041471465427
cka_primary,19,scibert,minilm,0.5846599079137575,0.006076730393214991
cka_primary,19,scibert,pubmedbert,0.8582923622483032,-0.02463022856781194
cka_primary,19,scibert,biobert,0.8429644864318595,-0.03463076512939556
cka_primary,19,scibert,simcse,0.6484573913024398,-0.023380757234250815
cka_primary,19,bert,mpnet,0.6292452134629285,0.026832015945838505
cka_primary,19,bert,minilm,0.6410338756918911,0.029533116015068916
cka_primary,19,bert,pubmedbert,0.8128544449709226,0.025718229597076037
cka_primary,19,bert,biobert,0.8080457402855356,-0.007295219333545044
cka_primary,19,bert,simcse,0.8011296391252621,-0.02301489810038515
cka_primary,19,mpnet,minilm,0.8434110472354295,-0.030107600069901097
cka_primary,19,mpnet,pubmedbert,0.5739295842552402,0.032833290083793654
cka_primary,19,mpnet,biobert,0.5528381235838833,-0.0239848666594491
cka_primary,19,mpnet,simcse,0.5820460772369135,-0.00426562147467302
