outcome,field_a,field_b,biomedical_models_in_pair,model_pairs,group_difference,weighted_contribution,total_difference
neighbors_all_k25,27,21,0,28,-0.09406401192439004,-0.058528718530731584,-0.09457929546677628
neighbors_all_k25,27,21,1,16,-0.09763408271611476,-0.03471434052128525,-0.09457929546677628
neighbors_all_k25,27,21,2,1,-0.060130638664175784,-0.001336236414759462,-0.09457929546677628
neighbors_all_k25,27,31,0,28,-0.06832598836878111,-0.04251394831835269,-0.0712532548861031
neighbors_all_k25,27,31,1,16,-0.0779126455511379,-0.027702273973737923,-0.0712532548861031
neighbors_all_k25,27,31,2,1,-0.046666466730562184,-0.001037032594012493,-0.0712532548861031
neighbors_all_k25,27,26,0,28,-0.053925507769265406,-0.03355364927865403,-0.04699099137320906
neighbors_all_k25,27,26,1,16,-0.03792009379644717,-0.013482700016514549,-0.04699099137320906
neighbors_all_k25,27,26,2,1,0.002041106488178679,4.53579219595262e-05,-0.04699099137320906
neighbors_all_k50,27,21,0,28,-0.12960265055218506,-0.0806416492324707,-0.1295493961748346
neighbors_all_k50,27,21,1,16,-0.1323390459051635,-0.04705388298850258,-0.1295493961748346
neighbors_all_k50,27,21,2,1,-0.08342387792375894,-0.00185386395386131,-0.1295493961748346
neighbors_all_k50,27,31,0,28,-0.09354076449910417,-0.058203142354998155,-0.09649690484306424
neighbors_all_k50,27,31,1,16,-0.10352972518610265,-0.03681056895505872,-0.09649690484306424
neighbors_all_k50,27,31,2,1,-0.06674370898533222,-0.0014831935330073826,-0.09649690484306424
neighbors_all_k50,27,26,0,28,-0.08301163353596028,-0.05165168308904195,-0.0755022842429581
neighbors_all_k50,27,26,1,16,-0.06541603113138691,-0.023259033291159793,-0.0755022842429581
neighbors_all_k50,27,26,2,1,-0.026620553824036053,-0.0005915678627563568,-0.0755022842429581
neighbors_2048_mean_k10,27,21,0,28,-0.019768415178571436,-0.012300347222222228,-0.01757790798611112
neighbors_2048_mean_k10,27,21,1,16,-0.016549682617187506,-0.005884331597222224,-0.01757790798611112
neighbors_2048_mean_k10,27,21,2,1,0.02730468749999998,0.0006067708333333329,-0.01757790798611112
neighbors_2048_mean_k10,27,31,0,28,-0.014866071428571437,-0.009250000000000005,-0.015236545138888898
neighbors_2048_mean_k10,27,31,1,16,-0.01799621582031251,-0.0063986545138888925,-0.015236545138888898
neighbors_2048_mean_k10,27,31,2,1,0.01854492187500001,0.0004121093750000002,-0.015236545138888898
neighbors_2048_mean_k10,27,26,0,28,0.012814243861607125,0.007973307291666657,0.02183420138888888
neighbors_2048_mean_k10,27,26,1,16,0.033379516601562506,0.011868272569444447,0.02183420138888888
neighbors_2048_mean_k10,27,26,2,1,0.08966796875000005,0.001992621527777779,0.02183420138888888
neighbors_2048_mean_k25,27,21,0,28,-0.043094726562499984,-0.02681449652777777,-0.04153776041666665
neighbors_2048_mean_k25,27,21,1,16,-0.04165234374999999,-0.014809722222222219,-0.04153776041666665
neighbors_2048_mean_k25,27,21,2,1,0.0038906250000000364,8.645833333333415e-05,-0.04153776041666665
neighbors_2048_mean_k25,27,31,0,28,-0.033550223214285704,-0.02087569444444444,-0.034489670138888893
neighbors_2048_mean_k25,27,31,1,16,-0.03828271484375002,-0.01361163194444445,-0.034489670138888893
neighbors_2048_mean_k25,27,31,2,1,-0.00010546875000017053,-2.34375000000379e-06,-0.034489670138888893
neighbors_2048_mean_k25,27,26,0,28,-0.0024465680803571516,-0.0015223090277777832,0.0067728298611111045
neighbors_2048_mean_k25,27,26,1,16,0.01923779296875,0.006840104166666667,0.0067728298611111045
neighbors_2048_mean_k25,27,26,2,1,0.06547656249999989,0.0014550347222222198,0.0067728298611111045
neighbors_2048_mean_k50,27,21,0,28,-0.06632491629464285,-0.04126883680555555,-0.06463858506944443
neighbors_2048_mean_k50,27,21,1,16,-0.06482690429687499,-0.023049565972222217,-0.06463858506944443
neighbors_2048_mean_k50,27,21,2,1,-0.014408203125000019,-0.0003201822916666671,-0.06463858506944443
