field_id,recipe,metric,model,input_condition,model_change_at_full,input_change_from_full,model_minus_input
11,mean,neighbors25,pubmedbert,title,0.6302444444444445,0.75748,-0.12723555555555555
11,mean,neighbors25,pubmedbert,abstract,0.6302444444444445,0.14476,0.4854844444444445
11,mean,neighbors25,biobert,title,0.6205955555555556,0.78836,-0.16776444444444438
11,mean,neighbors25,biobert,abstract,0.6205955555555556,0.16156000000000004,0.45903555555555553
11,mean,neighbors25,simcse,title,0.7025822222222221,0.7973600000000001,-0.09477777777777796
11,mean,neighbors25,simcse,abstract,0.7025822222222221,0.23236,0.4702222222222221
11,mean,neighbors50,specter,title,0.5690644444444444,0.45396000000000003,0.11510444444444434
11,mean,neighbors50,specter,abstract,0.5690644444444444,0.22671999999999992,0.34234444444444445
11,mean,neighbors50,specter2,title,0.6220733333333334,0.48356,0.13851333333333338
11,mean,neighbors50,specter2,abstract,0.6220733333333334,0.24804000000000004,0.37403333333333333
11,mean,neighbors50,scincl,title,0.5761400000000001,0.45121999999999995,0.12492000000000014
11,mean,neighbors50,scincl,abstract,0.5761400000000001,0.18456000000000006,0.39158000000000004
11,mean,neighbors50,scibert,title,0.5723688888888888,0.75084,-0.17847111111111114
11,mean,neighbors50,scibert,abstract,0.5723688888888888,0.12141999999999997,0.45094888888888884
11,mean,neighbors50,bert,title,0.5945177777777779,0.7113400000000001,-0.11682222222222216
11,mean,neighbors50,bert,abstract,0.5945177777777779,0.12970000000000004,0.4648177777777779
11,mean,neighbors50,mpnet,title,0.5631666666666667,0.40988,0.15328666666666668
11,mean,neighbors50,mpnet,abstract,0.5631666666666667,0.14501999999999993,0.4181466666666668
11,mean,neighbors50,minilm,title,0.5854311111111111,0.49817999999999996,0.08725111111111117
11,mean,neighbors50,minilm,abstract,0.5854311111111111,0.18513999999999997,0.40029111111111115
11,mean,neighbors50,pubmedbert,title,0.5872577777777778,0.70914,-0.12188222222222223
11,mean,neighbors50,pubmedbert,abstract,0.5872577777777778,0.12653999999999999,0.4607177777777778
11,mean,neighbors50,biobert,title,0.5745511111111111,0.74208,-0.16752888888888884
11,mean,neighbors50,biobert,abstract,0.5745511111111111,0.13998,0.43457111111111113
11,mean,neighbors50,simcse,title,0.6548111111111111,0.73914,-0.0843288888888889
11,mean,neighbors50,simcse,abstract,0.6548111111111111,0.20018000000000002,0.4546311111111111
11,cls,cka,specter,title,0.41927306514361934,0.17769024905847264,0.2415828160851467
11,cls,cka,specter,abstract,0.41927306514361934,0.04344819811591161,0.37582486702770773
11,cls,cka,specter2,title,0.45909409555824177,0.1853157870111306,0.27377830854711116
11,cls,cka,specter2,abstract,0.45909409555824177,0.04973152190797636,0.4093625736502654
11,cls,cka,scincl,title,0.42436679866136806,0.1841946457543151,0.24017215290705296
11,cls,cka,scincl,abstract,0.42436679866136806,0.029428812161955253,0.3949379864994128
