field_id,period_start,model_a,model_b,k,all_candidates,fixed_queries,all_queries_all_candidates,fixed_queries_all_candidates,fixed_queries_2048_candidates,query_selection_change,candidate_change_same_queries
31,2010,bert,minilm,10,3094,2048,0.1947317388493859,0.196337890625,0.213671875,0.0016061517756141008,0.017333984375
31,2010,bert,minilm,25,3094,2048,0.24169360051712993,0.2412109375,0.2652929687500001,-0.00048266301712993065,0.02408203125000008
31,2010,bert,minilm,50,3094,2048,0.28468648998060764,0.28193359375,0.3119140625,-0.0027528962306076488,0.02998046874999999
31,2010,bert,pubmedbert,10,3094,2048,0.34372979961215255,0.34453125,0.36772460937499996,0.0008014503878474577,0.023193359374999944
31,2010,bert,pubmedbert,25,3094,2048,0.4019263089851325,0.40056640625,0.4247070312500001,-0.0013599027351324788,0.024140625000000082
31,2010,bert,pubmedbert,50,3094,2048,0.44275371687136394,0.443515625,0.46873046875,0.0007619081286360796,0.025214843749999993
31,2010,bert,biobert,10,3094,2048,0.3627989657401422,0.363818359375,0.38330078125,0.0010193936348578125,0.01948242187499999
31,2010,bert,biobert,25,3094,2048,0.4203490627020039,0.4194140625,0.4424218750000001,-0.0009350002020038772,0.023007812500000058
31,2010,bert,biobert,50,3094,2048,0.4642598577892696,0.464365234375,0.48923828125,0.00010537658573039899,0.024873046875000027
31,2010,bert,simcse,10,3094,2048,0.308338720103426,0.309619140625,0.340478515625,0.0012804205215740105,0.030859374999999967
31,2010,bert,simcse,25,3094,2048,0.36943762120232704,0.37099609375,0.3990234375000001,0.00155847254767294,0.0280273437500001
31,2010,bert,simcse,50,3094,2048,0.4124305106658048,0.41275390625,0.441064453125,0.00032339558419525183,0.028310546874999953
31,2010,mpnet,minilm,10,3094,2048,0.5554621848739496,0.55849609375,0.5714843749999999,0.003033908876050373,0.012988281249999956
31,2010,mpnet,minilm,25,3094,2048,0.5892307692307692,0.58958984375,0.60791015625,0.00035907451923078426,0.01832031249999999
31,2010,mpnet,minilm,50,3094,2048,0.6171881060116354,0.618740234375,0.6348046875,0.0015521283633646021,0.016064453124999933
31,2010,mpnet,pubmedbert,10,3094,2048,0.20345830639948287,0.20283203125,0.223193359375,-0.00062627514948288,0.020361328125000022
31,2010,mpnet,pubmedbert,25,3094,2048,0.249010989010989,0.24732421875,0.27337890625,-0.0016867702609890123,0.026054687500000007
31,2010,mpnet,pubmedbert,50,3094,2048,0.2929476405946994,0.292197265625,0.3217578125,-0.00075037496969943,0.029560546875000038
31,2010,mpnet,biobert,10,3094,2048,0.2046541693600517,0.205419921875,0.225634765625,0.0007657525149482869,0.020214843750000017
31,2010,mpnet,biobert,25,3094,2048,0.2493600517129929,0.24888671875,0.27156250000000004,-0.00047333296299287286,0.022675781250000027
31,2010,mpnet,biobert,50,3094,2048,0.2961409179056238,0.2944140625,0.32437499999999997,-0.001726855405623784,0.02996093749999995
31,2010,mpnet,simcse,10,3094,2048,0.17508080155138978,0.174169921875,0.19248046875000002,-0.0009108796763897808,0.018310546875000028
31,2010,mpnet,simcse,25,3094,2048,0.21388493859082092,0.21421875,0.23312500000000003,0.0003338114091790967,0.018906250000000013
31,2010,mpnet,simcse,50,3094,2048,0.2500840336134454,0.248955078125,0.27217773437500004,-0.0011289554884453823,0.02322265625000003
31,2010,minilm,pubmedbert,10,3094,2048,0.20517129928894634,0.2072265625,0.22495117187500002,0.0020552632110536484,0.017724609375000033
31,2010,minilm,pubmedbert,25,3094,2048,0.24952811893988364,0.248671875,0.27285156250000003,-0.0008562439398836497,0.024179687500000047
31,2010,minilm,pubmedbert,50,3094,2048,0.29146089204912734,0.2889453125,0.31804687500000006,-0.0025155795491273447,0.029101562500000067
31,2010,minilm,biobert,10,3094,2048,0.20546218487394957,0.2076171875,0.22651367187500002,0.002155002626050423,0.018896484375000022
31,2010,minilm,biobert,25,3094,2048,0.25043309631544924,0.24951171875,0.27273437500000003,-0.000921377565449244,0.02322265625000003
31,2010,minilm,biobert,50,3094,2048,0.2946089204912734,0.29140625,0.321044921875,-0.0032026704912734294,0.029638671875000022
31,2010,minilm,simcse,10,3094,2048,0.18383968972204265,0.18330078125,0.20063476562500002,-0.0005389084720426596,0.017333984375000028
31,2010,minilm,simcse,25,3094,2048,0.22518422753716874,0.22390625,0.24257812500000003,-0.0012779775371687396,0.018671875000000032
31,2010,minilm,simcse,50,3094,2048,0.25976082740788625,0.2573046875,0.281875,-0.0024561399078862345,0.02457031249999997
31,2010,pubmedbert,biobert,10,3094,2048,0.4771816418875242,0.477734375,0.49301757812499997,0.0005527331124757784,0.015283203124999978
31,2010,pubmedbert,biobert,25,3094,2048,0.5302650290885585,0.52806640625,0.54796875,-0.0021986228385585393,0.019902343749999996
31,2010,pubmedbert,biobert,50,3094,2048,0.5709631544925663,0.568955078125,0.5902148437500001,-0.0020080763675662805,0.021259765625000093
31,2010,pubmedbert,simcse,10,3094,2048,0.21308985132514544,0.215234375,0.23569335937500002,0.0021445236748545704,0.020458984375000017
31,2010,pubmedbert,simcse,25,3094,2048,0.26201680672268907,0.259765625,0.28396484375000003,-0.0022511817226890662,0.02419921875000003
31,2010,pubmedbert,simcse,50,3094,2048,0.2996186166774402,0.297998046875,0.3248828125,-0.0016205698024402415,0.02688476562500003
31,2010,biobert,simcse,10,3094,2048,0.21761473820297347,0.218701171875,0.23793945312500003,0.0010864336720265155,0.019238281250000044
31,2010,biobert,simcse,25,3094,2048,0.267278603749192,0.26603515625,0.28740234375,-0.0012434474991919742,0.021367187499999996
31,2010,biobert,simcse,50,3094,2048,0.3074595992243051,0.30572265625,0.3326953125,-0.0017369429743051001,0.026972656250000004
31,2015,specter,specter2,10,3388,2048,0.3067001180637544,0.3076171875,0.32529296875,0.0009170694362455878,0.017675781250000022
31,2015,specter,specter2,25,3388,2048,0.35456906729633997,0.35251953125,0.38220703125000005,-0.0020495360463399503,0.029687500000000033
31,2015,specter,specter2,50,3388,2048,0.39978748524203067,0.397333984375,0.4319921875,-0.002453500867030667,0.03465820312500001
31,2015,specter,scincl,10,3388,2048,0.4180047225501771,0.416015625,0.43779296874999996,-0.0019890975501771213,0.021777343749999956
31,2015,specter,scincl,25,3388,2048,0.4646871310507674,0.4640625,0.49755859375,-0.0006246310507674324,0.03349609375000001
31,2015,specter,scincl,50,3388,2048,0.5083943329397875,0.508525390625,0.54015625,0.00013105768521248784,0.03163085937499999
31,2015,specter,scibert,10,3388,2048,0.22972255017709564,0.229052734375,0.25385742187500004,-0.0006698158020956302,0.024804687500000033
31,2015,specter,scibert,25,3388,2048,0.28466351829988196,0.28359375,0.32626953125,-0.001069768299881979,0.042675781250000044
31,2015,specter,scibert,50,3388,2048,0.3407969303423849,0.34158203125,0.38630859375000004,0.0007851009076150772,0.04472656250000007
31,2015,specter,bert,10,3388,2048,0.17024793388429754,0.169140625,0.19331054687500004,-0.0011073088842975531,0.024169921875000056
31,2015,specter,bert,25,3388,2048,0.22066115702479341,0.2184765625,0.25185546875000003,-0.002184594524793415,0.033378906250000034
31,2015,specter,bert,50,3388,2048,0.2655962219598583,0.26556640625,0.30119140624999996,-2.9815709858327377e-05,0.03562499999999996
31,2015,specter,mpnet,10,3388,2048,0.39766824085005903,0.3974609375,0.415380859375,-0.00020730335005902933,0.017919921875000022
31,2015,specter,mpnet,25,3388,2048,0.44455726092089726,0.44310546875,0.47417968750000006,-0.001451792170897248,0.03107421875000005
31,2015,specter,mpnet,50,3388,2048,0.4868004722550177,0.48787109375,0.5196386718749999,0.0010706214949822712,0.03176757812499992
31,2015,specter,minilm,10,3388,2048,0.36295749704840613,0.361572265625,0.380517578125,-0.0013852314234061303,0.018945312499999978
31,2015,specter,minilm,25,3388,2048,0.40940968122786303,0.4090234375,0.4358203125000001,-0.00038624372786305594,0.02679687500000011
31,2015,specter,minilm,50,3388,2048,0.44769775678866586,0.448056640625,0.47872070312500004,0.0003588838363341451,0.030664062500000033
31,2015,specter,pubmedbert,10,3388,2048,0.18580283353010624,0.1861328125,0.20620117187500003,0.0003299789698937572,0.02006835937500004
31,2015,specter,pubmedbert,25,3388,2048,0.23451003541912635,0.2349609375,0.26908203125,0.00045090208087364414,0.034121093750000026
31,2015,specter,pubmedbert,50,3388,2048,0.28217827626918535,0.283876953125,0.322060546875,0.0016986768558146514,0.03818359375000002
31,2015,specter,biobert,10,3388,2048,0.18913813459268006,0.189208984375,0.20717773437500003,7.084978231994277e-05,0.017968750000000033
31,2015,specter,biobert,25,3388,2048,0.23926800472255016,0.2377734375,0.26812500000000006,-0.001494567222550175,0.030351562500000068
31,2015,specter,biobert,50,3388,2048,0.28612750885478155,0.2851953125,0.3244140625,-0.0009321963547815337,0.03921874999999997
31,2015,specter,simcse,10,3388,2048,0.15159386068476977,0.1515625,0.171875,-3.1360684769776714e-05,0.02031250000000001
31,2015,specter,simcse,25,3388,2048,0.1928689492325856,0.19263671875,0.21912109375000002,-0.0002322304825856103,0.026484375000000032
31,2015,specter,simcse,50,3388,2048,0.23084415584415585,0.23115234375,0.2616015625,0.00030818790584413724,0.030449218750000007
31,2015,specter2,scincl,10,3388,2048,0.34397874852420307,0.342529296875,0.36909179687500004,-0.0014494516492030707,0.026562500000000044
31,2015,specter2,scincl,25,3388,2048,0.3974970484061393,0.395234375,0.4227343750000001,-0.0022626734061392817,0.02750000000000008
31,2015,specter2,scincl,50,3388,2048,0.43877804014167654,0.437734375,0.46810546875000003,-0.0010436651416765308,0.030371093750000022
31,2015,specter2,scibert,10,3388,2048,0.2262987012987013,0.225390625,0.251806640625,-0.0009080762987012936,0.02641601562500001
31,2015,specter2,scibert,25,3388,2048,0.2797992916174734,0.27822265625,0.30914062500000006,-0.0015766353674734335,0.03091796875000008
31,2015,specter2,scibert,50,3388,2048,0.3273612750885478,0.3258984375,0.360341796875,-0.0014628375885477607,0.03444335937499998
31,2015,specter2,bert,10,3388,2048,0.14964580873671782,0.148583984375,0.17763671875000003,-0.0010618243617178114,0.029052734375000028
31,2015,specter2,bert,25,3388,2048,0.19482880755608029,0.19498046875,0.22216796875000003,0.000151661193919711,0.02718750000000003
31,2015,specter2,bert,50,3388,2048,0.23592680047225503,0.2354296875,0.26546875000000003,-0.0004971129722550205,0.03003906250000002
31,2015,specter2,mpnet,10,3388,2048,0.34625147579693033,0.34599609375,0.36967773437499996,-0.0002553820469303192,0.023681640624999944
31,2015,specter2,mpnet,25,3388,2048,0.39293978748524205,0.39064453125,0.4192773437500001,-0.0022952562352420713,0.028632812500000104
31,2015,specter2,mpnet,50,3388,2048,0.43187131050767413,0.430732421875,0.45785156250000003,-0.0011388886326741399,0.027119140625000038
31,2015,specter2,minilm,10,3388,2048,0.3124557260920897,0.31279296875,0.33154296875,0.00033724265791029717,0.01874999999999999
31,2015,specter2,minilm,25,3388,2048,0.3574498229043684,0.355546875,0.37964843750000005,-0.0019029479043684017,0.024101562500000062
31,2015,specter2,minilm,50,3388,2048,0.39208382526564345,0.39119140625,0.413017578125,-0.0008924190156434642,0.021826171875000022
