field_id,recipe,k,model_a,input_a,model_b,input_b,kind,mean_overlap
11,mean,10,scincl,title_abstract,mpnet,title_abstract,model,0.4753
11,mean,10,scincl,title_abstract,minilm,title_abstract,model,0.40659999999999996
11,mean,10,scincl,title_abstract,pubmedbert,title_abstract,model,0.22410000000000002
11,mean,10,scincl,title_abstract,biobert,title_abstract,model,0.22269999999999998
11,mean,10,scincl,title_abstract,simcse,title_abstract,model,0.20099999999999998
11,mean,10,scibert,title_abstract,bert,title_abstract,model,0.391
11,mean,10,scibert,title_abstract,mpnet,title_abstract,model,0.2459
11,mean,10,scibert,title_abstract,minilm,title_abstract,model,0.2359
11,mean,10,scibert,title_abstract,pubmedbert,title_abstract,model,0.5381
11,mean,10,scibert,title_abstract,biobert,title_abstract,model,0.5234
11,mean,10,scibert,title_abstract,simcse,title_abstract,model,0.2537
11,mean,10,bert,title_abstract,mpnet,title_abstract,model,0.24489999999999998
11,mean,10,bert,title_abstract,minilm,title_abstract,model,0.2385
11,mean,10,bert,title_abstract,pubmedbert,title_abstract,model,0.3791
11,mean,10,bert,title_abstract,biobert,title_abstract,model,0.4145
11,mean,10,bert,title_abstract,simcse,title_abstract,model,0.35550000000000004
11,mean,10,mpnet,title_abstract,minilm,title_abstract,model,0.5258
11,mean,10,mpnet,title_abstract,pubmedbert,title_abstract,model,0.2379
11,mean,10,mpnet,title_abstract,biobert,title_abstract,model,0.2427
11,mean,10,mpnet,title_abstract,simcse,title_abstract,model,0.2198
11,mean,10,minilm,title_abstract,pubmedbert,title_abstract,model,0.2212
11,mean,10,minilm,title_abstract,biobert,title_abstract,model,0.2319
11,mean,10,minilm,title_abstract,simcse,title_abstract,model,0.21669999999999998
11,mean,10,pubmedbert,title_abstract,biobert,title_abstract,model,0.5374
11,mean,10,pubmedbert,title_abstract,simcse,title_abstract,model,0.24369999999999997
11,mean,10,biobert,title_abstract,simcse,title_abstract,model,0.2615
11,mean,25,specter,title,specter2,title,model,0.3624
11,mean,25,specter,title,scincl,title,model,0.43656
11,mean,25,specter,title,scibert,title,model,0.24359999999999998
11,mean,25,specter,title,bert,title,model,0.23856000000000002
11,mean,25,specter,title,mpnet,title,model,0.37548000000000004
11,mean,25,specter,title,minilm,title,model,0.3328
11,mean,25,specter,title,pubmedbert,title,model,0.29536
11,mean,25,specter,title,biobert,title,model,0.22308
11,mean,25,specter,title,simcse,title,model,0.22032
11,mean,25,specter,title,specter,abstract,input,0.37520000000000003
11,mean,25,specter,title,specter,title_abstract,input,0.48479999999999995
11,mean,25,specter2,title,scincl,title,model,0.429
11,mean,25,specter2,title,scibert,title,model,0.22616
11,mean,25,specter2,title,bert,title,model,0.21276
11,mean,25,specter2,title,mpnet,title,model,0.38332
11,mean,25,specter2,title,minilm,title,model,0.33899999999999997
11,mean,25,specter2,title,pubmedbert,title,model,0.26411999999999997
11,mean,25,specter2,title,biobert,title,model,0.19628
11,mean,25,specter2,title,simcse,title,model,0.2022
11,mean,25,specter2,title,specter2,abstract,input,0.34524
11,mean,25,specter2,title,specter2,title_abstract,input,0.45548
11,mean,25,scincl,title,scibert,title,model,0.26208
11,mean,25,scincl,title,bert,title,model,0.24244
11,mean,25,scincl,title,mpnet,title,model,0.3944
11,mean,25,scincl,title,minilm,title,model,0.35496
11,mean,25,scincl,title,pubmedbert,title,model,0.29832000000000003
11,mean,25,scincl,title,biobert,title,model,0.22260000000000002
11,mean,25,scincl,title,simcse,title,model,0.21532
11,mean,25,scincl,title,scincl,abstract,input,0.4106
11,mean,25,scincl,title,scincl,title_abstract,input,0.49607999999999997
11,mean,25,scibert,title,bert,title,model,0.2834
11,mean,25,scibert,title,mpnet,title,model,0.21752
11,mean,25,scibert,title,minilm,title,model,0.2016
11,mean,25,scibert,title,pubmedbert,title,model,0.37892000000000003
11,mean,25,scibert,title,biobert,title,model,0.25920000000000004
11,mean,25,scibert,title,simcse,title,model,0.18996
11,mean,25,scibert,title,scibert,abstract,input,0.17956
11,mean,25,scibert,title,scibert,title_abstract,input,0.2014
11,mean,25,bert,title,mpnet,title,model,0.25952000000000003
11,mean,25,bert,title,minilm,title,model,0.25204
11,mean,25,bert,title,pubmedbert,title,model,0.33804
11,mean,25,bert,title,biobert,title,model,0.26252
11,mean,25,bert,title,simcse,title,model,0.32604
