metric,field_id,input_condition,model_change_at_full,input_change_from_full,model_minus_input
cka,31,abstract,0.34172108742203894,0.02508056673546687,0.316640520686572
cka,32,title,0.39312820058646947,0.38758978213826595,0.0055384184482035245
cka,32,abstract,0.39312820058646947,0.022653209424594443,0.370474991161875
cka,33,title,0.39756013623792874,0.45025016486221964,-0.05269002862429093
cka,33,abstract,0.39756013623792874,0.0375477669360451,0.36001236930188363
cka,34,title,0.393637216254995,0.36504679066592055,0.028590425589074497
cka,34,abstract,0.393637216254995,0.024457870891924673,0.3691793453630704
cka,35,title,0.37867830208832487,0.3843498666096815,-0.005671564521356609
cka,35,abstract,0.37867830208832487,0.024701291005364667,0.3539770110829602
cka,36,title,0.42659556073728816,0.4209725586426661,0.005623002094622137
cka,36,abstract,0.42659556073728816,0.02772775498048823,0.3988678057568
rsa,11,title,0.4692857804517477,0.38688119279340394,0.08240458765834383
rsa,11,abstract,0.4692857804517477,0.02949329049278241,0.4397924899589654
rsa,12,title,0.46557839220627883,0.46520289955580624,0.000375492650472542
rsa,12,abstract,0.46557839220627883,0.03427857326689673,0.4312998189393822
rsa,13,title,0.47575081936921054,0.3682943221426863,0.10745649722652431
rsa,13,abstract,0.47575081936921054,0.025508473625721485,0.45024234574348904
rsa,14,title,0.4546145081723692,0.4419036672103582,0.012710840962011017
rsa,14,abstract,0.4546145081723692,0.03197118633987865,0.4226433218324906
rsa,15,title,0.3821487781489054,0.3472963414398424,0.03485243670906304
rsa,15,abstract,0.3821487781489054,0.029767440704268476,0.352381337444637
rsa,16,title,0.4219087123859716,0.3161095940262738,0.10579911835969776
rsa,16,abstract,0.4219087123859716,0.03508947326217491,0.3868192391237967
rsa,17,title,0.5125272262849847,0.40657361301033357,0.10595361327465125
rsa,17,abstract,0.5125272262849847,0.02626192846345756,0.4862652978215273
rsa,18,title,0.49938033305188395,0.43992567869680405,0.05945465435507989
rsa,18,abstract,0.49938033305188395,0.03308524375881304,0.46629508929307095
rsa,19,title,0.42791620077955717,0.3828378009711936,0.04507839980836356
rsa,19,abstract,0.42791620077955717,0.02775299859863316,0.40016320218092405
rsa,20,title,0.45382602645623216,0.454110492650776,-0.0002844661945438587
rsa,20,abstract,0.45382602645623216,0.031841153672499775,0.4219848727837324
rsa,21,title,0.33968186205310447,0.277938611962398,0.06174325009070647
rsa,21,abstract,0.33968186205310447,0.02439289886153272,0.3152889631915718
rsa,22,title,0.504230091832642,0.38419194172457916,0.12003815010806282
rsa,22,abstract,0.504230091832642,0.030208738894722455,0.4740213529379195
rsa,23,title,0.4416932565121665,0.3671620385504936,0.07453121796167288
rsa,23,abstract,0.4416932565121665,0.023168105161519383,0.4185251513506471
rsa,24,title,0.47586750988696896,0.3816327756299325,0.09423473425703646
rsa,24,abstract,0.47586750988696896,0.02493678086679315,0.45093072902017584
rsa,25,title,0.4408654646827306,0.3670144970924867,0.07385096759024395
rsa,25,abstract,0.4408654646827306,0.03398217969485521,0.40688328498787546
rsa,26,title,0.41886538358399716,0.38263572266283824,0.036229660921158834
rsa,26,abstract,0.41886538358399716,0.027856823325491564,0.39100856025850556
rsa,27,title,0.5235122610500141,0.3956431675771571,0.1278690934728571
rsa,27,abstract,0.5235122610500141,0.024376584064090732,0.49913567698592354
rsa,28,title,0.4455396562268823,0.37525391632008476,0.07028573990679755
rsa,28,abstract,0.4455396562268823,0.020866246398715003,0.42467340982816726
rsa,29,title,0.4337271786451848,0.3606567501769887,0.07307042846819604
rsa,29,abstract,0.4337271786451848,0.02429474382793726,0.4094324348172475
rsa,30,title,0.441637293410027,0.34109036584782504,0.10054692756220203
rsa,30,abstract,0.441637293410027,0.026727477536619203,0.41490981587340786
rsa,31,title,0.45918150186765355,0.4001501785026245,0.05903132336502905
rsa,31,abstract,0.45918150186765355,0.02958087157740228,0.4296006302902513
rsa,32,title,0.4931058243850311,0.4203340906104859,0.07277173377454521
rsa,32,abstract,0.4931058243850311,0.023952868514281512,0.46915295587074957
rsa,33,title,0.5122924921311311,0.4949623924382068,0.01733009969292424
rsa,33,abstract,0.5122924921311311,0.03955691509594052,0.4727355770351906
rsa,34,title,0.5113543823997192,0.4101034804432599,0.10125090195645932
rsa,34,abstract,0.5113543823997192,0.027903790717058508,0.4834505916826607
