recipe,metric,model,input_condition,model_change_at_full,input_change_from_full,model_minus_input
mean,neighbors10,scincl,abstract,0.6886465811965811,0.2546346153846154,0.4340119658119658
mean,neighbors10,scibert,title,0.6887435897435897,0.85625,-0.16750641025641028
mean,neighbors10,scibert,abstract,0.6887435897435897,0.16988461538461538,0.5188589743589744
mean,neighbors10,bert,title,0.7170811965811965,0.8499730769230769,-0.13289188034188035
mean,neighbors10,bert,abstract,0.7170811965811965,0.19474615384615387,0.5223350427350427
mean,neighbors10,mpnet,title,0.6712717948717948,0.5355115384615384,0.1357602564102564
mean,neighbors10,mpnet,abstract,0.6712717948717948,0.19071153846153846,0.48056025641025635
mean,neighbors10,minilm,title,0.6840918803418803,0.5988730769230769,0.08521880341880345
mean,neighbors10,minilm,abstract,0.6840918803418803,0.22821538461538463,0.4558764957264957
mean,neighbors10,pubmedbert,title,0.7012068376068377,0.8428269230769231,-0.14162008547008548
mean,neighbors10,pubmedbert,abstract,0.7012068376068377,0.17533076923076923,0.5258760683760684
mean,neighbors10,biobert,title,0.6939106837606838,0.8461692307692308,-0.152258547008547
mean,neighbors10,biobert,abstract,0.6939106837606838,0.2064576923076923,0.4874529914529914
mean,neighbors10,simcse,title,0.7628376068376068,0.8524807692307692,-0.08964316239316239
mean,neighbors10,simcse,abstract,0.7628376068376068,0.27963461538461537,0.48320299145299145
mean,neighbors10,mean_of_ten_fixed_models,title,0.7023570940170939,0.7228446153846154,-0.02048752136752137
mean,neighbors10,mean_of_ten_fixed_models,abstract,0.7023570940170939,0.23632884615384617,0.4660282478632478
mean,neighbors25,specter,title,0.644454358974359,0.5645138461538461,0.07994051282051284
mean,neighbors25,specter,abstract,0.644454358974359,0.28036307692307694,0.364091282051282
mean,neighbors25,specter2,title,0.6691261538461538,0.5660507692307692,0.10307538461538462
mean,neighbors25,specter2,abstract,0.6691261538461538,0.28583230769230766,0.3832938461538461
mean,neighbors25,scincl,title,0.6391343589743589,0.5326584615384615,0.10647589743589742
mean,neighbors25,scincl,abstract,0.6391343589743589,0.21454307692307692,0.42459128205128205
mean,neighbors25,scibert,title,0.6343876923076923,0.8017969230769231,-0.16740923076923073
mean,neighbors25,scibert,abstract,0.6343876923076923,0.14115076923076925,0.49323692307692313
mean,neighbors25,bert,title,0.6596133333333333,0.7882107692307693,-0.12859743589743589
mean,neighbors25,bert,abstract,0.6596133333333333,0.1586769230769231,0.5009364102564103
