outcome,period_start,comparisons,mean,median,min,max,q05,q95
cka_cls,2000,1170,0.5314811532993324,0.5200276485930243,0.21122875294867774,0.8877142405702236,0.2958311201066395,0.8002170220125594
cka_cls,2005,1170,0.5411782882073072,0.5252264799471024,0.20776776410039002,0.8979174065949508,0.31101564135134685,0.8081765235797549
cka_cls,2010,1170,0.5410276230735038,0.5180159391361309,0.21073171013119207,0.9135299944232048,0.307297913896814,0.8182968822007257
cka_cls,2015,1170,0.5439193600732349,0.5225271047905442,0.21589660497240545,0.9198809999461295,0.31155640715329713,0.822606481349375
cka_cls,2020,1170,0.5485598842717766,0.5283025587329123,0.22226207614377505,0.9192780603707931,0.31213782165639686,0.8251463331091621
cka_sep,2000,1170,0.5324599414060244,0.5779403424211573,0.06684571428879645,0.8877142405702236,0.12095513298955154,0.8094774993611286
cka_sep,2005,1170,0.538807042404306,0.5870279831624349,0.06591427095692526,0.9029631324889434,0.12619728957836793,0.8151600120304159
cka_sep,2010,1170,0.54517497825889,0.5886698135351696,0.07855358526244631,0.9135299944232048,0.13471269350537995,0.8253581837919436
cka_sep,2015,1170,0.5590435433699733,0.5981670707105139,0.1020275042852388,0.9198809999461295,0.17229042725956747,0.8290697982025859
cka_sep,2020,1170,0.5762468815961109,0.6135993022641562,0.13250452256012601,0.9207794056621679,0.22134504608140365,0.8360253840213384
cka_quality,2000,1170,0.6477935065401278,0.6245834756034411,0.381141672736773,0.9188851630645744,0.4730512357136902,0.8583129154699252
cka_quality,2005,1170,0.6494710321823125,0.6262963734836466,0.3642758222955454,0.9311359307470563,0.4722091132642207,0.8650438623403911
cka_quality,2010,1170,0.6514491203569682,0.6267742806741261,0.36410870769926806,0.930142781051204,0.4677794749005178,0.8657279422228977
cka_quality,2015,1170,0.6593222158356153,0.633682443762797,0.3804041484065422,0.9263051658159083,0.4762160486955107,0.8618675580456729
cka_quality,2020,1170,0.659326273971864,0.636820974063498,0.37590193504091346,0.9372962508692846,0.46886700252670327,0.8634284224788523
cka_equal2048,2000,1170,0.6282603648847289,0.6011940883321569,0.3411804600326398,0.9017641816891835,0.4330490874481684,0.8428930076976414
cka_equal2048,2005,1170,0.6309668532894918,0.6048194087665938,0.33963581015809036,0.9172186807405757,0.43175524801619586,0.8479063681917518
