field_id,recipe,model_a,input_a,model_b,input_b,kind,cka_debiased
11,cls,specter,abstract,scincl,abstract,model,0.825560245436498
11,cls,specter,abstract,scibert,abstract,model,0.39442926841240195
11,cls,specter,abstract,bert,abstract,model,0.3720804495184846
11,cls,specter,abstract,mpnet,abstract,model,0.7702581106088807
11,cls,specter,abstract,minilm,abstract,model,0.7083697954698601
11,cls,specter,abstract,pubmedbert,abstract,model,0.36802129850489007
11,cls,specter,abstract,biobert,abstract,model,0.48451440986354155
11,cls,specter,abstract,simcse,abstract,model,0.5073927107246795
11,cls,specter,abstract,specter,title_abstract,input,0.9565518018840884
11,cls,specter2,abstract,scincl,abstract,model,0.8005276640091461
11,cls,specter2,abstract,scibert,abstract,model,0.3625069459178445
11,cls,specter2,abstract,bert,abstract,model,0.3318352870682393
11,cls,specter2,abstract,mpnet,abstract,model,0.74315021203364
11,cls,specter2,abstract,minilm,abstract,model,0.6861761748693438
11,cls,specter2,abstract,pubmedbert,abstract,model,0.3299841210530272
11,cls,specter2,abstract,biobert,abstract,model,0.44218317390569123
11,cls,specter2,abstract,simcse,abstract,model,0.4480376585738957
11,cls,specter2,abstract,specter2,title_abstract,input,0.9502684780920236
11,cls,scincl,abstract,scibert,abstract,model,0.3742524789829879
11,cls,scincl,abstract,bert,abstract,model,0.3574955412383267
11,cls,scincl,abstract,mpnet,abstract,model,0.7903492280386677
11,cls,scincl,abstract,minilm,abstract,model,0.7268005401358444
11,cls,scincl,abstract,pubmedbert,abstract,model,0.3438600027819997
11,cls,scincl,abstract,biobert,abstract,model,0.4667874531762624
11,cls,scincl,abstract,simcse,abstract,model,0.49445947926260564
11,cls,scincl,abstract,scincl,title_abstract,input,0.9705711878380447
11,cls,scibert,abstract,bert,abstract,model,0.5148841923661392
11,cls,scibert,abstract,mpnet,abstract,model,0.36448147061093317
11,cls,scibert,abstract,minilm,abstract,model,0.34754140789679894
11,cls,scibert,abstract,pubmedbert,abstract,model,0.6906103608321403
11,cls,scibert,abstract,biobert,abstract,model,0.7134523426556222
11,cls,scibert,abstract,simcse,abstract,model,0.4560747496203519
11,cls,scibert,abstract,scibert,title_abstract,input,0.9460181637122995
11,cls,bert,abstract,mpnet,abstract,model,0.3800107532804393
11,cls,bert,abstract,minilm,abstract,model,0.38079420008759046
11,cls,bert,abstract,pubmedbert,abstract,model,0.5232213171241967
11,cls,bert,abstract,biobert,abstract,model,0.572391884419689
11,cls,bert,abstract,simcse,abstract,model,0.5877323431586449
11,cls,bert,abstract,bert,title_abstract,input,0.9069558731702833
11,cls,mpnet,abstract,minilm,abstract,model,0.8082082325333786
11,cls,mpnet,abstract,pubmedbert,abstract,model,0.3505363979773031
11,cls,mpnet,abstract,biobert,abstract,model,0.4695841579972842
11,cls,mpnet,abstract,simcse,abstract,model,0.5174691863565272
11,cls,mpnet,abstract,mpnet,title_abstract,input,0.9731433984907635
11,cls,minilm,abstract,pubmedbert,abstract,model,0.33591941784182905
11,cls,minilm,abstract,biobert,abstract,model,0.4468217465289853
11,cls,minilm,abstract,simcse,abstract,model,0.5411186134449025
11,cls,minilm,abstract,minilm,title_abstract,input,0.962614153497239
11,cls,pubmedbert,abstract,biobert,abstract,model,0.676262564264875
11,cls,pubmedbert,abstract,simcse,abstract,model,0.4503676981550931
11,cls,pubmedbert,abstract,pubmedbert,title_abstract,input,0.9640791691372789
11,cls,biobert,abstract,simcse,abstract,model,0.5373596131597556
11,cls,biobert,abstract,biobert,title_abstract,input,0.9634744849620264
11,cls,simcse,abstract,simcse,title_abstract,input,0.9706574055760971
11,cls,specter,title_abstract,specter2,title_abstract,model,0.7288868130194162
11,cls,specter,title_abstract,scincl,title_abstract,model,0.8339136226399926
11,cls,specter,title_abstract,scibert,title_abstract,model,0.3893339800289894
11,cls,specter,title_abstract,bert,title_abstract,model,0.38223842449516227
11,cls,specter,title_abstract,mpnet,title_abstract,model,0.7820953021537367
11,cls,specter,title_abstract,minilm,title_abstract,model,0.724145185490481
11,cls,specter,title_abstract,pubmedbert,title_abstract,model,0.3709292140526921
11,cls,specter,title_abstract,biobert,title_abstract,model,0.495325090555727
11,cls,specter,title_abstract,simcse,title_abstract,model,0.5196747812712286
11,cls,specter2,title_abstract,scincl,title_abstract,model,0.7971805857104475
11,cls,specter2,title_abstract,scibert,title_abstract,model,0.3486023808818069
11,cls,specter2,title_abstract,bert,title_abstract,model,0.3379090351641558
11,cls,specter2,title_abstract,mpnet,title_abstract,model,0.7451919352637492
11,cls,specter2,title_abstract,minilm,title_abstract,model,0.6892900431914495
11,cls,specter2,title_abstract,pubmedbert,title_abstract,model,0.32316529481869133
11,cls,specter2,title_abstract,biobert,title_abstract,model,0.4428224050433589
11,cls,specter2,title_abstract,simcse,title_abstract,model,0.45510464688274893
11,cls,scincl,title_abstract,scibert,title_abstract,model,0.35791878160171114
11,cls,scincl,title_abstract,bert,title_abstract,model,0.3610458431683105
11,cls,scincl,title_abstract,mpnet,title_abstract,model,0.7944445863786355
11,cls,scincl,title_abstract,minilm,title_abstract,model,0.7351140377423836
11,cls,scincl,title_abstract,pubmedbert,title_abstract,model,0.3340861748354672
11,cls,scincl,title_abstract,biobert,title_abstract,model,0.46632393897236424
11,cls,scincl,title_abstract,simcse,title_abstract,model,0.5006712409983749
11,cls,scibert,title_abstract,bert,title_abstract,model,0.48989141034138856
11,cls,scibert,title_abstract,mpnet,title_abstract,model,0.3500977571912501
11,cls,scibert,title_abstract,minilm,title_abstract,model,0.33461031385262796
11,cls,scibert,title_abstract,pubmedbert,title_abstract,model,0.6490749166420454
11,cls,scibert,title_abstract,biobert,title_abstract,model,0.6730784535431578
11,cls,scibert,title_abstract,simcse,title_abstract,model,0.43908452689271127
11,cls,bert,title_abstract,mpnet,title_abstract,model,0.3772781091224659
11,cls,bert,title_abstract,minilm,title_abstract,model,0.38044646713140673
11,cls,bert,title_abstract,pubmedbert,title_abstract,model,0.5067124856552553
11,cls,bert,title_abstract,biobert,title_abstract,model,0.5576076904346094
11,cls,bert,title_abstract,simcse,title_abstract,model,0.5892464032926574
11,cls,mpnet,title_abstract,minilm,title_abstract,model,0.8124618829355557
11,cls,mpnet,title_abstract,pubmedbert,title_abstract,model,0.33832948101803945
11,cls,mpnet,title_abstract,biobert,title_abstract,model,0.46526190225401637
11,cls,mpnet,title_abstract,simcse,title_abstract,model,0.5153698003367438
11,cls,minilm,title_abstract,pubmedbert,title_abstract,model,0.3283113694060902
11,cls,minilm,title_abstract,biobert,title_abstract,model,0.4439424914962252
11,cls,minilm,title_abstract,simcse,title_abstract,model,0.5369178264550193
11,cls,pubmedbert,title_abstract,biobert,title_abstract,model,0.6471285592951357
11,cls,pubmedbert,title_abstract,simcse,title_abstract,model,0.4455750675491408
11,cls,biobert,title_abstract,simcse,title_abstract,model,0.5357219150111985
11,sep,specter,title,specter2,title,model,0.6855926823473547
11,sep,specter,title,scincl,title,model,0.7478716742386604
11,sep,specter,title,scibert,title,model,0.4350735731050406
