outcome,field_id,model_a,model_b,first,last,endpoint_change,slope_per_five_years,increasing_steps,decreasing_steps
neighbors_2048_cls_k10,32,specter,scibert,0.076318359375,0.063720703125,-0.012597656250000006,-0.0037353515625000028,1,3
neighbors_2048_cls_k10,32,specter,bert,0.085107421875,0.077783203125,-0.00732421875,-0.002304687500000002,2,2
neighbors_2048_cls_k10,32,specter,mpnet,0.40859375,0.400146484375,-0.008447265624999978,-0.0024853515625000043,1,3
neighbors_2048_cls_k10,32,specter,minilm,0.385400390625,0.377099609375,-0.00830078125,-0.002099609375000011,1,3
neighbors_2048_cls_k10,32,specter,pubmedbert,0.09228515625,0.07817382812500001,-0.014111328124999989,-0.0043017578124999985,1,3
neighbors_2048_cls_k10,32,specter,biobert,0.11503906250000001,0.111767578125,-0.0032714843750000083,-0.0014355468750000017,2,2
neighbors_2048_cls_k10,32,specter,simcse,0.17880859375000002,0.173388671875,-0.005419921875000011,-0.002314453124999993,1,3
neighbors_2048_cls_k10,32,specter2,scincl,0.412890625,0.4416015625,0.028710937499999978,0.0068310546875000044,2,2
neighbors_2048_cls_k10,32,specter2,scibert,0.07988281250000001,0.06494140625,-0.014941406250000011,-0.004135742187500002,1,3
neighbors_2048_cls_k10,32,specter2,bert,0.08857421875,0.07749023437500001,-0.011083984374999994,-0.003168945312500002,1,3
neighbors_2048_cls_k10,32,specter2,mpnet,0.40048828124999997,0.438134765625,0.03764648437500001,0.00862792968749999,4,0
neighbors_2048_cls_k10,32,specter2,minilm,0.365087890625,0.3890625,0.023974609374999956,0.005561523437499982,2,2
neighbors_2048_cls_k10,32,specter2,pubmedbert,0.098291015625,0.077880859375,-0.020410156250000006,-0.006152343749999997,1,3
neighbors_2048_cls_k10,32,specter2,biobert,0.11860351562500002,0.11323242187500002,-0.00537109375,-0.0022802734374999995,1,3
neighbors_2048_cls_k10,32,specter2,simcse,0.17182617187500002,0.1650390625,-0.006787109375000017,-0.0022753906250000066,1,3
neighbors_2048_cls_k10,32,scincl,scibert,0.07568359375,0.059912109375,-0.015771484375,-0.004238281250000002,1,3
neighbors_2048_cls_k10,32,scincl,bert,0.0865234375,0.07675781250000001,-0.009765624999999986,-0.0027636718749999983,1,3
neighbors_2048_cls_k10,32,scincl,mpnet,0.474853515625,0.470703125,-0.004150390625,-0.0015966796874999911,1,3
neighbors_2048_cls_k10,32,scincl,minilm,0.441162109375,0.4296875,-0.011474609375,-0.003359375000000009,1,3
neighbors_2048_cls_k10,32,scincl,pubmedbert,0.09365234375,0.075146484375,-0.018505859375000003,-0.005439453125000005,0,4
neighbors_2048_cls_k10,32,scincl,biobert,0.114013671875,0.106103515625,-0.007910156249999994,-0.0027636718749999957,1,3
neighbors_2048_cls_k10,32,scincl,simcse,0.183837890625,0.1677734375,-0.01606445312499999,-0.0046142578125,0,4
neighbors_2048_cls_k10,32,scibert,bert,0.163623046875,0.12451171875000001,-0.039111328125,-0.009853515625,0,4
neighbors_2048_cls_k10,32,scibert,mpnet,0.072021484375,0.06416015625,-0.007861328124999997,-0.002685546875,1,3
neighbors_2048_cls_k10,32,scibert,minilm,0.07626953125000001,0.062841796875,-0.013427734375000014,-0.003544921875000001,1,3
neighbors_2048_cls_k10,32,scibert,pubmedbert,0.294384765625,0.26279296875,-0.03159179687499997,-0.00828613281249999,1,3
neighbors_2048_cls_k10,32,scibert,biobert,0.272216796875,0.22216796875,-0.050048828125,-0.014047851562500014,1,3
neighbors_2048_cls_k10,32,scibert,simcse,0.11850585937500001,0.089599609375,-0.02890625000000001,-0.007993164062500002,1,3
neighbors_2048_cls_k10,32,bert,mpnet,0.09409179687500001,0.08598632812500001,-0.008105468749999997,-0.002480468749999998,1,3
neighbors_2048_cls_k10,32,bert,minilm,0.10029296875000002,0.088818359375,-0.011474609375000014,-0.003374023437500001,1,3
neighbors_2048_cls_k10,32,bert,pubmedbert,0.16733398437500002,0.12143554687500001,-0.045898437500000014,-0.012382812500000003,1,3
neighbors_2048_cls_k10,32,bert,biobert,0.17734375,0.143212890625,-0.03413085937499999,-0.010043945312499991,1,3
neighbors_2048_cls_k10,32,bert,simcse,0.191455078125,0.15859375000000003,-0.03286132812499998,-0.009458007812499997,0,4
neighbors_2048_cls_k10,32,mpnet,minilm,0.5592773437499999,0.5455566406249999,-0.013720703125000067,-0.004360351562500031,2,2
neighbors_2048_cls_k10,32,mpnet,pubmedbert,0.096630859375,0.07841796875000001,-0.01821289062499999,-0.005410156249999997,1,3
neighbors_2048_cls_k10,32,mpnet,biobert,0.12299804687500002,0.11689453125000002,-0.006103515625,-0.0021826171875000077,2,2
neighbors_2048_cls_k10,32,mpnet,simcse,0.20078125000000002,0.192626953125,-0.008154296875000022,-0.0024804687500000087,1,3
neighbors_2048_cls_k10,32,minilm,pubmedbert,0.09765625000000001,0.0791015625,-0.018554687500000014,-0.005278320312500004,0,4
neighbors_2048_cls_k10,32,minilm,biobert,0.12822265625,0.11503906250000001,-0.01318359375,-0.0034521484374999967,1,3
neighbors_2048_cls_k10,32,minilm,simcse,0.22412109375000003,0.207421875,-0.016699218750000022,-0.004609375000000004,0,4
neighbors_2048_cls_k10,32,pubmedbert,biobert,0.315234375,0.25336914062500004,-0.06186523437499997,-0.017817382812499994,1,3
neighbors_2048_cls_k10,32,pubmedbert,simcse,0.13818359375,0.093603515625,-0.044580078125000006,-0.011923828125000008,0,4
neighbors_2048_cls_k10,32,biobert,simcse,0.16733398437500002,0.136669921875,-0.030664062500000033,-0.008920898437500014,0,4
neighbors_2048_cls_k10,33,specter,specter2,0.25537109375,0.277685546875,0.022314453125000022,0.005166015625000009,3,1
neighbors_2048_cls_k10,33,specter,scincl,0.351220703125,0.370361328125,0.019140625000000022,0.004506835937499986,3,1
neighbors_2048_cls_k10,33,specter,scibert,0.065380859375,0.057568359374999996,-0.007812500000000007,-0.002636718750000004,2,2
neighbors_2048_cls_k10,33,specter,bert,0.07431640625,0.07685546875,0.0025390625000000083,0.00016113281250000055,2,2
neighbors_2048_cls_k10,33,specter,mpnet,0.300537109375,0.31640625,0.015869140625,0.0036083984375000046,3,1
neighbors_2048_cls_k10,33,specter,minilm,0.293994140625,0.30522460937499996,0.011230468749999944,0.003271484374999989,3,1
neighbors_2048_cls_k10,33,specter,pubmedbert,0.078564453125,0.07700195312500001,-0.0015624999999999944,-0.0010205078124999988,2,2
neighbors_2048_cls_k10,33,specter,biobert,0.08603515625,0.09458007812500002,0.008544921875000028,0.002080078125000007,3,1
neighbors_2048_cls_k10,33,specter,simcse,0.15000000000000002,0.16303710937500002,0.013037109374999994,0.002236328124999998,2,2
neighbors_2048_cls_k10,33,specter2,scincl,0.30224609375,0.34233398437499996,0.040087890624999956,0.0099853515625,3,1
neighbors_2048_cls_k10,33,specter2,scibert,0.070849609375,0.06513671875,-0.0057128906249999944,-0.0019628906249999994,1,3
neighbors_2048_cls_k10,33,specter2,bert,0.08002929687499999,0.086376953125,0.006347656250000014,0.001274414062500001,3,1
neighbors_2048_cls_k10,33,specter2,mpnet,0.323193359375,0.360205078125,0.03701171875000003,0.008520507812500012,3,1
neighbors_2048_cls_k10,33,specter2,minilm,0.30068359375,0.33305664062499996,0.03237304687499998,0.0075439453125,4,0
neighbors_2048_cls_k10,33,specter2,pubmedbert,0.08505859375000001,0.07626953125,-0.008789062500000014,-0.0023779296875000022,1,3
neighbors_2048_cls_k10,33,specter2,biobert,0.099462890625,0.10361328125000001,0.004150390625000014,0.0014355468750000045,2,2
neighbors_2048_cls_k10,33,specter2,simcse,0.152001953125,0.17236328125,0.020361328124999994,0.004472656249999996,4,0
neighbors_2048_cls_k10,33,scincl,scibert,0.063134765625,0.057568359375,-0.005566406250000003,-0.0018017578125000017,2,2
neighbors_2048_cls_k10,33,scincl,bert,0.072265625,0.07529296875,0.0030273437499999944,0.0005908203124999984,3,1
neighbors_2048_cls_k10,33,scincl,mpnet,0.350341796875,0.3728515625,0.02250976562500001,0.005776367187499997,3,1
neighbors_2048_cls_k10,33,scincl,minilm,0.333056640625,0.348974609375,0.01591796875000001,0.0043750000000000065,4,0
neighbors_2048_cls_k10,33,scincl,pubmedbert,0.075927734375,0.07353515625000001,-0.002392578124999989,-0.001201171875000001,1,3
