outcome,field_id,model,mean_agreement_other_nine,pair_and_field_adjusted_residual
cka_primary,33,bert,0.6349958507543422,0.018915883207200376
cka_primary,33,mpnet,0.6163710179644379,-0.0016603587676899585
cka_primary,33,minilm,0.5991804297729925,-0.004101564708420491
cka_primary,33,pubmedbert,0.5851764869326194,-0.005290824352797485
cka_primary,33,biobert,0.6117634337324511,-0.0008664366072553461
cka_primary,33,simcse,0.5983237341869717,0.0331944387021998
cka_primary,34,specter,0.6526069149918131,0.022551090651537303
cka_primary,34,specter2,0.6223297484505111,0.004183787994048628
cka_primary,34,scincl,0.6454390356001075,0.014341041648499833
cka_primary,34,scibert,0.6218455334460147,-0.014416769038149998
cka_primary,34,bert,0.629370359081628,-0.003468767283023983
cka_primary,34,mpnet,0.6389617383607527,0.004171202811114654
cka_primary,34,minilm,0.6266234729282486,0.006582319629325502
cka_primary,34,pubmedbert,0.5814353534219219,-0.02579111668100504
cka_primary,34,biobert,0.6390260989223425,0.00963706976512604
cka_primary,34,simcse,0.5640985948048095,-0.017789859497472596
cka_primary,35,specter,0.6571282341212412,0.01444362670181291
cka_primary,35,specter2,0.6331516636383046,0.0023769201026895034
cka_primary,35,scincl,0.6453079257547216,0.0015811487239614725
cka_primary,35,scibert,0.6388137766511106,-0.01007730891220662
cka_primary,35,bert,0.6395196363216678,-0.005948273122136823
cka_primary,35,mpnet,0.6528089413814774,0.005389622752686902
cka_primary,35,minilm,0.6353660727267294,0.0026961363486538315
cka_primary,35,pubmedbert,0.6058709750018397,-0.013984278180239717
cka_primary,35,biobert,0.6490897300916857,0.007071917855316628
cka_primary,35,simcse,0.5909677251108968,-0.0035495122705377913
cka_primary,36,specter,0.5781987085482416,-0.010489062247485728
cka_primary,36,specter2,0.5834609713276356,0.006683064415721505
cka_primary,36,scincl,0.5669297531076894,-0.02280018729936986
cka_primary,36,scibert,0.5896858737303051,-0.005208375209311006
cka_primary,36,bert,0.5980699426067992,0.006598869786695734
cka_primary,36,mpnet,0.5939200108172541,0.000497528812164484
cka_primary,36,minilm,0.5863939295912902,0.0077208298369155276
cka_primary,36,pubmedbert,0.5555808006226415,-0.010277615935736938
cka_primary,36,biobert,0.5922556157298141,0.004234640117146051
cka_primary,36,simcse,0.5635607084809952,0.023040307723261537
rsa_spearman_primary,11,specter,0.5533157005378171,0.01473419478825513
rsa_spearman_primary,11,specter2,0.3998634588132284,-0.06570277060755506
rsa_spearman_primary,11,scincl,0.5441259754956734,0.028143733707700267
rsa_spearman_primary,11,scibert,0.5636342896395097,-0.0019806526849435796
rsa_spearman_primary,11,bert,0.5831026244380513,-2.1492220311188543e-05
rsa_spearman_primary,11,mpnet,0.5802635231706547,0.009639553964023927
rsa_spearman_primary,11,minilm,0.5811379460763751,0.012170673196120653
rsa_spearman_primary,11,pubmedbert,0.5626952932851618,0.0006470538993375512
rsa_spearman_primary,11,biobert,0.5610844300770679,-0.0013336291174562574
rsa_spearman_primary,11,simcse,0.5030630672493074,0.0037033350748282537
rsa_spearman_primary,12,specter,0.5269161000407137,-0.006030932732306766
rsa_spearman_primary,12,specter2,0.47592187765831884,0.015990121214076874
rsa_spearman_primary,12,scincl,0.5248221584643472,0.014474389652915538
rsa_spearman_primary,12,scibert,0.5768010941189312,0.01682062477101955
rsa_spearman_primary,12,bert,0.557031972524174,-0.020457671157646778
rsa_spearman_primary,12,mpnet,0.5554021766825975,-0.009587319547491653
rsa_spearman_primary,12,minilm,0.562334822064166,-0.0009979778395469647
rsa_spearman_primary,12,pubmedbert,0.5771710723462904,0.020757305937007635
rsa_spearman_primary,12,biobert,0.551387925858394,-0.005395660359588704
rsa_spearman_primary,12,simcse,0.4681523792594972,-0.025572879938440336
rsa_spearman_primary,13,specter,0.5101645329916453,-0.018748317608118778
rsa_spearman_primary,13,specter2,0.44854053264708466,-0.007357041623900915
rsa_spearman_primary,13,scincl,0.5161643859140113,0.00985079927583616
rsa_spearman_primary,13,scibert,0.5569919399536469,0.0010456527789916878
rsa_spearman_primary,13,bert,0.5822381342105623,0.008782672701997852
rsa_spearman_primary,13,mpnet,0.5608020632432384,-0.0001532508135942967
rsa_spearman_primary,13,minilm,0.5631715520073955,0.0038729342769391207
rsa_spearman_primary,13,pubmedbert,0.5552576405152444,0.0028780562792180614
rsa_spearman_primary,13,biobert,0.574650137705425,0.021900733660698717
rsa_spearman_primary,13,simcse,0.4676188380966133,-0.02207223892806778
rsa_spearman_primary,14,specter,0.5089371056293097,-0.02192345745642367
rsa_spearman_primary,14,specter2,0.4934031897242416,0.0355579029672867
rsa_spearman_primary,14,scincl,0.4950052667352479,-0.013256032388896574
rsa_spearman_primary,14,scibert,0.5492759985776685,-0.008618001082956024
rsa_spearman_primary,14,bert,0.5651095608486072,-0.010293613145926608
rsa_spearman_primary,14,mpnet,0.5750722880981233,0.012169261555321213
rsa_spearman_primary,14,minilm,0.5669020471611647,0.005655716944738851
rsa_spearman_primary,14,pubmedbert,0.5319093314725163,-0.022417965249479293
rsa_spearman_primary,14,biobert,0.5435139519667451,-0.011183164563950323
rsa_spearman_primary,14,simcse,0.5259481419309353,0.03430935242028484
rsa_spearman_primary,15,specter,0.6274309065653259,0.030773062268655147
rsa_spearman_primary,15,specter2,0.5345115761901724,0.010869008222280171
rsa_spearman_primary,15,scincl,0.5809565350826338,0.006897954747551943
rsa_spearman_primary,15,scibert,0.6089871236626493,-0.014704157208912617
rsa_spearman_primary,15,bert,0.6313548955877415,-0.00984555961772957
rsa_spearman_primary,15,mpnet,0.633899448109802,0.005199140356062664
rsa_spearman_primary,15,minilm,0.6233052623248131,-0.0037383491025502324
rsa_spearman_primary,15,pubmedbert,0.6020354089669682,-0.018089168965964894
rsa_spearman_primary,15,biobert,0.6053397915387642,-0.015154606202868792
rsa_spearman_primary,15,simcse,0.565228746225063,0.007792675503475233
rsa_spearman_primary,16,specter,0.6100195211252152,0.0309276587970105
rsa_spearman_primary,16,specter2,0.5004045567520783,-0.00567202924734785
rsa_spearman_primary,16,scincl,0.5486352056567878,-0.007857392709828073
rsa_spearman_primary,16,scibert,0.6077659696266486,0.001640670723552932
rsa_spearman_primary,16,bert,0.6469871875024339,0.023352714265428905
rsa_spearman_primary,16,mpnet,0.6155637488261095,0.004429423040835995
rsa_spearman_primary,16,minilm,0.6086161082355067,-0.0008615212233905353
rsa_spearman_primary,16,pubmedbert,0.5850466800941834,-0.01751191587028347
