outcome,omitted_model,feature,coefficient,r_squared,design_rank,coefficients_identified
cka_sep,simcse,intercept,,0.021623247407501545,3,False
cka_sep,simcse,same_objective,,0.021623247407501545,3,False
cka_sep,simcse,same_broad_domain,,0.021623247407501545,3,False
cka_sep,simcse,same_primary_pooling,,0.021623247407501545,3,False
cka_quality,specter,intercept,0.6178078368124773,0.38752767278350875,4,True
cka_quality,specter,same_objective,0.17131838985118683,0.38752767278350875,4,True
cka_quality,specter,same_broad_domain,-0.012750943400906734,0.38752767278350875,4,True
cka_quality,specter,same_primary_pooling,-0.01998730928681705,0.38752767278350875,4,True
cka_quality,specter2,intercept,0.62383282870921,0.3796364157675366,4,True
cka_quality,specter2,same_objective,0.1690991165589735,0.3796364157675366,4,True
cka_quality,specter2,same_broad_domain,-0.018382308364127194,0.3796364157675366,4,True
cka_quality,specter2,same_primary_pooling,-0.021252639364380228,0.3796364157675366,4,True
cka_quality,scincl,intercept,0.6211187362639979,0.3837128493655534,4,True
cka_quality,scincl,same_objective,0.1661602483592152,0.3837128493655534,4,True
cka_quality,scincl,same_broad_domain,-0.01754465500354137,0.3837128493655534,4,True
cka_quality,scincl,same_primary_pooling,-0.02201310249929928,0.3837128493655534,4,True
cka_quality,scibert,intercept,0.623230824085009,0.29516074150218774,4,True
cka_quality,scibert,same_objective,0.13670094267810803,0.29516074150218774,4,True
cka_quality,scibert,same_broad_domain,0.0198505734184137,0.29516074150218774,4,True
cka_quality,scibert,same_primary_pooling,-0.029320152274346457,0.29516074150218774,4,True
cka_quality,bert,intercept,0.6315808094222769,0.39877999405105957,4,True
cka_quality,bert,same_objective,0.21854886098078588,0.39877999405105957,4,True
cka_quality,bert,same_broad_domain,-0.06571233107533517,0.39877999405105957,4,True
cka_quality,bert,same_primary_pooling,-0.03601321527566294,0.39877999405105957,4,True
cka_quality,mpnet,intercept,0.6044052037163291,0.5564706468402572,4,True
cka_quality,mpnet,same_objective,0.1967818973322109,0.5564706468402572,4,True
cka_quality,mpnet,same_broad_domain,0.008369097428607097,0.5564706468402572,4,True
cka_quality,mpnet,same_primary_pooling,-0.024090214425917755,0.5564706468402572,4,True
cka_quality,minilm,intercept,0.6121798896009621,0.4807685518982687,4,True
cka_quality,minilm,same_objective,0.1916874010396068,0.4807685518982687,4,True
cka_quality,minilm,same_broad_domain,0.000525330513419613,0.4807685518982687,4,True
cka_quality,minilm,same_primary_pooling,-0.025053703255476237,0.4807685518982687,4,True
cka_quality,pubmedbert,intercept,0.6411905700191457,0.28953110023926276,4,True
cka_quality,pubmedbert,same_objective,0.14967696247849258,0.28953110023926276,4,True
cka_quality,pubmedbert,same_broad_domain,-0.026391432237694742,0.28953110023926276,4,True
cka_quality,pubmedbert,same_primary_pooling,-0.031318841176631404,0.28953110023926276,4,True
cka_quality,biobert,intercept,0.6308951443203252,0.2838944791499105,4,True
cka_quality,biobert,same_objective,0.15141912761048265,0.2838944791499105,4,True
cka_quality,biobert,same_broad_domain,-0.016219326327968516,0.2838944791499105,4,True
cka_quality,biobert,same_primary_pooling,-0.03281436673043317,0.2838944791499105,4,True
cka_quality,simcse,intercept,0.6314564205306155,0.646089125616049,4,True
cka_quality,simcse,same_objective,0.2502747171283695,0.646089125616049,4,True
cka_quality,simcse,same_broad_domain,-0.0037620799944491318,0.646089125616049,4,True
cka_quality,simcse,same_primary_pooling,-0.07031491296508209,0.646089125616049,4,True
neighbors_2048_mean_k25,specter,intercept,0.2799379548944979,0.37267738234825587,4,True
neighbors_2048_mean_k25,specter,same_objective,0.1653512494991986,0.37267738234825587,4,True
neighbors_2048_mean_k25,specter,same_broad_domain,-0.01941641626602561,0.37267738234825587,4,True
neighbors_2048_mean_k25,specter,same_primary_pooling,-0.0062433351696047305,0.37267738234825587,4,True
neighbors_2048_mean_k25,specter2,intercept,0.28603414259110893,0.36800914030355736,4,True
neighbors_2048_mean_k25,specter2,same_objective,0.16560093093393868,0.36800914030355736,4,True
neighbors_2048_mean_k25,specter2,same_broad_domain,-0.019217582576566958,0.36800914030355736,4,True
neighbors_2048_mean_k25,specter2,same_primary_pooling,-0.008812806972637718,0.36800914030355736,4,True
neighbors_2048_mean_k25,scincl,intercept,0.278452552788165,0.39120229777931936,4,True
neighbors_2048_mean_k25,scincl,same_objective,0.16169713346910608,0.39120229777931936,4,True
neighbors_2048_mean_k25,scincl,same_broad_domain,-0.021180879963497115,0.39120229777931936,4,True
neighbors_2048_mean_k25,scincl,same_primary_pooling,-0.0050609118107491175,0.39120229777931936,4,True
neighbors_2048_mean_k25,scibert,intercept,0.2880652289853683,0.2614334533387912,4,True
