field_id,period_start,rows,distinct_subfields,effective_subfields,largest_subfield_share,mean_abstract_words,mean_title_words,duplicate_doi_rate,duplicate_text_rate,ambiguous_language_rate,short_abstract_rate,type_counts_json
23,2000,2166,11,9.53971710539583,0.20867959372114497,186.0470914127424,12.885041551246537,0.0,0.0,0.033702677746999074,0.10480147737765466,"{""article"": 2027, ""conference-paper"": 136, ""review"": 3}"
23,2005,2876,11,9.556720987441373,0.23157162726008346,187.11509040333797,13.308066759388039,0.0,0.0,0.020166898470097356,0.09840055632823366,"{""article"": 2682, ""conference-paper"": 186, ""review"": 8}"
23,2010,4005,11,9.609277403610081,0.20224719101123595,196.3732833957553,13.75505617977528,0.0,0.0,0.02247191011235955,0.07116104868913857,"{""article"": 3605, ""conference-paper"": 385, ""review"": 15}"
23,2015,4018,11,9.254810516996141,0.20059731209556994,219.50771528123445,14.144848183175709,0.0,0.0,0.019661523145843702,0.03733200597312095,"{""article"": 3543, ""conference-paper"": 459, ""review"": 16}"
23,2020,5919,11,9.487799145323345,0.18009798952525766,227.80908937320493,14.90505152897449,0.0,0.0005068423720223011,0.013684744044602128,0.02483527622909275,"{""article"": 5294, ""conference-paper"": 583, ""review"": 42}"
24,2000,2166,5,3.245226800147398,0.5844875346260388,217.76638965835642,14.75854108956602,0.0,0.002770083102493075,0.012927054478301015,0.04847645429362881,"{""article"": 2147, ""conference-paper"": 8, ""review"": 11}"
24,2005,2166,5,3.2388344734621266,0.5844875346260388,214.56048014773776,14.077562326869806,0.0,0.0,0.012927054478301015,0.05632502308402586,"{""article"": 2139, ""conference-paper"": 13, ""review"": 14}"
24,2010,2166,5,3.4011899076106995,0.5701754385964912,226.02446906740536,14.590027700831024,0.0,0.0009233610341643582,0.007848568790397045,0.03508771929824561,"{""article"": 2136, ""conference-paper"": 12, ""review"": 18}"
24,2015,2166,5,3.519929885905328,0.5577100646352724,235.89289012003692,14.807940904893814,0.0,0.0004616805170821791,0.009233610341643583,0.036011080332409975,"{""article"": 2106, ""conference-paper"": 23, ""review"": 37}"
24,2020,2166,5,3.607121299188976,0.5554016620498615,241.12788550323177,15.267313019390581,0.0,0.0004616805170821791,0.006001846722068329,0.03277931671283472,"{""article"": 2099, ""conference-paper"": 22, ""review"": 45}"
25,2000,2166,8,4.247222453952751,0.5290858725761773,145.10203139427517,12.435826408125576,0.0,0.0,0.018005540166204988,0.15004616805170823,"{""article"": 1845, ""conference-paper"": 319, ""review"": 2}"
25,2005,2166,8,4.237332760170967,0.5401662049861495,148.27331486611266,12.433056325023085,0.0,0.0,0.017082179132040628,0.12049861495844875,"{""article"": 1926, ""conference-paper"": 236, ""review"": 4}"
25,2010,2962,8,4.145272613511346,0.5408507765023632,155.7153950033761,12.963875759621876,0.0,0.0,0.01823092505064146,0.09081701553004727,"{""article"": 2659, ""conference-paper"": 297, ""review"": 6}"
25,2015,3152,8,4.12447580151418,0.5399746192893401,174.13134517766497,13.550761421319796,0.0,0.0,0.015545685279187817,0.06376903553299493,"{""article"": 2716, ""conference-paper"": 429, ""review"": 7}"
25,2020,3787,8,3.9501961513453936,0.560866120940058,197.10483232109848,14.141800897808292,0.0,0.0,0.008449960390810668,0.04172167942962767,"{""article"": 3440, ""conference-paper"": 335, ""review"": 12}"
