field_id,model_a,input_a,model_b,input_b,kind,rows,cka_debiased,rsa_spearman
11,biobert,abstract,biobert,title_abstract,input,1000,0.9783339157723225,0.9782836632127135
11,simcse,abstract,simcse,title_abstract,input,1000,0.9706574055760971,0.9800847443002125
11,specter,title_abstract,specter2,title_abstract,model,1000,0.7288868130193975,0.565173474749933
11,specter,title_abstract,scincl,title_abstract,model,1000,0.8339136226400027,0.7662518344351293
11,specter,title_abstract,scibert,title_abstract,model,1000,0.5724006065068347,0.44927280962518196
11,specter,title_abstract,bert,title_abstract,model,1000,0.5608380286326626,0.4249542255303853
11,specter,title_abstract,mpnet,title_abstract,model,1000,0.7820953021537367,0.7215716980764281
11,specter,title_abstract,minilm,title_abstract,model,1000,0.724145185490481,0.6894670347991674
11,specter,title_abstract,pubmedbert,title_abstract,model,1000,0.49648530707405375,0.40796289912740913
11,specter,title_abstract,biobert,title_abstract,model,1000,0.5334547448113716,0.41440073316850223
11,specter,title_abstract,simcse,title_abstract,model,1000,0.5196747812712286,0.36164249156810657
11,specter2,title_abstract,scincl,title_abstract,model,1000,0.7971805857104177,0.6176602052376505
11,specter2,title_abstract,scibert,title_abstract,model,1000,0.5435367436475915,0.2937259375163148
11,specter2,title_abstract,bert,title_abstract,model,1000,0.5127597530985966,0.22568762643321943
11,specter2,title_abstract,mpnet,title_abstract,model,1000,0.7451919352637492,0.6077253967228139
11,specter2,title_abstract,minilm,title_abstract,model,1000,0.6892900431914495,0.5441901679514748
11,specter2,title_abstract,pubmedbert,title_abstract,model,1000,0.45755758831858817,0.23402376493056018
11,specter2,title_abstract,biobert,title_abstract,model,1000,0.4878477545900008,0.23987291139868347
11,specter2,title_abstract,simcse,title_abstract,model,1000,0.45510464688274893,0.20455814626939692
11,scincl,title_abstract,scibert,title_abstract,model,1000,0.5519752791114093,0.40413280094033227
11,scincl,title_abstract,bert,title_abstract,model,1000,0.5481499545763434,0.40067304509967927
11,scincl,title_abstract,mpnet,title_abstract,model,1000,0.7944445863786355,0.7677426842543607
11,scincl,title_abstract,minilm,title_abstract,model,1000,0.7351140377423836,0.7254678975076737
11,scincl,title_abstract,pubmedbert,title_abstract,model,1000,0.46524665344419663,0.3460890385767191
11,scincl,title_abstract,biobert,title_abstract,model,1000,0.5036108169724074,0.35087544485668754
11,scincl,title_abstract,simcse,title_abstract,model,1000,0.5006712409983749,0.35146832002767153
11,scibert,title_abstract,bert,title_abstract,model,1000,0.7245557938063846,0.7420487495276206
11,scibert,title_abstract,mpnet,title_abstract,model,1000,0.5353538762876519,0.4292829144817069
