field_id,metric,model,input_condition,model_change_at_full,input_change_from_full,model_minus_input
11,neighbors25,scibert,abstract,0.6176266666666667,0.13796000000000008,0.4796666666666666
11,neighbors25,bert,title,0.6444177777777778,0.7702,-0.12578222222222224
11,neighbors25,bert,abstract,0.6444177777777778,0.1522,0.49221777777777775
11,neighbors25,mpnet,title,0.6118888888888888,0.46084,0.1510488888888888
11,neighbors25,mpnet,abstract,0.6118888888888888,0.16571999999999998,0.44616888888888884
11,neighbors25,minilm,title,0.6370622222222222,0.5436,0.09346222222222222
11,neighbors25,minilm,abstract,0.6370622222222222,0.21336,0.4237022222222222
11,neighbors25,pubmedbert,title,0.6302444444444445,0.75748,-0.12723555555555555
11,neighbors25,pubmedbert,abstract,0.6302444444444445,0.14476,0.4854844444444445
11,neighbors25,biobert,title,0.6205955555555556,0.78836,-0.16776444444444438
11,neighbors25,biobert,abstract,0.6205955555555556,0.16156000000000004,0.45903555555555553
11,neighbors25,simcse,title,0.7025822222222221,0.7973600000000001,-0.09477777777777796
11,neighbors25,simcse,abstract,0.7025822222222221,0.23236,0.4702222222222221
12,cka,specter,title,0.45890049836150915,0.35663234893841966,0.10226814942308948
12,cka,specter,abstract,0.45890049836150915,0.07007637851671711,0.38882411984479204
12,cka,specter2,title,0.44118704741942555,0.3061721145590307,0.13501493286039484
12,cka,specter2,abstract,0.44118704741942555,0.10182708051337275,0.3393599669060528
12,cka,scincl,title,0.4165888128129311,0.3930010879924617,0.02358772482046939
12,cka,scincl,abstract,0.4165888128129311,0.04222659438562215,0.37436221842730893
12,cka,scibert,title,0.3875597654452851,0.6568258882477072,-0.26926612280242207
12,cka,scibert,abstract,0.3875597654452851,0.020209116946062866,0.3673506484992222
12,cka,bert,title,0.37430873999688985,0.5801533493692279,-0.20584460937233806
12,cka,bert,abstract,0.37430873999688985,0.01685004172302318,0.35745869827386667
12,cka,mpnet,title,0.44200861963713556,0.2771997757374537,0.16480884389968187
12,cka,mpnet,abstract,0.44200861963713556,0.03826367313412282,0.40374494650301274
12,cka,minilm,title,0.4407097149948881,0.33702103926770965,0.10368867572717844
12,cka,minilm,abstract,0.4407097149948881,0.04416779653002256,0.39654191846486553
12,cka,pubmedbert,title,0.4501533864393841,0.6722232683812958,-0.22206988194191168
12,cka,pubmedbert,abstract,0.4501533864393841,0.027988767241613588,0.4221646191977705
12,cka,biobert,title,0.4317078641515502,0.730776973899399,-0.2990691097478488
12,cka,biobert,abstract,0.4317078641515502,0.024346758528656864,0.40736110562289335
12,cka,simcse,title,0.4228498662686311,0.599929682707019,-0.17707981643838788
12,cka,simcse,abstract,0.4228498662686311,0.026761047803393945,0.39608881846523714
12,rsa,specter,title,0.4737473217927014,0.26076620252041194,0.21298111927228947
12,rsa,specter,abstract,0.4737473217927014,0.050461256614649286,0.4232860651780521
12,rsa,specter2,title,0.5126465344992828,0.2701115010962758,0.24253503340300697
12,rsa,specter2,abstract,0.5126465344992828,0.0931699271989227,0.41947660730036007
12,rsa,scincl,title,0.4851661980435811,0.2794468668806176,0.20571933116296348
12,rsa,scincl,abstract,0.4851661980435811,0.028486851731219676,0.4566793463123614
12,rsa,scibert,title,0.4193676124407517,0.660152642808381,-0.24078503036762933
12,rsa,scibert,abstract,0.4193676124407517,0.012718334544296828,0.4066492778964549
12,rsa,bert,title,0.44772499476731276,0.6013677814594195,-0.15364278669210674
12,rsa,bert,abstract,0.44772499476731276,0.01179173439547998,0.4359332603718328
12,rsa,mpnet,title,0.4551651801220793,0.28443816937809274,0.17072701074398655
12,rsa,mpnet,abstract,0.4551651801220793,0.04699282040748598,0.4081723597145933
12,rsa,minilm,title,0.44160964494319,0.3032566089291413,0.1383530360140487
12,rsa,minilm,abstract,0.44160964494319,0.0361656128479213,0.4054440320952687
12,rsa,pubmedbert,title,0.4226876798182188,0.658464864761164,-0.23577718494294514
12,rsa,pubmedbert,abstract,0.4226876798182188,0.016590891153973608,0.4060967886642452
12,rsa,biobert,title,0.45175259595954714,0.7316072075030178,-0.27985461154347063
12,rsa,biobert,abstract,0.45175259595954714,0.019821774198048092,0.43193082176149905
12,rsa,simcse,title,0.5459161596761235,0.6024171502215414,-0.056500990545417906
12,rsa,simcse,abstract,0.5459161596761235,0.02658652957696983,0.5193296300991537
12,neighbors25,specter,title,0.7545733333333333,0.73964,0.014933333333333354
12,neighbors25,specter,abstract,0.7545733333333333,0.37076,0.38381333333333334
12,neighbors25,specter2,title,0.7543733333333333,0.7014400000000001,0.05293333333333328
12,neighbors25,specter2,abstract,0.7543733333333333,0.43372,0.32065333333333335
12,neighbors25,scincl,title,0.7377466666666668,0.75336,-0.015613333333333257
12,neighbors25,scincl,abstract,0.7377466666666668,0.28171999999999997,0.4560266666666668
12,neighbors25,scibert,title,0.68844,0.87128,-0.18284
12,neighbors25,scibert,abstract,0.68844,0.16792000000000007,0.52052
12,neighbors25,bert,title,0.6746266666666666,0.79776,-0.12313333333333343
12,neighbors25,bert,abstract,0.6746266666666666,0.14288,0.5317466666666666
12,neighbors25,mpnet,title,0.7064577777777779,0.5951599999999999,0.11129777777777794
12,neighbors25,mpnet,abstract,0.7064577777777779,0.2138,0.49265777777777786
12,neighbors25,minilm,title,0.7051244444444444,0.65596,0.049164444444444455
12,neighbors25,minilm,abstract,0.7051244444444444,0.238,0.46712444444444445
12,neighbors25,pubmedbert,title,0.695231111111111,0.86952,-0.17428888888888894
