field_id,model,input_condition,effect_full1000,median_effect500,absolute_median_change,central95_width500,passes_operational_screen
17,pubmedbert,abstract,0.37016893797226746,0.36651913393002034,0.003649804042247129,0.02019234579465712,True
17,biobert,title,-0.2896692983360999,-0.29152567188173306,0.001856373545633172,0.03149907500897936,True
17,biobert,abstract,0.3616953912818768,0.35829577654194594,0.003399614739930834,0.023125890273813843,True
17,simcse,title,-0.06317607721261875,-0.06205522554362225,0.0011208516689965031,0.029613994486288743,True
17,simcse,abstract,0.3818971536285619,0.3802667830195309,0.00163037060903104,0.016270989608748065,True
17,mean_of_ten_fixed_models,title,-0.0050505209007665084,-0.005422110909486339,0.0003715900087198302,0.022842916904085523,True
17,mean_of_ten_fixed_models,abstract,0.35834142468476343,0.355166267966465,0.003175156718298433,0.015040715628428902,True
18,specter,title,0.1357537469075687,0.13936312411487128,0.0036093772073025887,0.02622869853871268,True
18,specter,abstract,0.34319688098628,0.3444066959766525,0.0012098149903725375,0.015490249921352228,True
18,specter2,title,0.13529167481307353,0.1415565984697482,0.006264923656674665,0.027252287604322828,True
18,specter2,abstract,0.3224879558492392,0.32442241434048835,0.0019344584912491247,0.01840353533720751,True
18,scincl,title,0.12593355573720394,0.13211319696209634,0.006179641224892396,0.030796289632603988,True
18,scincl,abstract,0.3407576672023988,0.34228233153475696,0.00152466433235815,0.018639944061874247,True
18,scibert,title,-0.19021174261450952,-0.18684337925261713,0.0033683633618923903,0.03732709975492168,True
18,scibert,abstract,0.3722156394355413,0.3761294058729493,0.003913766437407984,0.020588608897650684,True
18,bert,title,-0.10681658022939627,-0.10775792241287205,0.000941342183475774,0.03654121599369732,True
18,bert,abstract,0.3606137910216312,0.3631859147556401,0.002572123734008891,0.01907255690802162,True
18,mpnet,title,0.13171112962426762,0.1346023957825505,0.0028912661582828902,0.02514016933184164,True
18,mpnet,abstract,0.33378119496539577,0.3358595550502053,0.0020783600848095496,0.018861581315448905,True
18,minilm,title,0.1009663169476176,0.10328921422467621,0.0023228972770586165,0.01727478160327406,True
18,minilm,abstract,0.3505343099661913,0.3529143726258063,0.0023800626596150454,0.015985367409595885,True
18,pubmedbert,title,-0.21226099491059003,-0.21685755178801522,0.00459655687742519,0.038167081438529565,True
18,pubmedbert,abstract,0.3812569442526915,0.3879924904933937,0.006735546240702162,0.027298805545800997,True
18,biobert,title,-0.30414533990901044,-0.3069760108514424,0.0028306709424319454,0.030839175168833277,True
18,biobert,abstract,0.3542255842049819,0.36523582231980495,0.011010238114823045,0.06154923984932881,False
18,simcse,title,-0.07065260345938035,-0.06940334235092546,0.0012492611084548855,0.02966175143802796,True
18,simcse,abstract,0.38647747497862023,0.3899053691243146,0.003427894145694388,0.017832464004792936,True
18,mean_of_ten_fixed_models,title,-0.02544308370931552,-0.02392865570253713,0.001514428006778392,0.01593919786201358,True
18,mean_of_ten_fixed_models,abstract,0.35455474428629713,0.3572869660336453,0.0027322217473481625,0.020272630709838202,True
19,specter,title,0.10401257561874716,0.1080243222270563,0.004011746608309136,0.031068363146373193,True
19,specter,abstract,0.26138875798273026,0.2628684891485956,0.0014797311658653611,0.02675773677102586,True
19,specter2,title,0.11465240171569302,0.1195235950675696,0.004871193351876579,0.025771240090591924,True
19,specter2,abstract,0.2937782723490877,0.2957205159698344,0.0019422436207466864,0.023962351258513426,True
19,scincl,title,0.11823414411512179,0.12201005160254794,0.00377590748742615,0.027138155893356594,True
19,scincl,abstract,0.28585373598332764,0.28724021815688877,0.0013864821735611321,0.025073912581415225,True
