field_id,k,model_a,input_a,model_b,input_b,kind,mean_overlap,chance_adjusted
11,10,specter,title_abstract,scibert,title_abstract,model,0.2763,0.2689825075834176
11,10,specter,title_abstract,bert,title_abstract,model,0.244,0.23635591506572295
11,10,specter,title_abstract,mpnet,title_abstract,model,0.434,0.42827704752275025
11,10,specter,title_abstract,minilm,title_abstract,model,0.37770000000000004,0.3714077856420627
11,10,specter,title_abstract,pubmedbert,title_abstract,model,0.2561,0.24857826086956522
11,10,specter,title_abstract,biobert,title_abstract,model,0.2616,0.25413387259858444
11,10,specter,title_abstract,simcse,title_abstract,model,0.2144,0.206456622851365
11,10,specter2,title_abstract,scincl,title_abstract,model,0.4141,0.40817583417593534
11,10,specter2,title_abstract,scibert,title_abstract,model,0.2314,0.22362851365015166
11,10,specter2,title_abstract,bert,title_abstract,model,0.1928,0.1846382204246714
11,10,specter2,title_abstract,mpnet,title_abstract,model,0.398,0.3919130434782609
11,10,specter2,title_abstract,minilm,title_abstract,model,0.34740000000000004,0.3408014155712842
11,10,specter2,title_abstract,pubmedbert,title_abstract,model,0.2109,0.2029212335692619
11,10,specter2,title_abstract,biobert,title_abstract,model,0.209,0.2010020222446916
11,10,specter2,title_abstract,simcse,title_abstract,model,0.1769,0.16857745197168858
11,10,scincl,title_abstract,scibert,title_abstract,model,0.24889999999999998,0.24130546006066733
11,10,scincl,title_abstract,bert,title_abstract,model,0.21669999999999998,0.20877987866531847
11,10,scincl,title_abstract,mpnet,title_abstract,model,0.4753,0.46999464105156724
11,10,scincl,title_abstract,minilm,title_abstract,model,0.40659999999999996,0.40059999999999996
11,10,scincl,title_abstract,pubmedbert,title_abstract,model,0.22410000000000002,0.216254701718908
11,10,scincl,title_abstract,biobert,title_abstract,model,0.22269999999999998,0.21484054600606672
11,10,scincl,title_abstract,simcse,title_abstract,model,0.20099999999999998,0.1929211324570273
11,10,scibert,title_abstract,bert,title_abstract,model,0.391,0.3848422649140546
11,10,scibert,title_abstract,mpnet,title_abstract,model,0.2459,0.23827512639029325
11,10,scibert,title_abstract,minilm,title_abstract,model,0.2359,0.22817401415571284
11,10,scibert,title_abstract,pubmedbert,title_abstract,model,0.5381,0.5334296258847321
11,10,scibert,title_abstract,biobert,title_abstract,model,0.5234,0.5185809908998988
11,10,scibert,title_abstract,simcse,title_abstract,model,0.2537,0.2461539939332659
11,10,bert,title_abstract,mpnet,title_abstract,model,0.24489999999999998,0.23726501516683518
11,10,bert,title_abstract,minilm,title_abstract,model,0.2385,0.23080030333670373
11,10,bert,title_abstract,pubmedbert,title_abstract,model,0.3791,0.37282194135490393
11,10,bert,title_abstract,biobert,title_abstract,model,0.4145,0.4085798786653185
11,10,bert,title_abstract,simcse,title_abstract,model,0.35550000000000004,0.34898331648129427
11,10,mpnet,title_abstract,minilm,title_abstract,model,0.5258,0.5210052578361982
11,10,mpnet,title_abstract,pubmedbert,title_abstract,model,0.2379,0.23019423660262892
11,10,mpnet,title_abstract,biobert,title_abstract,model,0.2427,0.2350427704752275
11,10,mpnet,title_abstract,simcse,title_abstract,model,0.2198,0.21191122345803842
11,10,minilm,title_abstract,pubmedbert,title_abstract,model,0.2212,0.21332537917087968
11,10,minilm,title_abstract,biobert,title_abstract,model,0.2319,0.2241335692618807
11,10,minilm,title_abstract,simcse,title_abstract,model,0.21669999999999998,0.20877987866531847
11,10,pubmedbert,title_abstract,biobert,title_abstract,model,0.5374,0.5327225480283114
11,10,pubmedbert,title_abstract,simcse,title_abstract,model,0.24369999999999997,0.23605288169868552
11,10,biobert,title_abstract,simcse,title_abstract,model,0.2615,0.25403286147623866
11,25,specter,title,specter2,title,model,0.3624,0.3460344969199179
11,25,specter,title,scincl,title,model,0.43656,0.4220979876796715
11,25,specter,title,scibert,title,model,0.24359999999999998,0.22418521560574947
11,25,specter,title,bert,title,model,0.23856000000000002,0.2190158521560575
11,25,specter,title,mpnet,title,model,0.37548000000000004,0.35945022587269
11,25,specter,title,minilm,title,model,0.3328,0.3156747433264887
11,25,specter,title,pubmedbert,title,model,0.29536,0.27727375770020535
11,25,specter,title,biobert,title,model,0.22308,0.20313852156057496
11,25,specter,title,simcse,title,model,0.22032,0.2003076796714579
11,25,specter,title,specter,abstract,input,0.37520000000000003,0.35916303901437374
11,25,specter,title,specter,title_abstract,input,0.48479999999999995,0.4715761806981519
11,25,specter2,title,scincl,title,model,0.429,0.41434394250513346
11,25,specter2,title,scibert,title,model,0.22616,0.2062975770020534
11,25,specter2,title,bert,title,model,0.21276,0.19255363449691992
11,25,specter2,title,mpnet,title,model,0.38332,0.36749145790554416
11,25,specter2,title,minilm,title,model,0.33899999999999997,0.3220338809034907
11,25,specter2,title,pubmedbert,title,model,0.26411999999999997,0.245231909650924
11,25,specter2,title,biobert,title,model,0.19628,0.17565063655030802
11,25,specter2,title,simcse,title,model,0.2022,0.18172258726899385
11,25,specter2,title,specter2,abstract,input,0.34524,0.328434045174538
11,25,specter2,title,specter2,title_abstract,input,0.45548,0.441503613963039
11,25,scincl,title,scibert,title,model,0.26208,0.2431395482546201
11,25,scincl,title,bert,title,model,0.24244,0.22299544147843942
11,25,scincl,title,mpnet,title,model,0.3944,0.3788558521560575
11,25,scincl,title,minilm,title,model,0.35496,0.3384035318275154
11,25,scincl,title,pubmedbert,title,model,0.29832000000000003,0.2803097330595483
11,25,scincl,title,biobert,title,model,0.22260000000000002,0.2026462012320329
11,25,scincl,title,simcse,title,model,0.21532,0.1951793429158111
11,25,scincl,title,scincl,abstract,input,0.4106,0.39547166324435323
11,25,scincl,title,scincl,title_abstract,input,0.49607999999999997,0.48314570841889115
11,25,scibert,title,bert,title,model,0.2834,0.2650067761806981
11,25,scibert,title,mpnet,title,model,0.21752,0.1974358110882957
11,25,scibert,title,minilm,title,model,0.2016,0.18110718685831623
