outcome,field_id,biomedical_models_in_pair,model_pairs,mean
procrustes_similarity_primary,14,2,1,0.8128427833952727
procrustes_similarity_primary,15,0,28,0.6831323806230499
procrustes_similarity_primary,15,1,16,0.6848027892670225
procrustes_similarity_primary,15,2,1,0.8361851772603289
procrustes_similarity_primary,16,0,28,0.6516825227189826
procrustes_similarity_primary,16,1,16,0.6736203913231038
procrustes_similarity_primary,16,2,1,0.8410429491100933
procrustes_similarity_primary,17,0,28,0.6492275191521327
procrustes_similarity_primary,17,1,16,0.626631300508656
procrustes_similarity_primary,17,2,1,0.8070428794168402
procrustes_similarity_primary,18,0,28,0.679822269854626
procrustes_similarity_primary,18,1,16,0.6601710529456775
procrustes_similarity_primary,18,2,1,0.8251939281408459
procrustes_similarity_primary,19,0,28,0.6843597936743041
procrustes_similarity_primary,19,1,16,0.6832769725299721
procrustes_similarity_primary,19,2,1,0.8344788116406171
procrustes_similarity_primary,20,0,28,0.6758126701394355
procrustes_similarity_primary,20,1,16,0.649275584804019
procrustes_similarity_primary,20,2,1,0.8239673071265002
procrustes_similarity_primary,21,0,28,0.7050762709372502
procrustes_similarity_primary,21,1,16,0.7015164851378846
procrustes_similarity_primary,21,2,1,0.8403336237462478
procrustes_similarity_primary,22,0,28,0.6334531641000447
procrustes_similarity_primary,22,1,16,0.6243692210571195
procrustes_similarity_primary,22,2,1,0.8007718255974912
procrustes_similarity_primary,23,0,28,0.6703936152458777
procrustes_similarity_primary,23,1,16,0.6653852856830315
procrustes_similarity_primary,23,2,1,0.828161331560513
procrustes_similarity_primary,24,0,28,0.6626595587140737
procrustes_similarity_primary,24,1,16,0.6736917202938073
procrustes_similarity_primary,24,2,1,0.8347915133914562
procrustes_similarity_primary,25,0,28,0.6528712837866448
procrustes_similarity_primary,25,1,16,0.6626117408116101
procrustes_similarity_primary,25,2,1,0.8229790135463189
procrustes_similarity_primary,26,0,28,0.66002224208727
procrustes_similarity_primary,26,1,16,0.6400722693641621
procrustes_similarity_primary,26,2,1,0.8172456447210207
procrustes_similarity_primary,27,0,28,0.6160595280856659
procrustes_similarity_primary,27,1,16,0.6198526514637255
procrustes_similarity_primary,27,2,1,0.8109889790474586
procrustes_similarity_primary,28,0,28,0.6798269310351566
procrustes_similarity_primary,28,1,16,0.6871786932363795
procrustes_similarity_primary,28,2,1,0.8416091704173155
procrustes_similarity_primary,29,0,28,0.68670824037254
procrustes_similarity_primary,29,1,16,0.6819897205007355
procrustes_similarity_primary,29,2,1,0.8430175052927933
procrustes_similarity_primary,30,0,28,0.6640789301578216
procrustes_similarity_primary,30,1,16,0.6758494037816438
procrustes_similarity_primary,30,2,1,0.8395997728993299
procrustes_similarity_primary,31,0,28,0.6622968189306627
procrustes_similarity_primary,31,1,16,0.6664704202086803
procrustes_similarity_primary,31,2,1,0.8319019456811217
procrustes_similarity_primary,32,0,28,0.6742223631383389
procrustes_similarity_primary,32,1,16,0.6615343908984933
procrustes_similarity_primary,32,2,1,0.8358273420842742
procrustes_similarity_primary,33,0,28,0.6420957202762468
