outcome,field_id,period_start,mean,median
procrustes_similarity_primary,25,2000,0.659332106076777,0.6447789061048147
procrustes_similarity_primary,25,2005,0.6643963374310818,0.6555920362925849
procrustes_similarity_primary,25,2010,0.6582550030477704,0.6486147168012707
procrustes_similarity_primary,25,2015,0.6570749967181365,0.6471221698555525
procrustes_similarity_primary,25,2020,0.6615152025660266,0.6506101017867961
procrustes_similarity_primary,26,2000,0.6461679515874741,0.6316558095189628
procrustes_similarity_primary,26,2005,0.6486197258237664,0.6353069524582267
procrustes_similarity_primary,26,2010,0.6535195999166651,0.643260247181213
procrustes_similarity_primary,26,2015,0.6560745617963709,0.6421105716415172
procrustes_similarity_primary,26,2020,0.6777320200969652,0.6610584915584601
procrustes_similarity_primary,27,2000,0.6258447649374449,0.6123650673630925
procrustes_similarity_primary,27,2005,0.6196634172914887,0.6004576235784453
procrustes_similarity_primary,27,2010,0.619107573527028,0.6005725086419835
procrustes_similarity_primary,27,2015,0.6204725223958317,0.603667846948628
procrustes_similarity_primary,27,2020,0.6236115206110637,0.6072655550119802
procrustes_similarity_primary,28,2000,0.6829973392076749,0.6687696444103399
procrustes_similarity_primary,28,2005,0.6813660004575193,0.6620575025692051
procrustes_similarity_primary,28,2010,0.6880025288770423,0.6702031585791952
procrustes_similarity_primary,28,2015,0.6882894284459055,0.6716125056055703
procrustes_similarity_primary,28,2020,0.6895249620322765,0.6702631224258685
procrustes_similarity_primary,29,2000,0.6892362129585977,0.6684832619429294
procrustes_similarity_primary,29,2005,0.68455735061469,0.6659517263197184
procrustes_similarity_primary,29,2010,0.6877724946139203,0.6782774198106903
procrustes_similarity_primary,29,2015,0.689280153946319,0.6806922052791003
procrustes_similarity_primary,29,2020,0.6916742060593256,0.6790522306637606
procrustes_similarity_primary,30,2000,0.6696569425046849,0.6606956202046426
procrustes_similarity_primary,30,2005,0.6667090837452575,0.6576256904070406
procrustes_similarity_primary,30,2010,0.6700711365684213,0.6614261723898626
procrustes_similarity_primary,30,2015,0.6754064553281292,0.6625390613540844
procrustes_similarity_primary,30,2020,0.6789786349451339,0.6710998325048917
procrustes_similarity_primary,31,2000,0.6709255944578547,0.6481018937458606
procrustes_similarity_primary,31,2005,0.6654804258137166,0.6459881083138315
procrustes_similarity_primary,31,2010,0.6657543086602085,0.640967699222606
procrustes_similarity_primary,31,2015,0.6665971108436763,0.6455102468224875
procrustes_similarity_primary,31,2020,0.6689914045666067,0.6438158373989439
procrustes_similarity_primary,32,2000,0.6767027308137767,0.6382770960449515
procrustes_similarity_primary,32,2005,0.6780297395313275,0.637720912300961
procrustes_similarity_primary,32,2010,0.6758145365966651,0.6365633880356173
procrustes_similarity_primary,32,2015,0.6716081063004217,0.6357707541956259
procrustes_similarity_primary,32,2020,0.6643564161282157,0.62970016714727
procrustes_similarity_primary,33,2000,0.6547345036021905,0.6321916008391895
procrustes_similarity_primary,33,2005,0.6412149893645485,0.615783943086863
procrustes_similarity_primary,33,2010,0.6366315110827462,0.6093578113241664
procrustes_similarity_primary,33,2015,0.6355852375004348,0.609662771011068
procrustes_similarity_primary,33,2020,0.6381985642485712,0.6132304944237316
procrustes_similarity_primary,34,2000,0.6790277643072703,0.6630649240549717
procrustes_similarity_primary,34,2005,0.6743670884574325,0.6598251062985988
procrustes_similarity_primary,34,2010,0.6801949784323249,0.6686793937872059
procrustes_similarity_primary,34,2015,0.6829407726853198,0.6695068078776891
procrustes_similarity_primary,34,2020,0.6839806579245439,0.6675850389807699
procrustes_similarity_primary,35,2000,0.6765550097550072,0.6622079104383367
procrustes_similarity_primary,35,2005,0.6775845325973047,0.6628616825011703
procrustes_similarity_primary,35,2010,0.6732941615096605,0.654180904457167
procrustes_similarity_primary,35,2015,0.6712350299213764,0.6588535180144152
procrustes_similarity_primary,35,2020,0.6789287449226199,0.666673154685397
procrustes_similarity_primary,36,2000,0.6716309114449147,0.6303778319055381
procrustes_similarity_primary,36,2005,0.6767169156191195,0.6418815082993132
procrustes_similarity_primary,36,2010,0.6743983952078262,0.6341884706228017
procrustes_similarity_primary,36,2015,0.677538136890256,0.6382331606082682
procrustes_similarity_primary,36,2020,0.6715871757921852,0.6347723050573442
cka_raw,11,2000,0.5886105871339715,0.5283205250708309
cka_raw,11,2005,0.6020106601337356,0.5299030372080774
cka_raw,11,2010,0.5853878306871846,0.5050447211917347
cka_raw,11,2015,0.6314759935769868,0.5675628058237903
cka_raw,11,2020,0.6190592078462037,0.5416083755494535
cka_raw,12,2000,0.5410540681101123,0.4866166682663115
cka_raw,12,2005,0.5566495479322949,0.5113639542462957
cka_raw,12,2010,0.5755620344176549,0.5361707520200922
cka_raw,12,2015,0.5803388807441162,0.5512186978220477
cka_raw,12,2020,0.6006541474018198,0.5882462535434124
cka_raw,13,2000,0.58873247556817,0.5334331746246495
cka_raw,13,2005,0.589869351949767,0.5192718808654766
cka_raw,13,2010,0.5996592320245003,0.5322373115580777
cka_raw,13,2015,0.6066801762877095,0.553541176245945
cka_raw,13,2020,0.6166587392328619,0.5691221216939362
cka_raw,14,2000,0.5762981755607819,0.5431922818407648
cka_raw,14,2005,0.5696415631005641,0.5299051540160589
cka_raw,14,2010,0.5579419861790361,0.5085785420821312
cka_raw,14,2015,0.5708301682840845,0.5035063907764324
cka_raw,14,2020,0.5778720452369375,0.5128669650477083
cka_raw,15,2000,0.6792860345219413,0.6367698301301377
cka_raw,15,2005,0.6871268552757394,0.6417274028446069
cka_raw,15,2010,0.6972853818014034,0.6651962390637653
cka_raw,15,2015,0.7129435005114648,0.6787380091882715
cka_raw,15,2020,0.702478732039246,0.6654450551415948
cka_raw,16,2000,0.6411141401805176,0.6412394776613641
cka_raw,16,2005,0.6647431282789792,0.6651394729018549
cka_raw,16,2010,0.6687712775234643,0.6677477847407973
cka_raw,16,2015,0.6763083444887491,0.6608737939916925
cka_raw,16,2020,0.6857423892395127,0.6498488011651389
cka_raw,17,2000,0.6210192279458742,0.5605524508786923
cka_raw,17,2005,0.6176331383807353,0.5692582290220991
cka_raw,17,2010,0.6017640917502131,0.5438084168468427
cka_raw,17,2015,0.6079733760621594,0.5472172735567521
cka_raw,17,2020,0.6373508233499464,0.5611817584148779
cka_raw,18,2000,0.6185570006341233,0.561619147422351
cka_raw,18,2005,0.6096141072080355,0.5576633432527847
cka_raw,18,2010,0.601424568938939,0.5399329132778337
cka_raw,18,2015,0.6281984126834451,0.5572520221766689
cka_raw,18,2020,0.6341109109196735,0.5619809709178968
cka_raw,19,2000,0.6512654019054476,0.6202743750188103
cka_raw,19,2005,0.6715844168435637,0.6261627141968161
