metric,model,field_a,field_b,field_a_name,field_b_name,value_a,value_b,raw_difference_b_minus_a,relative_difference_primary,relative_min,relative_max,relative_q05,relative_q95,half_min,half_max,external_min,external_max,positive_repetitions,negative_repetitions,direction,direction_and_alternatives,direction_minimum_0,direction_minimum_0.01,direction_minimum_0.05,direction_minimum_0.1
angle_p50,bert,19,28,Earth and Planetary Sciences,Neuroscience,34.02511858525433,31.50036508720071,-2.5247534980536237,-0.07706172794310727,-0.08937600387849609,-0.0619848825235235,-0.08751100201264869,-0.06672395914464055,-0.08797069210330744,-0.0619848825235235,-0.08937600387849609,-0.07810796182451539,0,25,-1,-1,-1,-1,-1,0
angle_p50,mpnet,19,28,Earth and Planetary Sciences,Neuroscience,81.56436340424379,82.97770880595645,1.413345401712661,0.017179137016180658,0.013580007742871021,0.021139269190417306,0.01470006122168342,0.020578156786381054,0.013580007742871021,0.021139269190417306,0.01591445669900922,0.0201910540103825,25,0,1,1,1,1,0,0
angle_p50,minilm,19,28,Earth and Planetary Sciences,Neuroscience,81.92059660954315,83.19570343320198,1.275106823658831,0.015444953930396122,0.011045330322470133,0.020236630093287196,0.011603255960359507,0.019176567867155575,0.011558677002010711,0.020236630093287196,0.011045330322470133,0.01689745015196524,25,0,1,1,1,1,0,0
angle_p50,pubmedbert,19,28,Earth and Planetary Sciences,Neuroscience,9.876489559974075,10.029500667160473,0.15301110718639777,0.015373373084230996,0.008067823773254247,0.024716078660267277,0.008461078022158208,0.020670451190340326,0.008067823773254247,0.024716078660267277,0.010217787454887845,0.013289196146135385,25,0,1,0,1,0,0,0
angle_p50,biobert,19,28,Earth and Planetary Sciences,Neuroscience,22.71279333364785,22.29514420054225,-0.4176491331055985,-0.018558910093951005,-0.02835772040307299,-0.009776519751594577,-0.026876623770832636,-0.011733708523805075,-0.02835772040307299,-0.009776519751594577,-0.027141164109344834,-0.022207990738470535,0,25,-1,0,-1,0,0,0
angle_p50,simcse,19,28,Earth and Planetary Sciences,Neuroscience,54.75655598129473,51.386194843907795,-3.3703611373869364,-0.0635061954054177,-0.06989582297114567,-0.054296434434612795,-0.0689312458581687,-0.055092014400110224,-0.06989582297114567,-0.054296434434612795,-0.0683737004474916,-0.06165124081081897,0,25,-1,-1,-1,-1,-1,0
angle_p50,specter,19,29,Earth and Planetary Sciences,Nursing,51.83272783277276,56.99068114012864,5.157953307355882,0.09479492245350055,0.08928346293921445,0.10555063633813344,0.08937941361262432,0.10067896841263207,0.08928346293921445,0.10555063633813344,0.08945276324837625,0.09464296118945391,25,0,1,1,1,1,1,0
angle_p50,specter2,19,29,Earth and Planetary Sciences,Nursing,35.535676368443816,34.81223141460958,-0.7234449538342389,-0.020567632403945203,-0.025293083554193067,-0.0142271304184922,-0.0243295829866885,-0.0170683348322279,-0.024352907355453163,-0.0142271304184922,-0.025293083554193067,-0.018749940045557297,0,25,-1,-1,-1,-1,0,0
angle_p50,scincl,19,29,Earth and Planetary Sciences,Nursing,40.04006257472259,41.95679109761241,1.9167285228898194,0.04675127000724191,0.04116387156283228,0.05420953864209953,0.041955885620899,0.05384450138895124,0.04303890312112741,0.05420953864209953,0.04116387156283228,0.04411905288937692,25,0,1,1,1,1,0,0
angle_p50,scibert,19,29,Earth and Planetary Sciences,Nursing,34.52336928266875,35.35536991686656,0.8320006341978043,0.023812697359122847,0.015983189992299737,0.03178962085030437,0.017021498876376454,0.030000871972655108,0.01699339010909815,0.03178962085030437,0.015983189992299737,0.022547452531003046,25,0,1,0,1,1,0,0
angle_p50,bert,19,29,Earth and Planetary Sciences,Nursing,34.02511858525433,32.815256086340405,-1.2098624989139282,-0.03620154748857461,-0.04965082913141351,-0.025152298635344895,-0.04746298178626732,-0.026504403893253464,-0.046513909956164,-0.025152298635344895,-0.04965082913141351,-0.03617298288484692,0,25,-1,0,-1,-1,0,0
angle_p50,mpnet,19,29,Earth and Planetary Sciences,Nursing,81.56436340424379,81.29177296310857,-0.2725904411352218,-0.0033476225976569072,-0.007482091406106651,0.002081656868172946,-0.0071036726641759895,0.0013545389328742542,-0.006215214206862045,0.002081656868172946,-0.007482091406106651,-0.003529883910070753,5,20,0,0,0,0,0,0
angle_p50,minilm,19,29,Earth and Planetary Sciences,Nursing,81.92059660954315,82.95877019955049,1.0381735900073323,0.012593129268981079,0.007983211633999017,0.016626359401440124,0.008924117437185795,0.016053254235541617,0.009023332065476536,0.016626359401440124,0.007983211633999017,0.012109289996689355,25,0,1,0,1,0,0,0
angle_p50,pubmedbert,19,29,Earth and Planetary Sciences,Nursing,9.876489559974075,10.07469531016878,0.19820575019470432,0.019869070582501713,0.008103627265161473,0.028934814952349116,0.010399623419764033,0.026959894035754054,0.008103627265161473,0.028934814952349116,0.010082397954241682,0.015757759010326312,25,0,1,1,1,0,0,0
angle_p50,biobert,19,29,Earth and Planetary Sciences,Nursing,22.71279333364785,22.813735190278738,0.1009418566308895,0.00443441922341341,-0.0068695798671237936,0.014141355579871881,-0.005494629192248293,0.012642144931107584,-0.00571496950281682,0.014141355579871881,-0.0068695798671237936,0.0011014378500222974,17,8,0,0,0,0,0,0
angle_p50,simcse,19,29,Earth and Planetary Sciences,Nursing,54.75655598129473,53.29176748929416,-1.4647884920005723,-0.02711358112649092,-0.03794447087261532,-0.018824047850960254,-0.036937226231470985,-0.020087072240644897,-0.03765430149377616,-0.018824047850960254,-0.03794447087261532,-0.025860867388189268,0,25,-1,0,-1,-1,0,0
angle_p50,specter,19,30,Earth and Planetary Sciences,"Pharmacology, Toxicology and Pharmaceutics",51.83272783277276,56.50113711534432,4.6684092825715595,0.08618559459329435,0.0774772873963238,0.09257129694951621,0.07910830594800194,0.09057608844120367,0.08016077255450697,0.09257129694951621,0.0774772873963238,0.08333840508300366,25,0,1,1,1,1,1,0
angle_p50,specter2,19,30,Earth and Planetary Sciences,"Pharmacology, Toxicology and Pharmaceutics",35.535676368443816,33.8589293537437,-1.676747014700119,-0.04832499579038643,-0.053609597832224506,-0.043175122476925405,-0.053499734536275,-0.044284950460141206,-0.053580067873624036,-0.043175122476925405,-0.053609597832224506,-0.046858653062296855,0,25,-1,-1,-1,-1,0,0
angle_p50,scincl,19,30,Earth and Planetary Sciences,"Pharmacology, Toxicology and Pharmaceutics",40.04006257472259,40.608366950031275,0.5683043753086849,0.014093377357937321,0.0008038884416474676,0.020891552809225323,0.006245430953995033,0.01817919433208124,0.009205275971931519,0.020891552809225323,0.0008038884416474676,0.010201087909686643,25,0,1,0,1,0,0,0
angle_p50,scibert,19,30,Earth and Planetary Sciences,"Pharmacology, Toxicology and Pharmaceutics",34.52336928266875,35.73078437109618,1.2074150884274246,0.034372774437735155,0.027459528918606785,0.0426865034231229,0.027714618003878304,0.0383158311899986,0.027459528918606785,0.0426865034231229,0.027475794987896908,0.03299291613313829,25,0,1,1,1,1,0,0
angle_p50,bert,19,30,Earth and Planetary Sciences,"Pharmacology, Toxicology and Pharmaceutics",34.02511858525433,32.30907734971099,-1.7160412355433436,-0.05173926393034949,-0.06776397156251752,-0.04713986013862242,-0.06652160078031036,-0.04816478210094494,-0.06776397156251752,-0.04713986013862242,-0.06705825886319393,-0.05402958161388905,0,25,-1,0,-1,-1,0,0
angle_p50,mpnet,19,30,Earth and Planetary Sciences,"Pharmacology, Toxicology and Pharmaceutics",81.56436340424379,78.38659919809419,-3.177764206149604,-0.03973423047224793,-0.047331977248007064,-0.03649429666115367,-0.044729324792038824,-0.03739102849164089,-0.044736036499101496,-0.03649429666115367,-0.047331977248007064,-0.04147219757895041,0,25,-1,-1,-1,-1,0,0
angle_p50,minilm,19,30,Earth and Planetary Sciences,"Pharmacology, Toxicology and Pharmaceutics",81.92059660954315,80.36068321548055,-1.5599133940626047,-0.019224810104339178,-0.026447355502356405,-0.0161376222143779,-0.02431793403763338,-0.01708270901722795,-0.023540963301726767,-0.0161376222143779,-0.026447355502356405,-0.021929398486780837,0,25,-1,-1,-1,-1,0,0
angle_p50,pubmedbert,19,30,Earth and Planetary Sciences,"Pharmacology, Toxicology and Pharmaceutics",9.876489559974075,10.319469544493709,0.44297998451963316,0.04386817998870243,0.0311498820353704,0.050960954807049826,0.032597527187010665,0.046866756409505814,0.03447902569556376,0.050960954807049826,0.0311498820353704,0.04265345601593288,25,0,1,1,1,1,0,0
angle_p50,biobert,19,30,Earth and Planetary Sciences,"Pharmacology, Toxicology and Pharmaceutics",22.71279333364785,23.155056298074488,0.44226296442663937,0.01928422491909318,0.006561316794344367,0.023957380932245968,0.009381669045497885,0.02348165492759777,0.009365205913919932,0.023957380932245968,0.006561316794344367,0.018428144654102224,25,0,1,1,1,0,0,0
angle_p50,simcse,19,30,Earth and Planetary Sciences,"Pharmacology, Toxicology and Pharmaceutics",54.75655598129473,51.61006377843594,-3.146492202858788,-0.05916315118345085,-0.07386629090307983,-0.049719294827394026,-0.07298087445577835,-0.0528333455514996,-0.07386629090307983,-0.049719294827394026,-0.0736455554135403,-0.05895978062916016,0,25,-1,0,-1,-1,0,0
angle_p50,specter,19,31,Earth and Planetary Sciences,Physics and Astronomy,51.83272783277276,52.90451070053838,1.07178286776562,0.020466128051003465,0.012464864227541471,0.029388534849997986,0.016424175201437456,0.02779690703874741,0.012464864227541471,0.029388534849997986,0.019752183555247448,0.02816144631813674,25,0,1,0,1,1,0,0
angle_p50,specter2,19,31,Earth and Planetary Sciences,Physics and Astronomy,35.535676368443816,36.9207390554963,1.385062687052482,0.03823160941508148,0.03530773344752723,0.04193630960792817,0.03558086340434212,0.0417896077837773,0.03530773344752723,0.04193630960792817,0.03750314271968469,0.04001432398388254,25,0,1,1,1,1,0,0
angle_p50,scincl,19,31,Earth and Planetary Sciences,Physics and Astronomy,40.04006257472259,41.53397563420202,1.493913059479432,0.036627169434796734,0.030810777945243784,0.04601481339517006,0.032409058632829606,0.045185982245528944,0.030810777945243784,0.04601481339517006,0.03376882253486204,0.04281856669778893,25,0,1,1,1,1,0,0
angle_p50,scibert,19,31,Earth and Planetary Sciences,Physics and Astronomy,34.52336928266875,34.57771543782082,0.054346155152067865,0.0015729465137022185,-0.006933960012472537,0.008318986918693112,-0.005436660433855865,0.00710396340930955,-0.006933960012472537,0.008318986918693112,-0.006147218853476521,0.005123353709773247,15,10,0,0,0,0,0,0
angle_p50,bert,19,31,Earth and Planetary Sciences,Physics and Astronomy,34.02511858525433,31.838576655855285,-2.1865419293990485,-0.06639596886857609,-0.07515148726597505,-0.05103097450628437,-0.0744453801334739,-0.05696595379171861,-0.07483251356681696,-0.05103097450628437,-0.07515148726597505,-0.05696263447367389,0,25,-1,-1,-1,-1,-1,0
angle_p50,mpnet,19,31,Earth and Planetary Sciences,Physics and Astronomy,81.56436340424379,83.96870051136646,2.4043371071226716,0.029049629726523,0.024903016783783413,0.034733559395740785,0.026454611533804094,0.03247799346889384,0.024903016783783413,0.034733559395740785,0.029045531328989214,0.031223386387016643,25,0,1,1,1,1,0,0
angle_p50,minilm,19,31,Earth and Planetary Sciences,Physics and Astronomy,81.92059660954315,84.85504848000238,2.9344518704592275,0.035190412471601054,0.03203451831633032,0.039433946042565296,0.032312750554527196,0.03869989392250373,0.03203451831633032,0.039433946042565296,0.034496174463870315,0.03692372769669216,25,0,1,1,1,1,0,0
angle_p50,pubmedbert,19,31,Earth and Planetary Sciences,Physics and Astronomy,9.876489559974075,10.037402527530299,0.1609129675562233,0.016160875719236568,0.0076727060421924505,0.022062583800434715,0.008818914280816905,0.020571260519594216,0.009092604859158157,0.022062583800434715,0.0076727060421924505,0.01685497579125316,25,0,1,0,1,0,0,0
angle_p50,biobert,19,31,Earth and Planetary Sciences,Physics and Astronomy,22.71279333364785,22.827687407275924,0.11489407362807569,0.005045799770173665,-0.003830860772831554,0.011956702672189328,-0.0015742095878797542,0.00989586478501211,-0.0016175460147504746,0.011956702672189328,-0.003830860772831554,0.00938658614561864,20,5,0,0,0,0,0,0
angle_p50,simcse,19,31,Earth and Planetary Sciences,Physics and Astronomy,54.75655598129473,51.252404549024845,-3.504151432269886,-0.06611047622276543,-0.07218897632050059,-0.05471665663299058,-0.07170200563501933,-0.05966860811359107,-0.07191189515175883,-0.05965955075481393,-0.07218897632050059,-0.05471665663299058,0,25,-1,-1,-1,-1,-1,0
angle_p50,specter,19,32,Earth and Planetary Sciences,Psychology,51.83272783277276,52.315479210683705,0.4827513779109438,0.009270469297844232,0.0022189569476557328,0.016797034180443725,0.004338826994885464,0.01591938971109991,0.0022189569476557328,0.016797034180443725,0.00766642113836307,0.014665133108272952,25,0,1,0,1,0,0,0
angle_p50,specter2,19,32,Earth and Planetary Sciences,Psychology,35.535676368443816,35.057914578833035,-0.4777617896107813,-0.013535557072528012,-0.018027692355778276,-0.007653573430142403,-0.017024000069994147,-0.008647536334953503,-0.018027692355778276,-0.007653573430142403,-0.013957688392674712,-0.012946285424904825,0,25,-1,-1,-1,0,0,0
angle_p50,scincl,19,32,Earth and Planetary Sciences,Psychology,40.04006257472259,44.63621144135037,4.596148866627779,0.108558127292076,0.1021344819121338,0.11547525885294285,0.1038636197042721,0.11380541328650723,0.1021344819121338,0.11547525885294285,0.10381535745820802,0.10869234285892386,25,0,1,1,1,1,1,1
angle_p50,scibert,19,32,Earth and Planetary Sciences,Psychology,34.52336928266875,34.957320594465486,0.43395131179673285,0.012491278154091678,0.005311287713184192,0.018944732923001455,0.005574881344677056,0.016804184546442735,0.005311287713184192,0.018944732923001455,0.006902477927001033,0.012552861473845389,25,0,1,0,1,0,0,0
