metric,field_a,field_b,field_a_name,field_b_name,class,positive_count,negative_count,unresolved_count,positive_models,negative_models,unresolved_models,opposing_model_pairs,total_model_pairs,primary_point_class,minimum5pct_class,all_alternatives_class,median_absolute_primary_relative_difference,minimum_primary_relative_difference,maximum_primary_relative_difference
angle_p50,13,21,"Biochemistry, Genetics and Molecular Biology",Energy,contradiction,4,4,2,specter2|bert|biobert|simcse,specter|scincl|scibert|mpnet,minilm|pubmedbert,16,45,contradiction,contradiction,contradiction,0.020308355483909822,-0.057997660923501906,0.08035076994555639
angle_p50,13,22,"Biochemistry, Genetics and Molecular Biology",Engineering,contradiction,7,3,0,specter2|scincl|bert|mpnet|minilm|biobert|simcse,specter|scibert|pubmedbert,,21,45,contradiction,unresolved,contradiction,0.03516066979659198,-0.018622628236590933,0.07310104613636956
angle_p50,13,23,"Biochemistry, Genetics and Molecular Biology",Environmental Science,contradiction,5,2,3,specter2|bert|minilm|biobert|simcse,specter|scincl,scibert|mpnet|pubmedbert,10,45,contradiction,contradiction,contradiction,0.02454456835492428,-0.05948306590969786,0.08250077938814385
angle_p50,13,24,"Biochemistry, Genetics and Molecular Biology",Immunology and Microbiology,unanimous,0,10,0,,specter|specter2|scincl|scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,,0,45,unanimous,unresolved,unanimous,0.040882082944190726,-0.09367020185071276,-0.023695026179802875
angle_p50,13,25,"Biochemistry, Genetics and Molecular Biology",Materials Science,unresolved,0,9,1,,specter|scincl|scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,specter2,0,45,contradiction,unresolved,unresolved,0.05241653797074369,-0.11730540486147344,0.0018380274055990774
angle_p50,13,26,"Biochemistry, Genetics and Molecular Biology",Mathematics,contradiction,7,3,0,scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,specter|specter2|scincl,,21,45,contradiction,contradiction,contradiction,0.030595482727425096,-0.1587337745898845,0.08942535909627658
angle_p50,13,27,"Biochemistry, Genetics and Molecular Biology",Medicine,contradiction,6,3,1,specter|specter2|scincl|scibert|mpnet|minilm,bert|pubmedbert|simcse,biobert,18,45,contradiction,unresolved,contradiction,0.016319695917222772,-0.03691835365841274,0.029334036660467258
angle_p50,13,28,"Biochemistry, Genetics and Molecular Biology",Neuroscience,contradiction,2,7,1,specter2|scincl,specter|scibert|bert|mpnet|minilm|pubmedbert|simcse,biobert,14,45,contradiction,unresolved,contradiction,0.015538424555855544,-0.04510015021797736,0.03676013732308627
angle_p50,13,29,"Biochemistry, Genetics and Molecular Biology",Nursing,contradiction,3,5,2,bert|biobert|simcse,specter|scincl|mpnet|minilm|pubmedbert,specter2|scibert,15,45,contradiction,unresolved,contradiction,0.015245485857905857,-0.037097803019073554,0.02849774001885117
angle_p50,13,30,"Biochemistry, Genetics and Molecular Biology","Pharmacology, Toxicology and Pharmaceutics",contradiction,3,6,1,scibert|pubmedbert|biobert,specter|specter2|scincl|mpnet|minilm|simcse,bert,18,45,contradiction,unresolved,contradiction,0.026584424576569586,-0.06973994939355174,0.04334327752510854
angle_p50,13,31,"Biochemistry, Genetics and Molecular Biology",Physics and Astronomy,contradiction,3,5,2,specter2|minilm|biobert,specter|scincl|scibert|pubmedbert|simcse,bert|mpnet,15,45,contradiction,unresolved,contradiction,0.01983815304683494,-0.08358061057457347,0.051243616513975195
angle_p50,13,32,"Biochemistry, Genetics and Molecular Biology",Psychology,contradiction,4,5,1,scincl|bert|biobert|simcse,specter|scibert|mpnet|minilm|pubmedbert,specter2,20,45,contradiction,unresolved,contradiction,0.016020539401827277,-0.09475463291633833,0.057712009671666904
angle_p50,13,33,"Biochemistry, Genetics and Molecular Biology",Social Sciences,contradiction,5,4,1,bert|minilm|pubmedbert|biobert|simcse,specter|specter2|scincl|mpnet,scibert,20,45,contradiction,contradiction,contradiction,0.027698167165208905,-0.09459945997138879,0.15506880366987935
angle_p50,13,34,"Biochemistry, Genetics and Molecular Biology",Veterinary,unanimous,0,10,0,,specter|specter2|scincl|scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,,0,45,unanimous,unresolved,unresolved,0.04202532014561115,-0.0771534270827374,-0.009748715480122891
angle_p50,13,35,"Biochemistry, Genetics and Molecular Biology",Dentistry,unanimous,0,10,0,,specter|specter2|scincl|scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,,0,45,unanimous,unresolved,unanimous,0.09162622804968812,-0.20098485819435158,-0.0532090357832282
angle_p50,13,36,"Biochemistry, Genetics and Molecular Biology",Health Professions,contradiction,3,4,3,bert|biobert|simcse,specter|specter2|mpnet|minilm,scincl|scibert|pubmedbert,12,45,contradiction,contradiction,contradiction,0.024726357041547752,-0.06050247387930851,0.08516815939964208
angle_p50,14,15,"Business, Management and Accounting",Chemical Engineering,contradiction,2,6,2,specter2|minilm,scincl|scibert|bert|pubmedbert|biobert|simcse,specter|mpnet,12,45,contradiction,unresolved,contradiction,0.037868243225740505,-0.08669566591944429,0.0363483782120034
angle_p50,14,16,"Business, Management and Accounting",Chemistry,contradiction,4,5,1,specter2|scibert|pubmedbert|biobert,scincl|bert|mpnet|minilm|simcse,specter,20,45,contradiction,contradiction,contradiction,0.030211353283627403,-0.11641462846878707,0.0665519998323994
angle_p50,14,17,"Business, Management and Accounting",Computer Science,contradiction,6,2,2,specter|specter2|scincl|mpnet|minilm|pubmedbert,biobert|simcse,scibert|bert,12,45,contradiction,unresolved,contradiction,0.043815538826146104,-0.03072678128832554,0.15236870759082702
angle_p50,14,18,"Business, Management and Accounting",Decision Sciences,contradiction,5,1,4,specter2|scincl|mpnet|minilm|pubmedbert,simcse,specter|scibert|bert|biobert,5,45,contradiction,unresolved,contradiction,0.018956648557347848,-0.02131150837370355,0.07056758721175044
angle_p50,14,19,"Business, Management and Accounting",Earth and Planetary Sciences,contradiction,5,4,1,specter2|scibert|bert|mpnet|pubmedbert,specter|scincl|biobert|simcse,minilm,20,45,contradiction,unresolved,contradiction,0.017361813428447354,-0.052756988463659255,0.05853753091497675
