outcome,model_a,model_b,observed,descriptive_fit,residual
cka_cls,specter,minilm,0.7280959983675267,0.5606074750705511,0.1674885232969756
cka_cls,specter,pubmedbert,0.3895468904309673,0.4520363622192227,-0.062489471788255424
cka_cls,specter,biobert,0.48106866301841306,0.4520363622192227,0.029032300799190336
cka_cls,specter,simcse,0.5449156381801454,0.4520363622192227,0.09287927596092271
cka_cls,specter2,scincl,0.8074390777523668,0.7875419857318647,0.01989709202050205
cka_cls,specter2,scibert,0.3962278183406109,0.43792181211270587,-0.041693993772094984
cka_cls,specter2,bert,0.3638462884386856,0.4520363622192227,-0.08819007378053711
cka_cls,specter2,mpnet,0.7583846650982787,0.5606074750705511,0.19777719002772765
cka_cls,specter2,minilm,0.7098317009580413,0.5606074750705511,0.14922422588749018
cka_cls,specter2,pubmedbert,0.38854556222447634,0.4520363622192227,-0.06349079999474638
cka_cls,specter2,biobert,0.4709912070663662,0.4520363622192227,0.018954844847143493
cka_cls,specter2,simcse,0.5057961182082769,0.4520363622192227,0.05375975598905414
cka_cls,scincl,scibert,0.37095339192872223,0.43792181211270587,-0.06696842018398363
cka_cls,scincl,bert,0.3646868819108759,0.4520363622192227,-0.08734948030834683
cka_cls,scincl,mpnet,0.7863542221845136,0.5606074750705511,0.22574674711396248
cka_cls,scincl,minilm,0.7416343520446516,0.5606074750705511,0.18102687697410047
cka_cls,scincl,pubmedbert,0.3717539830670134,0.4520363622192227,-0.08028237915220932
cka_cls,scincl,biobert,0.4648804814785315,0.4520363622192227,0.012844119259308784
cka_cls,scincl,simcse,0.5266915121577813,0.4520363622192227,0.0746551499385586
cka_cls,scibert,bert,0.5377407261827694,0.6424355373950411,-0.10469481121227175
cka_cls,scibert,mpnet,0.36788836709228434,0.5606074750705511,-0.19271910797826675
cka_cls,scibert,minilm,0.35684633828973084,0.5606074750705511,-0.20376113678082025
cka_cls,scibert,pubmedbert,0.7203245677680606,0.6424355373950411,0.07788903037301953
cka_cls,scibert,biobert,0.7126598217276778,0.6424355373950411,0.07022428433263672
cka_cls,scibert,simcse,0.4781572576146134,0.4520363622192227,0.026120895395390697
cka_cls,bert,mpnet,0.3785844002141067,0.5044630010008386,-0.1258786007867319
cka_cls,bert,minilm,0.3824187137237172,0.5044630010008386,-0.12204428727712141
cka_cls,bert,pubmedbert,0.5643835928615497,0.6424355373950411,-0.0780519445334914
cka_cls,bert,biobert,0.5896890297573429,0.6844654613582367,-0.09477643160089377
cka_cls,bert,simcse,0.6124171501460454,0.43792181211270587,0.1744953380333395
cka_cls,mpnet,minilm,0.8329678383147527,0.8329678383147539,-1.1102230246251565e-15
cka_cls,mpnet,pubmedbert,0.3732951984607428,0.5606074750705511,-0.18731227660980826
cka_cls,mpnet,biobert,0.46517484444456814,0.5606074750705511,-0.09543263062598295
cka_cls,mpnet,simcse,0.5457608897210088,0.5044630010008386,0.04129788872017015
cka_cls,minilm,pubmedbert,0.3625710763855644,0.5606074750705511,-0.19803639868498668
cka_cls,minilm,biobert,0.4517994678317188,0.5606074750705511,-0.10880800723883227
cka_cls,minilm,simcse,0.5670173414590851,0.5044630010008386,0.06255434045824648
cka_cls,pubmedbert,biobert,0.7157009359663286,0.5862910633253287,0.1294098726409999
cka_cls,pubmedbert,simcse,0.5018858587077659,0.4520363622192227,0.0498494964885432
cka_cls,biobert,simcse,0.5741819315388786,0.4940662861824183,0.08011564535646032
cka_sep,specter,specter2,0.747969263227318,0.7758836679595527,-0.02791440473223461
cka_sep,specter,scincl,0.807217616215905,0.7758836679595527,0.031333948256352384
cka_sep,specter,scibert,0.45139575963690515,0.39285876522646496,0.05853699441044019
cka_sep,specter,bert,0.1729523178156213,0.5225274843353478,-0.34957516651972653
cka_sep,specter,mpnet,0.7694841285744236,0.6118550947298446,0.15762903384457905
cka_sep,specter,minilm,0.7280959983675267,0.6118550947298446,0.11624090363768214
cka_sep,specter,pubmedbert,0.6799079285804311,0.5225274843353478,0.15738044424508335
cka_sep,specter,biobert,0.6300681757343473,0.5225274843353478,0.10754069139899947
cka_sep,specter,simcse,0.5449156381801454,0.5258010895154014,0.019114548664744047
cka_sep,specter2,scincl,0.8074390777523668,0.7758836679595527,0.031555409792814126
cka_sep,specter2,scibert,0.46098761866170335,0.39285876522646496,0.06812885343523839
cka_sep,specter2,bert,0.16804306030071725,0.5225274843353478,-0.35448442403463054
cka_sep,specter2,mpnet,0.7583846650982787,0.6118550947298446,0.14652957036843417
cka_sep,specter2,minilm,0.7098317009580413,0.6118550947298446,0.0979766062281967
cka_sep,specter2,pubmedbert,0.6549616282733894,0.5225274843353478,0.13243414393804165
cka_sep,specter2,biobert,0.6095316638761903,0.5225274843353478,0.0870041795408425
cka_sep,specter2,simcse,0.5057961182082769,0.5258010895154014,-0.02000497130712453
cka_sep,scincl,scibert,0.44110271910769094,0.39285876522646496,0.04824395388122599
cka_sep,scincl,bert,0.16378350778726355,0.5225274843353478,-0.3587439765480842
cka_sep,scincl,mpnet,0.7863542221845136,0.6118550947298446,0.174499127454669
cka_sep,scincl,minilm,0.7416343520446516,0.6118550947298446,0.129779257314807
cka_sep,scincl,pubmedbert,0.6653548403910428,0.5225274843353478,0.14282735605569497
cka_sep,scincl,biobert,0.6131266726186221,0.5225274843353478,0.09059918828327429
cka_sep,scincl,simcse,0.5266915121577813,0.5258010895154014,0.0008904226423799289
cka_sep,scibert,bert,0.2383778997878718,0.500216181060858,-0.26183828127298614
cka_sep,scibert,mpnet,0.4344194643106363,0.6118550947298446,-0.17743563041920823
cka_sep,scibert,minilm,0.41316322186849663,0.6118550947298446,-0.19869187286134793
cka_sep,scibert,pubmedbert,0.6250572357337271,0.500216181060858,0.1248410546728691
cka_sep,scibert,biobert,0.6564551885450965,0.500216181060858,0.15623900748423858
cka_sep,scibert,simcse,0.5095874170313363,0.5225274843353478,-0.012940067304011538
cka_sep,bert,mpnet,0.17108077745103933,0.48491788889860177,-0.31383711144756243
cka_sep,bert,minilm,0.17293570410065975,0.48491788889860177,-0.31198218479794204
cka_sep,bert,pubmedbert,0.25143340627518873,0.500216181060858,-0.24878277478566924
cka_sep,bert,biobert,0.2803258894606658,0.49748466778321787,-0.2171587783225521
cka_sep,bert,simcse,0.2541260341380748,0.39285876522646496,-0.13873273108839018
cka_sep,mpnet,minilm,0.8329678383147527,0.8679427916316894,-0.034974953316936674
cka_sep,mpnet,pubmedbert,0.6618052255151116,0.6118550947298446,0.049950130785267
cka_sep,mpnet,biobert,0.6172065269725684,0.6118550947298446,0.00535143224272383
cka_sep,mpnet,simcse,0.5457608897210088,0.48491788889860177,0.06084300082240701
cka_sep,minilm,pubmedbert,0.6404629978422544,0.6118550947298446,0.028607903112409794
cka_sep,minilm,biobert,0.5992704292011803,0.6118550947298446,-0.012584665528664218
cka_sep,minilm,simcse,0.5670173414590851,0.48491788889860177,0.08209945256048334
cka_sep,pubmedbert,biobert,0.8199787474537127,0.3732789752296152,0.4466997722240975
cka_sep,pubmedbert,simcse,0.6633263369573122,0.5225274843353478,0.14079885262196445
cka_sep,biobert,simcse,0.6658027254248082,0.5197959710577078,0.14600675436710042
neighbors_2048_mean_k25,specter,specter2,0.3897286658653848,0.44978354311928703,-0.06005487725390224
neighbors_2048_mean_k25,specter,scincl,0.4843838641826922,0.44978354311928703,0.03460032106340516
neighbors_2048_mean_k25,specter,scibert,0.2568272235576923,0.25764768274723554,-0.0008204591895432656
neighbors_2048_mean_k25,specter,bert,0.2250066105769232,0.2551907711268056,-0.030184160549882405
neighbors_2048_mean_k25,specter,mpnet,0.4495896935096154,0.37876106831632306,0.07082862519329236
neighbors_2048_mean_k25,specter,minilm,0.41472641225961543,0.37876106831632306,0.03596534394329237
neighbors_2048_mean_k25,specter,pubmedbert,0.23285426682692312,0.2551907711268056,-0.022336504299882487
neighbors_2048_mean_k25,specter,biobert,0.24300315504807699,0.2551907711268056,-0.01218761607872862
neighbors_2048_mean_k25,specter,simcse,0.21595943509615378,0.14630364002354684,0.06965579507260694
neighbors_2048_mean_k25,specter2,scincl,0.4404867788461538,0.44978354311928703,-0.009296764273133251
neighbors_2048_mean_k25,specter2,scibert,0.249373046875,0.25764768274723554,-0.008274635872235536
neighbors_2048_mean_k25,specter2,bert,0.20045763221153845,0.2551907711268056,-0.054733138915267154
neighbors_2048_mean_k25,specter2,mpnet,0.4334346454326926,0.37876106831632306,0.054673577116369554
neighbors_2048_mean_k25,specter2,minilm,0.39049053485576907,0.37876106831632306,0.01172946653944601
neighbors_2048_mean_k25,specter2,pubmedbert,0.21473106971153844,0.2551907711268056,-0.04045970141526717
neighbors_2048_mean_k25,specter2,biobert,0.22229552283653845,0.2551907711268056,-0.03289524829026716
neighbors_2048_mean_k25,specter2,simcse,0.19338401442307693,0.14630364002354684,0.047080374399530084
neighbors_2048_mean_k25,scincl,scibert,0.2509262319711538,0.25764768274723554,-0.006721450776081717
