field_id,metric,model_group,n,mean,median,min,max,p025,p975
15,neighbors_k50,one_biomedical,10,0.00484893798828126,0.004593200683593757,0.0013024902343750644,0.009381103515624989,0.0015034027099610034,0.009078018188476556
15,neighbors_k50,both_biomedical,10,0.006627929687500001,0.007568359375,-0.0001953125000000444,0.010244140625000009,0.0005473632812499546,0.009995849609374986
15,rsa_spearman,all,10,-0.014810729557591284,-0.014220000995672222,-0.021507251312801845,-0.009216571915408256,-0.02113638539162963,-0.009531627141778272
15,rsa_spearman,without_biomedical,10,-0.014264093166676196,-0.013800982776368154,-0.021397436441708106,-0.006856888852392773,-0.02099727699275232,-0.007372784078640831
15,rsa_spearman,one_biomedical,10,-0.016612570116943493,-0.015800584668295925,-0.023119072897923143,-0.009723248282370811,-0.022762474950476154,-0.01060710097728153
15,rsa_spearman,both_biomedical,10,-0.0012870995535781305,-0.0016297133831199573,-0.00462196822605887,0.0025022788412565333,-0.0045131290867088305,0.0022108585751397687
16,cka_debiased,all,10,-0.009142480867135584,-0.00824092090845946,-0.015259481673621456,-0.003023889057510276,-0.014833455100652187,-0.0036874835040461426
16,cka_debiased,without_biomedical,10,-0.005815764526835942,-0.00495993138406009,-0.012457097793230787,-0.0007944946416454934,-0.011762665550037873,-0.0012469658378964237
16,cka_debiased,one_biomedical,10,-0.014940614769042359,-0.014761913881743971,-0.02051216128939759,-0.006735052629002869,-0.02049362693312382,-0.007789307462986867
16,cka_debiased,both_biomedical,10,-0.009520395965015504,-0.009689713575906034,-0.016016512404642747,-0.0060683155578438175,-0.014888102020213786,-0.006107122740308835
16,neighbors_k10,all,10,0.014665147569444443,0.01491482204861111,0.00971462673611112,0.020158420138888855,0.009997829861111158,0.01975558810763886
16,neighbors_k10,without_biomedical,10,0.015776367187500022,0.016050502232142855,0.010974121093750039,0.021599469866071447,0.011035330636160743,0.021109793526785735
16,neighbors_k10,one_biomedical,10,0.012936706542968756,0.013203430175781239,0.007922363281250067,0.017663574218749978,0.008187408447265669,0.017435607910156234
16,neighbors_k10,both_biomedical,10,0.01120605468749999,0.011035156250000067,0.0031250000000000444,0.019726562499999933,0.0035754394531250346,0.019155273437499953
16,neighbors_k25,all,10,0.016662586805555567,0.016727430555555534,0.013823784722222232,0.019703125000000044,0.013914800347222235,0.019659863281250026
16,neighbors_k25,without_biomedical,10,0.01758517020089288,0.017808314732142866,0.014833984375000053,0.020698242187499993,0.014854701450892911,0.020642682756696413
16,neighbors_k25,one_biomedical,10,0.015181762695312507,0.015034790039062496,0.012569580078125031,0.01843627929687497,0.012630828857421906,0.018208038330078082
16,neighbors_k25,both_biomedical,10,0.014523437500000003,0.015087890624999989,0.005605468750000009,0.01968749999999997,0.006998535156250016,0.01953808593749998
16,neighbors_k50,all,10,0.015131879340277803,0.015125759548611117,0.01214084201388893,0.019111111111111134,0.01215348849826393,0.01881203884548614
16,neighbors_k50,without_biomedical,10,0.016495500837053572,0.01653808593750003,0.01316301618303567,0.020730329241071432,0.013245413643973195,0.02037021309988839
16,neighbors_k50,one_biomedical,10,0.012945739746093749,0.013135681152343759,0.009676513671874942,0.016430664062500044,0.009704528808593692,0.016354171752929737
16,neighbors_k50,both_biomedical,10,0.011928710937499986,0.011850585937499991,0.004990234375000013,0.016660156250000058,0.0059372558593750015,0.016165771484375032
16,rsa_spearman,all,10,-0.03749261750871811,-0.03792901068437249,-0.04435139123554499,-0.030497713011843786,-0.04349910495209186,-0.031052930277409463
16,rsa_spearman,without_biomedical,10,-0.0507340622911869,-0.050280594342719365,-0.06014784504186976,-0.04488045363741511,-0.0587604875509839,-0.044915373653115855
16,rsa_spearman,one_biomedical,10,-0.01726901823771606,-0.01778481604418075,-0.021736103231590587,-0.008316014887477019,-0.02152531514132204,-0.009694125196924978
16,rsa_spearman,both_biomedical,10,0.009690248064374362,0.008297917711990732,0.004267356739668826,0.02165745646815631,0.004442143873954868,0.01974289955094182
17,cka_debiased,all,10,0.011577575554326624,0.011081309866890432,0.004617600264607558,0.022449272356541816,0.004705384915593488,0.020730957587138762
17,cka_debiased,without_biomedical,10,0.015770984641665164,0.016428174388571193,0.009158789669604928,0.022603533282084975,0.009344024341449222,0.021439193690683797
17,cka_debiased,one_biomedical,10,0.004832042588381935,0.0018965150761960925,-0.0043037421851161994,0.023126177897684008,-0.0038289424947918565,0.020696947743536597
17,cka_debiased,both_biomedical,10,0.0020906485639623383,0.0027923000931033837,-0.0033149790946354063,0.007299477783052177,-0.0032093799829256255,0.006670058102377692
17,neighbors_k10,all,10,0.0023500434027777907,0.0014946831597222598,-0.0007432725694443976,0.006856553819444389,-0.00046519639756940483,0.006491319444444401
17,neighbors_k10,without_biomedical,10,0.0022427804129464325,0.0014997209821429047,-0.0012677873883928936,0.008124651227678581,-0.0008864048549107426,0.0073410906110491165
17,neighbors_k10,one_biomedical,10,0.002421264648437496,0.0010208129882812444,-0.0002288818359375,0.007586669921875011,-0.00014099121093749873,0.007192535400390633
17,neighbors_k10,both_biomedical,10,0.004213867187499998,0.004223632812499989,-0.002001953125000011,0.012158203124999989,-0.0016064453125000087,0.01121337890625
17,neighbors_k25,all,10,0.007431684027777807,0.007679687500000032,0.0023684895833334108,0.010879774305555645,0.0027793294270833935,0.010814344618055638
17,neighbors_k25,without_biomedical,10,0.008672572544642859,0.009110281808035747,0.003068498883928572,0.012384905133928537,0.0038632812499999935,0.012363089425223205
17,neighbors_k25,one_biomedical,10,0.0053383789062499964,0.005403442382812457,0.00015624999999996891,0.01045898437499998,0.0003768005371093619,0.010085723876953114
17,neighbors_k25,both_biomedical,10,0.006179687499999986,0.005107421875000018,0.0014257812499999245,0.011132812500000033,0.0016630859374999335,0.010921875000000025
17,neighbors_k50,all,10,0.009732660590277803,0.00892578125000007,0.004559678819444524,0.014232204861111042,0.0052233995225695,0.014193972439236072
17,neighbors_k50,without_biomedical,10,0.011661272321428579,0.011037597656249926,0.00573451450892859,0.016218959263392896,0.006706569126674127,0.015957249232700917
17,neighbors_k50,one_biomedical,10,0.0066272583007812354,0.006173095703124992,0.0025830078124999822,0.013107910156249958,0.002607727050781247,0.012584823608398394
17,neighbors_k50,both_biomedical,10,0.005417968750000002,0.005351562499999962,0.0013574218749999867,0.009375000000000022,0.0013815917968749898,0.009326660156250017
17,rsa_spearman,all,10,0.007965214431932882,0.008993334010599902,0.0006835557529085712,0.013707241433501494,0.0009195604541934923,0.01328014390041124
17,rsa_spearman,without_biomedical,10,0.008879893588146077,0.010185953479277254,0.0031688194691719684,0.013673616457558657,0.0031956146628483576,0.013450794467600752
17,rsa_spearman,one_biomedical,10,0.006740509207841782,0.007690796854086218,-0.003492172173199193,0.016010621348901966,-0.002892867140277719,0.015093306159547727
17,rsa_spearman,both_biomedical,10,0.0019494816434227457,0.0018889524549697279,-0.0039392547143464185,0.006798851334494316,-0.0035236632376847987,0.0067855629550637704
18,cka_debiased,all,10,0.010010569292852312,0.009275041878169354,0.004517667748377474,0.014736086571684237,0.0050864687905339545,0.014610282702651403
18,cka_debiased,without_biomedical,10,0.01344647433549312,0.013497175935129002,0.008872932842653558,0.01767078610706474,0.009256931734255004,0.017545889415400907
18,cka_debiased,one_biomedical,10,0.004649983506253485,0.0032324931617684904,-0.0028134803598405256,0.01051046186285065,-0.00189640549707073,0.01041296648420471
18,cka_debiased,both_biomedical,10,-0.0004253993155105995,-0.0007692326709586861,-0.0051333061549556636,0.006633794238305346,-0.004733203275348982,0.005837594853042853
18,neighbors_k10,all,10,-0.0031184895833333117,-0.0029687499999999367,-0.005818142361111112,-0.0006542968750000155,-0.005638454861111096,-0.0007001953125000445
