repeats,field_id,model,input_condition,original_31_alert,alert26k,alert52k,transition,width26k,width52k,full_effect26k,full_effect52k,crosses_zero26k,crosses_zero52k
20,23,biobert,title,True,True,False,resolved,0.04740753687144139,0.029410019461805714,-0.30454937371892804,-0.29699072822531053,False,False
20,24,bert,title,True,True,False,resolved,0.04089029058089385,0.032540478562711896,0.01902130358222187,0.008041239471809458,True,True
20,24,biobert,abstract,True,True,True,persists,0.0907540776511988,0.0566806494774143,0.3869730115656329,0.34846819568290527,False,False
20,25,pubmedbert,title,True,True,False,resolved,0.04076181991481831,0.026438763647132046,-0.1414958612611491,-0.13440340006606888,False,False
20,26,scibert,title,True,True,False,resolved,0.04043886799905394,0.01826686996187024,-0.16953915098258482,-0.171327371765923,False,False
20,26,pubmedbert,title,True,True,False,resolved,0.04356248140608024,0.028900719612956233,-0.22675470996533142,-0.21611534104405167,False,False
20,26,biobert,abstract,True,True,False,resolved,0.04317140192713825,0.030878324981405914,0.3523612139086869,0.3613758916792944,False,False
20,28,pubmedbert,title,True,True,False,resolved,0.04133272885276941,0.03077329209748217,-0.08132840432937627,-0.09570026991655811,False,False
20,29,biobert,abstract,True,True,False,resolved,0.06166771191080078,0.03340808409205037,0.31484310704473867,0.3158676181464295,False,False
20,33,pubmedbert,title,True,True,False,resolved,0.05774422047643707,0.02887619801248767,-0.20338576860935764,-0.21864537414668073,False,False
20,33,pubmedbert,abstract,True,True,False,resolved,0.04355514605167221,0.02377484873925123,0.4067788202046885,0.40214097809734883,False,False
20,36,bert,title,True,True,False,resolved,0.04476161174024043,0.024324511852637704,-0.12598982865550484,-0.13054805770834021,False,False
100,11,biobert,title,True,True,False,resolved,0.04504216707749409,0.025703818620071928,-0.28049506926780277,-0.2852495415856701,False,False
100,11,biobert,abstract,True,True,True,persists,0.05938207654897559,0.0473611624726723,0.3650122753834091,0.36019108157116214,False,False
100,12,specter,title,True,True,False,resolved,0.04757082443433226,0.031717240102921096,0.10226814942308948,0.08567569121630225,False,False
100,12,bert,title,True,True,False,resolved,0.04492992109454255,0.03941420973696011,-0.20584460937233806,-0.20390892354594414,False,False
100,12,pubmedbert,title,True,True,False,resolved,0.054901547267531964,0.03917827151387407,-0.22206988194191168,-0.234133062892127,False,False
100,12,biobert,title,True,True,False,resolved,0.04023488012886545,0.02764159329380539,-0.2990691097478488,-0.2966418672267519,False,False
100,13,bert,title,True,True,False,resolved,0.04906409071065304,0.02632995387349414,0.04554258932430827,0.045154137377360015,False,False
100,13,biobert,title,True,False,False,no_alert,0.03637543143352512,0.02197714139850293,-0.23898067099608733,-0.25004965965982495,False,False
100,14,pubmedbert,title,True,True,False,resolved,0.046019244586183894,0.03655620514674837,-0.22303749553946106,-0.21417034614969865,False,False
100,14,biobert,title,True,True,False,resolved,0.04172847106238897,0.03316673134047354,-0.2996145378228917,-0.2878875272731002,False,False
100,16,bert,title,True,True,False,resolved,0.057537308246762564,0.03393252821961788,-0.005419744586792619,-0.005199209606234545,True,True
100,16,pubmedbert,title,True,True,False,resolved,0.049408358131280306,0.026845931038039825,-0.08111420978727935,-0.07353592672398673,False,False
100,16,biobert,title,True,True,False,resolved,0.04425490812959974,0.027252812340259835,-0.14201632698467603,-0.15237305286058273,False,False
100,17,pubmedbert,title,True,True,False,resolved,0.04069500286407379,0.031468929898033265,-0.20238299631016332,-0.20765911747990906,False,False
100,18,biobert,abstract,True,True,False,resolved,0.06483294004001156,0.03063284101617697,0.3542255842049819,0.3481292089643542,False,False
100,19,biobert,abstract,True,True,True,persists,0.0527620834631819,0.04498812853662487,0.30156991209722733,0.3103037685811608,False,False
100,20,pubmedbert,title,True,True,False,resolved,0.04995162354433838,0.03024232415804398,-0.22844524415754336,-0.22106414344417474,False,False
100,20,biobert,abstract,True,True,True,persists,0.0763645306296255,0.041539947355155815,0.4030308977111697,0.39599991867444956,False,False
100,23,pubmedbert,title,True,False,False,no_alert,0.037150299971108816,0.026064122090489,-0.11974477923473714,-0.11977450730824923,False,False
100,23,biobert,title,True,True,False,resolved,0.04145003085280413,0.03036596400695607,-0.30454937371892804,-0.29699072822531053,False,False
100,24,bert,title,True,True,False,resolved,0.04490922059680994,0.03745970398903646,0.01902130358222187,0.008041239471809458,True,True
100,24,biobert,abstract,True,True,True,persists,0.11397420670297514,0.06295636101484764,0.3869730115656329,0.34846819568290527,False,False
100,25,pubmedbert,title,True,False,False,no_alert,0.03877996424304629,0.031299480009680275,-0.1414958612611491,-0.13440340006606888,False,False
100,26,scibert,title,True,False,False,no_alert,0.038532220893930075,0.023375146380244405,-0.16953915098258482,-0.171327371765923,False,False
100,26,pubmedbert,title,True,True,False,resolved,0.04429391515779724,0.0388628996278996,-0.22675470996533142,-0.21611534104405167,False,False
100,26,biobert,abstract,True,True,False,resolved,0.04118048707756916,0.03313568021191504,0.3523612139086869,0.3613758916792944,False,False
100,28,pubmedbert,title,True,True,False,resolved,0.04095300674582816,0.0282609309592967,-0.08132840432937627,-0.09570026991655811,False,False
100,29,biobert,abstract,True,True,False,resolved,0.05407346746356595,0.03921316030789296,0.31484310704473867,0.3158676181464295,False,False
100,33,pubmedbert,title,True,True,False,resolved,0.05648128057955851,0.03886485448355634,-0.20338576860935764,-0.21864537414668073,False,False
100,33,pubmedbert,abstract,True,True,False,resolved,0.04571589239772267,0.029520032522159623,0.4067788202046885,0.40214097809734883,False,False
100,36,bert,title,True,True,False,resolved,0.04511147043938116,0.03342348927978282,-0.12598982865550484,-0.13054805770834021,False,False
