source,level,group,selection,recipe,metric_a,metric_b,pairs,spearman
field_period_native,field_period_native,17,2000,mean,cka_debiased,rsa_spearman,45,0.8380764163372857
field_period_native,field_period_native,17,2000,mean,procrustes_similarity,rsa_spearman,45,0.7276679841897232
field_period_native,field_period_native,17,2005,mean,cka_debiased,procrustes_similarity,45,0.8716732542819499
field_period_native,field_period_native,17,2005,mean,cka_debiased,rsa_spearman,45,0.826482213438735
field_period_native,field_period_native,17,2005,mean,procrustes_similarity,rsa_spearman,45,0.7163372859025032
field_period_native,field_period_native,17,2010,mean,cka_debiased,procrustes_similarity,45,0.870223978919631
field_period_native,field_period_native,17,2010,mean,cka_debiased,rsa_spearman,45,0.8156785243741765
field_period_native,field_period_native,17,2010,mean,procrustes_similarity,rsa_spearman,45,0.6939393939393937
field_period_native,field_period_native,17,2015,mean,cka_debiased,procrustes_similarity,45,0.8870882740447957
field_period_native,field_period_native,17,2015,mean,cka_debiased,rsa_spearman,45,0.8366271409749669
field_period_native,field_period_native,17,2015,mean,procrustes_similarity,rsa_spearman,45,0.7079051383399209
field_period_native,field_period_native,17,2020,mean,cka_debiased,procrustes_similarity,45,0.8007905138339919
field_period_native,field_period_native,17,2020,mean,cka_debiased,rsa_spearman,45,0.9005270092226613
field_period_native,field_period_native,17,2020,mean,procrustes_similarity,rsa_spearman,45,0.736627140974967
field_period_native,field_period_native,18,2000,mean,cka_debiased,procrustes_similarity,45,0.9143610013175228
field_period_native,field_period_native,18,2000,mean,cka_debiased,rsa_spearman,45,0.8620553359683795
field_period_native,field_period_native,18,2000,mean,procrustes_similarity,rsa_spearman,45,0.8077733860342555
field_period_native,field_period_native,18,2005,mean,cka_debiased,procrustes_similarity,45,0.9258234519104084
field_period_native,field_period_native,18,2005,mean,cka_debiased,rsa_spearman,45,0.8415019762845849
field_period_native,field_period_native,18,2005,mean,procrustes_similarity,rsa_spearman,45,0.8119894598155466
field_period_native,field_period_native,18,2010,mean,cka_debiased,procrustes_similarity,45,0.9408432147562581
field_period_native,field_period_native,18,2010,mean,cka_debiased,rsa_spearman,45,0.8600790513833992
field_period_native,field_period_native,18,2010,mean,procrustes_similarity,rsa_spearman,45,0.8245059288537548
field_period_native,field_period_native,18,2015,mean,cka_debiased,procrustes_similarity,45,0.9251646903820816
field_period_native,field_period_native,18,2015,mean,cka_debiased,rsa_spearman,45,0.881554677206851
field_period_native,field_period_native,18,2015,mean,procrustes_similarity,rsa_spearman,45,0.8476943346508563
field_period_native,field_period_native,18,2020,mean,cka_debiased,procrustes_similarity,45,0.9130434782608695
field_period_native,field_period_native,18,2020,mean,cka_debiased,rsa_spearman,45,0.8768115942028983
field_period_native,field_period_native,18,2020,mean,procrustes_similarity,rsa_spearman,45,0.8483530961791831
field_period_native,field_period_native,19,2000,mean,cka_debiased,procrustes_similarity,45,0.8963109354413702
field_period_native,field_period_native,19,2000,mean,cka_debiased,rsa_spearman,45,0.9115942028985506
