recipe,metric,input_condition,measure,n,mean,median,min,max,p025,p975,positive_count,negative_count
cls,neighbors25,abstract,input_change_from_full,260,0.27450576923076925,0.26171,0.14158000000000004,0.5287200000000001,0.16067650000000003,0.4568065,260,0
cls,neighbors25,abstract,model_minus_input,260,0.49146658974358975,0.50393,0.33486666666666665,0.6158511111111112,0.36039805555555554,0.5788571666666666,260,0
cls,neighbors50,title,model_change_at_full,260,0.7273441111111112,0.7307905555555555,0.6251466666666667,0.8321944444444443,0.64139575,0.811302611111111,260,0
cls,neighbors50,title,input_change_from_full,260,0.6958796153846154,0.7577,0.38929,0.91688,0.44701375000000004,0.9090985,260,0
cls,neighbors50,title,model_minus_input,260,0.03146449572649573,-0.0031277777777777294,-0.1373088888888888,0.2590133333333333,-0.1306975277777778,0.22653122222222236,130,130
cls,neighbors50,abstract,model_change_at_full,260,0.7273441111111112,0.7307905555555555,0.6251466666666667,0.8321944444444443,0.64139575,0.811302611111111,260,0
cls,neighbors50,abstract,input_change_from_full,260,0.24320511538461537,0.23012,0.12489000000000006,0.47507,0.14116724999999997,0.41007425000000003,260,0
cls,neighbors50,abstract,model_minus_input,260,0.4841389957264957,0.4916561111111112,0.34064666666666665,0.6060511111111112,0.3686649722222222,0.5687258611111111,260,0
sep,cka,title,model_change_at_full,260,0.4585224877634022,0.41865274486954446,0.25263421496644534,0.8833812237127024,0.29255576154672486,0.8362950390213344,260,0
sep,cka,title,input_change_from_full,260,0.3958455621809997,0.3179737517920675,0.10451727767167973,0.9390003216960644,0.13349337699098263,0.9026884031083628,260,0
sep,cka,title,model_minus_input,260,0.06267692558240263,0.0467376680536124,-0.18983385588337898,0.28509924721216606,-0.1552972911787642,0.2426725066647143,141,119
sep,cka,abstract,model_change_at_full,260,0.4585224877634022,0.41865274486954446,0.25263421496644534,0.8833812237127024,0.29255576154672486,0.8362950390213344,260,0
sep,cka,abstract,input_change_from_full,260,0.051336013854308776,0.03176943342811428,0.007659140177127766,0.2895217646663649,0.010998064618694629,0.252550507975388,260,0
sep,cka,abstract,model_minus_input,260,0.40718647390909346,0.3836117412995174,0.2248027551261913,0.6665569761879366,0.26541518841862605,0.6139115174769959,260,0
sep,neighbors10,title,model_change_at_full,260,0.7716929487179488,0.7513583333333334,0.6677055555555557,0.9018944444444443,0.6844715277777779,0.8930679166666667,260,0
sep,neighbors10,title,input_change_from_full,260,0.7583707692307692,0.767725,0.48575,0.95615,0.54091375,0.9522725,260,0
sep,neighbors10,title,model_minus_input,260,0.013322179487179488,-0.017425000000000024,-0.1289055555555556,0.2096055555555556,-0.1110598611111112,0.1643145833333334,129,131
sep,neighbors10,abstract,model_change_at_full,260,0.7716929487179488,0.7513583333333334,0.6677055555555557,0.9018944444444443,0.6844715277777779,0.8930679166666667,260,0
sep,neighbors10,abstract,input_change_from_full,260,0.3006630769230769,0.2934,0.1452,0.60715,0.16094500000000003,0.49874124999999997,260,0
sep,neighbors10,abstract,model_minus_input,260,0.47102987179487177,0.48193611111111107,0.2906388888888889,0.6138666666666667,0.33640375000000006,0.5774980555555556,260,0
sep,neighbors25,title,model_change_at_full,260,0.7292996752136752,0.7081288888888889,0.6205377777777779,0.8709688888888889,0.6418845000000001,0.8561642222222221,260,0
sep,neighbors25,title,input_change_from_full,260,0.7121972307692309,0.71879,0.44084,0.93424,0.49318199999999995,0.924982,260,0
sep,neighbors25,title,model_minus_input,260,0.017102444444444448,-0.010385555555555481,-0.13078444444444437,0.2100644444444444,-0.11522249999999995,0.1767192222222223,129,131
sep,neighbors25,abstract,model_change_at_full,260,0.7292996752136752,0.7081288888888889,0.6205377777777779,0.8709688888888889,0.6418845000000001,0.8561642222222221,260,0
sep,neighbors25,abstract,input_change_from_full,260,0.26007,0.25312000000000007,0.11718000000000006,0.55722,0.13764700000000002,0.44297450000000005,260,0
sep,neighbors25,abstract,model_minus_input,260,0.4692296752136752,0.47744111111111104,0.30274222222222225,0.5928955555555555,0.34271755555555555,0.5670261111111111,260,0
sep,neighbors50,title,model_change_at_full,260,0.6903502307692306,0.6704266666666667,0.5828111111111112,0.8411911111111111,0.6025328611111112,0.8232056666666666,260,0
sep,neighbors50,title,input_change_from_full,260,0.6702918846153846,0.6678200000000001,0.38929,0.90637,0.44701375000000004,0.8954022500000001,260,0
sep,neighbors50,title,model_minus_input,260,0.020058346153846145,-0.005407777777777734,-0.1291688888888889,0.21221222222222214,-0.11775872222222217,0.18021458333333334,129,131
sep,neighbors50,abstract,model_change_at_full,260,0.6903502307692306,0.6704266666666667,0.5828111111111112,0.8411911111111111,0.6025328611111112,0.8232056666666666,260,0
sep,neighbors50,abstract,input_change_from_full,260,0.23131665384615385,0.22236499999999998,0.10159000000000007,0.51657,0.12060000000000004,0.4009695,260,0
sep,neighbors50,abstract,model_minus_input,260,0.4590335769230769,0.4642561111111111,0.30398666666666674,0.5753611111111111,0.3429631944444445,0.5593241111111111,260,0
