model_group,field_id,n,mean,median,min,max,p025,p975
one_biomedical,20,48,0.5488441402451828,0.5193137121456756,0.34151081576021197,0.8249446544853641,0.3575734244798013,0.8193237520647769
one_biomedical,21,48,0.6236600778978928,0.6739921799684427,0.3228936741960242,0.8883435559131028,0.3265484202246642,0.8811079841478175
one_biomedical,22,240,0.5987708396348238,0.5619630179767918,0.36775536815418486,0.8758053788471915,0.4054317337986469,0.8350540088778354
one_biomedical,23,176,0.6331305509293764,0.604038244619804,0.3889334446854048,0.9364654228128395,0.42705260207107126,0.8834434940301122
one_biomedical,24,80,0.6000125869215098,0.5677095538119161,0.4229367431531695,0.8841912614184579,0.4420942495054442,0.875692450250311
one_biomedical,25,96,0.6355711056782138,0.5936106493984344,0.4422020377061921,0.8721534293157018,0.4693323128699937,0.8619081096541058
one_biomedical,26,128,0.5481919500427608,0.5623824056926137,0.15461359725543555,0.9178668308934487,0.18275721808015158,0.8900164774134587
one_biomedical,27,592,0.5673490531995637,0.5326058894248922,0.30588832519099945,0.8953793113998453,0.3566255971448594,0.8766281981067245
one_biomedical,28,112,0.6206451604385972,0.5940275284270689,0.4202180275023244,0.9116570864624862,0.43584417499447053,0.8787929629584557
one_biomedical,29,64,0.5641908083091255,0.5217468449324394,0.15021086562624048,0.9269382324865889,0.16708850932732988,0.8895431005278951
one_biomedical,30,48,0.6847386311201017,0.7019787382755885,0.4690692953299887,0.9265548298922748,0.49227019463766086,0.9200563218590809
one_biomedical,31,96,0.6773544668296632,0.6578101914320031,0.513365396836452,0.8993291819731754,0.5229543655474259,0.8807030181086773
one_biomedical,32,80,0.5920203146571008,0.5306755295661818,0.40416996799164917,0.8622334662075354,0.4193872719084494,0.8550962481982972
one_biomedical,33,288,0.5649931327323691,0.5099708228673696,0.301958411358266,0.8748702216206147,0.38332058255217866,0.8363190735695232
one_biomedical,34,32,0.5487893309153249,0.5324592347057732,0.3534584650015242,0.8504898330447891,0.36781231878588033,0.8406207795415032
one_biomedical,35,64,0.6062515295854568,0.5701793970615224,0.4336562886930523,0.8721820176153232,0.45299178040293797,0.8582500625462846
one_biomedical,36,128,0.603930967419514,0.5656134365570151,0.35836816679253697,0.8731920042951967,0.40415997567063017,0.8677306957552737
both_biomedical,11,9,0.8519901512613008,0.8496601122222108,0.8153549592185684,0.9107543890141137,0.8184673821684837,0.9020216369737909
both_biomedical,12,12,0.829990450413323,0.8132402860957837,0.7922061362113563,0.9097813786310445,0.7928430248571908,0.8977960826617
both_biomedical,13,10,0.8597010629353219,0.8529546170624547,0.8196577863812209,0.9298311616758436,0.8235011522919511,0.9186936568083466
both_biomedical,14,7,0.8196765582924125,0.8143445312003791,0.7704219432040925,0.8774592815434801,0.772696915021434,0.8716668021507977
both_biomedical,15,6,0.8677905662589936,0.864314180817819,0.8425056344227962,0.9006232647552709,0.8442942383292886,0.8978168155440522
both_biomedical,16,6,0.8814739240945823,0.8918974270911064,0.827301918869835,0.9121130451757062,0.8316482268588353,0.9110440824734808
both_biomedical,17,11,0.8531437114137774,0.8460128603573734,0.8183996667769313,0.923066661787121,0.8192645850924037,0.9155986488491478
both_biomedical,18,4,0.8641061029490787,0.8650097866816268,0.8302592487810893,0.8961455896519723,0.832858755537922,0.8938171880149041
both_biomedical,19,7,0.8723346056261214,0.8693452830116464,0.8526748118855317,0.8954075869665038,0.8539553695132672,0.8939430189676257
both_biomedical,20,3,0.8189579836408991,0.8174856615857364,0.7817627015807336,0.8576255877562272,0.7835488495809837,0.8556185914477027
both_biomedical,21,3,0.8600094010845144,0.863754780741497,0.8068767725095967,0.9093966500024498,0.8097206729211917,0.9071145565394022
