outcome,omitted_model,feature,rank,columns,identified,coefficient,r_squared
cka_primary,bert,same_domain,7,7,True,-0.09110509989606615,0.82912062220482
cka_primary,bert,same_pooling,7,7,True,-0.13155205000395342,0.82912062220482
cka_primary,mpnet,intercept,7,7,True,0.651107359712676,0.7675334801365403
cka_primary,mpnet,same_architecture,7,7,True,-0.08386164042861277,0.7675334801365403
cka_primary,mpnet,same_lineage,7,7,True,0.042371950814819495,0.7675334801365403
cka_primary,mpnet,same_final_corpus_group,7,7,True,-0.05417639013377162,0.7675334801365403
cka_primary,mpnet,same_objective,7,7,True,0.3118101287351569,0.7675334801365403
cka_primary,mpnet,same_domain,7,7,True,0.006838893594842661,0.7675334801365403
cka_primary,mpnet,same_pooling,7,7,True,-0.08654831656324795,0.7675334801365403
cka_primary,minilm,intercept,7,7,True,0.6776562152331597,0.733197224827163
cka_primary,minilm,same_architecture,7,7,True,-0.107271626099157,0.733197224827163
cka_primary,minilm,same_lineage,7,7,True,0.051013026513920985,0.733197224827163
cka_primary,minilm,same_final_corpus_group,7,7,True,-0.047007585645097695,0.733197224827163
cka_primary,minilm,same_objective,7,7,True,0.3213948002170566,0.733197224827163
cka_primary,minilm,same_domain,7,7,True,-0.010404747490667087,0.733197224827163
cka_primary,minilm,same_pooling,7,7,True,-0.09783809699735219,0.733197224827163
cka_primary,pubmedbert,intercept,7,7,True,0.6990440951657881,0.7376539622502694
cka_primary,pubmedbert,same_architecture,7,7,True,-0.11364631537110619,0.7376539622502694
cka_primary,pubmedbert,same_lineage,7,7,True,0.07699047269715077,0.7376539622502694
cka_primary,pubmedbert,same_final_corpus_group,7,7,True,0.014498172868301991,0.7376539622502694
cka_primary,pubmedbert,same_objective,7,7,True,0.28128058912537257,0.7376539622502694
cka_primary,pubmedbert,same_domain,7,7,True,-0.06114389269569361,0.7376539622502694
cka_primary,pubmedbert,same_pooling,7,7,True,-0.10728863358071741,0.7376539622502694
cka_primary,biobert,intercept,7,7,True,0.7014921498125435,0.7246843232667977
cka_primary,biobert,same_architecture,7,7,True,-0.1258106142820496,0.7246843232667977
cka_primary,biobert,same_lineage,7,7,True,0.11911795295345415,0.7246843232667977
cka_primary,biobert,same_final_corpus_group,7,7,True,-0.021360735016481072,0.7246843232667977
cka_primary,biobert,same_objective,7,7,True,0.311491238819805,0.7246843232667977
cka_primary,biobert,same_domain,7,7,True,-0.07795935896646551,0.7246843232667977
cka_primary,biobert,same_pooling,7,7,True,-0.10974534977536993,0.7246843232667977
cka_primary,simcse,intercept,7,7,True,0.7329661461867878,0.9294033274430783
cka_primary,simcse,same_architecture,7,7,True,-0.19617310310672562,0.9294033274430783
cka_primary,simcse,same_lineage,7,7,True,0.022762997048225306,0.9294033274430783
cka_primary,simcse,same_final_corpus_group,7,7,True,-0.08920563969015102,0.9294033274430783
cka_primary,simcse,same_objective,7,7,True,0.460737422631166,0.9294033274430783
cka_primary,simcse,same_domain,7,7,True,0.030087670786409053,0.9294033274430783
cka_primary,simcse,same_pooling,7,7,True,-0.20562957149275127,0.9294033274430783
cka_equal2048,specter,intercept,7,7,True,0.669148929361854,0.7394811397881162
cka_equal2048,specter,same_architecture,7,7,True,-0.09373225290754006,0.7394811397881162
cka_equal2048,specter,same_lineage,7,7,True,0.0581162972919076,0.7394811397881162
cka_equal2048,specter,same_final_corpus_group,7,7,True,-0.03589197328351684,0.7394811397881162
cka_equal2048,specter,same_objective,7,7,True,0.33437988427761656,0.7394811397881162
cka_equal2048,specter,same_domain,7,7,True,-0.012981144851185232,0.7394811397881162
cka_equal2048,specter,same_pooling,7,7,True,-0.11663114984198794,0.7394811397881162
cka_equal2048,specter2,intercept,7,7,True,0.6718649554292662,0.7225427526194175
cka_equal2048,specter2,same_architecture,7,7,True,-0.08789287451281425,0.7225427526194175
cka_equal2048,specter2,same_lineage,7,7,True,0.05048781301435649,0.7225427526194175
cka_equal2048,specter2,same_final_corpus_group,7,7,True,-0.02721115428104287,0.7225427526194175
cka_equal2048,specter2,same_objective,7,7,True,0.32692232498026164,0.7225427526194175
cka_equal2048,specter2,same_domain,7,7,True,-0.016985810447470707,0.7225427526194175
cka_equal2048,specter2,same_pooling,7,7,True,-0.11579013669446502,0.7225427526194175
cka_equal2048,scincl,intercept,7,7,True,0.6670954592468701,0.732966560458669
cka_equal2048,scincl,same_architecture,7,7,True,-0.08582098869955421,0.732966560458669
cka_equal2048,scincl,same_lineage,7,7,True,0.04718287181079949,0.732966560458669
