field_id,period_start,model_a,model_b,full_cka,median_1024,median_2048,median_change,p025_2048,p975_2048,central95_width,median_minus_full,passes_original_screen,width_alert,size_shift_alert,status
11,2000,specter2,scibert,0.5262563656891183,0.5256499128194847,0.5264275792963113,0.0007776664768266439,0.524321944867371,0.5283206926191025,0.0039987477517314796,0.000171213607193077,True,False,False,original_screen_passed
11,2000,specter2,bert,0.4884523274431655,0.48883046547315473,0.4885903331441964,0.00024013232895830905,0.4863665758131513,0.4914280070017123,0.005061431188561005,0.0001380057010308966,True,False,False,original_screen_passed
11,2000,specter2,mpnet,0.7318683314378559,0.7315539375374444,0.7320145487666095,0.0004606112291651865,0.7311779040499076,0.7329811285137958,0.0018032244638882533,0.00014621732875363946,True,False,False,original_screen_passed
11,2000,specter2,minilm,0.6725803987710574,0.6720167856127828,0.6724576976344973,0.0004409120217144791,0.6718736758838665,0.6740555240366621,0.0021818481527956513,-0.0001227011365600994,True,False,False,original_screen_passed
11,2000,specter2,pubmedbert,0.4450261624161957,0.4416600830379873,0.44497623473782894,0.0033161516998416185,0.44203915856604853,0.44910943359342675,0.0070702750273782256,-4.992767836675682e-05,True,False,False,original_screen_passed
11,2000,specter2,biobert,0.47543026233317587,0.4713032575141217,0.47556004260343554,0.004256785089313819,0.4721210233616758,0.4784130566575991,0.006292033295923316,0.00012978027025967176,True,False,False,original_screen_passed
11,2000,specter2,simcse,0.4308238437136267,0.430900000544073,0.43075197226598977,0.00014802827808324537,0.4289944350531482,0.4331167612705292,0.004122326217381012,-7.187144763692865e-05,True,False,False,original_screen_passed
11,2000,scincl,scibert,0.5183432552374787,0.517859796186555,0.5185421390337728,0.0006823428472177984,0.5157351358390435,0.520374424587274,0.004639288748230497,0.00019888379629406927,True,False,False,original_screen_passed
11,2000,scincl,bert,0.5227773652683412,0.5236290415409406,0.5230074066617235,0.0006216348792170701,0.52035390650626,0.5251010293191462,0.00474712281288614,0.00023004139338234086,True,False,False,original_screen_passed
11,2000,scincl,mpnet,0.7940017166719836,0.7940050453962243,0.7941823197589739,0.00017727436274961317,0.7927099027547302,0.7957282904446301,0.0030183876898999262,0.00018060308699030525,True,False,False,original_screen_passed
11,2000,scincl,minilm,0.7255175388997491,0.7243235508675436,0.7256458075356649,0.0013222566681212466,0.7245627790896532,0.727381071773597,0.002818292683943846,0.00012826863591575144,True,False,False,original_screen_passed
