field_id,recipe,metric,model,input_condition,is_word_bert,mean_effect,alternative_effect,effect_change,input_change_difference,model_change_difference,sign_changed
11,sep,cka,mpnet,title,False,0.19734008060948555,0.21934775383682492,0.022007673227339375,0.0,0.022007673227339375,False
11,sep,cka,mpnet,abstract,False,0.3370877901578992,0.35909546338523857,0.022007673227339375,0.0,0.022007673227339375,False
11,sep,cka,minilm,title,False,0.14768332751657176,0.178156536126242,0.030473208609670233,0.0,0.030473208609670233,False
11,sep,cka,minilm,abstract,False,0.3414207777753486,0.37189398638501886,0.030473208609670233,0.0,0.030473208609670233,False
11,sep,cka,pubmedbert,title,True,-0.1179490527347753,-0.02343385037181367,0.09451520236296163,-0.1370203231687952,-0.042505120805833574,False
11,sep,cka,pubmedbert,abstract,True,0.39074576678653683,0.3501808485078153,-0.04056491827872155,-0.0019402025271120227,-0.042505120805833574,False
11,sep,cka,biobert,title,True,-0.28524954158567667,-0.09432282407558013,0.19092671751009654,-0.18280118296857095,0.008125534541525592,False
11,sep,cka,biobert,abstract,True,0.3601910815711556,0.3771381666481425,0.01694708507698689,-0.008821550535461298,0.008125534541525592,False
11,sep,cka,simcse,title,False,-0.0760607210842082,-0.018192195913446896,0.0578685251707613,0.0,0.0578685251707613,False
11,sep,cka,simcse,abstract,False,0.41061051190911374,0.46847903707987504,0.0578685251707613,0.0,0.0578685251707613,False
11,sep,neighbors10,specter,title,False,0.07987777777777783,0.08586111111111117,0.0059833333333333405,0.0,0.0059833333333333405,False
11,sep,neighbors10,specter,abstract,False,0.3402777777777778,0.34626111111111113,0.0059833333333333405,0.0,0.0059833333333333405,False
11,sep,neighbors10,specter2,title,False,0.11252777777777778,0.1181833333333333,0.005655555555555525,0.0,0.005655555555555525,False
11,sep,neighbors10,specter2,abstract,False,0.39092777777777776,0.3965833333333333,0.005655555555555525,0.0,0.005655555555555525,False
11,sep,neighbors10,scincl,title,False,0.10201111111111105,0.10643888888888875,0.004427777777777697,0.0,0.004427777777777697,False
11,sep,neighbors10,scincl,abstract,False,0.420061111111111,0.4244888888888887,0.004427777777777697,0.0,0.004427777777777697,False
11,sep,neighbors10,scibert,title,True,-0.1753944444444444,-0.06733333333333336,0.10806111111111105,0.04500000000000004,0.1530611111111111,False
11,sep,neighbors10,scibert,abstract,True,0.5249555555555555,0.47881666666666667,-0.04613888888888884,0.19919999999999993,0.1530611111111111,False
11,sep,neighbors10,bert,title,True,-0.13969444444444445,-0.06903333333333328,0.07066111111111117,0.060450000000000004,0.13111111111111118,False
11,sep,neighbors10,bert,abstract,True,0.5234055555555555,0.42471666666666663,-0.09868888888888883,0.2298,0.13111111111111118,False
11,sep,neighbors10,mpnet,title,False,0.15459444444444448,0.15861666666666663,0.004022222222222149,0.0,0.004022222222222149,False
11,sep,neighbors10,mpnet,abstract,False,0.47969444444444453,0.4837166666666667,0.004022222222222149,0.0,0.004022222222222149,False
11,sep,neighbors10,minilm,title,False,0.1029944444444445,0.10879444444444464,0.005800000000000138,0.0,0.005800000000000138,False
11,sep,neighbors10,minilm,abstract,False,0.44744444444444453,0.45324444444444467,0.005800000000000138,0.0,0.005800000000000138,False
11,sep,neighbors10,pubmedbert,title,True,-0.13472777777777778,-0.08876111111111107,0.04596666666666671,-0.04049999999999998,0.005466666666666731,False
11,sep,neighbors10,pubmedbert,abstract,True,0.5314222222222221,0.5324888888888888,0.0010666666666666602,0.0044000000000000705,0.005466666666666731,False
11,sep,neighbors10,biobert,title,True,-0.15142777777777783,-0.08051666666666679,0.07091111111111104,-0.03844999999999987,0.03246111111111116,False
11,sep,neighbors10,biobert,abstract,True,0.49102222222222214,0.5548333333333333,0.06381111111111115,-0.03134999999999999,0.03246111111111116,False
11,sep,neighbors10,simcse,title,False,-0.09652777777777766,-0.07447222222222205,0.022055555555555606,0.0,0.022055555555555606,False
11,sep,neighbors10,simcse,abstract,False,0.4776222222222223,0.4996777777777779,0.022055555555555606,0.0,0.022055555555555606,False
11,sep,neighbors25,specter,title,False,0.090308888888889,0.09829555555555558,0.007986666666666586,0.0,0.007986666666666586,False
11,sep,neighbors25,specter,abstract,False,0.34546888888888894,0.3534555555555555,0.007986666666666586,0.0,0.007986666666666586,False
11,sep,neighbors25,specter2,title,False,0.11968222222222213,0.12610222222222223,0.006420000000000092,0.0,0.006420000000000092,False
11,sep,neighbors25,specter2,abstract,False,0.3880422222222222,0.39446222222222227,0.006420000000000092,0.0,0.006420000000000092,False
11,sep,neighbors25,scincl,title,False,0.11234444444444447,0.11798000000000008,0.005635555555555616,0.0,0.005635555555555616,False
11,sep,neighbors25,scincl,abstract,False,0.41374444444444436,0.41938,0.005635555555555616,0.0,0.005635555555555616,False
11,sep,neighbors25,scibert,title,True,-0.17624444444444454,-0.08023555555555562,0.09600888888888892,0.06245999999999996,0.15846888888888888,False
11,sep,neighbors25,scibert,abstract,True,0.5014755555555556,0.4811444444444444,-0.02033111111111119,0.17880000000000007,0.15846888888888888,False
11,sep,neighbors25,bert,title,True,-0.13611777777777778,-0.0750466666666667,0.061071111111111076,0.08408000000000004,0.14515111111111112,False
11,sep,neighbors25,bert,abstract,True,0.5076222222222222,0.4377333333333333,-0.06988888888888889,0.21504,0.14515111111111112,False
11,sep,neighbors25,mpnet,title,False,0.15173777777777764,0.15811999999999993,0.006382222222222289,0.0,0.006382222222222289,False
11,sep,neighbors25,mpnet,abstract,False,0.4638177777777778,0.47020000000000006,0.006382222222222289,0.0,0.006382222222222289,False
11,sep,neighbors25,minilm,title,False,0.10175333333333347,0.11040444444444442,0.008651111111110943,0.0,0.008651111111110943,False
